,id,created_at,text
0,1067191295754551299,2018-11-26 23:00:07,are you subscribed to my @youtube channel get notified when i upload new videos subscribe here https://t.co/kwstmdvwhb'
1,1067168633158287360,2018-11-26 21:30:03,are you fan of @shesgotthelook2 well check out the full episodes on my @vimeo channel https://t.co/d4bcrfbyiv rt https://t.co/9i6ridd0uy'
2,1067130915191693312,2018-11-26 19:00:11,#southernsayingsexplained bless your heart passive aggressive way to call someone an idiot #rhod #southernsayings #loveleeanne
3,1067115791760457740,2018-11-26 18:00:05,how to turn your #battles in to your #blessings nhttps t co nsnba 3rnjg
4,1067115789977878534,2018-11-26 18:00:05,why giving in doesn't work and the secret weapon in you to keep going read this https://t.co/mjehq67vf2 happy #mondaymotivation
5,1067077596993789953,2018-11-26 15:28:19,tell me about it https://t.co/4mkacan4cy'
6,1067071767573876742,2018-11-26 15:05:09,@bravohwfanclub good mornin xf0 x9f x98 x98 xf0 x9f x98 x98 xe2 x9c xa8 xe2 x9c xa8
7,1067071721029672961,2018-11-26 15:04:58,@norriska @colleenb123 @mirandasings lol made my whole day
8,1067071643065946112,2018-11-26 15:04:39,@anncordes for cyber monday sale you can grab the engineered dress amp a set of attachments in color of your choosing for 265
9,1067071366384533505,2018-11-26 15:03:33,@galea430 love you more
10,1067071262109913089,2018-11-26 15:03:08,@collinsp1960 happy happy monday nana another week to make great things happen xf0 x9f x98 x98 xf0 x9f x98 x98 xf0 x9f x98 x98 xf0 x9f x98 x98 xf0 x9f x98 x98 looooove you to the moon https://t.co/2jb5rsgztm'
11,1067070994035150849,2018-11-26 15:02:04,@sillyfun2 wish we got paid by these s xf0 x9f xa4 xa3 i'd be https://t.co/johsc7mzas'
12,1067070704028459008,2018-11-26 15:00:55,@bravohwfanclub love you back xf0 x9f x98 x98 xf0 x9f x98 x98 happy monday
13,1067070435467112448,2018-11-26 14:59:51,@tina_tmjohns520 you know i'm shoppin all day but what's new xf0 x9f xa4 xa3
14,1067070373248806912,2018-11-26 14:59:36,@sandrahacker18 good morning gorgeous
15,1067070319666573312,2018-11-26 14:59:24,@tina_tmjohns520 yass excited to be back in the clubhouse xf0 x9f x98 x8e xf0 x9f x98 x8e xf0 x9f x98 x8e xf0 x9f x98 x8e #2times1season xf0 x9f x98 x9c xf0 x9f x98 x98 #sfl
16,1067070063369510913,2018-11-26 14:58:22,@baileys_boo1 you know i love that #sas of mine xf0 x9f x98 x98 xf0 x9f x98 x98 xf0 x9f x98 x98 xf0 x9f x92 x96 xf0 x9f x92 x96 xf0 x9f x92 x96 xf0 x9f x92 x96 xf0 x9f x92 x96 xf0 x9f x92 x96 xf0 x9f x92 x96 thank you #bestieboo
17,1067069874810339328,2018-11-26 14:57:38,@_rebecca_gibson @lalate i don't know that the show is what caused relationships to change or if it brought to ligh https://t.co/uekkpc7z1f'
