,id,created_at,text
0,1067205015654281217,2018-11-26 23:54:38,rt @omgno2trump let s be clear about refugees it is not a crime to walk over 2 000 miles with nothing but the clothes on your back to cr
1,1067197422898683904,2018-11-26 23:24:27,rt @ida_skibenes i would rather have a fellow citizen who left everything and risked everything to give their children a chance of a bette
2,1067197035412185093,2018-11-26 23:22:55,there are moments i despise capitalism https://t.co/g9tsc6haiz'
3,1067196679814881281,2018-11-26 23:21:30,xf0 x9f x98 x92 https://t.co/dse6kxr0il'
4,1067196264293560320,2018-11-26 23:19:51,rt @janeayre97 do something now #congress #crimesagainsthumanity https://t.co/29lcbq7cwq'
5,1067196175684694018,2018-11-26 23:19:30,rt @amymcgrathky proud of those tax cuts for the rich adding trillions to the national debt paid for by our children and grandchildren
6,1067196024702279681,2018-11-26 23:18:54,rt @roarquette as a citizen of the united states i hereby condemn the actions taken yesterday at the border in san ysidro the firing of te
7,1067195945119563776,2018-11-26 23:18:35,rt @jeffgartner @tiniebeany russian red
8,1067195922717843456,2018-11-26 23:18:30,rt @tiniebeany what the fuck is up with those red christmas trees that flotus put up
9,1067195904258646017,2018-11-26 23:18:25,rt @bowenchris remember when malcolm turnbull declared the longman and braddon by-elections a referendum on leadership that went well ht
10,1067195569989476352,2018-11-26 23:17:06,rt @energyps pause before buying a new xf0 x9f x93 xb1 the #energy used to build the latest selfie-taking device may be enough to power your current ph
11,1067195482311667712,2018-11-26 23:16:45,rt @apeastregion president donald trump's charitable foundation is reporting it made no donations last year https://t.co/7gtiy9pqfd
12,1067195300371197953,2018-11-26 23:16:01,rt @johnpavlovitz but how do you feel about unarmed women and children being tear-gassed by our government https://t.co/vl0ufse7xj'
13,1067195253587890176,2018-11-26 23:15:50,rt @amhotflash judge jon s tigar of the united states district court in san francisco issued a temporary restraining order that blocks th
14,1067194163475697664,2018-11-26 23:11:30,rt @realnorac his daddy #fred_trump was grandpa #fredrich_trump was a #german_immigrant https://t.co/bgso5vvsvc'
15,1067194134077816832,2018-11-26 23:11:23,rt @hbobrow1hbobrow the only person whining about it ntweeting non stop about it ntrying to obstruct lie and misdirect nonly person th
