,id,created_at,text
0,1067191970551005184,2018-11-26 23:02:47,my kids are my world so spending the day with my oldest boy is the best he's embracing uni life and i'm so proud o https://t.co/pgidwdd3ik
1,1067011918299361280,2018-11-26 11:07:20,rt @josanne_r the millhouses methodist church has chosen to support @clic_sargent at this years #christmastree festival how great does ou
2,1067011334976487424,2018-11-26 11:05:01,@lindsanderson63 @sheffchildrens @leeds_childrens coming to my neck of the woods have fun
3,1067010175624724480,2018-11-26 11:00:24,@dale23rice ewwwww that's just not cricket how are they cleaned who does that so many questions
4,1066998451274162176,2018-11-26 10:13:49,@dogdirtbiker13 sending much love to you and your family gently sounds the best way x
5,1066847982455275522,2018-11-26 00:15:54,rt @lobke_marsden some of the #radiotherapy masks i painted this year with a few more to paint this month all very different all meani
6,1066804931724750849,2018-11-25 21:24:50,@feedlefi crossing everything for tomorrow love hope the gin is helping xf0 x9f x92 x95 xf0 x9f x91 x8c
7,1066804026426183680,2018-11-25 21:21:14,@ladyjulie7 @seahawks @lego_group they're gorgeous how you doing today lovely
8,1066745785017085954,2018-11-25 17:29:48,rt @katecollinsuk love is a gift xf0 x9f x92 x9d nam a total mess after watching this but it was a welcome reminder am off to hug my people x https://t...'
9,1066744494673010689,2018-11-25 17:24:41,@cancer_living i'm going to be a bit more doug thanks xf0 x9f x92 x96
10,1066744363504607234,2018-11-25 17:24:10,rt @cancer_living i combined a couple of my tweets sometimes i say almost intelligent things xf0 x9f x98 x82 https://t.co/zbvyotqd3m'
11,1066744255077593088,2018-11-25 17:23:44,rt @badassbaglady representing people with #pelvicradiationdisease who are #livingwithandbeyondcancer is an honour and a privilege https
12,1066744113532452866,2018-11-25 17:23:10,rt @campaignkate i don't agree but understand why we're not given a spotlight n1 some ppl don't believe cancer treatments are rationed
13,1066389851115802624,2018-11-24 17:55:27,i finally have a fully functioning and up to date phone this one better last longer than 3 months its quite scary https://t.co/meu7okhx5s'
14,1066389251825287168,2018-11-24 17:53:04,rt @snbotulism we can only imagine what greatness he would have achieved if he hadn't been taken so soon nwhat a loss to the world still
15,1066369312603148290,2018-11-24 16:33:50,@shortiehimself bahahaha all the cocks xf0 x9f x98 x82
16,1066369187864559617,2018-11-24 16:33:21,rt @shortiehimself all of the cocks #sparksisgingerspice https://t.co/hkpyzufp2i'
17,1066367155447377921,2018-11-24 16:25:16,rt @mission_rem every newspaper tells you the latest advice what we must avoid what we must add to our lifestyle how we must adhere to
18,1066083499495604224,2018-11-23 21:38:07,@julie29a @campaignkate no she was offered it as part of her treatment x
19,1066083374924791809,2018-11-23 21:37:38,@campaignkate ovarian but she's stage 4 and abdomen was riddled with it
20,1066083133299310592,2018-11-23 21:36:40,@ladyjulie7 thank goodness for chloe xf0 x9f x92 x95
21,1065918448318988294,2018-11-23 10:42:16,@campaignkate they're definitely giving avastin in east yorkshire my friend has just finished a year of it
22,1065915333087764480,2018-11-23 10:29:53,rt @therockinr13 would like to share with the #gamingcommunity reece's dedication to #gaming and how much it meant to him therockinr was
23,1065706829592895488,2018-11-22 20:41:22,rt @thecancercoward not talking about death only makes it more lonely and frightening giles fraser opinion the guardian https://t.co...'
24,1065699760894558208,2018-11-22 20:13:17,rt @caroline_clason this morning i learned that scissors shatter when thrown against the kitchen wall i'm a monster xf0 x9f x98 x82 xf0 x9f x98 xad on a serious note
25,1065699686588313601,2018-11-22 20:12:59,@24hrswithcancer fantastic news enjoy xf0 x9f x91 x8c
26,1065699529129934848,2018-11-22 20:12:22,this xf0 x9f x92 x95 https://t.co/pjhgep2euj'
27,1065690904051310592,2018-11-22 19:38:05,#imwithnoel https://t.co/rkmt76dawk'
28,1065690671053451264,2018-11-22 19:37:10,rt @sarah_mc_ca i always knew that new treatments and new advances would happen in lung cancer my mum will never see these but i hope tha
29,1065690426051633152,2018-11-22 19:36:11,rt @clic_sargent a massive thank you to the team at @metcalfesskinny for sending some popcorn treats to our homes from home across the uk
30,1065689171682099211,2018-11-22 19:31:12,acupuncture with electrical stimulation today you know you've got problems when she tells you it's at full power https://t.co/eakkl2pckk
31,1065688187362775040,2018-11-22 19:27:18,@caron_1_1 what a gorgeous picture xf0 x9f x92 x95
32,1065663585437839360,2018-11-22 17:49:32,made a quilted mini ipad case with some old clothes not bad considering i'm still learning how to use doris my be https://t.co/ixffyten1j
33,1065661398859026439,2018-11-22 17:40:51,@josanne_r @clic_sargent and thank you for being so helpful explaining everything to me i'm excited to be starting https://t.co/dd9axil85b
34,1065660653669617667,2018-11-22 17:37:53,rt @josanne_r the start of something very special for the #eastyorkshire area n @thesaltiestcow is signing up to be a volunteer @clic_sarge
35,1065660487889821696,2018-11-22 17:37:13,xf0 x9f x98 x82 xf0 x9f x98 x82 https://t.co/r5ngdtjbhk'
36,1065580913088782336,2018-11-22 12:21:01,#imwithnoel https://t.co/ml0kdoolpa'
37,1065580346547286018,2018-11-22 12:18:46,rt @big_british it's today good luck noel and thank you for doing this for people like me xe2 x9d xa4 xef xb8 x8f #imwithnoel https://t.co/3eek6qv5zs'
38,1065381202943709184,2018-11-21 23:07:27,@stuhicks4 bloody gorgeous xf0 x9f x92 x95
39,1065342919433949186,2018-11-21 20:35:19,@caron_1_1 you've had a rough ride from day one haven't you ugh hope you're home now and resting up
40,1065341932036136960,2018-11-21 20:31:24,@al_tangle_wood that's so lovely and they're beautiful xf0 x9f x92 x95
41,1065341337397014528,2018-11-21 20:29:02,rt @dignityindying on thursday noel conway will apply to take his fight for assisted dying to the supreme court n nit's going to be a cruc
42,1065326192696442882,2018-11-21 19:28:51,rt @noel_conway well said jason i couldn't agree more https://t.co/l4rvyjlgcg
