id,created_at,text
1067168029824376836,2018-11-26 21:27:39,b'RT @Marah_abuelteen: Make this as viral as the brock turner case ... the story is horrible .. make their faces KNOWN https://t.co/QvboC27Ygc'
1066998015636910081,2018-11-26 10:12:05,b'RT @jules_su: If anybody from Baraboo High School in Wisconsin can clue me in on why it appears the entire male class of 2018 is throwing u\xe2\x80\xa6'
1066960297062129664,2018-11-26 07:42:12,b'Anthony called me when I was sleeping to tell me he got a call to go fight a fire and my heart dropped I suddenly g\xe2\x80\xa6 https://t.co/ovTbR6JdP8'
1066960052328648705,2018-11-26 07:41:14,b'First time going out in a whole month and i think im good for another month or two lmao'
1066935832764796928,2018-11-26 06:04:59,b'First bar fight resulted in me putting the chick in a chokehold lmao why idk but\xf0\x9f\x98\xad\xf0\x9f\x98\x82'
1066875868008538113,2018-11-26 02:06:43,b'I really need a sugar daddy lol'
1066481248774705153,2018-11-24 23:58:38,b'RT @NicoleKSchubert: At the end of the day I really just want my clothes back from people who aren\xe2\x80\x99t my friends anymore:(((('
1066473052760731649,2018-11-24 23:26:04,b'Dead assss!! Mfs are so sick lol https://t.co/aQ2XGRTVCX'
1066286743148621824,2018-11-24 11:05:44,"b'Like honestly, I\xe2\x80\x99m so fucking happy with this man you guys. The fact that we both share a love for medicine and hel\xe2\x80\xa6 https://t.co/VA9W0xRJ5u'"
1066285218661715969,2018-11-24 10:59:41,"b'Tonight I got some chick fil a w/ Anthony, saw an ambulance &amp; firetruck and we both were curious so we followed it,\xe2\x80\xa6 https://t.co/TVlRv03OTi'"
1065912932809105408,2018-11-23 10:20:21,b'RT @justindoublem: https://t.co/jjKqN0ewLk'
1065907527492104192,2018-11-23 09:58:52,b'RT @Zendaya: Yoooooo\xf0\x9f\x98\xa9 https://t.co/mku7QIkmml'
1065906127966072832,2018-11-23 09:53:19,"b'*having thanksgiving at Anthony\xe2\x80\x99s, his family starts saying what they are thankful for* \nHis cousin: I\xe2\x80\x99m just thank\xe2\x80\xa6 https://t.co/zEmHyHPzS8'"
1065773963286990848,2018-11-23 01:08:08,b'Quick question: are the malls in Reno open tonight for Black Friday??'
1065651984949104641,2018-11-22 17:03:26,b'Sitting here pondering why this girl has a tweet on her TL about people bullying kids and is outraged but then she\xe2\x80\x99\xe2\x80\xa6 https://t.co/YNBl46DQsS'
1065563414339043329,2018-11-22 11:11:29,b'Yo I\xe2\x80\x99m down to sell feet pics just so ya\xe2\x80\x99ll know https://t.co/dzybLKLqgw'
1065541603236794369,2018-11-22 09:44:49,b'I searched up why one nipple is always hard &amp; itchy and it said i have fucking cancer lol'
1065533283952295936,2018-11-22 09:11:46,b'RT @Tamiabihh: Who paw paw is this retweet to help find his family !!! https://t.co/ty8cqk0Dg4'
1065519488425021441,2018-11-22 08:16:57,b'RT @ArctiChrisss: Plus most of the time they\xe2\x80\x99re suffering from mental illness but y\xe2\x80\x99all look at it as them being \xe2\x80\x9ccrackheads\xe2\x80\x9d https://t.co/\xe2\x80\xa6'
1065519480711733253,2018-11-22 08:16:55,b'@ArctiChrisss Preach g \xf0\x9f\x92\x96'
1065455804638085120,2018-11-22 04:03:53,b'RT @ArianaGrande: i\xe2\x80\x99m gonna pass out https://t.co/D3wgEEuwyO'
1065245805949280256,2018-11-21 14:09:26,"b'@CaRlOsNeCo65 A little bit, a lot of repetition you got to do honestly.'"
1065243484754391045,2018-11-21 14:00:12,b'RT @sele_neh: My cousin Nathan has been missing since October and me and my family are extremely concerned. If anybody has seen or heard of\xe2\x80\xa6'
1065240448866762757,2018-11-21 13:48:08,b'@CaRlOsNeCo65 They should offer them at ur local community college!'
1065232566569988102,2018-11-21 13:16:49,b'I also strained my fucking neck so now i cannot turn it to my left lol'
