id,created_at,text
1067062524200316928,2018-11-26 14:28:25,b'@_zestysauce_ my grandma\xe2\x80\x99s sister\xe2\x80\x99s dog had this problem. she took him to the Savannah Vet Clinic and they fixed him up.'
1066977178624163840,2018-11-26 08:49:17,b'my body really doesn\xe2\x80\x99t understand the concept of just going back to sleep.'
1066822161506156544,2018-11-25 22:33:18,"b'walked into the living room eating bologna, made a stance and screeched at Connor, who had absolutely no reaction whatsoever.'"
1066777971745320965,2018-11-25 19:37:42,b'Someone bring us hot chocolate and we\xe2\x80\x99ll let you watch us drink it.'
1066741730718953473,2018-11-25 17:13:42,b'guess I\xe2\x80\x99ll just look at clothes online that I can\xe2\x80\x99t afford'
1066739073522507776,2018-11-25 17:03:08,b'@ripthedoctor I\xe2\x80\x99m not at all \xf0\x9f\x98\xa9\xf0\x9f\x98\xa9'
1066734051090927616,2018-11-25 16:43:11,b'not having power fucking SUCKS'
1066681028914356225,2018-11-25 13:12:29,b'@_cpay @ChroniConnor https://t.co/3eGj7jscA8'
1066675464931024896,2018-11-25 12:50:23,b'It\xe2\x80\x99s so fucking WINDYYYYY'
1066536495094349824,2018-11-25 03:38:10,b'I just tried and it works yeehaw https://t.co/Pn4lmz3x2E'
1066536106336968705,2018-11-25 03:36:37,"b'RT @Snicklefritsz: I\xe2\x80\x99m glad the town of Saint Joseph, MO silently agreed to call EntertainMart \xe2\x80\x9cFake Hastings\xe2\x80\x9d'"
1066448909847941120,2018-11-24 21:50:08,b'https://t.co/s8hgYNvu6t https://t.co/ZZQyyc6Hy8'
1066324034978226177,2018-11-24 13:33:55,"b'I thought that because I accidentally bought a small Christmas tree, at least maybe our cat wouldn\xe2\x80\x99t fuck with it.\xe2\x80\xa6 https://t.co/lBOHxp2uB3'"
1066323555825139713,2018-11-24 13:32:01,b'@jesse_rodriquez I\xe2\x80\x99ll go with you once I start getting my paychecks! \xf0\x9f\x98\x82'
1066231718015832064,2018-11-24 07:27:05,b'RT @VGFGamers: Lasso Skills: 10/10 https://t.co/5kD9OpLSN7'
1066129962011369473,2018-11-24 00:42:45,"b'this just took me like 20 minutes and my neck hurts from looking down for so long, but I made a meme about Sirius. https://t.co/VTnknudkIL'"
1066040839015665664,2018-11-23 18:48:36,b'sometimes you just gotta remind your dog he\xe2\x80\x99s a good boy 27 times in a row.'
1066015375358418945,2018-11-23 17:07:25,b'@GoGetterHag It\xe2\x80\x99s hard to control after all this time'
1065964685692989440,2018-11-23 13:46:00,b'@GoGetterHag this is how I feel every time I see you https://t.co/WWCegscFNZ'
1065947539743145984,2018-11-23 12:37:52,b'@Snicklefritsz https://t.co/912SY7i1Wm'
1065947077048524800,2018-11-23 12:36:02,"b'@Sadie_Love16 when we lived at the Lofts, there was puke in the elevator once for almost a week before it was final\xe2\x80\xa6 https://t.co/k6AQCkhTMR'"
1065802170036031488,2018-11-23 03:00:13,b'ragdoll\n\nhttps://t.co/s8hgYNvu6t https://t.co/002bFAGcBs'
1065800889900908545,2018-11-23 02:55:08,b'https://t.co/s8hgYNvu6t https://t.co/8hLsAWVVnQ'
1065644307728789504,2018-11-22 16:32:56,b'RT @Things4WhitePpl: Getting absolutely shitfaced with hometown friends the night before Thanksgiving.'
1065644246521253888,2018-11-22 16:32:41,"b'I asked Connor to scoot over while he was asleep, and after he did he whispered, \xe2\x80\x9cI\xe2\x80\x99ve always wanted to do that.\xe2\x80\x9d\xe2\x80\xa6 https://t.co/ce7s3It00H'"
1065636139447537665,2018-11-22 16:00:28,"b'bologna didn\xe2\x80\x99t have to be that good, but it is.'"
1065626850574127106,2018-11-22 15:23:34,"b'between (probably) being late, me being hungover and having a new hole in my face, my family will probably simultaneously have a stroke.'"
1065619036602535936,2018-11-22 14:52:31,"b'I\xe2\x80\x99ve always considered my cat to be fairly smart, but after watching him run face first into a glass door his ass K\xe2\x80\xa6 https://t.co/3b17E03bjF'"
1065524049307230208,2018-11-22 08:35:04,b'@ChroniConnor did you time me'
1065507774510088192,2018-11-22 07:30:24,"b'Cast your votes now, how long will it take me@to puke tonight'"
1065507516212264960,2018-11-22 07:29:22,b'RT @Snicklefritsz: I just squeezed @jillyfala\xe2\x80\x99s face and she said \xe2\x80\x9cyou anti-contoured me\xe2\x80\x9d'
1065419815295348736,2018-11-22 01:40:53,"b'imma get so much shit for my nose ring tomorrow from my family, happy thanksgiving y\xe2\x80\x99all'"
1065407527356125184,2018-11-22 00:52:03,b'@Riahnahnah I saw that gif the other day and knew I had to use it for this purpose because it\xe2\x80\x99s pretty spot on. \xf0\x9f\x98\x82'
1065394877012295680,2018-11-22 00:01:47,b'me every time I get out of the shower  and have music playing: https://t.co/qd7AL7D562'
1065075761542037504,2018-11-21 02:53:44,"b'Our black Christmas tree, I accidentally bought a short one but I still love it! https://t.co/KZSM9XsXRu'"
1065068617769857025,2018-11-21 02:25:21,b'RT @VGFGamers: https://t.co/cqx01JyHS3'
1065044124884234240,2018-11-21 00:48:01,b'This dude at End Game came up to me while I was just chillin\xe2\x80\x99 and started attempting to flirt. He eventually asked\xe2\x80\xa6 https://t.co/py2uvl42Wa'
1064742762686361600,2018-11-20 04:50:31,b'RT @Veggiefact: i miss having a therapist. jennifer if youre out there im still off the shits'
1064695292703006720,2018-11-20 01:41:53,"b'*scuffling sounds in the kitchen, followed by a pan crashing*\nMe- \xe2\x80\x9cMurray?\xe2\x80\x9d\n*the thud of kitty feet hitting the flo\xe2\x80\xa6 https://t.co/y0aoAeLBrC'"
1064579763086548992,2018-11-19 18:02:49,"b'im still thinking about this, but which ear would I piece? the attached or unattached lobe? why did I do this to my\xe2\x80\xa6 https://t.co/gbPKRj3ZTI'"
1064578879438954497,2018-11-19 17:59:18,b'me hungrily waiting for Connor to wake up so I can ask him to cook me this insanely easy to make sandwich for lunch: https://t.co/unzMzm24R3'
1064494210768936963,2018-11-19 12:22:51,"b'watching deadly women. when people are yelling, my dog growls in his sleep, but stops when I pause it.'"
1064386229330944001,2018-11-19 05:13:47,b'@Snicklefritsz it\xe2\x80\x99s turning into a secret community again and my body is ready'
1064322949669376002,2018-11-19 01:02:20,b'@Snicklefritsz https://t.co/Q6yGKxuy8w'
1064316761791696897,2018-11-19 00:37:44,b'who the fuck Force pushed me\n\nhttps://t.co/s8hgYNvu6t https://t.co/eUIvL4K4fY'
1064192911481421824,2018-11-18 16:25:36,"b'@Snicklefritsz it\xe2\x80\x99s okay, Bethany knows you\xe2\x80\x99re over 21'"
1063998048777498624,2018-11-18 03:31:17,"b'@PissnDaNiteAway you\xe2\x80\x99d have been really popular at Savannah, no sarcasm'"
1063948411777503232,2018-11-18 00:14:03,"b'@ripthedoctor Oh girl I\xe2\x80\x99m like 70% of the way through it \xf0\x9f\x98\x82 has he ran into the cannibals yet, or helped the hooker feed a body to pigs? Lol'"
1063948230302597120,2018-11-18 00:13:19,"b'RT @ripthedoctor: @jillyfala So last night Devin is showing me Red Dead 2 and I\'m like \n""My friend Jill already has the special horse""\n""My\xe2\x80\xa6'"
1063929090183450624,2018-11-17 22:57:16,b'@ripthedoctor my mom has the most basic ass brown boots from there that were $100'
1063927301052776448,2018-11-17 22:50:10,b'do it for the vine arthur\n\nhttps://t.co/s8hgYNvu6t https://t.co/Pc3V6NuIEw'
1063887981264670720,2018-11-17 20:13:55,b'RT @FunnyVines: LMAOOO https://t.co/Px8iHPgX4Y'
1063647435459825664,2018-11-17 04:18:04,b'@Snicklefritsz do not disappoint me son'
1063639588319711235,2018-11-17 03:46:53,b'@Snicklefritsz but did you puke out your mom\xe2\x80\x99s window like I told you to'
1063493931223183360,2018-11-16 18:08:06,b'when we gonna be able to just edit tweets'
1063493575881707520,2018-11-16 18:06:41,"b'@ripthedoctor I told him last time I would TOTALLY watch it again, just a few hours after I had. He was still kinda salty lol'"
1063473839361966081,2018-11-16 16:48:16,b'when there\xe2\x80\x99s a new episode of Superstore but bae got mad at you last time you watched it without him'
1063342860915888129,2018-11-16 08:07:48,b'would you guys judge me if I pierced only one ear'
1063244600909926405,2018-11-16 01:37:21,b'I haven\xe2\x80\x99t accepted that it\xe2\x80\x99s cold enough that I need to start wearing clothes inside my house. My hands are so cold they almost hurt.'
1063165077480767488,2018-11-15 20:21:21,b'@Riahnahnah I have a men\xe2\x80\x99s and definitely have space so I would shoot for that \xf0\x9f\x98\x82'
1063145974317617157,2018-11-15 19:05:27,b'@Riahnahnah cause I have a full wardrobe but continuously wear my one onesie and one robe. Lol'
1063145819497549825,2018-11-15 19:04:50,b'@Riahnahnah @sturgeon_adam I do it EVERY SINGLE TIME and immediately think \xe2\x80\x9cgoddamnit\xe2\x80\x9d'
1063145722655191041,2018-11-15 19:04:27,b'@_cpay yeahhhh I think bc I went into the mountains in summer clothes.... hahahahaha'
1063122070618415104,2018-11-15 17:30:28,b'RT @sturgeon_adam: *walking past a stranger* \n\nMy Brain: \nDon\xe2\x80\x99t do it \nDon\xe2\x80\x99t do it\nDon\xe2\x80\x99t do it\nDon\xe2\x80\x99t do it\nDon\xe2\x80\x99t do it\nDon\xe2\x80\x99t do it\nDon\xe2\x80\x99t do\xe2\x80\xa6'
1063094744002297856,2018-11-15 15:41:52,"b'@_cpay I accidentally ran straight into it, so that part didn\xe2\x80\x99t take any time. Catching it tho was a pain in the as\xe2\x80\xa6 https://t.co/onksbN0bq3'"
1063082402577289218,2018-11-15 14:52:50,b'crazies in the old west https://t.co/dLlchrwk28'
1062979822236901376,2018-11-15 08:05:13,b'@_cpay https://t.co/nc7MpNx2dw'
1062923741179592704,2018-11-15 04:22:22,b'@treatsandsuch you can borrow ours'
1062860069367439361,2018-11-15 00:09:22,b'@RockyBalNoah She lost and so would you!'
1062855591876530176,2018-11-14 23:51:34,b'Luna lost so thankfully I get to keep Murray. https://t.co/w259KYuHWR'
1062852224890650624,2018-11-14 23:38:11,"b'Luna just made a bet with me, and whoever loses get my FUCKING CAT. SHE BET ME ON MY CAT. \xf0\x9f\x98\x82\xf0\x9f\x98\x82'"
1062841130470043653,2018-11-14 22:54:06,b'RT @VGFGamers: When trees are the deadliest thing in #RedDeadRedemption2... https://t.co/y4sc5o7HJo'
1062340922355187713,2018-11-13 13:46:27,b'@Snicklefritsz https://t.co/hjFhebibk0'
1062165858968133632,2018-11-13 02:10:49,b'catch me watching deadly women all night'
1062154683433869322,2018-11-13 01:26:25,b'@Snicklefritsz https://t.co/c82QHCtcvr'
1062154326255304710,2018-11-13 01:24:59,b'RT @Snicklefritsz: @jillyfala has been sending me eerie messages and blurry snapchats with the singular word \xe2\x80\x9cSimba\xe2\x80\x9d and figuring out what\xe2\x80\xa6'
1062148920623747072,2018-11-13 01:03:31,b'@Snicklefritsz Simba'
1062068030807687174,2018-11-12 19:42:05,b'it me https://t.co/kK3DAuJCgx'
1062067192370524161,2018-11-12 19:38:45,"b'RT @TMZ: #BREAKING: Legendary Comic-Book Writer, Publisher and Film Producer Stan Lee Has Died. R.I.P. https://t.co/SXjlavNILF'"
1061464820074102784,2018-11-11 03:45:08,b'I loooove this picture and set it as my fb profile picture but deleted it bc you can kinda see my boobs and I don\xe2\x80\x99t\xe2\x80\xa6 https://t.co/cjIfeHXJL6'
1061369689929142272,2018-11-10 21:27:08,"b'@car0narita they\xe2\x80\x99re hiring, that\xe2\x80\x99s your in'"
1061151819005603841,2018-11-10 07:01:23,"b'Hey @RockstarGames, y\xe2\x80\x99all missed a real golden opportunity by not throwing at least one \xe2\x80\x9cYee-haw\xe2\x80\x9d into RDR2.'"
1061078445092941824,2018-11-10 02:09:49,b'@PantherLillie the answer was yes'
1061062824296878081,2018-11-10 01:07:45,b'I laughed and my mom asked me if I was drunk. https://t.co/7FORmYhdZC'
1060860157129830400,2018-11-09 11:42:25,"b'yeah I\xe2\x80\x99m watching the new peter rabbit movie at 5:45am, fight me'"
1060733267702411265,2018-11-09 03:18:13,b'@Snicklefritsz and you were hooked for life dawg'
1060728465413029888,2018-11-09 02:59:08,"b'@Snicklefritsz This took too fuccking long to figure out for the outcome, I thought you loved me.'"
1060707861863563264,2018-11-09 01:37:15,b'@ChroniConnor https://t.co/GnfQmzeeNG'
1060655154163257344,2018-11-08 22:07:49,b'woke up from my nap wedges between Connor and Cambria. I cannot move and really need to pee.'
1060364899778547719,2018-11-08 02:54:27,b'@_cpay I don\xe2\x80\x99t think the man has ever played a game lmao he was waiting on me to call him and I was waiting on him to call me. \xf0\x9f\x98\x82'
1060270425509388288,2018-11-07 20:39:02,b'asked my dad to change my oil for me today and I\xe2\x80\x99m p sure he\xe2\x80\x99s blowing me off rn'
1060260388430929920,2018-11-07 19:59:09,b'#PS4share\n\nhttps://t.co/s8hgYNvu6t https://t.co/7vWWI4WIu0'
1060248139750367232,2018-11-07 19:10:29,"b'Greeted a dude in Red Dead and he replied, \xe2\x80\x9cI\xe2\x80\x99d eat you like a snack!\xe2\x80\x9d lmao gays in the old west'"
1060243242447499264,2018-11-07 18:51:02,b'RT @Williesillie2: The fact that they blur female nipples but not Ted Cruz\xe2\x80\x99s face is absurd'
1060139792522977281,2018-11-07 11:59:57,"b""RT @meat_and_rice: can you imagine being a person in 1977 and 'the chain' by fleetwood mac comes out. what can you do besides lose your mind"""
1060060052281835520,2018-11-07 06:43:06,b'got em\n\nhttps://t.co/s8hgYNvu6t https://t.co/LJJ43NpMhb'
1060043702641590272,2018-11-07 05:38:08,"b'If our heat is set at 71, it\xe2\x80\x99s too cold. If it\xe2\x80\x99s set at 72, it\xe2\x80\x99s too hot.'"
1060003781444861952,2018-11-07 02:59:30,b'@_zestysauce_ yes girl'
1059912528820613120,2018-11-06 20:56:53,b'@ChroniConnor 16 year old me would have thought you\xe2\x80\x99re hot'
1059912295470583808,2018-11-06 20:55:58,b'@_zestysauce_ green hills on the ave has sour skittles candy candles for a dollar girl'
1059869736060755974,2018-11-06 18:06:51,b'RT @neiltyson: Look what happened the last time you didn\xe2\x80\x99t vote.'
1059664993489207298,2018-11-06 04:33:16,b'y\xe2\x80\x99all ever think about how you really gotta cut your toenails your entire life'
1059563904962101250,2018-11-05 21:51:35,b'get out of here with this propaganda bullshit https://t.co/R3Bdv3MUPG'
1059562600734834698,2018-11-05 21:46:24,"b'@_cpay I think we were watching the same thing, but who knows because it\xe2\x80\x99s all the same, so I guess we technically were..'"
1059544083235065859,2018-11-05 20:32:49,b'HGTV is alwayssss on in this doctor\xe2\x80\x99s office. every time I come.'
1059529682079703040,2018-11-05 19:35:35,b'A message from our President. https://t.co/ror7sGjx9V'
1059478391164932096,2018-11-05 16:11:47,b'Riding a Shire horse in RDR2 and accidentally walked into and knocked over a guy. Tried getting out of his way and\xe2\x80\xa6 https://t.co/8jOD8Zpmi8'
1059471298110373890,2018-11-05 15:43:36,"b'My cat and dog are playing chase right now. My cat keeps hiding when my dog takes off, then he comes back and his e\xe2\x80\xa6 https://t.co/FWv5XknHXo'"
1059412317505495040,2018-11-05 11:49:14,b'I\xe2\x80\x99ve gotten way too good at using \xe2\x80\x9cand\xe2\x80\x9d instead of a period. High school Jill would be disappointed.'
1058967046522920961,2018-11-04 06:19:53,b'I\xe2\x80\x99m constantly patting my horse when I\xe2\x80\x99m on it in RDR2.'
1058964731120308224,2018-11-04 06:10:41,b'@Riahnahnah PS4 :('
1058781965216870400,2018-11-03 18:04:26,b'@Snicklefritsz \xe2\x99\xa5\xef\xb8\x8f'
1058781817791303686,2018-11-03 18:03:51,b'RT @PBringhurst: \xe2\x80\x9cDo you even skate?\xe2\x80\x9d https://t.co/Ge5PzZyT71'
1058781121188634625,2018-11-03 18:01:05,b'@RockyBalNoah @Rsprake1 can I borrow it every other weekend'
1058489171923353600,2018-11-02 22:40:59,"b'@RockyBalNoah @Riahnahnah Let\xe2\x80\x99s try $40,000.'"
1058489037634392064,2018-11-02 22:40:27,"b'@RockyBalNoah @Riahnahnah exactly. I\xe2\x80\x99d drop my last two searches too for another $40,00.'"
1058475386286366720,2018-11-02 21:46:12,b'Walmart steppin\xe2\x80\x99 up their game. https://t.co/OafjF5aLS9'
1058420746538622977,2018-11-02 18:09:05,b'@jesse_rodriquez I hadn\xe2\x80\x99t had them until Connor and I got together! Lol my mom always used real potatoes and smashed them up and shit.'
1058410491079471105,2018-11-02 17:28:20,b'I don\xe2\x80\x99t think I\xe2\x80\x99ve ever ate mashed potatoes I didn\xe2\x80\x99t like.'
1058393012005453824,2018-11-02 16:18:52,"b'@Riahnahnah girl what are you searching? \xf0\x9f\x91\x80\xf0\x9f\x92\x80 is drop mine in a heartbeat, idc lol'"
1058374776178331649,2018-11-02 15:06:24,b'The path to heaven runs through miles of clouded hell.'
1058205791247892481,2018-11-02 03:54:55,b'@Snicklefritsz Hayes: I can head over whenever is good for you.'
1058126228010475520,2018-11-01 22:38:46,b'@ripthedoctor This is the fourth or fifth time I\xe2\x80\x99ve had it pierced. I haven\xe2\x80\x99t snagged it this time because I\xe2\x80\x99ve alr\xe2\x80\xa6 https://t.co/SXnIPQ9blx'
1058118716381167617,2018-11-01 22:08:55,b'@ripthedoctor I\xe2\x80\x99ve had mine for six weeks tomorrow and it\xe2\x80\x99s like one week it feels fine and the next one it\xe2\x80\x99s sore. Lol'
1058069752139137024,2018-11-01 18:54:21,b'@ripthedoctor send it\xe2\x80\x99s spirit to mine'
1058047827522342913,2018-11-01 17:27:14,b'@bitchbinoculars hey lil mama lemme whisper in yo ear'
1058047680759455748,2018-11-01 17:26:39,"b'I bounce around a lot about how I feel about my body, but I\xe2\x80\x99m wearing my favorite jeans that make my ass look great\xe2\x80\xa6 https://t.co/a6vHA0UmVR'"
1058030990529048578,2018-11-01 16:20:20,b'I wonder if my neighbors would be mad if I decorated for Christmas with our Halloween decorations.'
1057944703511998465,2018-11-01 10:37:27,b'@Snicklefritsz https://t.co/E8Xh2Fa8Yi'
1057944659308240897,2018-11-01 10:37:17,b'RT @Snicklefritsz: I think @jillyfala\xe2\x80\x99s photo challenge convinced me to do one'
1057812461871620096,2018-11-01 01:51:58,b'@GoGetterHag @oitzevano https://t.co/3Z7iiuDlX0'
1057717503311392768,2018-10-31 19:34:38,"b'I just posted my last photo for this month\xe2\x80\x99s photo a day challenge. I\xe2\x80\x99m so proud of myself, I\xe2\x80\x99ve never finished one before. :\xe2\x80\x99)'"
1057709754158592008,2018-10-31 19:03:51,"b'RT @RickandMorty: Welcome to your nightmare, bitch. https://t.co/lJlpSJtWAS'"
1057709695132225536,2018-10-31 19:03:37,b'@Snicklefritsz why\xe2\x80\x99d i immediately think of you https://t.co/OSUEpV6LgN'
1057641810569449473,2018-10-31 14:33:52,b'@ChroniConnor You better not be watching without me because I didn\xe2\x80\x99t watch without you this morning'
1057610783792816128,2018-10-31 12:30:34,"b'I\xe2\x80\x99m almost 25 years old and have worn glasses since the third grade, why did I just try to push them up on my face\xe2\x80\xa6 https://t.co/scKmrhPJz3'"
1057477219080175617,2018-10-31 03:39:50,b'always feeling like shit physically is my curse in life'
1057476551904772098,2018-10-31 03:37:11,b'@Snicklefritsz https://t.co/bcwJhXgBG5'
1057431814569115648,2018-10-31 00:39:25,"b'@_cpay I just tried to lasso one, but my stamina was too low and it ended up dragging my ass. \xf0\x9f\x98\x82'"
1057427447363371008,2018-10-31 00:22:04,b'@_cpay Can you lead a horse if you\xe2\x80\x99re riding a horse? Lol'
1057426893320962049,2018-10-31 00:19:52,"b'@_cpay I went back to the house to check on her. She\xe2\x80\x99s gone and new man, woman and dog live there.'"
1057405868134842368,2018-10-30 22:56:19,"b'@_cpay Nope lol I was just running by a house, tried to talk to a man and woman sitting outside, he started throwin\xe2\x80\xa6 https://t.co/5yHuN2rHt0'"
1057360859029233664,2018-10-30 19:57:28,b'@_cpay I was waiting until I had played more to reply to you lol \nSo far I think it\xe2\x80\x99s fun and seeing all of the fun\xe2\x80\xa6 https://t.co/KruYczFfIY'
1057360051239903233,2018-10-30 19:54:15,b'I really just want a serving job again.'
1057326596024164353,2018-10-30 17:41:19,b'RT @VGFGamers: #RedDeadRedemption2 has sold $725 million worth of copies in its first three days of release. It\xe2\x80\x99s the second biggest entert\xe2\x80\xa6'
1057132636567756800,2018-10-30 04:50:35,b'@Snicklefritsz I AM DOWN BROTHER HELLO GOODBYE CRUEL WORLD'
1057126854014971904,2018-10-30 04:27:37,b'@Snicklefritsz so excited to get drunk w you'
1057126643779715073,2018-10-30 04:26:46,b'RT @Snicklefritsz: I LOVE JILL MORE THAN I LOVE - I was trying to add something else here but literally everything I\xe2\x80\x99ve typed is like \xe2\x80\x9ci lo\xe2\x80\xa6'
