id,created_at,text
1067196739197829123,2018-11-26 23:21:44,b'ohmygod can people stop calling garry a catfish ffs i literally either hp or ft him almost everyday shut up damn'
1067194481886339072,2018-11-26 23:12:46,b'garry and charlsea got off hp and mias not answering i feel personally attacked'
1067142489843339265,2018-11-26 19:46:10,b'@ItsJamesEssex i love you. so much.'
1067142263132819456,2018-11-26 19:45:16,b'@beautyinbeech yikes'
1067136948505067522,2018-11-26 19:24:09,b'@pastelhazza ILL TRU BB'
1067136762420563983,2018-11-26 19:23:25,b'@pastelhazza I FOUND A COP SO IMMA GO TALK TO TJEM'
1067136371574407174,2018-11-26 19:21:52,b'some keeps following me like i go into store parking lots and don\xe2\x80\x99t go in to try to get away from him but he just p\xe2\x80\xa6 https://t.co/YC5tEHtwoZ'
1067135638854664192,2018-11-26 19:18:57,b'@ItsJamesEssex i wish i could lose my attachment to someone. she\xe2\x80\x99s so toxic. sigh.'
1067135262671671309,2018-11-26 19:17:27,b'@bellyachebeech i love u rachel.'
1067134553289080833,2018-11-26 19:14:38,b'i literally have like 2 1/2 hours until i gotta be home someone pls do something with me or like hp me or smtg i\xe2\x80\x99m so bored'
1067131499231813632,2018-11-26 19:02:30,b'whoa whoa whoa he\xe2\x80\x99s so pretty https://t.co/uhuR7raKiv'
1067130856265928710,2018-11-26 18:59:57,b'and if ur in school i\xe2\x80\x99ll pick u up from school x https://t.co/4T9N5MWqnW'
1067130323920740354,2018-11-26 18:57:50,b'@ my irls i have $10 someone come to hobby lobby with me i\xe2\x80\x99ll pick you up i just don\xe2\x80\x99t wanna go alone'
1067130073868840960,2018-11-26 18:56:50,b'idek who damon is- https://t.co/qbM3Pu8liU'
1067129926745235456,2018-11-26 18:56:15,b'so i made a deal with my parents. i\xe2\x80\x99m not getting anything for christmas because i got the hoodie SO if the twins c\xe2\x80\xa6 https://t.co/aR8P58sWic'
1067109930132484096,2018-11-26 17:36:47,b'@AustinYerger how is it'
1067109127309205504,2018-11-26 17:33:36,b'@beaxbeech big sigh'
1067097015333605376,2018-11-26 16:45:28,b'@efcdclx yes'
1067083108317634561,2018-11-26 15:50:13,b'\xe2\x80\x9cpeople be out here pulling out tons of $100 bills and say it for rent like what u renting meth or smtg?\xe2\x80\x9d im done w\xe2\x80\xa6 https://t.co/taRIUudexA'
1067082433965764608,2018-11-26 15:47:32,b'@GraysonDolan she now has a dt shirt worn by THE grayson dolan. she\xe2\x80\x99s the luckiest ever'
1067082274737410055,2018-11-26 15:46:54,b'@GraysonDolan omg we stan'
1067045675467182080,2018-11-26 13:21:28,b'it\xe2\x80\x99s not zepeto that\xe2\x80\x99s a tracking app it\xe2\x80\x99s zepto. which is an app to track packages that u bought. people just like\xe2\x80\xa6 https://t.co/mmAe4eu9er'
1067041390784364544,2018-11-26 13:04:26,b'this was 5 months ago i\xe2\x80\x99m still waiting smh https://t.co/ox4w3uxDkY'
1067023014796111874,2018-11-26 11:51:25,b'i\xe2\x80\x99m sad now i wanted a puppy. https://t.co/doJMYoSvm9'
1067016281637953536,2018-11-26 11:24:40,b'@ItsBenjiBrown hi yes uhm is there international shipping'
1067016138524188672,2018-11-26 11:24:06,b'the people with the puppy i was gonna get led us on for 2 months about how their first shots would be done and they\xe2\x80\xa6 https://t.co/cdnguC4KKu'
1066897719036444673,2018-11-26 03:33:32,b'riley\xe2\x80\x99s the best. i\xe2\x80\x99m so blessed to have her as my best friend. couldn\xe2\x80\x99t ask for anyone better.'
1066897232161591296,2018-11-26 03:31:36,b'@bitchingjayy i love you more'
1066897034953875456,2018-11-26 03:30:49,b'i\xe2\x80\x99m trying so hard to calm down but my heart is racing like 8:848476959584 miles an hour. i just want to sleep. and\xe2\x80\xa6 https://t.co/QM4fB4XoUd'
1066896595264913409,2018-11-26 03:29:04,b'@rileyjgallagher can u text me this pls'
1066889465384316928,2018-11-26 03:00:45,b'@bitchingjayy dm me'
1066889234802446337,2018-11-26 02:59:50,b'@bitchingjayy no'
1066889220499886080,2018-11-26 02:59:46,b'@bitchingjayy ilym'
1066889194067427329,2018-11-26 02:59:40,b'@duhitzpay thank u &lt;3'
1066888584601509888,2018-11-26 02:57:15,b'i\xe2\x80\x99m having a really bad anxiety attack rn sigh'
1066885280349728768,2018-11-26 02:44:07,b'RT @notearscalum: \xe2\x80\xbc\xef\xb8\x8f !!! STOP SCROLLING !!! \xe2\x80\xbc\xef\xb8\x8f\n\nPROOF ZEPETO IS WATCHING AND TRACKING US !!! \n\n.\n.\n.\n\nRETWEET TO SAVE A LIFE https://t.co/B\xe2\x80\xa6'
1066884996911300609,2018-11-26 02:42:59,b'@lucidwaud abuse'
1066884874563407873,2018-11-26 02:42:30,b'@lucidwaud looks like ur 2019\xe2\x80\x99s gonna be freat'
1066884082678882305,2018-11-26 02:39:21,b'@lucidwaud @duhitzpay @Joewaudd @Jasonwaudd love that for me'
1066882446325616641,2018-11-26 02:32:51,b'@duhitzpay @Joewaudd @Jasonwaudd me too'
1066879228308791297,2018-11-26 02:20:04,b'uhhhh https://t.co/m3YTtI0NQ2'
1066878660907548672,2018-11-26 02:17:49,b'@Joewaudd @Jasonwaudd if u come to maine i\xe2\x80\x99ll pay for ur hotel'
1066878352764604416,2018-11-26 02:16:35,b'@duhitzpay @Joewaudd @Jasonwaudd ur dms are closed'
1066878096039653377,2018-11-26 02:15:34,b'@duhitzpay @Joewaudd @Jasonwaudd oh hey hi me too :)'
1066878054058901504,2018-11-26 02:15:24,b'@duhitzpay @Joewaudd @Jasonwaudd uhm i second this !^^^^^^'
1066877939973832709,2018-11-26 02:14:57,b'@duhitzpay @Joewaudd @Jasonwaudd omg wait u live in maine'
1066877863327137793,2018-11-26 02:14:38,b'@Joewaudd @Jasonwaudd if u come to vermont i can see you and reunite with my best friend :('
1066877802627153921,2018-11-26 02:14:24,b'@Joewaudd @Jasonwaudd vermont'
1066876704520585216,2018-11-26 02:10:02,b'should i hit u up with my paypal or what https://t.co/R7kYVd02CE'
1066824576926126080,2018-11-25 22:42:54,b'@lorenstriskaa welp ig everyone knows i have a twin now'
1066824415491571712,2018-11-25 22:42:15,b'don\xe2\x80\x99t expose us mia. https://t.co/WTigXVX9co'
1066788859994869760,2018-11-25 20:20:58,b'i\xe2\x80\x99m tryna draw the twins and it\xe2\x80\x99s not coming out good imma mcchoke myself https://t.co/P8Ys4VrVu2'
1066762025940996098,2018-11-25 18:34:21,b'@AustinYerger gm i hope u have a good day x'
1066760239079403520,2018-11-25 18:27:15,"b""RT @lorenshomies: We're so coute\xe2\x9d\xa4 @fetishloren and @angelicwaud https://t.co/piMu7uV8u9"""
1066760184184356864,2018-11-25 18:27:02,b'RT @noahshusterr: i try to be nice and talk shit out but get treated like shit lol cool'
1066718812324724736,2018-11-25 15:42:38,b'@bitchingjayy KDLWKDKSKS'
1066718688554962944,2018-11-25 15:42:08,b'@bitchingjayy YEET OK AND CAN U HELP ME FIGURE OHT A SHIRT TO BUY THANKS'
1066718441229479936,2018-11-25 15:41:09,b'@bitchingjayy ooh'
1066718263218970624,2018-11-25 15:40:27,b'@bitchingjayy what\xe2\x80\x99s ur thingy and how do u add-'
1066512289283620865,2018-11-25 02:01:59,b'@Joewaudd @PlaylistLive @Jasonwaudd so excited'
1066512257750917120,2018-11-25 02:01:51,b'RT @Joewaudd: RT if you\xe2\x80\x99re going to @PlaylistLive Orlando \xf0\x9f\x98\x89\n\n@Jasonwaudd @Joewaudd #WaudTwins https://t.co/kCj5FYFpQf'
1066509661174681600,2018-11-25 01:51:32,b'love this for me https://t.co/22WrDeNr0V'
1066508458944532480,2018-11-25 01:46:46,b'@anaxnaqib text me'
1066412352986406912,2018-11-24 19:24:52,b'how can people eat boston cr\xc3\xa8me donuts \xf0\x9f\xa4\xa2'
1066375501772656641,2018-11-24 16:58:26,b'@Joewaudd good morning fav. i love u sm. i hope u have an amazing day today'
1066365460881514497,2018-11-24 16:18:32,b'marry me pls thanks @noahshusterr'
1066365166865051651,2018-11-24 16:17:22,b'@lolitz_devonte LOVE THIS FOR U'
1066361885807820800,2018-11-24 16:04:20,b'@lolitz_devonte DEVONTES GONNA GET SOME NEXT YEAR SISTERS'
1066360267636948992,2018-11-24 15:57:54,b'@ShawnMendes hi fav i love u'
1066360232643842048,2018-11-24 15:57:46,b'@ShawnMendes i wanna hug you'
1066355110278766594,2018-11-24 15:37:24,b'thing'
1066355056704978946,2018-11-24 15:37:12,b'my m\xc3\xa9m\xc3\xa9 made fudge but my parents didn\xe2\x80\x99t tell me and now it\xe2\x80\x99s not okay to eat i\xe2\x80\x99m sad her fudge is my favorite think like ever'
1066353751722729473,2018-11-24 15:32:00,b'ME https://t.co/c1rRaiRo14'
1066353674513985537,2018-11-24 15:31:42,b'meh kinda https://t.co/EP69Dwhc9Q'
1066353027974602753,2018-11-24 15:29:08,b'@sebtsb good morning i hope u have. a great day ily'
1066344269785546752,2018-11-24 14:54:20,b'i TOLD U GUYS IT WAS ILLEGAL TO BE SO CUTE BUT U DIDNT LISTEN https://t.co/dDAFiEuXbA'
1066337491995770881,2018-11-24 14:27:24,b'love money and health wow is my year gonna be good for once? https://t.co/NVPPMyBQoT'
1066335784821841921,2018-11-24 14:20:37,b'it\xe2\x80\x99s not fun to miss ur ex y\xe2\x80\x99all'
1066335670271164417,2018-11-24 14:20:10,b'i love ubwith all my heart https://t.co/bNq6eJy086'
