id,created_at,text
1050154673087373312,2018-10-10 22:42:39,"b'I don\xe2\x80\x99t think I\xe2\x80\x99ve ever really been public about this before, so here does. \n\nAbout 4 1/2 years ago, I was diagnose\xe2\x80\xa6 https://t.co/z2GSYnU1Ol'"
21460349652,2010-08-18 03:53:39,b'Sox are winning'
20986775770,2010-08-12 16:08:14,"b""I'm borred"""
20418628439,2010-08-05 23:01:08,b'Hung wth sean'
19855048913,2010-07-29 21:07:26,b'Tweet'
19789384078,2010-07-29 02:10:05,b'Kenny Rogers song the greatest is the best song ever!!!!!!'
19764117706,2010-07-28 19:20:09,b'Going to officially register for rb'
19741885966,2010-07-28 13:49:20,b'Watching my bros'
19669209337,2010-07-27 16:26:12,b'Lost at risk to v'
19582013807,2010-07-26 15:31:20,"b""Come to your favoriot ream t-mac you've always wanted to come here"""
19531783921,2010-07-26 00:20:28,b'Being sick sucks'
19463115259,2010-07-25 02:21:25,b'Got the bou benoy award for swimming higest hono on the team!!!!!!!!'
19447185591,2010-07-24 21:16:42,b'Heat exhaustion is not fun espically having a pastor from seventh day apistocle church bringing you home'
19359220689,2010-07-23 18:16:18,b'Waitin to get a new retainer'
19334240803,2010-07-23 12:15:04,"b""I really hope I didn't bruise or do somthing worse to it because it reallyhurts"""
19277668303,2010-07-22 19:19:23,b'Might make a blog?'
19264288109,2010-07-22 15:47:05,b'tampering for conference'
19222281365,2010-07-22 03:01:19,b'borrrrredd watcing star trek'
19099967718,2010-07-21 19:29:45,b'Just got twitter'
