id,created_at,text
1067171123165569024,2018-11-26 21:39:57,b'@TrippeyD Any news on the new winner? \xe2\x98\xba\xef\xb8\x8f\xe2\x98\xba\xef\xb8\x8f'
1067170827886649346,2018-11-26 21:38:47,"b'@realDonaldTrump I don\xe2\x80\x99t want that. I\xe2\x80\x99m already embarrassed to live here under your administration, I really don\xe2\x80\x99t\xe2\x80\xa6 https://t.co/y4Gcg0aIo9'"
1067169717201395714,2018-11-26 21:34:22,b'RT @SamuelLJackson: Why is that Hemorrhoid threatening to shut down the Government over a Wall budget? What happened to \xe2\x80\x9cand Mexico is gonn\xe2\x80\xa6'
1067093787724472321,2018-11-26 16:32:39,"b'RT @HamillHimself: ""Give me your tired, your poor, Your huddled masses yearning to breathe free, The wretched refuse of your teeming shore.\xe2\x80\xa6'"
1067093270709313541,2018-11-26 16:30:36,b'RT @brycetache: As the US fires tear gas at families (children!) I\xe2\x80\x99m horrified. Ashamed. I want to cry &amp; scream. \n\nThese families are merel\xe2\x80\xa6'
1067093126706278402,2018-11-26 16:30:01,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a Blanche Pop! PEZ! @PEZCandyUSA https://t.co/07sywkI2sI'
1066950901510930432,2018-11-26 07:04:52,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to win Specialty Series flying Superman Pop! #Superman https://t.co/ULkFyq6lIL'
1066875737691557888,2018-11-26 02:06:12,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to win Specialty Series Wolfman Pop! https://t.co/Dc1IAL9HpI'
1066840054025412609,2018-11-25 23:44:24,"b'RT @ManInTheHoody: Give me your tired, your poor, your huddled masses yearning to breathe free.... https://t.co/CNrs54mxnW'"
1066839082318393345,2018-11-25 23:40:32,b'This is not right. https://t.co/j579Y1N0uD'
1066820867819282433,2018-11-25 22:28:10,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN a @BNBuzz exclusive Harlequin Demon Pop! https://t.co/RkYJ4skIsJ'
1066819483371798528,2018-11-25 22:22:40,b'RT @Loungefly: RT &amp; follow @Loungefly for the chance to win this @BoxLunchGifts exclusive Snowflake Jack Skellington crossbody bag! https:/\xe2\x80\xa6'
1066759151009873920,2018-11-25 18:22:55,b'RT @DemWrite: I really urge everyone to retweet the 4th National Climate Assessment Report and read as much of it as you can stomach. It br\xe2\x80\xa6'
1066758937029066754,2018-11-25 18:22:04,b'@sissika_yt \xf0\x9f\xa4\x9e\xf0\x9f\xa4\x9e'
1066758575068987392,2018-11-25 18:20:38,b'@TrippeyD It always makes me sad too.'
1066756805349568512,2018-11-25 18:13:36,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to win a Funko Shop Exclusive Mickey Mouse Pop! #Mickey #MickeyMouse #Mickeys90t\xe2\x80\xa6'
1066756771900006401,2018-11-25 18:13:28,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walgreens exclusive Spider-Ham Pop! https://t.co/sMhsBBXNrM'
1066756747270991873,2018-11-25 18:13:22,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win an @amazon exclusive YESSS Pop! #WreckItRalph https://t.co/Y3APjTdYtf'
1066516481289199616,2018-11-25 02:18:38,b'RT @BRaeSunny: Llamas! I want them all. https://t.co/8nDLfbkV9j'
1066500208983531523,2018-11-25 01:13:59,b'RT @tarastrong: Yup https://t.co/x9VkJsDHax'
1066460508419747841,2018-11-24 22:36:13,b'@TrippeyD I\xe2\x80\x99m glad I found your Twitter and YouTube!'
1066454991509118978,2018-11-24 22:14:18,b'RT @Loungefly: RT &amp; follow @Loungefly for the chance to win this @BoxLunchGifts exclusive Harry Potter Deathly Hallows mini backpack! https\xe2\x80\xa6'
1066454952908869634,2018-11-24 22:14:09,b'RT @Loungefly: RT &amp; follow @Loungefly for the chance to win this @BoxLunchGifts exclusive Snowflake Jack Skellington crossbody bag! https:/\xe2\x80\xa6'
1066454919580999681,2018-11-24 22:14:01,b'RT @Loungefly: RT &amp; follow @Loungefly for the chance to win this @BoxLunchGifts exclusive Dark Mark #HarryPotter crossbody bag! https://t.c\xe2\x80\xa6'
1066452565813067777,2018-11-24 22:04:40,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to win a #NYCC exclusive Pizza Planet Truck Pop! Rides! #FunkoNYCC https://t.co/\xe2\x80\xa6'
1066452552672260098,2018-11-24 22:04:36,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win this @BoxLunchGifts exclusive #HarryPotter waist bag! https://t.co/4Twx\xe2\x80\xa6'
1066451653866463233,2018-11-24 22:01:02,b'@jules_su All of these fucking kids need to watch American History X.'
1066451292799844359,2018-11-24 21:59:36,b'@FidesSim Never! Why else would they have cake out with University...twice. It\xe2\x80\x99s an invitation \xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1066451114063745025,2018-11-24 21:58:53,b'@AllyaSims4 I love this!'
