id,created_at,text
1067134036328529920,2018-11-26 19:12:35,b'This is how you do it. https://t.co/ZPFPJlQdTL'
1067129489765863424,2018-11-26 18:54:31,b'Edinburgh has lots of good winter pubs. This is one of them https://t.co/JcqYxZ1aPU'
1067096460418797568,2018-11-26 16:43:16,b'Piggy Paterson. https://t.co/U6lTSGzWEJ'
1067070874782769152,2018-11-26 15:01:36,"b'To wind up a rich geezer I met, who was more into 7 star Country Clubs, Bentleys and telling everyone about them, I\xe2\x80\xa6 https://t.co/MuKt2TP7oj'"
1067058992868966400,2018-11-26 14:14:23,b'Buzz. https://t.co/umsNgDip4a'
1067050721642799104,2018-11-26 13:41:31,"b""Glasgow's Billy Fullarton on Peaky Blinders? Hello, that will be worth watching. As long as it's not too noisy."""
1067047504838049792,2018-11-26 13:28:44,"b""This song might be fantastic but the Loneliest night of the YEAR is a Tuesday. It's tomorrow. https://t.co/I4TeMsJ6xt"""
1067044091739934722,2018-11-26 13:15:10,"b""It's now a bit different. https://t.co/Z3j2frS5q6"""
1067037036278964224,2018-11-26 12:47:08,b'\xc2\xa350 ad. https://t.co/jQc0feFa7K'
1067026591107227648,2018-11-26 12:05:38,"b""Some folk have never been to Islay. It's like Disneyland for Scotch Whisky, but it's so much more than this. https://t.co/E8p4KJ0WVT"""
1067024342356279296,2018-11-26 11:56:42,"b""I drove past George Street in Edinburgh yesterday. It's flipping amazing. This is not unique, most of the street lo\xe2\x80\xa6 https://t.co/5aojlKmUks"""
1067014846410043393,2018-11-26 11:18:58,"b""A bold approach. Lots will think it's mad and a waste of money. Then, when it filters through to our visitors and w\xe2\x80\xa6 https://t.co/syH68tFvkm"""
1067007122335047680,2018-11-26 10:48:16,"b""A person in a Hillman Avenger being made to realise they ain't no superhero. https://t.co/Ji77XJ82AB"""
1067006554854043648,2018-11-26 10:46:01,b'Scottish Seafood is probably the best in the World. https://t.co/z1ZJAsFPHC'
1067003674700992512,2018-11-26 10:34:34,"b""Still, it's the thought that counts. https://t.co/mmAh0Uz1X7"""
1067001671270785024,2018-11-26 10:26:37,"b'Edinburgh HAS to be super luxury. Lots of Italians kicking about in fur coats, that sort of thing. The people looki\xe2\x80\xa6 https://t.co/OYJm0QKd0l'"
1066998316284571648,2018-11-26 10:13:17,"b'Okay, in Edinburgh, we have terrible roads, people sleeping in Princes street and a massive housing problem. But wh\xe2\x80\xa6 https://t.co/n7lqnPdFNR'"
1066992707233566720,2018-11-26 09:50:59,"b'Some of them have said it will be a return to ""wartime values"". I hope this doesn\'t mean some of them will collude\xe2\x80\xa6 https://t.co/QGE78UMPnC'"
1066984078212325376,2018-11-26 09:16:42,"b'""Classic"" trains... https://t.co/CeG66dmfMP'"
1066982347923439616,2018-11-26 09:09:49,b'Everyone should be embarrassed. https://t.co/t2stZHchgc'
1066818919904743424,2018-11-25 22:20:25,"b""There's not a problem in the World that Clean Coal, Hairspray and Fake Tan can't sort."""
1066806905115484165,2018-11-25 21:32:41,"b""They are quite clear, they don't want cars. https://t.co/0n4IpsRNtp"""
1066805787551514624,2018-11-25 21:28:14,b'Just drove past George Street in Edinburgh. Wow.'
1066803920910077953,2018-11-25 21:20:49,b'I love the BBC Website. The malfunctioning Strictly Come Dancing scoreboard is much more important than reporting o\xe2\x80\xa6 https://t.co/vpEoAE1mV8'
1066797258107174913,2018-11-25 20:54:21,b'Sounds like too much fun. It would jeopardise people disposing of their garden refuse. https://t.co/OxEPpvkqM0'
1066796661723332608,2018-11-25 20:51:58,"b""According to Jenny Eclair on the Telly, the last thing you need at Christmas is a bothersome vagina. So, don't invite her."""
1066780188992815105,2018-11-25 19:46:31,"b'Krispy Kreme, obnoxious leaders, fat kids. https://t.co/wtwKtqfbBn'"
1066720179185483776,2018-11-25 15:48:04,b'The Unofficial National Anthem. https://t.co/4KYKkvIPFv'
1066716537288044544,2018-11-25 15:33:35,"b'I thought it sounded a bit bonkers that someone from Wolverhampton who you have never met, can over-rule your highl\xe2\x80\xa6 https://t.co/4z1o45Mvh5'"
1066710961841676289,2018-11-25 15:11:26,"b'"" And now, it\'s the bit that all you Dads at home have been waiting for, it\'s the Swimwear Round.""'"
1066708221967126531,2018-11-25 15:00:33,b'This Gin and Tonic tastes shite. https://t.co/9JkwLVmzmW'
1066701833173897216,2018-11-25 14:35:10,"b'One of my biggest adult disappointments was finding out that Cillit Bang\'s ""Barry Scott"" wasn\'t actually called this.'"
1066691452477018112,2018-11-25 13:53:55,b'Glenuig. https://t.co/dpLlhM6Avv'
1066690516144857088,2018-11-25 13:50:11,b'A pure Tube. https://t.co/JEDEXVX7J0'
1066685688442171392,2018-11-25 13:31:00,"b""I don't think this might be true, in our deeply divided Nation, I KNOW it definitely is. The support system set up\xe2\x80\xa6 https://t.co/DXF9IzCvRB"""
1066681918987689984,2018-11-25 13:16:02,b'Kessock. https://t.co/lPpenZc2wP'
1066680785888002049,2018-11-25 13:11:31,b'A REAL one. https://t.co/VohYi1oDCH'
1066678389606674432,2018-11-25 13:02:00,"b""There's not many great country pubs about. This is one. https://t.co/UlwAs32NVK"""
1066676516963196929,2018-11-25 12:54:34,b'Yet Yvette Fielding and Derek Acorah still walk the streets. https://t.co/uruosbpA9U'
1066675433620549632,2018-11-25 12:50:15,b'You can go to any beach in Spain and see tits. Who cares? I hope brexit brings back clothing for British furniture\xe2\x80\xa6 https://t.co/yZLzR441FY'
1066673644930285568,2018-11-25 12:43:09,b'Beyond the Royal Mile. https://t.co/x6m8m7Pbzq'
1066655392850157568,2018-11-25 11:30:37,b'Skye. https://t.co/yvJgJFg0mT'
1066652344681664513,2018-11-25 11:18:31,"b""Michael Jackson would have been delighted at writing the music for Amazon's Black Friday ad. Even though it's now Sunday."""
1066645318748524544,2018-11-25 10:50:35,b'Scotch Snobs. https://t.co/OGhOpwrCT3'
1066626500345163777,2018-11-25 09:35:49,b'Skye https://t.co/4XEWWijZ5d'
1066626274578366465,2018-11-25 09:34:55,b'Glencoe. https://t.co/Cxw5P3kFlx'
1066623846839652352,2018-11-25 09:25:16,"b""Sometimes, calling a Catholic or a Protestant a rude name, doesn't seem so bad. https://t.co/bvxbKfp6NX"""
1066489837216251905,2018-11-25 00:32:46,"b'Loads of people in Edinburgh lost their Scottish accent, decades ago. Yah! https://t.co/zKhXh70CHS'"
1066427222406377472,2018-11-24 20:23:57,"b""I've been arguing this for decades. https://t.co/pH7kV8PpoF"""
1066417045640749058,2018-11-24 19:43:31,"b""That's like the population of a large city. Incredibly grim reading, in 2018, in a Nation that wants to go it alone. https://t.co/LxySo1RfNC"""
1066414717663698945,2018-11-24 19:34:16,"b""It's more realistic than Braveheart. https://t.co/SPw7OLXJuT"""
1066412738799460354,2018-11-24 19:26:24,"b""Scotland's getting rather good. https://t.co/bEXYCIoH2a"""
1066412194009632769,2018-11-24 19:24:14,b'Embra. https://t.co/AbsiQueay5'
1066407381331058688,2018-11-24 19:05:07,"b""I was never asked to join Rapper's Delight, because I couldn't find a mate called Hank. Living in Scotland can be tough."""
1066402393372405761,2018-11-24 18:45:18,b'https://t.co/xWV6neOUMc'
1066397850991566849,2018-11-24 18:27:15,"b'18000 people were in that pub, that night. https://t.co/ZhsUx3JpJU'"
1066393360729075715,2018-11-24 18:09:24,"b""If you're a multi millionaire who does hair adverts with about half a dozen stylists, go on telly with your roots needing done."""
1066336319385862146,2018-11-24 14:22:44,b'Somebody should buy Jacob Rees Mogg a moped he could ride irresponsibly.'
1066333281925382144,2018-11-24 14:10:40,"b""I'm still getting sent Black Friday stuff. It's Saturday."""
1066323616164470785,2018-11-24 13:32:16,b'If an Alien came down and we told them we put perfectly good food in landfill and wrap lots of it in plastic before\xe2\x80\xa6 https://t.co/4xKcDdpaF2'
1066315654834335744,2018-11-24 13:00:37,b'Wrapping a rainbow round your Brand. https://t.co/UFgWls233P'
1066288631059554304,2018-11-24 11:13:14,"b""Yup. We've been underselling Scotch in Scotland for several decades. Johnnie Walker ALREADY has several of these in\xe2\x80\xa6 https://t.co/nURXweHu8a"""
1066284537620152320,2018-11-24 10:56:59,"b""Christmas SHOULD be the best time of year. It's now just an excuse for people to buy stuff and kid-on they care, for just a week."""
1066282640209313793,2018-11-24 10:49:26,b'This is ridiculous. https://t.co/gTVn6w8udi'
1066277142915354624,2018-11-24 10:27:35,"b""One of Dundee's many finest hours. https://t.co/UrGNvasvXl"""
1066263056467005440,2018-11-24 09:31:37,"b'For a certain Generation, you had two kinds of footwear. Sandals for June. Wellies, for every other month. https://t.co/roKLnP4YGc'"
1066261488887836672,2018-11-24 09:25:23,"b'How do you know Elvis had a family background in Paisley? Because he liked Drugs, Guns and Junk Food. https://t.co/5WJEb53aF8'"
1066259469208887296,2018-11-24 09:17:22,"b'Mallaig\'s got an ""end of the line"" feel about it. In a good way. That\'s Eigg, Rum and Skye. The sunsets here are am\xe2\x80\xa6 https://t.co/5sWWJeQ3GI'"
1066257240728969217,2018-11-24 09:08:30,"b'WW1. It all came to an end, but not really in a way were were taught. Wonder why? https://t.co/2EvUGayYjF'"
1066254478695981056,2018-11-24 08:57:32,b'Madeira Cake. https://t.co/q9v13YMnw6'
1066251763496509440,2018-11-24 08:46:45,"b'When I first started work, I complained when I was told not to wear ""garish"" ,mainly floral stuff, when the girls i\xe2\x80\xa6 https://t.co/DXnWOF44D3'"
1066248901903167489,2018-11-24 08:35:22,"b'a slippery, Tory, Lawyer. https://t.co/vW12AKMVQg'"
1066126639422164994,2018-11-24 00:29:33,"b'""Those two wee specky guys are good, I wonder where they dug the old songs out from?"" \n\n""Oh they wrote them? Crap n\xe2\x80\xa6 https://t.co/tiWVIdEWHu'"
1066089138544394242,2018-11-23 22:00:32,b'The World https://t.co/wtlICzyOu2'
1066087816864632833,2018-11-23 21:55:17,b'Gorgie Jungle. https://t.co/y9Pwr82e4w'
1066069022620467200,2018-11-23 20:40:36,b'Never trust a man whose name is the wrong way round. https://t.co/T5E6scaZBi'
1066007643196669952,2018-11-23 16:36:42,"b'Thankfully, hen nights in Scotland are never like this. https://t.co/QXI3zb4jjJ'"
1066005377052016640,2018-11-23 16:27:41,b'East Coast. https://t.co/tDcd3k3NuH'
1066004800645603329,2018-11-23 16:25:24,b'Homeless folk? I have a bag of Ivy clippings that has STILL not been picked up! Edinburgh needs to sort its gardens out!'
1066002073685319680,2018-11-23 16:14:34,"b""Have you seen how hard it is to get your lawn trimmings in Scotland's Capital removed? We're skint. https://t.co/JOQoboh4WZ"""
1066000005872459777,2018-11-23 16:06:21,"b""Frank wasn't about one decade or arranger, or songwriter. He simply was the best. https://t.co/dP2OleK9vy"""
1065994147889364992,2018-11-23 15:43:04,b'Charlie Williams Day.'
1065962470693580800,2018-11-23 13:37:12,b'Much as I hate to agree with Alan Sugar but if any Business person had lied to try and influence something so signi\xe2\x80\xa6 https://t.co/I8ETrLbiBr'
1065936980436021249,2018-11-23 11:55:54,"b'Thnkfully, as the Council has only a housing waiting list of several months, for the good Citizens of Edinburgh, we\xe2\x80\xa6 https://t.co/y3DqzCZm7B'"
1065934985658535936,2018-11-23 11:47:59,b'Doomed. https://t.co/P2VVaY0uJc'
1065933811320532993,2018-11-23 11:43:19,b'After meeting with representatives of the hundreds of thousands of people evacuated by raging forest fires last wee\xe2\x80\xa6 https://t.co/n6Ce5AFma7'
1065930966315794433,2018-11-23 11:32:01,b'Bloody immigrants. Next thing they will be telling us is that the Poles were the best Pilots in the Battle of Brita\xe2\x80\xa6 https://t.co/tSMKtaTIQn'
1065928525629280256,2018-11-23 11:22:19,"b""It's a little known fact that a few posh blokes from Kent, smoking pipes,driving MGs and wearing nice scarves, save\xe2\x80\xa6 https://t.co/wFhxzpseqH"""
1065712897702182913,2018-11-22 21:05:29,"b""If you drink and you've never tried 18 or 21 year old Scotch, give it a go. Something world class for \xc2\xa320 or so? It\xe2\x80\xa6 https://t.co/QuaAbdjI77"""
1065709483601666048,2018-11-22 20:51:55,b'This is 2018. https://t.co/qu5RN5ygo8'
1065702988847742976,2018-11-22 20:26:07,"b""Why shouldn't you buy cheap underpants made in Ayrshire? Chernobyl fall out? https://t.co/EsMcffRQ8E"""
1065700820564492288,2018-11-22 20:17:30,"b""The Saudis are an armless bunch. They'll lose their heads over this. https://t.co/535pFS5F0Q"""
1065699868684009472,2018-11-22 20:13:43,b'The fly. https://t.co/f9I2rEk1fY'
1065684349633347584,2018-11-22 19:12:03,b'Do they play it on the Fife? https://t.co/JFDHbW86Z8'
1065683594281144320,2018-11-22 19:09:02,"b'Happy Immigrant Day, you ungrateful Colonials. https://t.co/fAeC3lAQvC'"
1065678828671041536,2018-11-22 18:50:06,"b'""How come you got the meatballs?"" https://t.co/D2nk75OZWp'"
1065678429461336069,2018-11-22 18:48:31,"b""It's started https://t.co/ZVQ9I1K2fq"""
1065678056415813633,2018-11-22 18:47:02,b'Totally off your Box. https://t.co/zrDq3XtYgd'
1065568544971268096,2018-11-22 11:31:53,b'Strong and Stable. https://t.co/M0sujApEVz'
1065564023880642560,2018-11-22 11:13:55,"b'In the winter, like in December, it will be cold. In Scotland. https://t.co/CaHSkB95EH'"
1065563413043191808,2018-11-22 11:11:29,b'https://t.co/niepoxpcUo'
1065517469304061953,2018-11-22 08:08:55,"b'If all the unimaginative retailers jump on this ""black friday"" bandwagon, every retailer is the same, defeating the purpose of it. Discuss.'"
1065392711484825600,2018-11-21 23:53:11,b'I had a Heinz haircut once. My heid looked totally saucy. https://t.co/WVxPi5iOaZ'
1065391733851197440,2018-11-21 23:49:18,b'Beep Beep https://t.co/dq5JhW9bui'
1065389904643989504,2018-11-21 23:42:01,"b'Surely ""rock, paper, scissors"" is a much better way to sort out our beef with Europe?'"
1065388883649724416,2018-11-21 23:37:58,b'The nights are fair drawin in https://t.co/DKqGRcw9fa'
1065387557293301761,2018-11-21 23:32:42,"b""If someone popped a cap in my ass, I'd tell them to stop letting my donkey nibble on their Sporting honours. https://t.co/kGHskkEu5j"""
1065386254659973121,2018-11-21 23:27:31,b'Explains the Jumpers. https://t.co/72swVXg4ny'
1065385030933991424,2018-11-21 23:22:39,b'Meal or No Meal? https://t.co/l5w0CNHScD'
1065338682914340865,2018-11-21 20:18:29,b'https://t.co/ppQMAy2YMN'
1065290196684627968,2018-11-21 17:05:49,b'Big Mac. https://t.co/TMVumYIDNs'
1065270880346038272,2018-11-21 15:49:04,"b'If only we had taken a stronger stance against immigration, lovers of bland food would be happier.'"
1065245470145110016,2018-11-21 14:08:06,b'The New Banana Flats. https://t.co/MehsAOmBZ3'
1065239369433432064,2018-11-21 13:43:51,b'Islay. https://t.co/fL3GFerU9S'
