id,created_at,text
1066708247015497728,2018-11-25 15:00:39,b'\xf0\x9f\x92\x8e https://t.co/EPwcH7aRC9'
1065390967715377152,2018-11-21 23:46:15,"b'Hey pretty people,\nCelebrating the lady that is my sisturr mskomeotobo \xf0\x9f\xa4\xa9\xf0\x9f\x98\x8d\xf0\x9f\xa4\xa9\n.\n.\n#efenasmiles #sister #love #family \xf0\x9f\x98\x8b\xe2\x80\xa6 https://t.co/ZCE9NT7w2Q'"
1065273859333603329,2018-11-21 16:00:54,b'Spa day \xf0\x9f\xa4\xa9 https://t.co/8FmRcLhiZU'
1064143150573387776,2018-11-18 13:07:52,b'Yum! https://t.co/rcMEFTAeXL'
1062510551543308288,2018-11-14 01:00:30,b'repost from @JohnBarrowman\n I am deeply saddened to hear that #StanLee has passed away. Stan Lee created characters\xe2\x80\xa6 https://t.co/jr54stk3Hz'
1062387122257256448,2018-11-13 16:50:02,b'RT @amygumenick: Remembering this scene with so much love and gratitude. https://t.co/vUuUsxHmRd'
1062384148898369537,2018-11-13 16:38:13,b'RT @barrettmarlyne: Awww Man Stan Lee dies! Broke my Heart! Didn\xe2\x80\x99t even know him but so attached to the ideas of Marvel!!!! Honor to You an\xe2\x80\xa6'
1061013342943293445,2018-11-09 21:51:08,b'#auntielove https://t.co/kCqfWIADs5'
1060976539565735938,2018-11-09 19:24:53,b'#morecousinlove https://t.co/mKxUyyR2ht'
1060963189716860931,2018-11-09 18:31:50,b'#selflove https://t.co/unEWBCfOPz'
1060958640734199811,2018-11-09 18:13:46,b'#fambamlove https://t.co/n6mnUfmDYm'
1060955156672524288,2018-11-09 17:59:55,b'#cousinlove https://t.co/WNuEq9nhFv'
1060953811387207680,2018-11-09 17:54:34,b'#friendlove https://t.co/E2xWwXNDBK'
1060950928545775617,2018-11-09 17:43:07,b'#siblinglove https://t.co/Zn0Ss4SAGP'
1060950476303171584,2018-11-09 17:41:19,b'#brotherlylove https://t.co/SBkqFcIM7v'
1060933999801987073,2018-11-09 16:35:51,b'#sisterlove https://t.co/fMcEkxIK1i'
1058500558066278401,2018-11-02 23:26:13,b'#artlover @shonibarestudio https://t.co/7ktLEYdR5Y'
1058162242812891137,2018-11-02 01:01:53,"b'Hey pretty people,\n\nToday was a first for me \xf0\x9f\x98\x81. I finally made it to @artxlagos and it did not disappoint!\xf0\x9f\x98\x84 I had a\xe2\x80\xa6 https://t.co/bMpBMsXWkM'"
1056973458901491713,2018-10-29 18:18:04,"b""'The word babe is the default for unimaginative lovers' - Beck @YouOnLifetime. Truer words have never been spoken."""
1056435336354676736,2018-10-28 06:39:46,"b""RT @solacefilm: That #FridayFeeling when you're only a day away from jamming out with #teamsolace at the #newfest30 premiere afterparty in\xe2\x80\xa6"""
1056434638334427136,2018-10-28 06:37:00,b'Tell me you love me\n.\nI need it right now\n.\nOn days like this I do\n.\nOn days like this\n\xf0\x9f\x93\xb8: @RebelandRomance \n\xf0\x9f\x92\x84:\xe2\x80\xa6 https://t.co/8jF9JYQcX6'
1053395659955544064,2018-10-19 21:21:11,b'Up in the standing frame wondering how life can be so bittersweet \xf0\x9f\xa4\x94\xf0\x9f\x99\x84 https://t.co/oiOcj44DMI'
1052780943252045824,2018-10-18 04:38:31,"b""I'm finally out of the showhole #CWRiverdale"""
1052393977050218497,2018-10-17 03:00:51,b'\xf0\x9f\x98\x81 https://t.co/p4XjFRFxy5'
1051538990556487680,2018-10-14 18:23:26,b'#celebratinglife \xf0\x9f\x98\x8a\xf0\x9f\x98\x81\xf0\x9f\x98\x89 https://t.co/z222KXrMjq'
1050859249163735040,2018-10-12 21:22:23,b'Just posted a photo https://t.co/dmsSRBSZuL'
1048723908193599488,2018-10-06 23:57:18,b'Just posted a photo https://t.co/ZLXfSFkpgL'
1048723222643056642,2018-10-06 23:54:35,"b""Hey pretty people,\nSo I'm gonna be mad honest. A few years ago, I was diagnosed with bipolar disorder. I've had a c\xe2\x80\xa6 https://t.co/CYOijeaQNz"""
1048675118153719808,2018-10-06 20:43:26,b'@HopeOlaide Seriously?! What about the gorillas and lions roaming about?'
1044359395860205569,2018-09-24 22:54:17,"b""Hey pretty people,\nIt's been a while. I've been laid up in bed, sick as a dog. It sucks ass but I'm getting better\xe2\x80\xa6 https://t.co/8OMwxpq9ZI"""
1037092934469005317,2018-09-04 21:39:58,"b""I cannot wait for my TV shows to come back in the Fall. I'm in a #showhole. I'm drowning! On another note, check ou\xe2\x80\xa6 https://t.co/rmMsCTRVgV"""
1037061025097555968,2018-09-04 19:33:10,b'\xe2\x98\xba https://t.co/ibOFzMGR95'
1036322272515182592,2018-09-02 18:37:38,"b'""Hello Siri. What is sadness?""\n- Lauryn'"
1036319517075488768,2018-09-02 18:26:41,b'repost from @ituenbasi #365daysofituenbasi.\n.\n.\nIBL - Do you have a favorite Ituen Basi piece?\n@EfeSmiles - Yes I d\xe2\x80\xa6 https://t.co/2umCvghbNR'
1036319348233826304,2018-09-02 18:26:01,b'repost from @ituenbasi #365daysofituenbasi.\n.\n.\nIBL - Do you have a favorite Ituen Basi piece?\n@EfeSmiles - Yes I d\xe2\x80\xa6 https://t.co/WSjJcCIDdG'
1035619614921654272,2018-08-31 20:05:31,b'repost from @ituenbasi #365daysofituenbasi.\n.\n.\nIBL - The most outrageous comment you\xe2\x80\x99ve gotten wearing an Ituen Ba\xe2\x80\xa6 https://t.co/9UnUr8McMn'
1035619168308146177,2018-08-31 20:03:45,b'repost from @ituenbasi #365daysofituenbasi.\n.\n.\nIBL - The most outrageous comment you\xe2\x80\x99ve gotten wearing an Ituen Ba\xe2\x80\xa6 https://t.co/ioj3PkB7rI'
1035282313167429633,2018-08-30 21:45:12,"b'repost from @ituenbasi #365daysofituenbasi.\n.\n.\nIBL - If you have an Ituen Basi piece named after you, what would i\xe2\x80\xa6 https://t.co/RC1es4czby'"
1035282294892834821,2018-08-30 21:45:08,"b'repost from @ituenbasi #365daysofituenbasi.\n.\n.\nIBL - If you have an Ituen Basi piece named after you, what would i\xe2\x80\xa6 https://t.co/AlNYVnpfAt'"
1034919124961583104,2018-08-29 21:42:01,b'repost from @ituenbasi #365daysofituenbasi.\n.\n.\nIBL - What kind of reaction do you get whenever you\xe2\x80\x99re wearing Itue\xe2\x80\xa6 https://t.co/HIXvAINWpi'
1034918781854707712,2018-08-29 21:40:40,b'repost from @ituenbasi #365daysofituenbasi.\n.\n.\nIBL - What kind of reaction do you get whenever you\xe2\x80\x99re wearing Itue\xe2\x80\xa6 https://t.co/KzJy9EjYVo'
1034611493646606337,2018-08-29 01:19:36,b'repost from @GenevieveMag\nOn a scale of 1-10 how accessible is Lagos for people living with disabilities? \nIn this\xe2\x80\xa6 https://t.co/fk142YB7Om'
1034528233780334592,2018-08-28 19:48:46,b'repost from @ituenbasi #365daysofituenbasi.\n.\n.\nIBL - What attracted you to the brand?\n@EfeSmiles - The amazing col\xe2\x80\xa6 https://t.co/LTO4NI0u7t'
1034527909589991426,2018-08-28 19:47:28,b'repost from @ituenbasi #365daysofituenbasi.\n.\n.\nIBL - What attracted you to the brand?\n@EfeSmiles - The amazing col\xe2\x80\xa6 https://t.co/lDY3FpUYCG'
1034192628336742401,2018-08-27 21:35:11,"b'""Destroy a man\'s confidence, his abs will follow""\n - Kelsey\n#YoungerTV'"
1034110052024500226,2018-08-27 16:07:03,b'repost from @ituenbasi \nMeet the incredible Efena Otobo! #365daysofituenbasi.\n.\n.\nIBL - Ituen Basi in 3 words?\xe2\x80\xa6 https://t.co/f3mukGQVRp'
1034109565703544832,2018-08-27 16:05:07,b'repost from @ituenbasi\nMeet the incredible Efena Otobo! #365daysofituenbasi.\n.\n.\nIBL - Ituen Basi in 3 words?\xe2\x80\xa6 https://t.co/Kbe1nzoydf'
1033820303653199872,2018-08-26 20:55:42,"b""Hey pretty people, \nSo I'm ending #appreciationweek with a little #selflove \xf0\x9f\x92\x96.\nLove yourself a little more each day\xe2\x80\xa6 https://t.co/JDye5Q9UqT"""
1033472770615771136,2018-08-25 21:54:44,"b'Hey pretty people,\nGive some major props to my girl @lolaeme. She is thoughtful, generous, loving, funny as hell, d\xe2\x80\xa6 https://t.co/TVTdPARmj3'"
1033108213871337473,2018-08-24 21:46:07,"b'Hey pretty people,\nI have to give the biggest props to my bestie sheyorem \xf0\x9f\x92\x9c. She is without a doubt the cutest, pre\xe2\x80\xa6 https://t.co/gkHxLkUg70'"
1032407038180184064,2018-08-22 23:19:53,"b""Hey pretty people,\nToday I'm giving props to my beautiful Mama,  @ReformersArise \xf0\x9f\x98\x81\xe2\x98\xba\xf0\x9f\x98\x81\n During my 3 and a half years\xe2\x80\xa6 https://t.co/iW3w7joXAl"""
1032259880063836161,2018-08-22 13:35:08,b'https://t.co/pehlehRg3b'
1032258750114131968,2018-08-22 13:30:39,"b""Hey pretty people,\nJust finished working on a top secret project \xf0\x9f\x98\x81. Can't wait for you guys to see it \xe2\x98\xba\xf0\x9f\x98\x86\xe2\x98\xba\xe2\x80\xa6 https://t.co/HCI9SblIS4"""
1031573272230612992,2018-08-20 16:06:48,"b'repost from @GenevieveMag For @EfeSmiles and other victims of SCI, the city of Lagos offers very little in terms of\xe2\x80\xa6 https://t.co/76Tv5WLtIa'"
1031251136609693696,2018-08-19 18:46:45,"b""Hey pretty people,\nI'm ending this week on the ultimate flashback. To the time when I was on a cruise with my famil\xe2\x80\xa6 https://t.co/W9ggytRXoF"""
1030649390011039744,2018-08-18 02:55:37,"b""Hey pretty people,\nHere's a picture of @MiloVentimiglia and I at @heroesfanfest \xf0\x9f\x98\x81\n.\n.\nHe's the dopest, sweetest, ho\xe2\x80\xa6 https://t.co/1VkCMl0djr"""
1030162995182272513,2018-08-16 18:42:52,"b'Hey pretty people,\nI was asked to model for Genevieve Magazine. It was certainly one of the highlights of the year\xe2\x80\xa6 https://t.co/vPIpGm0Og8'"
1029526624184807424,2018-08-15 00:34:09,"b""Hey pretty people,\nHere's another precious moment in time \xf0\x9f\x98\x98. My gorgeous sisturr and my darling dad stopped to pose\xe2\x80\xa6 https://t.co/RlFLRgGXBW"""
1029167106049363969,2018-08-14 00:45:33,"b""Hey pretty people,\nHere's another little nugget from my memory bank. belledes got married and it was truly one of t\xe2\x80\xa6 https://t.co/OI4rrlYDKq"""
1029059328978952197,2018-08-13 17:37:17,"b""Hey pretty people,\nHope you had an awesome weekend \xf0\x9f\x98\x81. This week, I'm picking unforgettable moments from my memory b\xe2\x80\xa6 https://t.co/BXzxPCSd4D"""
1028292497502625794,2018-08-11 14:50:10,b'Chilling on the weekend like... https://t.co/CNlvAro2cN'
1028291485882564608,2018-08-11 14:46:09,b'Chilling on the weekend like... https://t.co/TtVuGIJjOj'
1025877109259087872,2018-08-04 22:52:17,"b'""People are Natures\' apps"". Love @TheGoodPlaceNBC!'"
1025661848169930752,2018-08-04 08:36:55,b'#theshiggychallenge #KikiChallenge  #InMyFeelingsChallenge @theshiggster https://t.co/xaWoFzVOlb'
1024929938560958464,2018-08-02 08:08:34,"b'RT @Night_Call_Film: It\xe2\x80\x99s official, we are officially in Consideration for a 2019 Live Action Short Academy Award!! Thank you to everyone w\xe2\x80\xa6'"
1024925097134571520,2018-08-02 07:49:20,"b'My beautiful sister is smiling coz she just checked out my latest article in my ""Wheelchair Girl in Lagos"" series \xf0\x9f\x98\x81\xe2\x80\xa6 https://t.co/9O71fUkbFV'"
1023887625772589056,2018-07-30 11:06:47,b'repost from @GenevieveMag Eager to discover the hidden gem in the assortment of culinary possibilities in metropoli\xe2\x80\xa6 https://t.co/bi1wjGUvrA'
1022359385354514434,2018-07-26 05:54:06,b'RT @ReformersArise: Reformers are Solution Carriers. Find out more at https://t.co/SF7V7pKrhG https://t.co/thZ4a4Pzxe'
1021441135749804033,2018-07-23 17:05:18,"b'repost from @GenevieveMag @EfeSmiles continues her adventure in Lagos. In this episode, she visits Lagos City Hall.\xe2\x80\xa6 https://t.co/MPDRJZd730'"
1021272673664499713,2018-07-23 05:55:54,"b'Hey pretty people,\nI\'m happy to anounce the comment section at the bottom of my 3rd article in the ""Wheelchair Girl\xe2\x80\xa6 https://t.co/AWjIbsmbzm'"
1020553904076083200,2018-07-21 06:19:46,"b""@komeotobo It doesn't make sense \xf0\x9f\xa4\xa3"""
1020511463805456385,2018-07-21 03:31:07,"b""Hey pretty people,\n.\nI have a pretty cool announcement to make\xf0\x9f\x93\xa3 It's 4 a.m. and the pain is keeping me up \xf0\x9f\x98\x94\xf0\x9f\x98\x95\xf0\x9f\x98\xab I've\xe2\x80\xa6 https://t.co/E9UU7S3E95"""
1020417451346006016,2018-07-20 21:17:33,b'RT @malthouselagos: Hear hear\n#reading\n#malthousepressnigeria https://t.co/97DeYzdwpE'
1020417379564687361,2018-07-20 21:17:16,b'@komeotobo \xf0\x9f\xa4\xa3 @ your comment'
1020393537198845953,2018-07-20 19:42:31,"b""It's the weekend pretty people! Why don't you click the link in my bio and have a good read! \xf0\x9f\x93\x9a\xf0\x9f\x93\x96\xf0\x9f\x93\x9a\n.\n.\xe2\x80\xa6 https://t.co/WoGKxibIO8"""
1019770670442602499,2018-07-19 02:27:28,b'RT @shondarhimes: Yes. This. This. THIS.\nhttps://t.co/Gk7SQBdVom'
