id,created_at,text
1067127910358630400,2018-11-26 18:48:14,"b'@Alyssa_Milano This is so wrong, please get this douche outta office \xf0\x9f\x92\xaf'"
1067127298757820416,2018-11-26 18:45:48,b'@Ganjalegalizada Wtf \xf0\x9f\x98\x82\xf0\x9f\x98\x82 fo real'
1067126859597438976,2018-11-26 18:44:04,b'@RandyGoff9 @Hippie_of_Love @_jena4n @420moongirls @Made_in_702 @DollarBlazeClub @okbuddyjane @TokeBomb\xe2\x80\xa6 https://t.co/Lg4hiIoH61'
1067125946312929280,2018-11-26 18:40:26,"b'@globaldrugstor1 Enough of this shit, I grow &amp; post for people to check out not prosper from it'"
1067125610793684992,2018-11-26 18:39:06,"b""@OJimesz Alright y'all not using my shit no more to advertise for yourself \xf0\x9f\x91\x8a"""
1067125275643629568,2018-11-26 18:37:46,b'@RetroFaceOne @DeionSandersJr @michaelb4jordan @Jumpman23 @UpperDeckEnt Anybody know how much they are worth ?'
1066909464035389440,2018-11-26 04:20:13,b'@james_bong13 @no_tsam @cannaworldsite @CLyK76 @migoodridge1 @and1_grant @Amznfrknaz @verdinerunions\xe2\x80\xa6 https://t.co/nAZ0OCY7GI'
1066734532211040256,2018-11-25 16:45:06,b'Rob Gronkowski or G. Kittle ppr league @MarcasG'
1066733376055341057,2018-11-25 16:40:30,b'@JubileePartyK @Shuk_bi @CliffordRusty @TokyoluGelin @Thot87443202 @Jfeliciano27 @Skullchainn @CarolynRWhite3\xe2\x80\xa6 https://t.co/qyCYHRa4Hk'
1066731764998000640,2018-11-25 16:34:06,b'@Dab5_at420 @lesbianstoner1 @CLyK76 @Cogitatorium @BongTides @realmedicineMI @yaridabutton @magssayin @dahmane277\xe2\x80\xa6 https://t.co/KADqfErvAf'
1066731242547105792,2018-11-25 16:32:01,b'Wake &amp; Bake \xf0\x9f\x98\xa4\xf0\x9f\x98\xa4 #ThinMint #Flower &amp; #TruBlue #LiveResin #SmokeSesh #Sundaze #StayLifted \xf0\x9f\x9a\x80 https://t.co/Xe6ZbjWMkO'
1066728739919163392,2018-11-25 16:22:05,b'@Michael_Fabiano Gronki or Little ?'
1066728027407577088,2018-11-25 16:19:15,b'@kgxix I got you \xf0\x9f\x92\xaf @kgxix Pro Bowl \xe2\x98\x91'
1066727315311255552,2018-11-25 16:16:25,b'@sarah_koopman @oBx_yetti2cold @whhydk @Ace007757 @BlaqueH20 @ArtonaDigital @Mykedee3 @Finomuhnl @Maytic_7 @DrewsPage1 This is bs'
1066726086619258881,2018-11-25 16:11:32,b'@outsidehash @Hippie_of_Love @_jena4n @LARRYIRBY6 @james_bong13 @Slv64Susie @Norstackk @MERRYJANE @NorCalStoner420\xe2\x80\xa6 https://t.co/o988yRzVL3'
1066723188996861952,2018-11-25 16:00:01,b'@chathigh @_jena4n @Hippie_of_Love @TheLoudBank @Jweeds_420 @BRad_4_20 @The_Real_WB @theone90x @EmeraldZoo\xe2\x80\xa6 https://t.co/n9shV4cnsy'
1066723077252251648,2018-11-25 15:59:35,b'@chathigh @_jena4n @Hippie_of_Love @TheLoudBank @Jweeds_420 @BRad_4_20 @The_Real_WB @theone90x @EmeraldZoo\xe2\x80\xa6 https://t.co/calylwbaD7'
1066721566992396288,2018-11-25 15:53:34,b'@_jena4n @Hippie_of_Love @TheLoudBank @EmeraldZoo @realmedicineMI @BRad_4_20 @Jweeds_420 @DollarBlazeClub\xe2\x80\xa6 https://t.co/iYMGuPt2o1'
1066571815848275968,2018-11-25 05:58:31,"b""Don't look in that mirror @Zak_Bagans @jaywasley @BillyTolley @AaronGoodwin That dude is all bad \xf0\x9f\x98\x88 That was the mos\xe2\x80\xa6 https://t.co/Qdfs3VsLa7"""
1066559907829186560,2018-11-25 05:11:12,b'Kick ass episode of @GhostAdventures right now on @travelchannel \xf0\x9f\x93\xba'
1066541035990315008,2018-11-25 03:56:13,b'@kushconcentrate @DenverKushClub Looks clean &amp; tasty \xf0\x9f\x91\x85'
1066539372768415745,2018-11-25 03:49:36,b'That #StarKiller is some gas \xe2\x9b\xbd #Indoor #TopShelf #GrowYourOwn \xe2\x9c\x82 #LetsSmoke \xf0\x9f\x91\x8c https://t.co/KK2WT0MY8K'
1066514087071207425,2018-11-25 02:09:07,b'@Made_in_702 @MR_BURNDATLOUD @Dab5_at420 @PureDabs @The_Real_WB @Slv64Susie @InspctorChronic @FN57KushCapo\xe2\x80\xa6 https://t.co/hfuxF1SVLK'
1066513454620565504,2018-11-25 02:06:37,b'@smileyFromVegas @james_bong13 @OddNMacabre @acidmane419js @YGDTopDogg @FreddyBryan80 @The_Real_WB @Hippie_of_Love\xe2\x80\xa6 https://t.co/Uh4sHBBEfr'
1066512870135844864,2018-11-25 02:04:17,"b'Sis, enjoy the Budda &amp; wax \xf0\x9f\x98\xa4\xf0\x9f\x98\xa4  I always got ya back girl \xf0\x9f\x92\xaf   #Fam1st https://t.co/Y37I9mlY11'"
1066444822876049408,2018-11-24 21:33:54,b'@Pastabowl2 @Dab5_at420 @MR_BURNDATLOUD @PureDabs @The_Real_WB @Slv64Susie @InspctorChronic @FN57KushCapo\xe2\x80\xa6 https://t.co/H6DYArPCmt'
1066442786805694464,2018-11-24 21:25:48,b'@Dab5_at420 @MR_BURNDATLOUD @PureDabs @The_Real_WB @Slv64Susie @InspctorChronic @FN57KushCapo @thebestbudss\xe2\x80\xa6 https://t.co/2t2pUuiWq8'
1066426193514123264,2018-11-24 20:19:52,b'@ColinCowherd \xf0\x9f\x98\x82 Ouch'
1066425777443373056,2018-11-24 20:18:13,b'@TomFerda \xf0\x9f\x98\x82'
1066424742435901440,2018-11-24 20:14:06,"b""RT @Cannabis_Promos: If you're a wannabe twitter 'weed plug' with some phone # to call in your profiles description, save your time from fo\xe2\x80\xa6"""
1066423586691239936,2018-11-24 20:09:30,b'@InspctorChronic @MR_BURNDATLOUD @Dab5_at420 @PureDabs @The_Real_WB @Slv64Susie @FN57KushCapo @thebestbudss\xe2\x80\xa6 https://t.co/UxRCinWZJz'
