id,created_at,text
1067312082532687872,2018-11-27 07:00:04,b'RT @BoyYeetsWorld: Adderall                      Alcohol\n\n                         \xf0\x9f\xa4\x9d\n     Telling complete strangers \n                Your\xe2\x80\xa6'
1067267856612671488,2018-11-27 04:04:20,b'RT @dianaaadee: someone pls treat me right so i can shut the fuck up'
1067259509427658753,2018-11-27 03:31:10,b'RT @marsjuul: me checking to make sure i don\xe2\x80\x99t look high before coming out of my room and then getting carried away and staring at myself f\xe2\x80\xa6'
1067257655062863873,2018-11-27 03:23:48,"b""RT @ColbieZee: \xef\xbd\xa1\xef\xbe\x9f\xef\xbe\x9f\xef\xbd\xa5\xef\xbd\xa1\xef\xbd\xa5\xef\xbe\x9f\xef\xbe\x9f\xef\xbd\xa1\n\xef\xbe\x9f. you're \xef\xbd\xa1\xef\xbe\x9f\n\xe3\x80\x80\xef\xbe\x9f\xef\xbd\xa5\xef\xbd\xa1 \xef\xbd\xa5\xef\xbe\x9f\n                                       \xe3\x80\x80\xe3\x80\x80\xe3\x80\x80\xe3\x80\x80\n                \xef\xbd\xa1\xef\xbe\x9f\xef\xbe\x9f\xef\xbd\xa5\xef\xbd\xa1\xef\xbd\xa5\xef\xbe\x9f\xef\xbe\x9f\xef\xbd\xa1\xe2\x80\xa6"""
1067254302715125760,2018-11-27 03:10:29,b'RT @milkygoddess: bitch just be kind'
1067188235917565953,2018-11-26 22:47:57,b'RT @lalisavause: i like girls but girls don\xe2\x80\x99t like me'
1067177026992386049,2018-11-26 22:03:25,b'Any boy: h\nMe: im emotionally unavailable sorry'
1067171165788082177,2018-11-26 21:40:07,b'RT @lightloveluck: \xf0\x9d\x92\xae\xf0\x9d\x92\xb6\xf0\x9d\x91\x94\xf0\x9d\x92\xbe\xf0\x9d\x93\x89\xf0\x9d\x93\x89\xf0\x9d\x92\xb6\xf0\x9d\x93\x87\xf0\x9d\x92\xbe\xf0\x9d\x93\x8a\xf0\x9d\x93\x88 \xf0\x9d\x92\xae\xf0\x9d\x91\x92\xf0\x9d\x92\xb6\xf0\x9d\x93\x88\xf0\x9d\x91\x9c\xf0\x9d\x93\x83 is in full effect \xe2\x99\x90\xef\xb8\x8e'
1067166365486858243,2018-11-26 21:21:03,b'RT @ChaviStHill: Boys are fucking stupid u know'
1067127674504732673,2018-11-26 18:47:18,b'@ myself https://t.co/78nXDJ6HBb'
1067127514974298112,2018-11-26 18:46:40,b'RT @sarahqt_: u hit a couple cars and suddenly people think u can\xe2\x80\x99t drive what\xe2\x80\x99s up with that'
1067127094734454784,2018-11-26 18:45:00,b'RT @briiinaa_: Well suck my nipples &amp; jingle my nalgas. It\xe2\x80\x99s almost Christmas \xf0\x9f\x8e\x84 \xf0\x9f\x8e\x85\xf0\x9f\x8f\xbc'
1067124268939530240,2018-11-26 18:33:46,b'RT @unclespeakers: I\xe2\x80\x99m mad hurt the grill is closing \xf0\x9f\x98\xaa'
1067077339958390786,2018-11-26 15:27:17,b'RT @maddiiiieee_: I am mentally CHECKED OUT of this semester and I still have like 5 major assignments due and finals to take LMAOooo hELP'
1067068945612644352,2018-11-26 14:53:56,b'@essie1222 U were on my timehop today... such lil bbs \xf0\x9f\x92\x93 https://t.co/z6zU3BFh9p'
1067060747757338624,2018-11-26 14:21:21,"b'I really do try to move on, but shovin ur fingers down my mouth isn\xe2\x80\x99t helpin much daddy ://'"
1067058586172489728,2018-11-26 14:12:46,b'Blush &amp; highlight on my nose is what gives me confidence'
1067044069652729857,2018-11-26 13:15:05,"b'Turn on some house music, smoke some weed, do ur makeup, &amp; start ur monday off right'"
1066883993063383044,2018-11-26 02:39:00,b'RT @kahlo_vivian: Pros: I\xe2\x80\x99m always down\nCons: I\xe2\x80\x99m always down'
1066865505510834177,2018-11-26 01:25:32,b'Sex &amp; cuddles &amp; weed = happy Sunday ((:'
1066851056037101568,2018-11-26 00:28:07,b'RT @judyxoung: i had A WEEK to catch up on work and what did i do? NOTHING. it be your own self'
1066850691757559808,2018-11-26 00:26:40,"b'RT @MuhammadKara_: I hate texting/calling, just Venmo me.'"
1066850668407861248,2018-11-26 00:26:35,b'RT @bobderdles: my heart needs head'
1066390554760675329,2018-11-24 17:58:15,"b'RT @CassyAldaz: If I drunk text you, please don\xe2\x80\x99t continue the conversation the next morning.\n\nThe sun is out. The birds are chirping. I\xe2\x80\x99m\xe2\x80\xa6'"
1066390165365641216,2018-11-24 17:56:42,b'Some bad decisions were made last night but surprisingly no one was harmed'
1066157040203165698,2018-11-24 02:30:21,b'RT @plspeeaftersex: god said everyone who doesn\xe2\x80\x99t have a crush on me is going to hell'
1066134681303900161,2018-11-24 01:01:30,b'RT @brokeangeI: i\xe2\x80\x99m suing the next person who\xe2\x80\x99s mean to me because i\xe2\x80\x99m in a mood'
1066113068227276800,2018-11-23 23:35:37,b'RT @milkygoddess: can i PLEASE get a kiss bro'
1066017696003878912,2018-11-23 17:16:39,b'RT @cassandraluvvv: me talking to platonic friends: hi baby how are you I miss you so much and I love you a ton lil lovebug :( \nme talking\xe2\x80\xa6'
1065973986167787521,2018-11-23 14:22:57,b'I hate how even when im with someone else you\xe2\x80\x99re the only one in mind'
1065973612136542208,2018-11-23 14:21:28,b'So conflicted'
