id,created_at,text
1061267665946337280,2018-11-10 14:41:43,b'#VeteransDay sale of #awardwinning #documentary benefits #HelpHealVeterans #therapy service organization DOWNLOAD a\xe2\x80\xa6 https://t.co/tcQAlLGfAB'
1059536909331021824,2018-11-05 20:04:19,"b'On sale 4 #VeteransDay, to benefit nonprofit therapeutic svc org Help Heal Veterans Narrated by #JimmyBuffett, TWE\xe2\x80\xa6 https://t.co/bFikisjUP4'"
1059408279091200000,2018-11-05 11:33:11,b'The wall\xe2\x80\x99s Embrace in the news. https://t.co/DIOUNxsc9p @marinecorpstime @MilitaryTimes @TAPSorg \n@covvha\xe2\x80\xa6 https://t.co/MfIEScVjKJ'
1058788244702281729,2018-11-03 18:29:23,b'RT @bravotheproject: November is the month in both the #US &amp; #UK for remembering the sacrifices of  the men and women who have served in co\xe2\x80\xa6'
1058209317130768385,2018-11-02 04:08:56,"b'Listen 2 story on The Wall\xe2\x80\x99s Embrace, Fri Nov 2, 6 &amp; 8 am &amp;  noon on https://t.co/b4oKCRfLRa. #classicradio\xe2\x80\xa6 https://t.co/VTXdDqnolf'"
1058141143060439041,2018-11-01 23:38:02,"b'Listen 2 report on The Wall\xe2\x80\x99s Embrace, Fri Nov 2, 6 &amp; 8 am &amp;  noon. Streaming at https://t.co/IEoplmViBe.\xe2\x80\xa6 https://t.co/HGFvcXqfwr'"
1057636614971813888,2018-10-31 14:13:13,"b'Preserve the legacy of the Wall, honor our veterans and remember the sacrifice of those who gave their lives. https://t.co/UuEx0XWilv'"
1057505163836121089,2018-10-31 05:30:53,"b""To honor #VeteransDay The Wall's Embrace will be on sale 4 ONLY $1.99 from 11/4-11/11 on Amazon, iTunes &amp; Google Pl\xe2\x80\xa6 https://t.co/aFlHsVac1o"""
1056867353655500801,2018-10-29 11:16:27,b'RT @bravotheproject: November is the month in both the #US &amp; #UK for remembering the sacrifices of  the men and women who have served in co\xe2\x80\xa6'
1050936480833708032,2018-10-13 02:29:17,"b'Kelly Rihn\xe2\x80\x99s dad, KIA in Vietnam \xe2\x80\x9cEmotionally it was a roller coaster..I couldn\xe2\x80\x99t speak my dad\xe2\x80\x99s name w/o crying..N\xe2\x80\xa6 https://t.co/WvBMpwEPIl'"
1050936075630374917,2018-10-13 02:27:40,"b'Kelly Rihn\xe2\x80\x99s dad, KIA in Vietnam \xe2\x80\x9cEmotionally it was a roller coaster..I couldn\xe2\x80\x99t speak my dad\xe2\x80\x99s name without cryin\xe2\x80\xa6 https://t.co/7WYYPLXN8t'"
1047902331268882433,2018-10-04 17:32:39,b'RT @bravotheproject: A big Oooorah to all our new friends. We appreciate your interest in and support for our project!\nCatch #BRAVO! on @Pr\xe2\x80\xa6'
1046046286212976641,2018-09-29 14:37:23,b'In the words of founder Jan Scruggs\xe2\x80\x9cIt will always be an extraordinary place.\xe2\x80\x9dThe Wall\xe2\x80\x99s Embrace streaming\xe2\x80\xa6 https://t.co/TjdSUpAbor'
1046040068970991616,2018-09-29 14:12:41,"b'In the words founder Jan Scruggs, \xe2\x80\x9cIt will always be an extraordinary place.\xe2\x80\x9d The Wall\xe2\x80\x99s Embrace streaming\xe2\x80\xa6 https://t.co/NbqviQTUie'"
1045383639205388288,2018-09-27 18:44:16,"b'The Wall\xe2\x80\x99s Embrace just received a 5 lb package! Maybe not as spectacular as  8lb Oscar, but impressive nonetheless\xe2\x80\xa6 https://t.co/oUcUrTLnry'"
1041395686879711240,2018-09-16 18:37:34,b'RT @bravotheproject: History over the lip of a trench. Check out #BRAVO! on @PrimeVideo and @primevideouk. The reality of war. #USMC #KheSa\xe2\x80\xa6'
1040308831962771456,2018-09-13 18:38:48,b'Thanks for sharing @VVAmerica https://t.co/JI5zCWWV3D @ThankingVietVet #honorandsacrifice #SemperFi #vietnamvet\xe2\x80\xa6 https://t.co/KbJAU1EDPS'
1040297567077257216,2018-09-13 17:54:02,b'Thanks for the RT'
1040288545699753984,2018-09-13 17:18:11,b'\xe2\x80\x9cLiterally moved to tears. I hadn\xe2\x80\x99t really given a lot of thought to how much it meant to the survivors - I had alw\xe2\x80\xa6 https://t.co/yInxbjRhAI'
1038834294507155456,2018-09-09 16:59:31,"b'Great documentary: thorough account of Khe Sanh powerfully told by those who were there. Watch \xe2\x80\x9cBravo! Common Men,\xe2\x80\xa6 https://t.co/gHeG2ZM6Jw'"
1038571949159600129,2018-09-08 23:37:03,b'@bravotheproject Love your powerful documentary! Well done!!'
1038476274484822017,2018-09-08 17:16:52,"b'In the words of #JanScruggs, \xe2\x80\x9cIt will always be an extraordinary place.\xe2\x80\x9d #neverforget #thankingvietvets #service\xe2\x80\xa6 https://t.co/diqsVtQ0gA'"
1038476271326511105,2018-09-08 17:16:51,"b'More accolades.  That\xe2\x80\x99s  nice and so validating, but what\xe2\x80\x99s truly important is that people see this documentary to\xe2\x80\xa6 https://t.co/JZRVi3GHVj'"
1037073718760157184,2018-09-04 20:23:37,"b'""It was so moving that it inspired my 13-year old to do some independent study on the Vietnam War. This is absolute\xe2\x80\xa6 https://t.co/idT4NlQhyN'"
1035950902132256768,2018-09-01 18:01:56,"b'RIP, John McCain. You were a man of honor, integrity, bravery, and kindness. #Americanwarhero #vietnamvet\xe2\x80\xa6 https://t.co/zBUQNs13Sd'"
