id,created_at,text
1067323368163004416,2018-11-27 07:44:55,b'@Jacob_gallegos1 Now imagine if that poor girl sees you calling her a broad on Twitter Jr. You gotta be better than that \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1067320054411194369,2018-11-27 07:31:45,b'@Jacob_gallegos1 But what you gon do\xf0\x9f\xa4\x94'
1067318586157367296,2018-11-27 07:25:55,b'\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94 https://t.co/sKrD4HBtdM'
1067303754284728320,2018-11-27 06:26:59,b'RT @MelindaaVilla: Got sum day 1s thinking I hate them nigga jus the devil got em so I stay away from niggas \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbd'
1067293703620816896,2018-11-27 05:47:02,b'Staying in the rest of 2018 smh'
1067290515056414722,2018-11-27 05:34:22,"b'RT @GregGarrett35: At the end of the day, real situations expose fake people, so pay attention'"
1067287807368941568,2018-11-27 05:23:37,b'\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1067256096731983872,2018-11-27 03:17:36,b'RT @JBreezy14_: \xf0\x9f\x93\xa0\xf0\x9f\x93\xa0 https://t.co/D9w5zYi49F'
1067255383238967296,2018-11-27 03:14:46,b'I\xe2\x80\x99m gettin money I\xe2\x80\x99m not in the way \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbd'
1067251985882083328,2018-11-27 03:01:16,b'I think it\xe2\x80\x99s bulking season \xf0\x9f\x91\x80\xf0\x9f\xa4\xad\xf0\x9f\xa4\xab'
1067251639285776386,2018-11-27 02:59:54,b'Hi https://t.co/jNurmH691r'
1067213042100854784,2018-11-27 00:26:31,b'\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbd https://t.co/kqqFxCSnZL'
1067212390914129921,2018-11-27 00:23:56,b'Burger King is a disappointment'
1067147385598488576,2018-11-26 20:05:38,b'I\xe2\x80\x99ve been on gta mass murdering niggas all morning lol'
1066914874125500417,2018-11-26 04:41:42,b'RT @CadeKendall: I was literally just about to tweet about how stoned i was. This is perfect. https://t.co/aEyxmRLriA'
1066914460567142404,2018-11-26 04:40:04,b'I\xe2\x80\x99m higher than \xf0\x9f\xa6\x92 \xf0\x9f\x90\xb1'
1066868012743979008,2018-11-26 01:35:30,"b'RT @JAYREC_: Maaaaan, oh my godd, she instagram famous but she can\xe2\x80\x99t keep a job \xf0\x9f\xa4\xa3'"
1066847085566222336,2018-11-26 00:12:20,b'@nixxdee @elliott_zea Yeah Elliott what\xe2\x80\x99s wrong'
1066841220431806464,2018-11-25 23:49:02,b'RT @elliott_zea: @IamMayhemm False \xf0\x9f\xa4\xae\xf0\x9f\x99\x84'
1066838788549144577,2018-11-25 23:39:22,b'We just wanna puff big dopppeeee \xf0\x9f\x92\xa8'
1066829620463300608,2018-11-25 23:02:56,b'RT @_slimesito: Bad bitch but I still mistreat her'
1066817245865623552,2018-11-25 22:13:46,b'RT @MoneyBaggYo: #4EvaMood https://t.co/PWKMwwJWb2'
1066794579196698624,2018-11-25 20:43:42,b'RT @NCommentarys: Bruh was ready to air that b*tch out \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https://t.co/ZZxebiqBM2'
1066794091583725568,2018-11-25 20:41:46,b'RT @_ChaChaChance: I\xe2\x80\x99ve been single for so long idk what i\xe2\x80\x99d do if I had a girlfriend. Like how much attention does it need? Do I have to f\xe2\x80\xa6'
1066788616481865728,2018-11-25 20:20:00,b'RT @Popit4Gee: I don\xe2\x80\x99t want no bitch who encouragin my foolery \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f ion even be wantin dis type shit my self https://t.co/x4f820VCBb'
1066780037758603265,2018-11-25 19:45:55,b'Ima eat her booty before she leave https://t.co/RGLeXMJEpX'
1066773396506071041,2018-11-25 19:19:32,b'RT @ogpixel2: Your girl ran up to a rapper and said \xe2\x80\x9ci been waiting for you all day\xe2\x80\x9d in front of you? LMFAOOOOOOOOOOOOOOOOOO https://t.co/k\xe2\x80\xa6'
1066772627522375680,2018-11-25 19:16:28,b'Lmfao right https://t.co/zx6DLPwBVV'
1066769229184004097,2018-11-25 19:02:58,"b'Everybody ain\xe2\x80\x99t meant to vibe with each other,  so if it doesn\xe2\x80\x99t work out ain\xe2\x80\x99t no need to be mad and talk bad. Jus\xe2\x80\xa6 https://t.co/rSv6XXxis1'"
1066767280460128256,2018-11-25 18:55:13,b'RT @fuckuimindia: Niggas who run trains lowkey gay lmao'
1066663463747866624,2018-11-25 12:02:42,b'How do I lose my AirPods 1000x a day \xf0\x9f\x99\x84'
1066659665398792192,2018-11-25 11:47:36,b'RT @_TheTruuth: Why tf am I up'
1066639849946402817,2018-11-25 10:28:52,b'RT @MoneyBaggYo: Real niggas ain\xe2\x80\x99t Neva goin outta style'
1066639556273876992,2018-11-25 10:27:42,b'@CjSchlenk @elliott_zea \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1066639537202356226,2018-11-25 10:27:37,b'RT @CjSchlenk: @IamMayhemm @elliott_zea I\xe2\x80\x99m just hoping you were bluffing \xf0\x9f\x98\x85'
1066639331148746752,2018-11-25 10:26:48,b'RT @TDADDYISDOPE: @IamMayhemm @elliott_zea woooooooooooooow'
1066639178643910657,2018-11-25 10:26:12,b'@CjSchlenk @elliott_zea Let me have some fun'
1066638937106505728,2018-11-25 10:25:14,b'@TDADDYISDOPE @elliott_zea https://t.co/sTvb1yJvI9'
1066638799432638464,2018-11-25 10:24:41,b'RT @TDADDYISDOPE: @IamMayhemm @elliott_zea Oh fuckkk don\xe2\x80\x99t say that'
1066638436587593728,2018-11-25 10:23:15,b'@elliott_zea fucked a fat girl'
1066636319256805378,2018-11-25 10:14:50,b'The homies are tore tf up\xf0\x9f\x98\x82'
1066636136984928257,2018-11-25 10:14:06,b'RT @JB_Mariee: Yo I dunno what they put in all of your drinks in old town but whatever it is got y\xe2\x80\x99all acting fooolish lol'
1066597503280140289,2018-11-25 07:40:35,b'Last nigga I had pressure with we never found him'
1066597057748590592,2018-11-25 07:38:49,b'RT @MoneyBaggYo: S I N G L E .. S I N G L E'
1066573011958943746,2018-11-25 06:03:16,b'My phone died and I went straight to sleep lol'
1066489463608508418,2018-11-25 00:31:17,b'RT @FellowsAbby: Peoria is so wack'
