id,created_at,text
1067234928864239621,2018-11-27 01:53:29,b'@AnonOpinion411 Exactly'
1067234745787002884,2018-11-27 01:52:46,b'https://t.co/qvlJjTvRPX'
1067221992087175168,2018-11-27 01:02:05,b'RT @PostAbortNate: Says the man who only lost weight because he beat his ex and went to prison and feeds his family squirrels for dinner\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xe2\x80\xa6'
1067218014867767297,2018-11-27 00:46:17,b'If this is a #CoupleGoals the world might as well end. https://t.co/RdEWddPvln'
1067169205294964737,2018-11-26 21:32:20,b'@username__xo_ Never'
1067051637641019393,2018-11-26 13:45:09,b'@420Texasmade Y E S'
1067051350889062402,2018-11-26 13:44:01,"b""@GeeKnee88 Dang! You're way ahead"""
1067051025104818176,2018-11-26 13:42:43,b'@hiletschopcats Same!'
1067050923128688641,2018-11-26 13:42:19,b'@username__xo_ Freaking 178 \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad'
1066899424247455744,2018-11-26 03:40:19,"b""@CertifiedHatter @Anon_Mafioso @username__xo_ I've got puppies too! Just not right now https://t.co/H5CPcZdOf6"""
1066899008289992706,2018-11-26 03:38:40,"b""@Anon_Mafioso @username__xo_ That's a great name \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3"""
1066898266829332481,2018-11-26 03:35:43,b'@username__xo_ @Anon_Mafioso I can send you 4 via Delta!!! You want them \xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80'
1066898112546041856,2018-11-26 03:35:06,"b""@username__xo_ @Anon_Mafioso Wait, are you naming him burrito? Because that's amazing. Lol"""
1066897787168661507,2018-11-26 03:33:49,"b""@1_Ronda Ooooh yay! Do you do all different colors for the three tree's?"""
1066897439007932417,2018-11-26 03:32:26,"b""@username__xo_ It's really sad because he's so young. Cut the kid some damn slack and work with him. You just pluck\xe2\x80\xa6 https://t.co/zN9pwKRVnW"""
1066896754761785344,2018-11-26 03:29:42,"b""@username__xo_ Dude...... That's so damn hard. I feel so bad for (can't spell his name) completely different cultures."""
1066896442202226688,2018-11-26 03:28:28,"b""@Squishy_Hero What is that cute little tree? That's so adorable"""
1066890451465195520,2018-11-26 03:04:40,b'@BabesofLAAAND Aweee! Super cute'
1066890319285899264,2018-11-26 03:04:08,b'@username__xo_ Good \xe2\x9d\xa4\xef\xb8\x8f'
1066889857279102976,2018-11-26 03:02:18,b'@monkeysback5 Fuuuuuuck voicemails!!!'
1066889791323672576,2018-11-26 03:02:02,"b""Ok, I'm a psycho but can you share your Christmas tree's? I love seeing different Christmas \xf0\x9f\x8c\xb2 https://t.co/M77b603Lpe"""
1066889241551093760,2018-11-26 02:59:51,"b""@BabesofLAAAND Ok, so are you an OCD tree or crazy kid tree? Faaaak I want to see everyone's trees \xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80"""
1066888866924240896,2018-11-26 02:58:22,"b'@BabesofLAAAND I need to do the railing, outside lights, both trees. Send help!'"
1066888726750601217,2018-11-26 02:57:48,"b""How many emails do you think you'll have in your work inbox tomorrow??? \xf0\x9f\x98\xac https://t.co/jaIj3h1l1M"""
1066888021222588417,2018-11-26 02:55:00,"b""@username__xo_ It's always Sunny in California"""
1066887835943346176,2018-11-26 02:54:16,"b'@Munch_ken @PBandJizzBelly @AnonOpinion411 I agree, this was really good!'"
1066887626467303426,2018-11-26 02:53:26,b'@krissyzee Oh hell no! Sending you strength \xe2\x9d\xa4\xef\xb8\x8f'
1066887478131531776,2018-11-26 02:52:51,b'RT @PBandJizzBelly: New flag swag! https://t.co/oPArw0iqmt'
1066887060009693186,2018-11-26 02:51:11,"b""I'm finally home from vacation and I feel like I need to get my Christmas decorations out ASAP!"""
1066886804714987525,2018-11-26 02:50:10,b'Is your Christmas tree up?'
1066883828113915904,2018-11-26 02:38:21,"b""@thaterinb I'm so happy I'm not the only mom who has pictures like this \xf0\x9f\x98\xac"""
1066883690125504513,2018-11-26 02:37:48,b'@ChrisChatter05 Chris we all love you! She sounds like a bunny boiler \xe2\x9d\xa4\xef\xb8\x8f'
1066882372703006720,2018-11-26 02:32:34,b'@username__xo_ Feel better \xe2\x9d\xa4\xef\xb8\x8f'
1066882260568338432,2018-11-26 02:32:07,"b'RT @Fetal_Mistake: JE\'s IG story. This is certainly productive. Where are their ""5 kids"" while she\'s filming him playing video games? https\xe2\x80\xa6'"
1066882101713281024,2018-11-26 02:31:29,b'@Igotattitude_21 @amber_brookssss Nahhhhh issa penis'
1066881837321080833,2018-11-26 02:30:26,b'@Anon_Mafioso https://t.co/5EYz1q5bj0'
1066857381152415744,2018-11-26 00:53:15,"b""@Igotattitude_21 Don't you dare! Let the anxiety set in"""
1066857290970603521,2018-11-26 00:52:54,b'This one is making a strong plea to stay. Gahhhhhhhh how will I let these little babies go? https://t.co/l8CY0DazQk'
1066854016733364224,2018-11-26 00:39:53,b'@Fetal_Mistake Was he in jail there? LOL'
1066853851364507649,2018-11-26 00:39:14,b'RT @AnonOpinion411: TMI!!!! Thanks to @ImFcknRakin for finding this gem! Holy shit. https://t.co/fjbwVZmXBw'
1066842441934954497,2018-11-25 23:53:53,b'@ToHatOrNotToHat @chris3zero2 He likes his dreams like he likes his girl... Big'
1066841496018739206,2018-11-25 23:50:08,b'RT @Igotattitude_21: Ima leave this here https://t.co/3SMd3kyWvF'
1066839936236691457,2018-11-25 23:43:56,"b""@BoneEstradaaa @paigexallyson It's amazing"""
1066839596242210816,2018-11-25 23:42:35,"b""@AnonOpinion411 I'm that mix and I'm on be the match. \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f"""
1066839441434705920,2018-11-25 23:41:58,b'RT @OfficiallyNio: Jace goes to therapy because of the lack of empathy and you learn him how to shoot and kill innocent animals? Unbelievab\xe2\x80\xa6'
1066420656290566149,2018-11-24 19:57:52,b'RT @JenellesVag: https://t.co/2Eqi6ss7Xt'
1066176413223534592,2018-11-24 03:47:20,b'RT @theyhavethedumb: I\xe2\x80\x99m surprised they let him in the daycare with his history of abuse and not being able to even cook eggs at home witho\xe2\x80\xa6'
1066173400417226752,2018-11-24 03:35:21,b'@kgunnerpd Lol no'
1066169372148932608,2018-11-24 03:19:21,b'Seems like a better product. She uses them on David https://t.co/2hwhfNThNL'
1066166090248716288,2018-11-24 03:06:18,b'RT @AntiTeenMomMeme: \xf0\x9f\x98\x82\xf0\x9f\x98\x82 is debz OG talking sbout catelynn?!?! https://t.co/pDpKjp8fRk'
1066165363723968515,2018-11-24 03:03:25,b'RT @nonteennonmom: When you thought you were safe from the swamp but your dad shows up at your daycare https://t.co/BIyTEkYpE0'
1065623307783995393,2018-11-22 15:09:29,"b""RT @Fetal_Mistake: JE's IG story. I'm not exactly sure what she's trying to do though... trying to see how awkward and fake she can make th\xe2\x80\xa6"""
1065622843797504000,2018-11-22 15:07:38,b'RT @mlukini3: Uncle Micro Peen is blowing the shells off the eggs? \nWho TF wanna eat those eggs now??\nSick fuck. https://t.co/017O4Fjzga'
1065622565325086720,2018-11-22 15:06:32,b'RT @closet_reality: This has to be Tyler. Thoughts? @AnonOpinion411 @Anon_Mafioso https://t.co/4X3u2L1X40'
1065457825768513536,2018-11-22 04:11:55,"b'RT @FUNB18: Soooooo u can eat bacon &amp; biscuits SMOTHERED in gravy, BUT U CANT EAT THANKSGIVING DINNER?!?!?! \n\nDo u even HEAR the lies &amp; exa\xe2\x80\xa6'"
1065079043379351552,2018-11-21 03:06:46,b'RT @ScabEatinCate: Please tell me I\xe2\x80\x99m not the only one that thinks this? #TeenMom #TeenMomOG https://t.co/82mwjlCvk6'
1064972238649262082,2018-11-20 20:02:22,"b'@FUNB18 Funny, I feel the same way about her enabling ass \xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'"
1064693220955877376,2018-11-20 01:33:39,"b""@thaterinb That's how we communicate \xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3"""
1064685689181224960,2018-11-20 01:03:43,b'No paternity test needed for Mouff Jr. \xf0\x9f\x98\x81Happy #MouffMonday \xe2\x9d\xa4\xef\xb8\x8f https://t.co/iLaoN4EjBU'
1064685197256523776,2018-11-20 01:01:46,b'Mack Truck is not happy with me \xf0\x9f\x98\xac\xf0\x9f\x98\xac\xf0\x9f\x98\xac https://t.co/mQgsLBpRD0'
1064248458335477760,2018-11-18 20:06:19,b'Accurate https://t.co/Z4veIVKBpV'
1064147343543545858,2018-11-18 13:24:32,b'https://t.co/qh4NLliHMI'
1063963152038146048,2018-11-18 01:12:37,b'Adorable!!! https://t.co/LrwSFo7fLs'
1063885311929970688,2018-11-17 20:03:19,b'RT @ohmygodDUDEEE: Javi tries too hard and ends up looking like an f**k boy https://t.co/14jjAFXeZW'
1063885273002647554,2018-11-17 20:03:09,"b""RT @OfficiallyNio: Kaden's birthday was yesterday and neither David or Jenelle made a post about it on social media \xf0\x9f\xa4\x94 I guess they were bot\xe2\x80\xa6"""
1063885241826373632,2018-11-17 20:03:02,b'RT @terilewlew: Seriously shut the f**k up!! We all know you drove so you could bring your drugs home!! https://t.co/cJjBscVluv'
1063620737137807360,2018-11-17 02:31:59,b'@Show_Yer_Tweets @KailLowry \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'
1063620489363562496,2018-11-17 02:31:00,"b""RT @OfficiallyNio: I made a little recap of Javi and Lauren's situationship \xf0\x9f\x98\xac https://t.co/pxje17kkb8"""
1063619249518899201,2018-11-17 02:26:04,"b'Oh Paul, you are a moron! #90dayfiance https://t.co/4FiK8myMXj'"
1063617618320547842,2018-11-17 02:19:35,b'RT @JtotheHellno: Lots of Christmas shirts now available!!\xf0\x9f\x8e\x84\xf0\x9f\x8e\x81 https://t.co/6WGlZkWPtc https://t.co/tPQE5zT42e'
1063617381648474119,2018-11-17 02:18:39,"b'""Our favorite"" Tee hee I but Kailyn loves this https://t.co/XLen7nqxrJ'"
1063607406259773440,2018-11-17 01:39:01,b'These outfits are a no https://t.co/eYVOsL3Sct'
1063495494666805248,2018-11-16 18:14:19,"b""@1ztBornUnicorn The dates for Javi's baby."""
1063491171186589697,2018-11-16 17:57:08,b'@antoniajoy_ @kayla_sessler what is your mom doing \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'
1063490204244340737,2018-11-16 17:53:18,b'\xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80 https://t.co/B8Tw5oA07P'
1063454013868388358,2018-11-16 15:29:29,b'RT @antoniajoy_: y\xe2\x80\x99all my friend got caught sneaking into his girls house and his gf\xe2\x80\x99s mom posted this on her snap story.. \xf0\x9f\x92\x80\xf0\x9f\x92\x80 https://t.co/\xe2\x80\xa6'
1063433638363189248,2018-11-16 14:08:31,b'RT @HalfSh3ll3dH3r0: Wanna know where Jenelle Evans was tonight? \xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/o2j0kBimRN'
1063432410447192064,2018-11-16 14:03:38,b'@CertifiedHatter Sorry for your lost \xe2\x9d\xa4\xef\xb8\x8f'
1063400660937379842,2018-11-16 11:57:29,b'@chuggerdawn20 Yes! https://t.co/gPdIWex8fS'
1063277663194894336,2018-11-16 03:48:44,b'@mrss_beebs @greasonhatter @Smith44412196 @BrianaDejesus_ https://t.co/Kms5AgUPCB'
1063275896294031360,2018-11-16 03:41:43,b'On that note.... Goodnight Twitter \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https://t.co/4T7dDVtURu'
1063274795482140672,2018-11-16 03:37:20,b'RT @1ztBornUnicorn: Someone took my advice and went back to the club https://t.co/xuHwM6PZti'
1063270519020167168,2018-11-16 03:20:21,b'@FUNB18 What is happening here'
1063269847692394496,2018-11-16 03:17:40,b'@HatterAriel \xf0\x9f\x91\x80'
1063269734949494784,2018-11-16 03:17:14,b'RT @Anon_Mafioso: Love how he calls her \xe2\x80\x9cdude\xe2\x80\x9d lmfao https://t.co/LdGphXa00K'
1063269727965982720,2018-11-16 03:17:12,b'RT @Anon_Mafioso: This is the \xe2\x80\x9csnow\xe2\x80\x9d video I mentioned https://t.co/snL2hit04L'
