id,created_at,text
1067291762228629504,2018-11-27 05:39:20,b'RT @coleneiers: https://t.co/j575iCemmv'
1067284799876935680,2018-11-27 05:11:40,b'RT @_briannadevine: Milo!\xf0\x9f\xa5\xba https://t.co/d3TxDj9Vtz'
1067279031345840129,2018-11-27 04:48:44,"b'RT @Offparoletx: ""Who said sugar gay I\'ll beat your fuckin ass"" https://t.co/eTjimWoMlk'"
1067273565274349573,2018-11-27 04:27:01,b'RT @CoolDotCom: 6 year old me after watching beetlejuice  https://t.co/yu8tgxEzh9'
1067269224140296192,2018-11-27 04:09:46,b'my son and I &lt;3 https://t.co/59LoBKcO9F'
1067269083203280896,2018-11-27 04:09:12,b'RT @catsfolder: High 5 https://t.co/HWm8Jfdxrr'
1067257744636477440,2018-11-27 03:24:09,b'RT @tabitharabitha: The comedic genius of this......unparalleled https://t.co/tyQylChcjH'
1067248422724530176,2018-11-27 02:47:07,b'RT @heavenbrat: me sensitive? yea. me easily triggered by past trauma? yea. me overly soft with ppl i care abt &amp; it probably annoys them? y\xe2\x80\xa6'
1067247161639866368,2018-11-27 02:42:06,b'RT @thottbaio: https://t.co/bVVIjqqDvE'
1067247039803727872,2018-11-27 02:41:37,b'RT @blowticious: This? This I can fuck with. It\xe2\x80\x99s adorable. https://t.co/7PllWB93RP'
1067242057192939521,2018-11-27 02:21:49,b'RT @TommySobiesski: females who are actually satan\n\n1. women who laugh when mad\n2. women with big foreheads\n3. women who say \xe2\x80\x9cit\xe2\x80\x99s fine\xe2\x80\x9d\n4.\xe2\x80\xa6'
1067241487744868352,2018-11-27 02:19:33,b'Having a crush is so stupid I\xe2\x80\x99m over myself'
1067170100212576257,2018-11-26 21:35:53,b'This video is so funny I\xe2\x80\x99m crying https://t.co/djCCWWSOh6'
1067169147023429636,2018-11-26 21:32:06,b'RT @jovanhiII: me and my followers tweeting men are trash https://t.co/UPFz3OdsNL'
1067168668331716608,2018-11-26 21:30:12,"b'RT @TheBoyWhoWrote: Send me a ""we need to talk"" text and I\'m just going to respond with ""yeah. We absolutely do."" Now we\'re both waiting wi\xe2\x80\xa6'"
1067167252422828034,2018-11-26 21:24:34,b'@chelseyboll @Crowdfiller It\xe2\x80\x99s me NOW'
1067163474189606912,2018-11-26 21:09:33,b'RT @tinderdistrict: I just sent a boy a nude and he responded \xe2\x80\x9cstrong effort\xe2\x80\x9d I am going to end it all'
1067161432201015301,2018-11-26 21:01:26,b'Can\xe2\x80\x99t stop thinking about how much I looooove this look https://t.co/S3sPKtZh3J'
1067161224595611648,2018-11-26 21:00:37,b'Forget it again https://t.co/FnBux3ZlJ0'
1067160904289198081,2018-11-26 20:59:21,b'RT @Crowdfiller: *minor inconvenience*\n\n14 year old me:\n\n\xe2\x9a\xaa\xef\xb8\x8f\xe2\x94\x80\xe2\x94\x80\xe2\x94\x80\xe2\x94\x80\xe2\x94\x80\xe2\x94\x80\xe2\x94\x80\xe2\x94\x80\xe2\x94\x80\xe2\x94\x80\xe2\x94\x80\xe2\x94\x80\xe2\x94\x80\n 0:01                                     -3:21\xe2\x80\xa6'
1067126662528204807,2018-11-26 18:43:17,"b""RT @shialacunt: sensitivity is actually just not a bad thing? i'm a passionate person that cares about a lot of people and the way that my\xe2\x80\xa6"""
1066786138394951680,2018-11-25 20:10:09,b'RT @spooky_zack: The intro to Delicate by Taylor Swift &gt;&gt;&gt;  https://t.co/EKrsgVOgUq'
1066780648625631232,2018-11-25 19:48:21,b'@antiaIIie YOUR SIMMM@'
1066766864267845635,2018-11-25 18:53:34,b'LEAVE ME ALONE OMG LEO https://t.co/ABYkEJdzXU'
1066589160033697792,2018-11-25 07:07:26,b'RT @lindxeyy: me drinking literally any type of alcohol  https://t.co/PXMsTV17zt'
1066575852383715331,2018-11-25 06:14:33,"b'RT @DAYTONAPRlNCE: Wherever she is, I hope she\xe2\x80\x99s having a good day https://t.co/VO0pDdqNoZ'"
1066567245642559488,2018-11-25 05:40:21,"b""RT @cheerylex: it's wild to think last year at this time i was hospitalized for suicide + mental health issues. now i'm thriving &amp; i'm the\xe2\x80\xa6"""
1066563571558113280,2018-11-25 05:25:45,b'RT @coleneiers: Re-vamp https://t.co/fFStRjGTdL'
1066555910640812032,2018-11-25 04:55:19,b'RT @EastSideKris: Yoooo who son is this?? I\xe2\x80\x99m DYING \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82  https://t.co/UzbR415t0Y'
1066537122906206209,2018-11-25 03:40:40,"b'@jhutcherdad You have my location, I\xe2\x80\x99m waiting for you at the door \xf0\x9f\x98\xb3 https://t.co/FakPZ6vh8e'"
1066536357789605889,2018-11-25 03:37:37,b'@jhutcherdad You are'
1066516987990417408,2018-11-25 02:20:39,b'RT @coleneiers: https://t.co/PX699GHPn4'
1066513837837484034,2018-11-25 02:08:08,b'Barnabus Reynolds'
1066419091798454273,2018-11-24 19:51:39,b'listening to Nickelback https://t.co/pHRzfjWQO7'
1066409486468947970,2018-11-24 19:13:29,b'RT @jovanhiII: alexa TestingCheatsEnabled true motherlode'
