id,created_at,text
1067338091558359040,2018-11-27 08:43:25,b'RT @ufobri: I WAS REALLY IMPRESSED WITH HIS IMPRESSION BUT THENNDHDH https://t.co/9WTg5mrnc7'
1067328153826160641,2018-11-27 08:03:56,b'RT @gabriellatrice: PLEASE RT! https://t.co/dE9Tdujlgq'
1067309093285548032,2018-11-27 06:48:12,b'RT @kinseyb_: Without me by Halsey is a whole mood'
1067308774292054017,2018-11-27 06:46:56,b'RT @rad_pjayyy: Reverie-Illenium if ya know ya know'
1067298141488132096,2018-11-27 06:04:41,b'RT @Cleve_age: Me: Hey do you take walk-ins?\nCremator: What?'
1067297893155987456,2018-11-27 06:03:41,b'RT @ArianaGrande: https://t.co/4N3nOwp5Gr'
1067296361177960450,2018-11-27 05:57:36,b'RT @badvibesmami: When your cart is $74.96 but it\xe2\x80\x99s free shipping at $75 https://t.co/GkF3rJXuzk'
1067284244941164546,2018-11-27 05:09:27,b'@Immortal_2X they sure as FUCK can and I know quite a few who do'
1067280149215768578,2018-11-27 04:53:11,b'RT @mindofbrendon: the last couple dollars in my bank account hanging on for dear life https://t.co/Qd3MzmCd2H'
1067272648080510976,2018-11-27 04:23:22,b'wow this really might be the year where I ha e a good holiday szn I have hope'
1067271260831342592,2018-11-27 04:17:52,b'RT @SamuelLJackson: Why is that Hemorrhoid threatening to shut down the Government over a Wall budget? What happened to \xe2\x80\x9cand Mexico is gonn\xe2\x80\xa6'
1067270776695357441,2018-11-27 04:15:56,b'ladkfjsjdiaisj what a day \xf0\x9f\x98\x8d lucky fuckin me'
1067270705132134400,2018-11-27 04:15:39,b'RT @originalcuntent: When they finally restock the local CVS with extra small condoms. https://t.co/aoQ2KhmOts'
1067270665206546432,2018-11-27 04:15:30,b'RT @JayGalxby: \xe2\x80\x9cYou\xe2\x80\x99re so cute \xf0\x9f\x98\x8d\xf0\x9f\x98\xa9 \xe2\x80\x9c \n\nMe: https://t.co/YiyJO9iwKu'
1067269956134330368,2018-11-27 04:12:41,b'RT @jaylexjess: 2019 is going to be a good year \xf0\x9f\x91\x8f\xf0\x9f\x92\x9c'
1067256746618449920,2018-11-27 03:20:11,b'RT @_CHMST: MY TUNE TWISTED DUB IS OUT NOW ON BEWILDERED!!\n\nhttps://t.co/9myndeEh1Q'
1067255095190937600,2018-11-27 03:13:37,b'@donaldark0 Am I bad at being Asian LMAO'
1067254908577935360,2018-11-27 03:12:53,"b""RT @harleylaroux: It's that magical, sexy time of year. So wrap your sub up with some lit Christmas lights, use a jigglebell as a ball gag,\xe2\x80\xa6"""
1067254746648477696,2018-11-27 03:12:14,b'RT @ILLENIUMMUSIC: My remix of \xe2\x80\x98Without Me\xe2\x80\x99 by @halsey  comes out this Friday!! I hope you guys dig ittttt! Thanks for the memories San Fra\xe2\x80\xa6'
1067252632715112449,2018-11-27 03:03:50,b'RT @JackedYaTweets: it\xe2\x80\x99s almost like they\xe2\x80\x99re not supposed to be kept in chlorine filled tanks.... https://t.co/Cg871N7U53'
1067252558387761152,2018-11-27 03:03:33,b'RT @Dubloadz: Detective Pikachu https://t.co/YKUMAfFCJ6'
1067249317021274112,2018-11-27 02:50:40,b'@jermyfox707 No not yet .____. I need to'
1067179505045782529,2018-11-26 22:13:15,b'UGHHH IM SO EXCITED TO GO TO PORTLAND AAAAAAAAAAAH'
1067176259921240069,2018-11-26 22:00:22,b'I need coffee hoooooooooo my lord'
1067172076849586178,2018-11-26 21:43:44,b'RT @only_evann: \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/a0ygqKq6zg'
1067166015136575488,2018-11-26 21:19:39,b'oh https://t.co/CUt9NiBSbJ'
1067162854430728198,2018-11-26 21:07:06,b'RT @XaeboR: Free Download \n\nhttps://t.co/ZlCQ8xVna1'
1067158234350346245,2018-11-26 20:48:44,b'Holy shit ... exactly one week before I go to Portland'
1067042147382157312,2018-11-26 13:07:27,"b'RT @NOTVIKING: ladies, if he:\n\n\xe2\x80\xa2 expects you to clean the house\n\xe2\x80\xa2 is trying to rush you into marriage\n\xe2\x80\xa2 dreams of being an actor\n\xe2\x80\xa2 has a ta\xe2\x80\xa6'"
1067034474574036992,2018-11-26 12:36:57,b'some self reflection at 4:30am whilst I\xe2\x80\x99m at work: I\xe2\x80\x99ve managed to build myself back up from the goddamn fucking gr\xe2\x80\xa6 https://t.co/ZmKJcAACRg'
1067005495414730753,2018-11-26 10:41:48,b'@AllenYo88 @tammilktea @alfreddterence @ILLENIUMMUSIC .... dude fuckin really? You see someone post something that\xe2\x80\xa6 https://t.co/sMOYglJNB6'
1066987224086892545,2018-11-26 09:29:12,"b""RT @AmoNickk: WALL-E came out in 2008 and y'all are still littering??"""
1066972852329410560,2018-11-26 08:32:06,b'RT @palestilian: hey i\xe2\x80\x99m depressed \n\n\xe2\x80\x9cyou shouldn\xe2\x80\x99t feel that way\xe2\x80\x9d\n\nthanks dawg i\xe2\x80\x99m fully cured now'
1066962149929439232,2018-11-26 07:49:34,b'@Davesaysthings I just need to lie down and close my eyes for a bit lol \n16 hour shifts are challenging'
1066962031671050242,2018-11-26 07:49:06,b'@bxldie I love u too \xf0\x9f\x98\xad\xf0\x9f\x96\xa4\xf0\x9f\x96\xa4\xf0\x9f\x96\xa4'
1066961994316562432,2018-11-26 07:48:57,b'@jermyfox707 HAHAHAHAH'
1066961946639908864,2018-11-26 07:48:45,b'RT @iamdabinlee: First b2b set with @SaidTheSky last night in San Fran was so special. Thank you \xe2\x9d\xa4\xef\xb8\x8f https://t.co/58CUPYUIQV'
1066957262940327936,2018-11-26 07:30:09,b'too much fucking bullshit today im over it I\xe2\x80\x99m so so so so SO over it'
1066953093571469312,2018-11-26 07:13:35,b'RT @jarevalo527: \xf0\x9f\x92\x96\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x95\xf0\x9f\x92\x98\xe2\x9d\xa3\xef\xb8\x8f\xf0\x9f\x92\x9eI\xe2\x80\x99m\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x96\xf0\x9f\x92\x95\xf0\x9f\x92\x95\xf0\x9f\x92\x98\xf0\x9f\x92\x95\xf0\x9f\x92\x95\xf0\x9f\x92\x97so\xf0\x9f\x92\x95\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x96\xf0\x9f\x92\x9e\xf0\x9f\x92\x97\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x95\xe2\x9d\xa3\xef\xb8\x8f\xf0\x9f\x92\x96fucking\xf0\x9f\x92\x96\xf0\x9f\x92\x95\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x9e\xf0\x9f\x92\x98stressed\xf0\x9f\x92\x95\xf0\x9f\x92\x96\xf0\x9f\x92\x95\xf0\x9f\x92\x98\xf0\x9f\x92\x97\xf0\x9f\x92\x9e\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa3\xef\xb8\x8f\xf0\x9f\x92\x9e\xf0\x9f\x92\x98hit\xf0\x9f\x92\x95\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x98\xf0\x9f\x92\x95\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x97\xf0\x9f\x92\x97me\xf0\x9f\x92\x95\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x96\xf0\x9f\x92\x9e\xe2\x9d\xa3\xef\xb8\x8f\xf0\x9f\x92\x95with\xf0\x9f\x92\x98\xf0\x9f\x92\x95\xe2\x9d\xa3\xef\xb8\x8f\xf0\x9f\x92\x9e\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x96your\xf0\x9f\x92\x95\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa3\xef\xb8\x8fcar\xf0\x9f\x92\x97\xf0\x9f\x92\x98\xf0\x9f\x92\x95\xe2\x9d\xa3\xef\xb8\x8f\xf0\x9f\x92\x96'
1066952526388326401,2018-11-26 07:11:19,"b'lol I\xe2\x80\x99m upset, tired and burnt the hell out at work and it\xe2\x80\x99s only my first day'"
1066940501100683264,2018-11-26 06:23:32,b'RT @Caseydilla67: So guys call girls crazy all the time but honestly I know a lot of guys that walk around punching holes in walls at the s\xe2\x80\xa6'
1066939966930923520,2018-11-26 06:21:25,b'RT @kaylasch2: no offense but 2018 was ass i spent the whole year crying and i wish i was exaggerating'
1066939900568563713,2018-11-26 06:21:09,"b'RT @thholyghost: to quote jennifer\'s body, 1:32:17; ""my tit""'"
1066939250816385025,2018-11-26 06:18:34,b'RT @badvibesmami: I need sushi and I need it NOW'
1066939093920112641,2018-11-26 06:17:57,b'RT @bassdrip: I love my cat so much like holy fuck'
1066937357876621312,2018-11-26 06:11:03,b'RT @Subtronics: I\xe2\x80\x99d be so fucking fucked lmao holy fucking shit https://t.co/wRI4GL1jCU'
1066917495200657409,2018-11-26 04:52:07,b'hi again it\xe2\x80\x99s me https://t.co/EmBpYp8pl6'
1066916435664920577,2018-11-26 04:47:55,b'RT @pieceofshit666_: my mom is my new photographer \xf0\x9f\x96\xa4 https://t.co/Fi3TjNcHyr'
1066889509743210496,2018-11-26 03:00:55,b'RT @nicksonr_: why the Grinch wanted to live alone with his dog https://t.co/5tv0xmuUr1'
1066870798609113089,2018-11-26 01:46:34,"b'RT @tammilktea: Mad at him. I had no words and the only thing I could do was shake my head at him, turn around and ignore him then proceed\xe2\x80\xa6'"
1066870792468619265,2018-11-26 01:46:33,"b'RT @tammilktea: Later on in the set, I feel his hands start creeping like he was attempting to put his hands in my shorts from the thigh op\xe2\x80\xa6'"
1066870775024513024,2018-11-26 01:46:28,"b""RT @tammilktea: THIS IS A PSA TO ALL RAVERS: I had the best night of my life seeing @ILLENIUMMUSIC but I'm also still upset/mad at some dis\xe2\x80\xa6"""
1066870766669447170,2018-11-26 01:46:26,"b""RT @tammilktea: As I'm enjoying Illenium's set, I feel this dude (the one with the water bottle behind me in the bid) start touching my thi\xe2\x80\xa6"""
1066869846258855936,2018-11-26 01:42:47,b'@wdupjuls Yes!'
1066820592584683522,2018-11-25 22:27:04,b'RT @peedekaf: i never really had balance https://t.co/OB2d08lTjU'
1066820557025378305,2018-11-25 22:26:56,b'RT @41Strange: Cats tattooing each other by Japanese illustrator Kazuaki Horitomo https://t.co/a7OI5Zvpck'
1066808702517182464,2018-11-25 21:39:49,b'man I really ugly cried last night'
1066808448736669696,2018-11-25 21:38:49,b'@atomicdiv I got the tapestry off amazon!! (Also thank you \xf0\x9f\x96\xa4\xf0\x9f\x96\xa4\xf0\x9f\x96\xa4) https://t.co/372tqywXsg'
1066807847697047552,2018-11-25 21:36:25,b'@_ink0wl \xf0\x9f\x96\xa4\xf0\x9f\x96\xa4\xf0\x9f\x96\xa4'
1066805651622350848,2018-11-25 21:27:42,b'I had the best cry of my life https://t.co/OawsdeXIsq'
1066805190861316096,2018-11-25 21:25:52,"b""RT @R666LEY: Ladies, if he:\n\n- never responds to your texts \n- has never watched your insta story \n- can't seem to hold his phone straight\xe2\x80\xa6"""
1066804898094706688,2018-11-25 21:24:42,b'Highlight of last night: illenium dropping that ha ha he hu &amp; @bxldie and I jump out of our seats and start screami\xe2\x80\xa6 https://t.co/4ccnn1ZYgA'
1066797603998785536,2018-11-25 20:55:43,b'RT @Mynamesnotmelis: Maybe one day you won\xe2\x80\x99t haunt my nightmares and I won\xe2\x80\x99t have flashbacks keeping me up every night'
1066797385349718016,2018-11-25 20:54:51,b'RT @mantikmusic: That impending doom X Ball licker VIP double ft. @NotSweetTooth before he took his pants off and humped me on stage\n\nA rea\xe2\x80\xa6'
1066789119659888640,2018-11-25 20:22:00,b'RT @hvdesmusic: rough sex but we\xe2\x80\x99re not actually fucking it\xe2\x80\x99s just u beating me to death w a shovel'
1066787268814225409,2018-11-25 20:14:39,b'RT @Kompanymusic: Weird flex but choke me'
1066786180031598592,2018-11-25 20:10:19,b'RT @livornooo: I aggressively agree to this https://t.co/LM9NzMCGZc'
1066780094327189504,2018-11-25 19:46:08,b'RT @GilpinGrace: dates DON\xe2\x80\x99T HAVE TO BE EXPENSIVE! here are 10 completely FREE 1st date ideas:\n\n1. get in a car wreck\n2. fist fight\n3. shop\xe2\x80\xa6'
1066618460283711489,2018-11-25 09:03:52,b'@bxldie @SaidTheSky Same. Rn I\xe2\x80\x99m at a bar and I hear \xe2\x80\x9coh your makeup is smudged\xe2\x80\x9d YES BECAUSE I WAS EMOTIONAL'
1066606015058075649,2018-11-25 08:14:25,b'I\xe2\x80\x99m sorry I can\xe2\x80\x99t get over illenium playing yasuo wtf even happened'
1066594869596975104,2018-11-25 07:30:07,b'...... illenium played yasuo I\xe2\x80\x99m crying'
1066587276749107200,2018-11-25 06:59:57,b'Shoutout to @SaidTheSky for dropping All I Got \nI ugly cried'
1066557659728367616,2018-11-25 05:02:16,b'SOMEONE REALLY DROPPED SPLACES AT ILLENIUM WTF AHRKETIAJDHJASJRJW'
1066535901054955520,2018-11-25 03:35:48,b'RT @badvibesmami: my angel bb \xf0\x9f\x92\x8c https://t.co/DyIyckAUxn'
1066529764821807104,2018-11-25 03:11:25,b'AAAAAAAAAAAAAAAA I GET TO SEE ILLENIUM TN AAAAAAAAAHGH'
1066512639663075328,2018-11-25 02:03:22,b'@jermyfox707 I\xe2\x80\x99m mourning the loss of my emotions'
1066508907961442305,2018-11-25 01:48:33,b'RT @gjonesbass: shout to the entire west coast for legalizing weed \xf0\x9f\x95\xaf'
1066504209900568576,2018-11-25 01:29:52,b'@lanimami98 AGH I WISH I COULD SEE YOU TN'
1066502137197158400,2018-11-25 01:21:38,b'emo cunt flex https://t.co/e25Hihal8t'
1066484733377269761,2018-11-25 00:12:29,b'@kenxieee Cutie \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d'
1066484704247836673,2018-11-25 00:12:22,b'RT @bookvvitch: By age 30 you should be \n\n-swift as the coursing river\n-with all of the force of a great typhoon\n-with all the strength of\xe2\x80\xa6'
1066484257030172672,2018-11-25 00:10:35,b'Lol well I bought a new rig today'
1066483358702563328,2018-11-25 00:07:01,"b'RT @awhalefact: when planning a date with a whale, it is important to avoid any destination that isn\xe2\x80\x99t the ocean'"
1066481099134578688,2018-11-24 23:58:02,b'who\xe2\x80\x99s gonna be crying with me at Illenium tonight????'
1066480939058909184,2018-11-24 23:57:24,b'RT @pineabii: this is a PSA:\nif you\xe2\x80\x99re a dick to my friends i will fucking murder everything you love and then you. okay? \nthank you.'
1066477509024182272,2018-11-24 23:43:47,b'AAAAAAAAAAAH IM GETTING MY CAR SOOOOOOOOOOOOON'
1066476193187131392,2018-11-24 23:38:33,b'mmmmmmhmmmmmm honey'
1066476003654942720,2018-11-24 23:37:48,b'we\xe2\x80\x99re comfy today https://t.co/U6WTgRXVbs'
1066473421863677952,2018-11-24 23:27:32,b'@bxldie UM WAIT'
1066473356822634496,2018-11-24 23:27:17,b'RT @M0NSTROUS: $500 TATTOO GIVEAWAY\n\nRules:\n1. Retweet this post\n2. Must follow me https://t.co/WypoBhCG6e'
1066465567505149952,2018-11-24 22:56:19,"b""RT @agnosticpsycho1: Literally wtf is clout, clout isn't even a real thing, y'all look stupid as fuck"""
1066465517773287424,2018-11-24 22:56:08,b'RT @windspeaks: so happy to share these with you guys! \n\nhand painted wooden keychains w/ holo illenium decals and resin to protect. \xf0\x9f\x98\xbb\n\nDM\xe2\x80\xa6'
1066464422523166720,2018-11-24 22:51:46,b'RT @TeamBandL: wow our homie 1788-L dropping his unreleased rl grime era remix at rezz in LA \xf0\x9f\x94\xa5\n\n@l_1788 https://t.co/2yvSqPQFgV'
1066464267392565248,2018-11-24 22:51:09,b'RT @windspeaks: if you get hot flashes from the dab you are confirmed to enter another world soon \xf0\x9f\x98\xa9\xf0\x9f\xa4\xa3'
1066464146001022976,2018-11-24 22:50:41,b'RT @agnosticpsycho1: Honestly wish kandi culture was still alive because that was when I made the most genuine connections with people in t\xe2\x80\xa6'
1066458585306025985,2018-11-24 22:28:35,b'RT @itsaustonpugh: I don\xe2\x80\x99t want to end the year on bad terms with anyone...\n\nSo apologize to me.'
1066455337706840064,2018-11-24 22:15:40,b'@soulfullofacid LMAO \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 I wonder if my parents noticed \xf0\x9f\x98\x82 they kept asking why I kept rubbing my eyes'
1066405987098099712,2018-11-24 18:59:34,b'@vtraw4 \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad I GET TO SEE YOU AGAIN'
1066316951868207105,2018-11-24 13:05:47,b'me https://t.co/mCI9ROa0oX'
1066264515203891200,2018-11-24 09:37:25,b'hello i am drunk'
