id,created_at,text
1067399394545278976,2018-11-27 12:47:01,b'RT @catsfolder: High 5 https://t.co/HWm8Jfdxrr'
1067399331257438208,2018-11-27 12:46:46,b'RT @_GoGo_Zeppeli: The proper way to use zepeto https://t.co/0nmmInlLwA'
1067399266484793344,2018-11-27 12:46:31,b'RT @icedoutomnitrix: the next step in human evolution https://t.co/zyXjb7GxJf'
1067399248604536837,2018-11-27 12:46:26,b'RT @natutu7788: \xe4\xbc\x91\xe6\x97\xa5\xe3\x82\xb3\xe3\x83\xb3\xe3\x83\x93\xe3\x83\x8b\xe3\x81\xab\xe8\xa1\x8c\xe3\x81\x8f\xe3\x82\xb5\xe3\x83\xa9\xe3\x83\xaa\xe3\x83\xbc\xe3\x83\x9e\xe3\x83\xb3 https://t.co/vsUbg5Ba8C'
1067399202802683906,2018-11-27 12:46:15,b'@saddestjyuto hah!!! \xf0\x9f\x92\x96'
1067399124360802304,2018-11-27 12:45:57,b'RT @sushidemo_iishi: \xe3\x80\x90\xe3\x82\xb5\xe3\x83\xbc\xe3\x82\xaf\xe3\x83\xab\xe5\x8f\x82\xe5\x8a\xa0\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99!!\xe3\x80\x912019\xe5\xb9\xb401\xe6\x9c\x8827\xe6\x97\xa5\xef\xbc\x88\xe6\x9d\xb1\xe4\xba\xac\xef\xbc\x89CrazyLyricBattle 2\xef\xbd\x9c \xe3\x83\x8f\xe3\x82\xa1\xe2\x80\xa6\xe3\x83\x8f\xe3\x82\xa1\xe2\x80\xa6\xe3\x81\xa9\xe3\x81\xb2\xe3\x81\xb5\xe3\x81\xae\xe3\x83\x8f\xe3\x83\x83\xe3\x83\x94\xe3\x83\xbc\xe8\xa9\xb0\xe3\x82\x81\xe8\xbe\xbc\xe3\x82\x93\xe3\x81\xa0\xe6\x9c\xac\xe3\x81\x8c\xe2\x80\xa6\xe3\x83\x8f\xe3\x82\xa1\xe2\x80\xa6\xe3\x83\x8f\xe3\x82\xa1\xe2\x80\xa6 https://t.co/hMMH37cbTg'
1067399090353393664,2018-11-27 12:45:49,b'RT @videocats: Wait for it.. \xf0\x9f\x98\x85\nhttps://t.co/4ePfDqBKIl'
1067398977702776832,2018-11-27 12:45:22,b'RT @nyakkari: \xe3\x81\x82\xe3\x82\x8a\xe3\x81\x8c\xe3\x81\xa8\xef\xbd\x9e\xef\xbc\x9b\xef\xbc\x9b\n#\xe4\xba\xac\xe3\x81\xae\xe3\x81\x8b\xe3\x81\x9f\xe3\x81\xaa https://t.co/jNPhFmCAw5'
1067398963576356864,2018-11-27 12:45:18,"b'RT @bouquetScouts: ra*bits wishlist, that will never be fulfilled:\n\n- any all ra*bits event\n- ra*bits nautical themed event\n- Mitsuru Backs\xe2\x80\xa6'"
1067398712064921600,2018-11-27 12:44:18,b'RT @mishatoride: Jakurai\xe2\x80\x99s part in the Shinjuku Style remix didn\xe2\x80\x99t have to go that hard but it did and that\xe2\x80\x99s what I\xe2\x80\x99m thankful for this Th\xe2\x80\xa6'
1067398520796262400,2018-11-27 12:43:33,b'@saddestjyuto love you more!!!! \xf0\x9f\x98\xad\xf0\x9f\x92\x95'
1067398291313303566,2018-11-27 12:42:38,b'RT @jojocaballin: let the voice of love take you higher https://t.co/4snqWGICQk'
1067398224498122758,2018-11-27 12:42:22,b'RT @hphrk1: \xe3\x81\xbe\xe3\x81\xa3\xe3\x81\xa6\xe3\x82\x93\xe3\x82\x8d https://t.co/UodtIxVBzm'
1067398085683396608,2018-11-27 12:41:49,b'RT @dykezula: well https://t.co/8c3DZsOQOG'
1067398052372250624,2018-11-27 12:41:41,b'RT @odori_ozisan: \xe2\x80\xbb\xe8\xa1\xa3\xe8\xa3\x85\xe6\x8d\x8f\xe9\x80\xa0\n\xe3\x82\xb9\xe3\x83\xbc\xe3\x83\x84\xe3\x81\xae\xe3\x82\x89\xe3\x82\x80\xe3\x81\xa1\xe3\x82\x83\xe3\x81\xa8\xe3\x81\x98\xe3\x82\x83\xe3\x81\x8f https://t.co/5620ZYickg'
1067397918624223234,2018-11-27 12:41:09,b'@saddestjyuto i will as soon as my copy gets here king'
1067397833505017856,2018-11-27 12:40:49,"b""RT @uchuu_mika: Ladies if he\n-Doesn't answer your texts\n-Talks through a cup phone\n-Has a doll with him\n-Jumps off the second floor for pre\xe2\x80\xa6"""
1067397818116009984,2018-11-27 12:40:45,b'RT @plaguehaver: s-samatoki being protective over jakurai....'
1067397789502644224,2018-11-27 12:40:38,b'RT @_ayosworldd: How you expect to feel after a nap versus how you really feel https://t.co/ko6yRIZUKp'
1067397706803539969,2018-11-27 12:40:19,b'@deathrespct true'
1067397672120799232,2018-11-27 12:40:10,"b'@JazzyWeeb ah, there were many things going on at the same time'"
1067397341886451712,2018-11-27 12:38:52,b'@jinguujjiakurai please do go on'
1067397299494633473,2018-11-27 12:38:42,"b""@deathrespct thank you so much maybe this way they'll go on a date with me"""
1067396491680120832,2018-11-27 12:35:29,b'@deathrespct hes a chaotic bottom'
1067396384968585219,2018-11-27 12:35:04,"b""RT @tgvonxmariax: wow they really care about ogata's well-being\xe2\x80\xa6 https://t.co/iefOjYeQM9"""
1067396303548817409,2018-11-27 12:34:44,b'RT @SAMATALKI: if you vote for mtc samatoki will show us his tiddies'
1067396295860633600,2018-11-27 12:34:42,b'@SAMATALKI nice'
1067396261626736640,2018-11-27 12:34:34,b'RT @mgnghp: \xe3\x81\xa8\xe3\x81\xa3\xe3\x81\xa6\xe3\x82\x82rkgk\xf0\x9f\x8e\xb2 https://t.co/UMakaJ85ZM'
1067396227732566018,2018-11-27 12:34:26,b'RT @diadaisies: omg i found this eye test online https://t.co/FSlr9t6WGq'
1067395757001592832,2018-11-27 12:32:34,b'lrt https://t.co/xyjMr9ZcBw'
1067395718057525248,2018-11-27 12:32:25,b'RT @blog_hin: \xe5\xa1\x97\xe9\xb4\x89 https://t.co/gvcPuydshU'
1067395677087547393,2018-11-27 12:32:15,b'RT @makiyasuki: \xe3\x83\x90\xe3\x82\xb9\xe3\x83\x96\xe3\x83\xad\xe3\x81\x94\xe9\xa3\xaf\xe4\xba\x8b\xe6\x83\x85\xe6\xbc\xab\xe7\x94\xbb\n(\xe6\x8d\x8f\xe9\x80\xa0) https://t.co/QeHhOG61xj'
