id,created_at,text
1067242505593249792,2018-11-27 02:23:36,"b'RT @kashhill: When you\xe2\x80\x99re chatting with customer service, know that the \xe2\x80\x9csend\xe2\x80\x9d button is an illusion. Most of the agents see what you are t\xe2\x80\xa6'"
1067240968431198208,2018-11-27 02:17:29,b'RT @ContraPoints: horrific https://t.co/pBXRXYxSuH'
1067240386504978432,2018-11-27 02:15:11,b'@MrN00DLEZ Ugh oh Goddess I hate that gif. X.X'
1067192469446524928,2018-11-26 23:04:46,"b'Right. Forgot about the rapey subtexts in the \xe2\x80\x9cCortana\xe2\x80\x9d level from Halo 3. :/ That is definitely a thing in the level, ugh.'"
1067187783960121345,2018-11-26 22:46:09,b'CC @LateNightHalo'
1067187657187282945,2018-11-26 22:45:39,b'First time playing this in years. Still gives me chills. https://t.co/ETSrUD7MTH'
1067144515033550850,2018-11-26 19:54:13,b'#InSight has touched down! Successful! Woo!'
1067139128809017345,2018-11-26 19:32:49,"b""RT @Surviving_Mars: InSight landing maneuver begins in ~10 minutes with the cruise stage separation! Come watch it live with us on NASA's c\xe2\x80\xa6"""
1067138881168932864,2018-11-26 19:31:50,b'https://t.co/0BDw7Ai7MO\n\n/Mars/'
1067136691641638912,2018-11-26 19:23:08,b'@ZJemptv Furries are pretty dang good'
1067136489073577991,2018-11-26 19:22:20,b'https://t.co/QDmDJflKq7\n\n@lazygamereviews has some pretty good  views on #Fallout76'
1067125288008470528,2018-11-26 18:37:49,b'@krzysz00 https://t.co/M8LFjU2GTM'
1067123502547841024,2018-11-26 18:30:43,b'@ZJemptv \xf0\x9f\x91\x8d'
1067122591372963840,2018-11-26 18:27:06,b'RT @eevee: \xef\xbc\xa8\xef\xbc\xa1\xef\xbc\xb0\xef\xbc\xb0\xef\xbc\xb9\xe3\x80\x80\xef\xbc\xa3\xef\xbc\xb9\xef\xbc\xa2\xef\xbc\xa5\xef\xbc\xb2\xef\xbc\xad\xef\xbc\xa1\xef\xbc\xae\xef\xbc\xa4\xef\xbc\xa1\xef\xbc\xb9\xef\xbc\x8c\xe3\x80\x80\xef\xbc\xa8\xef\xbc\xb5\xef\xbc\xad\xef\xbc\xa1\xef\xbc\xae\xef\xbc\xb3\n\n\xef\xbc\xb2\xef\xbc\xa5\xef\xbc\xad\xef\xbc\xa1\xef\xbc\xa9\xef\xbc\xae\xe3\x80\x80\xef\xbc\xa3\xef\xbc\xa1\xef\xbc\xac\xef\xbc\xad\xe3\x80\x80\xef\xbc\xa1\xef\xbc\xae\xef\xbc\xa4\xe3\x80\x80\xef\xbc\xb0\xef\xbc\xb2\xef\xbc\xa5\xef\xbc\xb0\xef\xbc\xa1\xef\xbc\xb2\xef\xbc\xa5\xe3\x80\x80\xef\xbc\xa6\xef\xbc\xaf\xef\xbc\xb2\xe3\x80\x80\xef\xbc\xb5\xef\xbc\xb0\xef\xbc\xa7\xef\xbc\xb2\xef\xbc\xa1\xef\xbc\xa4\xef\xbc\xa5\n\n\xef\xbc\xb7\xef\xbc\xa5\xe3\x80\x80\xef\xbc\xb7\xef\xbc\xa9\xef\xbc\xac\xef\xbc\xac\xe3\x80\x80\xef\xbc\xa2\xef\xbc\xa5\xe3\x80\x80\xef\xbc\xa9\xef\xbc\xae\xef\xbc\xb3\xef\xbc\xb4\xef\xbc\xa1\xef\xbc\xac\xef\xbc\xac\xef\xbc\xa9\xef\xbc\xae\xef\xbc\xa7\xe3\x80\x80\xef\xbc\xb7\xef\xbc\xa9\xef\xbc\xae\xef\xbc\xa4\xef\xbc\xaf\xef\xbc\xb7\xef\xbc\xb3\xe3\x80\x80\xef\xbc\x91\xef\xbc\x90\n\n\xef\xbc\xa9\xef\xbc\xae\xe3\x80\x80\xef\xbc\xb9\xef\xbc\xaf\xef\xbc\xb5 https://t.co/C2VbFG7wi9'
1067122040216252421,2018-11-26 18:24:55,b'@Azure_Husky Thank you!'
1067122010294181888,2018-11-26 18:24:48,b'@StevenBeargal Thank you!'
1067121985598087168,2018-11-26 18:24:42,b'@alyxaras Thank you!'
1067121816664080384,2018-11-26 18:24:01,"b'@ZJemptv ""When life gives you lemons, ally with the patriarchy"" -Terf Proverb'"
1067121215226007552,2018-11-26 18:21:38,b'Remember that job I was really excited about?\n\nI got an offer. :)'
1067119375520432128,2018-11-26 18:14:19,b'yeah this about sums up #Fallout76 in a nutshell https://t.co/rcVq4b5jUE'
1067100168523137024,2018-11-26 16:58:00,b'RT @snowleopards: Looking for a great way to help #snowleopards? Please consider setting up a Facebook fundraiser for these cats &amp; asking y\xe2\x80\xa6'
1067099409752571904,2018-11-26 16:54:59,b'@reacocard *pets*'
1067044877756579840,2018-11-26 13:18:18,b'Shower rating: 5/5 heckin good'
1067040691065282567,2018-11-26 13:01:40,b'Anyway if I\xe2\x80\x99m going to be randomly up at this time I\xe2\x80\x99m going to take a heckin extra long shower because showers are\xe2\x80\xa6 https://t.co/l4qJz4KPck'
1067039057115439104,2018-11-26 12:55:10,b'I\xe2\x80\x99m at that magical point of less sleep where I\xe2\x80\x99ve been getting consistently good sleep for so many days that havin\xe2\x80\xa6 https://t.co/26Kp2dcOTA'
1067038130417487872,2018-11-26 12:51:29,"b'RT @gabemschneider: The US has an extensive history of being horribly violent as people try to immigrate: Chinese Exclusion, No Irish, Japa\xe2\x80\xa6'"
1067037533379284993,2018-11-26 12:49:07,b'This is a really good thread https://t.co/J4d04J3IQ5'
1067035319487217664,2018-11-26 12:40:19,b'This is a bizzare article. https://t.co/9HoFHj5Kce'
1067033306661679105,2018-11-26 12:32:19,"b'RT @Iron_Spike: Folks, incredible artist and comics creator @ab_varaham is in the process of disconnecting from family after an attempted f\xe2\x80\xa6'"
1066938610312667136,2018-11-26 06:16:02,"b'I love this time of year so much. It feels magical, like anything can happen. And, I love snow. &lt;3 \n\nhttps://t.co/dQB3CTaEq3'"
1066859165870485504,2018-11-26 01:00:21,b'Like I just want to be someone who will talk about a /bunch/ of things. https://t.co/l3uQkYMbwE'
1066858866665709568,2018-11-26 00:59:09,"b""Idk. I'm heavily considering writing more about being trans. I generally /don't/ because I have a hard enough time\xe2\x80\xa6 https://t.co/DNWkOq3tv4"""
1066858383507021824,2018-11-26 00:57:14,b'RT @ParkerMolloy: Oh gosh. Who could have ever predicted how this article would be used? \xf0\x9f\x99\x84 https://t.co/NEApirVHoH'
1066857526031933440,2018-11-26 00:53:50,"b""To clarify, our system works best when it's small, not large. But, our brain seems to be unaware of this, which is\xe2\x80\xa6 https://t.co/XH5j1zuAzS"""
1066856861142409217,2018-11-26 00:51:11,"b""Brain: so like obviously the solution is a new alter\nMe: absolutely not\nBrain: but like. It's a thing that can't be\xe2\x80\xa6 https://t.co/CHmhq04CnD"""
1066845627185717249,2018-11-26 00:06:33,"b'Transphobe: ""facts not feelings!"" \nDoctor: ""Transitioning saves lives""\nTransphobe: ""Not like that, I wanted facts t\xe2\x80\xa6 https://t.co/a6W4FIKrWa'"
1066843788415389696,2018-11-25 23:59:14,"b'By far my favorite BS argument I get about my transitioning is that my muscle pain, fatigue, &amp; urinary incontinence\xe2\x80\xa6 https://t.co/NYqRZdILjB'"
1066842285868965889,2018-11-25 23:53:16,"b'@FalconDarkstar Last minute plane tickets are hecking cheap, right? :P'"
1066831377515958272,2018-11-25 23:09:55,"b""so i'm glad people are speaking up because we do not need a  modern version of that webpage thank you very much"""
1066831134426689537,2018-11-25 23:08:57,b'Like that website scared me and a hell of a lot of other transgender people. I know people who delayed transitionin\xe2\x80\xa6 https://t.co/VlmEkHKXHG'
1066831026591166464,2018-11-25 23:08:32,"b""You know what I don't want to see this article become: I don't want it to become that 1 really old website that sca\xe2\x80\xa6 https://t.co/pwmDjtpi2o"""
1066828828876562432,2018-11-25 22:59:48,"b'""Defending your gender"" is a tiring, exhausting, painful process. It\'s like a lifelong thesis defense. I wish it wa\xe2\x80\xa6 https://t.co/nq35K9yMlf'"
1066828356086190080,2018-11-25 22:57:55,"b""And I can't stress the real toll that this takes, the constantly having to defend your own existence and rights. It\xe2\x80\xa6 https://t.co/6oqnXb0dU1"""
1066828052846407682,2018-11-25 22:56:43,"b'This is also of course, an even stricter standard for transgender people of color, disabled transgender people, etc\xe2\x80\xa6 https://t.co/uD3axSQQlW'"
1066827763909222400,2018-11-25 22:55:34,"b'So for a lot of trans women, and transgender men, and nonbinary people, /performance/ is necessary for /basic right\xe2\x80\xa6 https://t.co/n4kTkTivYV'"
1066827412858519552,2018-11-25 22:54:10,"b'In Washington, the law is very clear and I am very aware of it. And I have the resources to back it up. Nobody is g\xe2\x80\xa6 https://t.co/cvpAk1HM8Z'"
1066827157257641984,2018-11-25 22:53:09,"b""But, I'm in a position of privilege. I'm in a state where my rights are enshrined in the law. I'm socially upper cl\xe2\x80\xa6 https://t.co/k8yHXn6CfU"""
1066826836611543040,2018-11-25 22:51:53,"b""Like, it's ridiculous, the sheer utter illogical doubt, the having to justify yourself at every point. It's so tiri\xe2\x80\xa6 https://t.co/hUAQIq2URy"""
1066826213618937856,2018-11-25 22:49:24,"b'I will, probably for the rest of my life, have to deal with conspiracy theories from every transphobe that wants to\xe2\x80\xa6 https://t.co/e0J8h32kWv'"
1066825339542790144,2018-11-25 22:45:56,"b'Like, of /course/ transgender individuals are often unhappy, depressed, and have psychological issues. Have you see\xe2\x80\xa6 https://t.co/H2IbailFkA'"
1066825026236637184,2018-11-25 22:44:41,"b""I kind of want to say more about that article but I also kind of don't know what more there is to say."""
1066819077505601536,2018-11-25 22:21:03,"b'And installed! Runs amazing. Only weird thing is that like, Acronis has a tool that does a live clone which, wow I\xe2\x80\xa6 https://t.co/pjS3s8s1GP'"
1066799868646088706,2018-11-25 21:04:43,b'/oh/ https://t.co/mReHJ78VVX'
1066799835464916993,2018-11-25 21:04:35,"b'@Frances_Larina (i think you were onto something, thank you :)'"
1066796590361264128,2018-11-25 20:51:41,b'Success! https://t.co/ptcCbrXiyX'
1066795140809781248,2018-11-25 20:45:56,"b""So to anyone out there saying that science doesn't support the existence of therianthropy or otherkin, that phantom\xe2\x80\xa6 https://t.co/M4Ya6nDgTJ"""
1066792705097789440,2018-11-25 20:36:15,b'@KaylinEvergreen sure!'
1066792184333053952,2018-11-25 20:34:11,"b'gosh this laptop and i have been through a lot, this is the same device that saw me through all of college'"
1066791151900880896,2018-11-25 20:30:05,"b'@Frances_Larina Thing not being recognized is an SSD, regardless, need to clone it all anyway so, using bootable li\xe2\x80\xa6 https://t.co/kyVIFloJuz'"
1066790315636342784,2018-11-25 20:26:45,b'Cable vixen https://t.co/WrBvDPWAdA'
1066789353383329792,2018-11-25 20:22:56,b'@AnnieTheBruce yeah so with me I /really like feeling in control/ (might be a bit obvious) and crisis management al\xe2\x80\xa6 https://t.co/XqkjVfzZLu'
1066787769073061888,2018-11-25 20:16:38,"b'(this is my jam, right here. I love dealing with stuff like this.)'"
1066787570669936640,2018-11-25 20:15:51,"b'So for reasons god only knows, the main hard drive stopped working when I put the new M2 one in, probably a securit\xe2\x80\xa6 https://t.co/36Ucp4TQz0'"
1066773569974091776,2018-11-25 19:20:13,"b""and yes i know the safety reasons and backup reasons for using winpe over a linux usb don't @ me"""
1066773235159584768,2018-11-25 19:18:53,b'i could go through all the trouble of creating a winpe environment...\nor i could just boot from linux'
1066770725476884480,2018-11-25 19:08:55,"b'or as my stalkers put it: ""This is bad, people are actually giving [her] money"" https://t.co/BmSxO2N9nf'"
1066770325231128576,2018-11-25 19:07:19,b'generic patreon advertisement tweet:\nif you want to shamelessly throw money at me because you like my bad takes and\xe2\x80\xa6 https://t.co/eZettzRgEA'
1066769472831160320,2018-11-25 19:03:56,"b""RT @BinaryVixen899: also, if you're like, on the fence about surgery or, just really not sure about the reality of it: i have some advice f\xe2\x80\xa6"""
1066769457404510208,2018-11-25 19:03:52,b'RT @BinaryVixen899: there are also conferences like gender odyssey https://t.co/WHTIP4ZV7e where you can literally hear people who do gende\xe2\x80\xa6'
