id,created_at,text
1067498274834198528,2018-11-27 19:19:56,b'@TheDoubleclicks only every year. thank you!'
1067192682651340800,2018-11-26 23:05:37,"b""RT @AlaminYohannes: As always, @jpbrammer's \xc2\xa1Hola Papi! column is required reading: https://t.co/7eNQ8V6RFG via @them"""
1066549119970201602,2018-11-25 04:28:20,b'@SemiEvolved Omg! \xf0\x9f\x98\xbb\xf0\x9f\x98\xbb\xf0\x9f\x98\xbb'
1066544893663703041,2018-11-25 04:11:32,b'this baby LOVES the tv. https://t.co/9pfwiSBt1s'
1066094300490919936,2018-11-23 22:21:02,b'@antijenic these munchkins are SO CUTE.'
1065820734948143105,2018-11-23 04:13:59,"b'RT @blackxparty: Damn, he sent him to God. Same day shipping. https://t.co/vfUVo3wAkH'"
1065818543785095168,2018-11-23 04:05:17,b'@antijenic she is HEART-MELTINGLY CUTE'
1065809683913396225,2018-11-23 03:30:05,b'she is SO EXCITED about this toy. https://t.co/4Dvey1ucoF'
1065457642686935040,2018-11-22 04:11:11,b'55555! (taken from the backseat promise) https://t.co/fYV6S0pn1i'
1065272923626192897,2018-11-21 15:57:11,"b'RT @ericuman: 1/ A couple of months ago, I discovered my health insurer was monitoring my sleep and using it to deny me benefits. \n\nSo I to\xe2\x80\xa6'"
1065119999772119040,2018-11-21 05:49:31,b'@twoscooters AAAAAHHH\nAAAAAAAAAHHHHHH\nCONGRATULATIONS I AM SO EXCITED FOR YOU'
1064919267148148738,2018-11-20 16:31:53,"b""RT @bizzycoy: i wrote this after the 2016 election and i thought it was SO angry and now i look back and it's like so quaint and adorable\xe2\x80\xa6"""
1064916600527056896,2018-11-20 16:21:17,"b""RT @mostlybree: Raise your hand if you've over 29 and don't have a year's salary in a retirement account. \n\nRaise the other one if you wish\xe2\x80\xa6"""
1064909359501598720,2018-11-20 15:52:31,b'babies are simultaneously adorable and disgusting and I guess I just never put together that that contrast is echoe\xe2\x80\xa6 https://t.co/UHT3nocnAP'
1064555231948660736,2018-11-19 16:25:20,b'RT @BeeBrookshire: THIS is the news you need today. Scientists now know why wombats poop cubes. https://t.co/QOHqwxsQoY By @Arboreal_Laurel\xe2\x80\xa6'
1064554334803812352,2018-11-19 16:21:46,"b""@twoscooters you look AMAZING and you're making me seriously consider eyelash extensions"""
1064370533171515392,2018-11-19 04:11:24,"b""I've been exposed to chicken pox and shingles THREE TIMES since April. it'll be another eight months until kiddo ca\xe2\x80\xa6 https://t.co/hixcPOwOGh"""
1064363217072218112,2018-11-19 03:42:20,"b'RT @arieella_: I don\xe2\x80\x99t know who needs to hear this, but ..........return people\xe2\x80\x99s Tupperware please. The food is yours, the container.....i\xe2\x80\xa6'"
1064362676090884096,2018-11-19 03:40:11,b'I really love #SheRa! look at all the different body shapes! look at how cute everyone is! look at all the differen\xe2\x80\xa6 https://t.co/8ef0ZU1Ilf'
1064296325938741248,2018-11-18 23:16:32,"b'""will I get to hit more people with flowers?"" #goals #SheRa'"
1064268666357743616,2018-11-18 21:26:37,b'RT @caprisunking: Using \xe2\x80\x9cthey/them\xe2\x80\x9d pronouns for a trans person who goes by \xe2\x80\x9che/him\xe2\x80\x9d or \xe2\x80\x9cshe/her\xe2\x80\x9d exclusively is still misgendering'
1064245127240007680,2018-11-18 19:53:05,"b'@Palitato it was priced per pound, too! just amused and surprised. I wonder if I can freeze it?'"
1064244829830279168,2018-11-18 19:51:54,"b'@Palitato I actually said 1, with a note in the comment field!'"
1064240460460257280,2018-11-18 19:34:33,b'tiny baby honks \xf0\x9f\x91\xb6\xf0\x9f\xa6\x86\xf0\x9f\x93\xa3 https://t.co/Cv8JxQvuZi'
1064237624112513024,2018-11-18 19:23:16,"b'instacart often makes my life easier and also more interesting. this is ""2 stalks of lemongrass."" https://t.co/Wtjfnkg8SO'"
1064229434251665408,2018-11-18 18:50:44,"b""RT @valoryness: RT if you're queer and think:\n- trans people are valid\n- non-binary people are valid\n- people on the ace/aro spectrums are\xe2\x80\xa6"""
1064228167018135552,2018-11-18 18:45:42,b'OH MY GODS BABY JUST LICKED MY ENTIRE FACE I HAVE BEEN SLIMED'
1063547345147637760,2018-11-16 21:40:21,b'@McNorfin @MaryNumair the DMV on Powell offered me a mirror to check my makeup before they took my photo'
1063535303086899200,2018-11-16 20:52:30,b'@UnmagicalMe I watched Megamind again last night and the resemblance is UNCANNY.'
1063534502465552384,2018-11-16 20:49:19,b'(OH MY GODS SHE* IS HOLDING UP HER OWN HEAD AAAAAHHH)'
1063534320713793536,2018-11-16 20:48:36,"b""it's hard to capture just how gigantic kiddo's head truly is, but this comes pretty close. https://t.co/kaz1P752sF"""
1063119481734553600,2018-11-15 17:20:10,"b""everyone told me I'd get through the newborn phase. no one told me I might love it. https://t.co/KOdLvEYSqy"""
1062871185812160517,2018-11-15 00:53:32,"b""this tiny sweetie is four months old today! she's* learned to do so much already and she's just going to keep growi\xe2\x80\xa6 https://t.co/ZugjoQ9yqF"""
1062858931737788416,2018-11-15 00:04:50,"b'@lediva I\'m also a fan of ""what up crime lords""'"
1062755565103804416,2018-11-14 17:14:06,b'RT @Palitato: Nature is magical. https://t.co/wa1u9zYLmj'
