id,created_at,text
1067493616111632384,2018-11-27 19:01:25,b'@SonOfGodAndMan Jesus you are so my kind of guy\xf0\x9f\x98\x8d\n\nBut you already know that...'
1067492953709412352,2018-11-27 18:58:47,b'@objectorsnark @trojanchick99 @MusmeBravo @TomBoyDivaLeela @wtflanksteak You so could have done.\n\nIt would have bee\xe2\x80\xa6 https://t.co/wBKnXJIohv'
1067363900650213376,2018-11-27 10:25:59,b'@Simbasunrise I so agree with this.\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
1067358504153866241,2018-11-27 10:04:32,"b""Yes, yes it's a GREAT deal but....\n\nOops.\xf0\x9f\x98\x86 https://t.co/lN6LmAyP4b"""
1067337796761792512,2018-11-27 08:42:15,"b""@StanWesleyL I wondered about this Stan!!!\n\nSo there was just NO news about it in Russia? They didn't even spin the story?"""
1067333308403466241,2018-11-27 08:24:25,b'@MizShannonS @SarahKSilverman OMG Shannon... \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1067332373820301312,2018-11-27 08:20:42,"b""@arlmg Yes I think so. I need to get off my butt and do it. \n\nThanks to you guys on this thread though I'm inspired to!\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0"""
1067332098795532294,2018-11-27 08:19:37,b'@objectorsnark @trojanchick99 @MusmeBravo @TomBoyDivaLeela @wtflanksteak \xf0\x9f\x98\x8a\xf0\x9f\x98\x8a\xf0\x9f\x98\x8a'
1067332018868936704,2018-11-27 08:19:18,b'@vicsepulveda Genius. \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
1067331865646780419,2018-11-27 08:18:41,"b'Update - she came home from school tonight fuming and said:\n\n""Mom what the heck? You ARE married?""\n\nMore questions.'"
1067326672154718210,2018-11-27 07:58:03,b'@edalislecullenx \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
1067242250223022080,2018-11-27 02:22:35,b'@julianevans11 This is amazing...'
1067242142303748096,2018-11-27 02:22:09,b'@TomBoyDivaLeela @objectorsnark @trojanchick99 @MusmeBravo @wtflanksteak Aw! You too!\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
1067238959938396160,2018-11-27 02:09:31,b'@MrsDDowd Uh...  possibly. Or not?\xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84'
1067238866115915776,2018-11-27 02:09:08,b'@hedgeswoman You just made me LOL!!\n\nThank you and yes WTF are they doing with the candles! We need to know!'
1067238707315400704,2018-11-27 02:08:30,b'@aimzta85 Watch this space...'
1067235578821861377,2018-11-27 01:56:04,b'@objectorsnark @trojanchick99 @MusmeBravo @TomBoyDivaLeela @wtflanksteak OMG. I just got this. You are so my kind of person! \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
1067229999499902976,2018-11-27 01:33:54,b'@psychicmediumje I like what you did there...\xf0\x9f\x98\x8a\xf0\x9f\x98\x8a\xf0\x9f\x98\x8a'
1067225275027480576,2018-11-27 01:15:08,"b""@AngelFan_4Life No and why didn't i think of that?"""
1067216641417605121,2018-11-27 00:40:49,b'OMG why could i only think of one?'
1067208740879757312,2018-11-27 00:09:26,"b'Guy on tv just said\n\n.\n\n""It doesn\'t matter if [Trump] is a Democrat or a Republican. The word begins with i and it ends with t.""\n\n.\n\n it?'"
1067207077163032576,2018-11-27 00:02:49,b'@cicadaqueen @JeffSharlet @AllisonPDavis Keep me posted!\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
