id,created_at,text
1064001810875277312,2018-11-18 03:46:14,b'@SarahtheSith YOU ARE BEAUTIFUL'
1060318417943715840,2018-11-07 23:49:45,"b'RT @realDonaldTrump: According to NBC News, Voters Nationwide Disapprove of the so-called Mueller Investigation (46%) more than they Approv\xe2\x80\xa6'"
1054888629770862592,2018-10-24 00:13:42,b'RT @SarahtheSith: *adding hot sauce to Ramen*\nPoor-met'
1054887768764104705,2018-10-24 00:10:17,b'RT @realDonaldTrump: I agree with President Obama 100%! https://t.co/PI3aW1Zh5Q'
1053714582072627200,2018-10-20 18:28:28,"b""It's been almost a year, and I still miss my step dad everyday. DONT DRINK &amp; DRIVE. It hurts innocent people. #DontDrinkAndDrive"""
1051573898880475138,2018-10-14 20:42:09,b'RT @twista_lyn: I use to always laugh when people gained so much weight after graduating high school and then it happened to me and it\xe2\x80\x99s no\xe2\x80\xa6'
1051118722646183936,2018-10-13 14:33:26,b'RT @nickic_16: Me: I need to lose weight  also me: \xe2\x80\x9cI\xe2\x80\x99m gonna go to the store to get more snacks\xe2\x80\x9d'
1042170531603263488,2018-09-18 21:56:31,"b'RT @realDonaldTrump: Today, I took action to strengthen our Nation\xe2\x80\x99s defenses against biological threats. For the first time in history, th\xe2\x80\xa6'"
1039373528901066752,2018-09-11 04:42:14,b'RT @ChiIIVlbes: just trying to be a better version of myself.'
978467697703956481,2018-03-27 03:04:12,b'#NewProfilePic https://t.co/sfnNKgqUg4'
948423974891020288,2018-01-03 05:21:11,b'RT @realDonaldTrump: I will be announcing THE MOST DISHONEST &amp; CORRUPT MEDIA AWARDS OF THE YEAR on Monday at 5:00 o\xe2\x80\x99clock. Subjects will co\xe2\x80\xa6'
947891250673405953,2018-01-01 18:04:19,b'RT @danielhowell: it feels like 2018 is either going to be the year we all finally sort our shit out or the universe is just gonna meteor e\xe2\x80\xa6'
931645188291907587,2017-11-17 22:08:16,b'RT @ZachEdwards_: \xe2\x80\x9cBe the person you needed when you were younger\xe2\x80\x9d'
931644762431676417,2017-11-17 22:06:35,b'@realAlexAAdams I would die'
929461219446214656,2017-11-11 21:29:57,b'@caitlinmcinturf Love you too \xf0\x9f\x92\x9c'
929461103058472960,2017-11-11 21:29:30,b'I never thought that something like this would happen to my family. Let the people you love know that you love them\xe2\x80\xa6 https://t.co/ggc93JGEkx'
929460346594709505,2017-11-11 21:26:29,"b'RT @caitlinmcinturf: What\xe2\x80\x99s it\xe2\x80\x99s gonna take to get people to stop DRUNK DRIVING!!! You\xe2\x80\x99re not \xe2\x80\x9ctalented\xe2\x80\x9d not COOL, you\xe2\x80\x99re a LOSER. it isn\xe2\x80\x99t\xe2\x80\xa6'"
929460304974700553,2017-11-11 21:26:19,"b""@caitlinmcinturf I can't retweet this enough."""
926105464898834432,2017-11-02 15:15:23,b'@ThatsSoAthens @realAlexAAdams'
925377421968322561,2017-10-31 15:02:24,"b""RT @ChiIIVlbes: Overthinking is the biggest cause of our unhappiness. Keep yourself occupied. Keep your mind off things that don't help you\xe2\x80\xa6"""
925118704551067648,2017-10-30 21:54:21,b'@realAlexAAdams https://t.co/QzgE6NDR1l'
923199588227473408,2017-10-25 14:48:28,"b'RT @Fullscreen: Next time you hit up the drive thru, you may not want to order these three things. Or maybe you do. We don\xe2\x80\x99t know. https://\xe2\x80\xa6'"
923197979183534080,2017-10-25 14:42:05,"b""RT @tothekidswho: 1987: in 2017 we'll have flying cars!\n2017: https://t.co/ZoditC29G0"""
920661913188667392,2017-10-18 14:44:39,b'@caitlinmcinturf \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x92\x9c cute'
918221014751940609,2017-10-11 21:05:24,"b""RT @caitlinmcinturf: Shoutout to those of us fighting a battle that most people don't understand.. keep fighting. #MentalHealthAwarenessWeek"""
917402817526222854,2017-10-09 14:54:10,"b""RT @caitlinmcinturf: Before (not done by me) and after... went from thicc to slim thicc \xf0\x9f\x92\x85\xf0\x9f\x8f\xbc lemme fix y'all up https://t.co/7HlbLJ1UcH"""
907609343729786882,2017-09-12 14:18:24,"b""RT @caitlinmcinturf: There's a big difference between loving yourself/being confident, and thinking you're better than everyone else. Know\xe2\x80\xa6"""
901491161365434368,2017-08-26 17:06:56,b'RT @cockjuring: the dudes across my dorm brought sand trucks to their house and are having a beach party we live in ohio https://t.co/Ny4Xc\xe2\x80\xa6'
894426640335478784,2017-08-07 05:15:03,b'RT @tressaamae: Me: hi\nGuy from scioto county with rebel flag on his truck: https://t.co/VVeDcYZGkU'
887116031478702082,2017-07-18 01:05:18,"b'RT @HaleyyRichards: Do you ever just look at your bf/gf and think ""how did I get so lucky?"" \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d'"
884132976480727040,2017-07-09 19:31:42,b'RT @Arod__10: Short Story of Teens/Young Adults in Southern Ohio https://t.co/dPlqHGOCrQ'
848781692441591808,2017-04-03 06:18:19,"b""RT @caitlinmcinturf: I'm that ex your mom still hugs when she sees me in public \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/dklexWRjYu"""
837450085118144512,2017-03-02 23:50:34,b'Yesss \xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/dtkJPZKRR8'
834690621445173251,2017-02-23 09:05:26,"b""I'm putting myself first before fake friends from now on. Too much stress over unnecessary situations."""
834689387933868032,2017-02-23 09:00:32,"b'I am so done with ""friends"" using me. I\'m not doing favors for people who don\'t appreciate it anymore.'"
829472440967376896,2017-02-08 23:30:15,"b""RT @caitlinmcinturf: Fill your heart with what's important and be done with all the rest."""
829072548914671616,2017-02-07 21:01:13,"b'RT @elijahdaniel: HAHAHAHA DRIVING PAST UNIVERSAL AND MY DAD GOES ""woah what the fuck is that scary eyeball in the mountain"" https://t.co/i\xe2\x80\xa6'"
829072435379052545,2017-02-07 21:00:46,b'RT @elijahdaniel: HAHAHAHA I TOOK MY PARENTS TO SEE THE HOLLYWOOD SIGN BUT ITS TOO FOGGY SO THEY HELD UP THEIR PHONE FOR THE PICTURE IM CRY\xe2\x80\xa6'
823077283330162688,2017-01-22 07:58:11,"b'RT @moskeeter96: ""Women aren\'t oppressed"" but if a man rapes me it\'s probably because my skirt was too short'"
820040755494391808,2017-01-13 22:52:06,"b""RT @caitlinmcinturf: When he doesn't lie, doesn't cheat, and asks you how your day was https://t.co/oVTbFgWpcy"""
817777539687051264,2017-01-07 16:58:53,b'@tonyarbell love you too lol'
816549203216388096,2017-01-04 07:37:55,"b""I'm so excited to get my hair done omg"""
816147162576850944,2017-01-03 05:00:21,b'honestly this is still so relevant in my life https://t.co/Pa1rO8Udv5'
809796608623833089,2016-12-16 16:25:31,b'Every single time I see someone talking in a positive manner about @splathaircolor it ticks me off.'
808552246652895234,2016-12-13 06:00:52,"b""I'm tired of being used by people, it's not cool."""
808337258013216768,2016-12-12 15:46:35,"b'Cutting you off, lol. \xe2\x9c\x82'"
805948863450378240,2016-12-06 01:35:57,"b""@SamuelSavageIII yeah hopefully they don't do that to you lol"""
805948140033634304,2016-12-06 01:33:05,"b""@SamuelSavageIII me too. Then they randomly selected me to make sure I wasn't lying and had to do a bunch more forms. Lol"""
805946688405913602,2016-12-06 01:27:18,b'@dellojello same.'
805945955312766977,2016-12-06 01:24:24,"b""@SamuelSavageIII it's forms that Satan himself forged in the pits of hell"""
805945754032500736,2016-12-06 01:23:36,b'RT @amandieaa: Who needs love when you have vodka'
805945628073361408,2016-12-06 01:23:06,"b'Every single time that you act like you want me around, you go back to ignoring me real quick.'"
805563374172073984,2016-12-05 00:04:09,b'Tired of people using me all the time wth'
804732651307487232,2016-12-02 17:03:09,b'RT @seventeen: This Girl Emailed Her TA High on Pain Meds After Wisdom Tooth Surgery With a Ton of Good Ideas https://t.co/BQUrZQ2uuM https\xe2\x80\xa6'
804731563653169152,2016-12-02 16:58:50,"b""@ShaylaScheitler you can have them put mocha flavoring in it and it's pretty much the same thing but they might charge extra"""
804730391928180736,2016-12-02 16:54:11,b'Oh my gosh \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/zGu5JABIcj'
804523804902965248,2016-12-02 03:13:17,"b""Lol anyone else want to waste my time? Bc it's starting to become normal thing. :)"""
803985676790272000,2016-11-30 15:34:57,"b'RT @clynn_101512: When all he does is post about how he wants someone and ur literally like ""here I am. I am right here. You can have me""'"
802948732379611136,2016-11-27 18:54:30,"b""I'm insane I swear"""
802740381070872576,2016-11-27 05:06:35,b'https://t.co/fTgJjyrkCt'
