id,created_at,text
1067484852784648192,2018-11-27 18:26:36,"b""If you live in Mississippi don't forget to vote today. If you don't live in Mississippi, remind a relative who does\xe2\x80\xa6 https://t.co/ChMdUfEHz3"""
1067116569157881856,2018-11-26 18:03:10,b'@34NateDaGreat @Stephb_c Sadly'
1066772055213973504,2018-11-25 19:14:12,"b'With 36% of Mississippians being Black Americans like myself, it does have a negative impact and will cause people\xe2\x80\xa6 https://t.co/SNz3QLk50h'"
1066718593260367872,2018-11-25 15:41:45,"b""This is not how MS will attract modern companies &amp; great jobs. Aren't we tired of being seen as some backwards stat\xe2\x80\xa6 https://t.co/CabNRbCQrs"""
1066714963480363008,2018-11-25 15:27:20,b'RT @wendi_c_thomas: @fivefifths A not insignificant number of Memphis\xe2\x80\x99 private schools just happened to begin when busing did. \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1066714272686923777,2018-11-25 15:24:35,b'@Stephb_c Yep'
1066711384136794113,2018-11-25 15:13:07,b'@Reneh Fam!'
1066711056771371009,2018-11-25 15:11:49,"b""It's funny how many of these companies have Black and Brown employees like Walmart &amp; MLB, but they have no problem\xe2\x80\xa6 https://t.co/LkdmiatzAS"""
1066371971129229314,2018-11-24 16:44:24,b'\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d https://t.co/POCXTdqCtI'
1066365143129473025,2018-11-24 16:17:16,"b""This is again why you don't eat everyone's food. The commenters think this is cute when it is nasty. https://t.co/zDygSxxAtR"""
1066281023544143872,2018-11-24 10:43:01,"b'RT @michael_epps: @BougieBlackGurl She can go kick rocks. Black Americans get paid more, because black Americans are sell tickets, and are\xe2\x80\xa6'"
1066280958532435968,2018-11-24 10:42:45,"b""@Stephb_c She's gross"""
1066019107466821634,2018-11-23 17:22:15,b'@MlicariEsq Sure is'
1066018534411644928,2018-11-23 17:19:58,b'She has some nerve considering the fact that Afrolatinos are relegated to maid roles or play invisible on Univision\xe2\x80\xa6 https://t.co/Eu3Hn0sVhj'
1066017419314036736,2018-11-23 17:15:33,"b""This is why I say POC doesn't automatically equate to allies. Allyship is earned. The fact is that many of these po\xe2\x80\xa6 https://t.co/fDNt5DMwGD"""
1065406782602952704,2018-11-22 00:49:05,b'RT @_issaBadBitch: Black people be like \xe2\x80\x9c Don\xe2\x80\x99t Cut my damn name \xe2\x80\x9c \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/nM7K7xaYR7'
1065406437118148608,2018-11-22 00:47:43,b'This is a habit for Hyde-Smith https://t.co/FSAn1gM67q'
1065406149414084608,2018-11-22 00:46:34,"b'RT @monaeltahawy: \xe2\x80\x9cBlack women are really impacted around violence as a whole, where we\xe2\x80\x99re talking about domestic violence, trafficking, or\xe2\x80\xa6'"
1065405852503482368,2018-11-22 00:45:24,b'@DawnMGibson Thank you'
1065405799269351424,2018-11-22 00:45:11,b'@dixiechick547 Yep'
1065405612211748864,2018-11-22 00:44:26,b'@Memej99 \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8dthank you so much'
1065405463926317057,2018-11-22 00:43:51,b'Woohoo hoooooo https://t.co/z8xG9HWAKM'
1065378820881043456,2018-11-21 22:57:59,b'@DennisCEarl Me too'
1065377522542657536,2018-11-21 22:52:49,b'I was walking to my car. I noticed a car following me. The car stopped 10 feet in front of me. Something told me he\xe2\x80\xa6 https://t.co/f34RWnjuxi'
1065377354812399617,2018-11-21 22:52:09,b'RT @DawnMGibson: @GilmerHealthLaw @Kirstie_Schultz @mattbc @cosetthetable @RebeccaCokley @BougieBlackGurl @SparrowOnTheEye @JediMaster941 @\xe2\x80\xa6'
1065371836865806336,2018-11-21 22:30:14,b'RT @keyinthecity: And little kids are about to get kicked out the kitchen for doing Fortnite dances to the Thanksgiving remix https://t.co/\xe2\x80\xa6'
1065370381526142977,2018-11-21 22:24:27,b'In about three hours Black American grandmas everywhere will be playing  Shirley Caesar while cooking Thanksgiving dinner.'
1065358264370700288,2018-11-21 21:36:18,b'@eledoya77 Lol'
1065358237942407173,2018-11-21 21:36:11,b'@_ThatOneFurry Lol'
1065351463717781510,2018-11-21 21:09:16,"b'When I see people ""making"" a cake using cake mix. \n#theancestorsareashamed #getaneasybakeoventhen #youlazy\xe2\x80\xa6 https://t.co/gguAlGNAIZ'"
1065350472586969091,2018-11-21 21:05:20,b'RT @SadeOfficiaI: All smiles. https://t.co/xdz9FToAMA'
1065348557157400576,2018-11-21 20:57:43,b'RT @TulsiGabbard: Hey @realdonaldtrump: being Saudi Arabia\xe2\x80\x99s bitch is not \xe2\x80\x9cAmerica First.\xe2\x80\x9d'
1065257237076152320,2018-11-21 14:54:51,b'Fyi https://t.co/7gYYPzZ0Vu'
1065078581737476096,2018-11-21 03:04:56,"b'Mississippi deserves better and so much more. \nFriends, you may not agree with everything Mike Espy says but one th\xe2\x80\xa6 https://t.co/0yMFKNfwvL'"
1065073095176847360,2018-11-21 02:43:08,"b""@SuliaJenifa I'll send you some for real lol"""
1065072839915700225,2018-11-21 02:42:07,"b""@SuliaJenifa I'm trying with cake in one hand and red wine in the other."""
1065072231351488513,2018-11-21 02:39:42,"b""I survived my 2nd year w/o my late hubby. My sons are great people despite my mom mistakes. I still haven't got the\xe2\x80\xa6 https://t.co/Ga1QDVmWBz"""
1065070661935222784,2018-11-21 02:33:28,b'RT @thedailybeast: Democrat Ben McAdams flips Utah House seat held by Mia Love https://t.co/ynf1VbXtHR'
1065069381691080705,2018-11-21 02:28:23,"b'RT @autumnjohnsontv: I will be graduating from Kennesaw State University in December, and I\xe2\x80\x99m currently looking for sports reporting/ ancho\xe2\x80\xa6'"
1065068109130797057,2018-11-21 02:23:19,b'Not control everything but commoditize people by using the fake idea of race (which was created during the Spanish\xe2\x80\xa6 https://t.co/3MK1nxfnL5'
1065067361785585664,2018-11-21 02:20:21,b'RT @theblerdgurl: Google is Looking for Podcasters and Creators of Color https://t.co/yy6jSA8tvu'
1065066704202620928,2018-11-21 02:17:44,"b'Mississippi has a clear choice. We can continue to be seen as a backward, embarrassing, living in the past where we\xe2\x80\xa6 https://t.co/WS3majS3Mt'"
1065065197419855872,2018-11-21 02:11:45,"b'RT @ChereeFranco: At Mississippi State, a student asked @cindyhydesmith about voter suppression. \xe2\x80\x9cThere\xe2\x80\x99s a lot of liberal folks in those o\xe2\x80\xa6'"
1065063956224499712,2018-11-21 02:06:49,"b""As a Mississippian, I'm upset at the fact that the reporters didn't ask her about her comments on limiting the righ\xe2\x80\xa6 https://t.co/t9mrSutKFB"""
1065061430146318341,2018-11-21 01:56:47,"b""RT @34NateDaGreat: @BougieBlackGurl @LaFemme_Negrita This is an issue that cuts across party lines clearly with one party that doesn't want\xe2\x80\xa6"""
1065061376836730880,2018-11-21 01:56:34,"b""There is a clear difference between Cindy Hyde-Smith and Mike Espy. One focuses on what divides us and what's makes\xe2\x80\xa6 https://t.co/3NZeDi6wHg"""
1065059950400102401,2018-11-21 01:50:54,b'Yep https://t.co/KHUz0rQhsl'
1065059301339918336,2018-11-21 01:48:19,"b'RT @authentic_april: Can someone tell @cindyhydesmith that not everyone in Mississippi is a Trump following, staunch conservative. How can\xe2\x80\xa6'"
1065059076160307201,2018-11-21 01:47:26,"b""This isn't about\nconservative values or liberal values. It's about living in the future. It's about innovation and\xe2\x80\xa6 https://t.co/L0y0xJcfhY"""
1065058018667188224,2018-11-21 01:43:14,b'RT @ActsofFaithblog: You mean a new list from the past week..... https://t.co/sdo4j0bITX'
1065057016467652614,2018-11-21 01:39:15,b'RT @ashtonpittman: Cindy Hyde-Smith says she\xe2\x80\x99s a co-sponsor of a bill to protect people with pre-existing conditions.\n\nThe bill would preve\xe2\x80\xa6'
1065056946003283973,2018-11-21 01:38:58,"b""Mississippi is one of the poorest states in the nation. Many Mississippans can't afford free market insurance that\xe2\x80\xa6 https://t.co/HgGkC8sLJk"""
1065056075366445056,2018-11-21 01:35:30,b'And he reported the man to the CIA. Walmart asked Hyde-Smith for their money back because her despicable views on h\xe2\x80\xa6 https://t.co/MU5eKA8uTg'
1065054873547407361,2018-11-21 01:30:44,"b'We do. We have the choice between the MS of the past, which is ugly. Your candidate, Hyde-Smith encourages that wit\xe2\x80\xa6 https://t.co/gczI27CbBM'"
1065052963209543680,2018-11-21 01:23:08,"b""If we had universal health care and gun control the mentally I'll would be treated and they wouldn't have access to guns #MSSen"""
1065052217831563264,2018-11-21 01:20:11,"b""I'm tired of Mississippi being seen as a back water state. Hyde-Smith's values do not reflect my Mississippi. #MSSen"""
1065050290888630272,2018-11-21 01:12:31,b'Is Cindy Hyde-Smith running for Senator or Trump? What have you done Hyde-Smith? #MSSen'
1065049654805581826,2018-11-21 01:10:00,"b""I'm watching the #MSSen debate"""
1065000782746058753,2018-11-20 21:55:48,"b'RT @monaeltahawy: In 2014, when Aisha Fraser Nelson\xe2\x80\x99s ex was a judge,he punched her 20 times &amp; smashed her head on dashboard 5 times, break\xe2\x80\xa6'"
1064998629792874497,2018-11-20 21:47:14,b'Potlucks = cat hair stew https://t.co/SeFrQyLj0q'
1064998333633232897,2018-11-20 21:46:04,"b'They got roaches (well it is three, but you get the point) https://t.co/SeFrQz2Up0'"
1064988555641057281,2018-11-20 21:07:12,b'RT @RepStratton5: I also have a mutual friend of Dr. O\xe2\x80\x99Neal who is devastated by her loss. The world is smaller than we know and acts of vi\xe2\x80\xa6'
