id,created_at,text
989289216151437312,2018-04-25 23:45:03,"b'RT @a_olivia4212: Always a good day when the makeup artist\'s first words are ""I know a good laser treatment place.""'"
989289169414336512,2018-04-25 23:44:52,b'RT @a_olivia4212: Just waiting for the right person to tell me to stop'
989289123784540160,2018-04-25 23:44:41,"b""RT @a_olivia4212: If anyone needs me, don't that's a mistake."""
989289007954579456,2018-04-25 23:44:14,b'RT @a_olivia4212: Wondering which one of you stole my bag today ?'
989288895199117314,2018-04-25 23:43:47,b'RT @a_olivia4212: Talking a lot ? \nOf course ! When you have a voice like mine you have to share it with the world'
989288741360422912,2018-04-25 23:43:10,b'RT @a_olivia4212: I react to unexpected mirrors like I\xe2\x80\x99m being attacked by a zombie .'
924025061450833921,2017-10-27 21:28:36,b'@caseytduncan @BrdnHatesYou @Vanlynlaw @wokkax3 @BlackCheesePie @SomewhatFeisty @legrant101 @RandomAntics\xe2\x80\xa6 https://t.co/ZIKpMG6zr9'
924024903417729024,2017-10-27 21:27:59,b'RT @caseytduncan: #FF @BrdnHatesYou @Vanlynlaw @wokkax3 @Moemontes @BlackCheesePie @SomeWhatFeisty @legrant101 @RandomAntics @iAchillesHeel\xe2\x80\xa6'
908484397287882752,2017-09-15 00:15:33,"b'RT @AnitaHelmet: I remember when a ""facial recognition interface"" was called a ""mirror"", and everyone had one.\n\nSome rich,vain mutherfucker\xe2\x80\xa6'"
904090830431858688,2017-09-02 21:17:05,"b""talltalecollectibles's photo https://t.co/DczmdQ4FVD"""
883304687390175234,2017-07-07 12:40:23,b'RT @a_olivia4212: Despicable Me 3 !!!\nhttps://t.co/ZgTPRD3Qzt\nBest movie EVER !!!! https://t.co/ezdPNY6Z8M'
883117367546363904,2017-07-07 00:16:02,"b'RT @a_olivia4212: Twitter is free! You want good shit , pay for it !'"
883117276244754432,2017-07-07 00:15:40,b'RT @a_olivia4212: Hey USA ! \nMay your health be with you!'
883117259987664898,2017-07-07 00:15:36,b'RT @a_olivia4212: When did it become old fashioned to be loyal ?'
883117182049075200,2017-07-07 00:15:18,"b""RT @a_olivia4212: Don't flatter yourself , you know it's bullshit ."""
883117160993669120,2017-07-07 00:15:13,b'RT @a_olivia4212: Mother efffer of all mornings .. wearing my white shirt backwards again !! \nCoffee stains'
