id,created_at,text
1067207412464013314,2018-11-27 00:04:09,b'Michael Jackson - Making Of Bad (BAD 25) Documentary/ English [HD] https://t.co/bSN3pOBh18 via @YouTube\n\nThe concep\xe2\x80\xa6 https://t.co/FmYCbo2hA5'
1066850818790350848,2018-11-26 00:27:10,"b""The Canadian who got his start on Youtube, and the guy from Indiana who can't really drive or spell well but it's o\xe2\x80\xa6 https://t.co/ZgoE3zBqol"""
1066846581935104000,2018-11-26 00:10:20,b'I just remembered that this Christmas marks 10 whole years since I found out about Michael and his music. My Moonwa\xe2\x80\xa6 https://t.co/nQDNn6Ys9a'
1066839437793943552,2018-11-25 23:41:57,"b""YES! Some people make it seem like it's BEYOND wrong to love other artists besides Michael, especially if the other\xe2\x80\xa6 https://t.co/XCQEqTSkZB"""
1066468941055254528,2018-11-24 23:09:44,b'Simply Complex | Michael Jackson - Sweet like Cherry Pie; Bitter like Cheap Wine\n #wattpad https://t.co/0Lxi6wVRE5 #MichaelJackson #MJ'
1066178010582147072,2018-11-24 03:53:41,"b""I've been working on the chapter all day, but still don't think I'll have it done by tonight. It's almost 3,000 wor\xe2\x80\xa6 https://t.co/p3jrm2lzFb"""
1066094221055029248,2018-11-23 22:20:44,b'No rush but I am looking forward to your reaction/thoughts. https://t.co/9Txk7VBHWC'
1066076140048007168,2018-11-23 21:08:53,b'RT @selenapvssy: Y\xe2\x80\x99all out here talking shit about After for talking about two broken different people falling in love and being toxic to e\xe2\x80\xa6'
1066059821768560640,2018-11-23 20:04:02,"b'@Liberianbihh Still waiting on the Queen of MJ fanfics, @dirtydiariana to give it a read, though. If she genuinely\xe2\x80\xa6 https://t.co/l4tB2WQHAq'"
1065808120172048384,2018-11-23 03:23:52,"b'""Favorite book."" Excuse me while I sob tears of appreciation and love! https://t.co/8YnhegtKno'"
1065804345927655425,2018-11-23 03:08:52,"b""I'm a little over 1,000 words into writing the next chapter, and I just have to say that I think you guys are going\xe2\x80\xa6 https://t.co/1rMfKSXBSl"""
1065717541937438720,2018-11-22 21:23:56,b'RT @smoothcrvminal: happy thanksgiving ya\xe2\x80\x99ll https://t.co/x5oxyj9H6a'
1065716363778416640,2018-11-22 21:19:15,b'RT @heroshardin: harry styles is not hardin scott. hardin scott is not harry styles. how many times do we have to say this to get it throug\xe2\x80\xa6'
1065710436228583424,2018-11-22 20:55:42,b'Guess who is about to start writing the 1st Thanksgiving themed chapter of the series. Happy Thanksgiving everyone!'
1065680000647479296,2018-11-22 18:54:46,b'RT @LovelyLikeLaura: I was telling my mom how people are saying Hero\xe2\x80\x99s accent is bad when its legit just his voice &amp; she goes \xe2\x80\x9cwhen people\xe2\x80\xa6'
1062191955277316096,2018-11-13 03:54:31,"b""Simply Complex | Michael Jackson - 8: Destiny's Difficult Decision #wattpad https://t.co/6wuzONkhmx #MichaelJackson #MJ"""
1062138076560941056,2018-11-13 00:20:25,"b'RT @kjngofpops: just saw ppl being rightfully sympathetic to selena gomez who unfortunately suffers with lupus, but it\xe2\x80\x99s so sad that there\xe2\x80\xa6'"
1061316786925129728,2018-11-10 17:56:54,"b'@dirtydiariana After you\'re done reading ""Forever"", you should give my series a chance. I have confidence that you\xe2\x80\xa6 https://t.co/sMa3NcOND3'"
1061309902641983488,2018-11-10 17:29:33,b'I told you it was great! Totally worth your fingers falling off from continuously scrolling on the app. https://t.co/u3ClqJ9uhB'
1059643593151770624,2018-11-06 03:08:14,b'RT @Liberianbihh: @MJsboyfriend Omg yes! That would be so cute seeing Shane get all soft for Emma after all that talk about not wanting kid\xe2\x80\xa6'
1059643335705427968,2018-11-06 03:07:13,"b""Exactly what I was thinking. Remember in the original story when Shane had a tea party with Alex's daughter? And Mi\xe2\x80\xa6 https://t.co/6BI4YQCyB7"""
1059637661827162112,2018-11-06 02:44:40,"b""I'm thinking of switching things up this time, and making Emma have more of a bond with Shane, instead of with Mich\xe2\x80\xa6 https://t.co/Zk9p15H74S"""
1059622921759408128,2018-11-06 01:46:06,"b""Since I likely wont be uploading a new chapter until I'm feeling better, I thought I'd share a new photo of Lucas w\xe2\x80\xa6 https://t.co/lPQ1n9yKzT"""
1056041299592142848,2018-10-27 04:34:00,b'People like you have made starting over from scratch so worth it. https://t.co/SPdC86dSrH'
1056018266768912384,2018-10-27 03:02:29,"b'Simply Him hit 30,000 reads today, Thank you all so much for reading! another 10,000 reads closer to my hope to rea\xe2\x80\xa6 https://t.co/3yYFXnDcPf'"
1055680823028998144,2018-10-26 04:41:36,"b""Everything That Isn't Me by Lukas Graham https://t.co/ETiyBBi65l #NowPlaying"""
1055677531024613377,2018-10-26 04:28:31,"b""RT @LukasGraham: The day is finally here :D '3 (The Purple Album)' is officially out! It feels amazing to finally share it with you, hope y\xe2\x80\xa6"""
1055651241617842177,2018-10-26 02:44:03,"b'RT @ItGetsBetter: For the First Time, #LGBTQ People of Color Outnumber White LGBTQs on (Broadcast) TV: https://t.co/zRcBvssTMn https://t.co\xe2\x80\xa6'"
1055646681687969792,2018-10-26 02:25:56,"b""This photo perfectly explains why I changed Michael's favorite color to pink in my fanfic. Just look at it. There's\xe2\x80\xa6 https://t.co/qc15bWRA6M"""
1055634305785839616,2018-10-26 01:36:45,"b'RT @HRC: In order to protect trans youth like Jacob and others in the transgender community, it is crucial the residents of Massachusetts v\xe2\x80\xa6'"
1055582815260094464,2018-10-25 22:12:09,"b""I love when I suddenly find out that an artist/band that I REALLY like but don't necessarily stan is releasing their new album tomorrow! \xf0\x9f\x98\x8d"""
1055566421499895813,2018-10-25 21:07:01,"b'RT @bIackfedora: what do the mj estate and locals have in common?\n\nthey tell u michael\xe2\x80\x99s dead, meaning (in their brain) we dont need new mu\xe2\x80\xa6'"
1055557542300987392,2018-10-25 20:31:44,"b""Reading all the reactions from new readers to Shane wanting Destiny to get an abortion when she's pregnant with Emm\xe2\x80\xa6 https://t.co/v1f9uOw3x3"""
1055265851903889408,2018-10-25 01:12:39,b'Simply Complex | Michael Jackson - 7: The Aftermath #wattpad https://t.co/7Gis6zj9qW #MichaelJackson #MJ'
1054954443274366976,2018-10-24 04:35:14,"b'Was really aiming to have the chapter done by the time I went to bed tonight, that way you guys would be able to re\xe2\x80\xa6 https://t.co/6M9kK4ysTK'"
1054920077890379776,2018-10-24 02:18:40,"b'The 1st part of this pic I totally agree with, but why did they have to put that thing about ending ""bad together""\xe2\x80\xa6 https://t.co/npijIxaaKh'"
1054899844567855104,2018-10-24 00:58:16,b'Wishing my dad would go to sleep already so I can go back to writing. I have this weird paranoia of people knowing\xe2\x80\xa6 https://t.co/AA7dl9VaQG'
1054891588311105537,2018-10-24 00:25:28,"b'I don\'t know where all these ""new\' pics of MJ have been discovered, but I\'m LIVING! (and I hope some more Mature Er\xe2\x80\xa6 https://t.co/bSBfNvTgks'"
1054782941249687553,2018-10-23 17:13:44,"b""I CAN'T WAIT FOR THIS! https://t.co/SwPhSwqS58"""
1054577409448529920,2018-10-23 03:37:02,"b""Working on the next chapter now, and if you're an original reader, then be prepared for Shane to voice his opinion\xe2\x80\xa6 https://t.co/VZcgT2hqNq"""
1052728450241286145,2018-10-18 01:09:55,"b""@Liberianbihh It's pretty obvious that my favorite physical feature of Michael's is his perfect butt...but this is.\xe2\x80\xa6 https://t.co/YBc6tcxy71"""
1052719642026758144,2018-10-18 00:34:55,"b""The more I look through my folder of Lucas photos, the more I truly feel he's the prefect visual representation of\xe2\x80\xa6 https://t.co/aLcMsxh0X4"""
1052678258217517061,2018-10-17 21:50:29,b'RT @seewhatsnext: Orange Is The New Black will end with Season 7. The final #OITNB episodes will premiere in 2019. https://t.co/9x1ooJSLki\xe2\x80\xa6'
1052661297601380353,2018-10-17 20:43:05,"b""RT @Liberianbihh: @MJsboyfriend I can't wait to see the journey you're about to take us on i swear I live for your writing \xf0\x9f\x98\xad\xf0\x9f\xa4\xa7\xf0\x9f\x92\x93"""
1052651589129756682,2018-10-17 20:04:30,"b'Thank you so much for saying this, bc, honesty. I feel like starting over was for the best, especially when it come\xe2\x80\xa6 https://t.co/owCvY8oL9K'"
