id,created_at,text
1066933519597871106,2018-11-26 05:55:48,b'RT @mahsyako: yall care more about reporting sex workers than u do your rapist friends'
1066933226701291521,2018-11-26 05:54:38,b'RT @IgnorantAF: Chicks with a big butt: \n\nMe: https://t.co/eVLIz6Ndug'
1066931840374706179,2018-11-26 05:49:08,"b'RT @emilybwarren: Mom: \xe2\x80\x9cI want one of those Reece\xe2\x80\x99s sundaes\xe2\x80\x9d\nDad: *immediately pauses the TV, stands up &amp; puts coat on*\nMe: \xe2\x80\x9cwhere are you\xe2\x80\xa6'"
1066931782170357761,2018-11-26 05:48:54,b'RT @IanRoss_J: Smoking is actually really good for the environment cause it kills human beings'
1066865636087861252,2018-11-26 01:26:03,b'RT @kendraaaleighh: I\xe2\x80\x99m babysitting for a new family and trying to bond with the 3 year old so i asked him how old he is and he said \xe2\x80\x9cthree\xe2\x80\xa6'
1066865317358551040,2018-11-26 01:24:47,"b'RT @clur19: When I was 14, a boy told me I had the body shape/type of a gingerbread man, and last night he tried to get me to go home with\xe2\x80\xa6'"
1066864752842981376,2018-11-26 01:22:33,b'RT @sadlilthingx: dissociation is one of the scariest effects of mental illness and nobody talks about how awful it is to feel like you are\xe2\x80\xa6'
1066864704256118784,2018-11-26 01:22:21,"b'RT @rons_post: Having an Ex on Social Media is so annoying .. You tweet ""I love bubblegum "" and they\'ll throw a sub like ""only stupid hoes\xe2\x80\xa6'"
1066864652724944902,2018-11-26 01:22:09,"b'RT @connorhannigan4: hollywood really demonized bats, these are nothing but some bird puppies https://t.co/kKCKuOdNej'"
1066864589059571712,2018-11-26 01:21:54,b'RT @andrecrosdalee: i want a healthy and long lasting relationship to the point where ur mama loves me as much as u do.'
1066864439738142720,2018-11-26 01:21:18,b'RT @yaboimarlin: anyone seen my fucking son'
1066715621302267904,2018-11-25 15:29:57,b'RT @softedhearts: the signs as bitches\n\naries: tough bitch\ntaurus: stupid bitch\ngemini: resting bitch face bitch\ncancer: sensitive bitch\nle\xe2\x80\xa6'
1066715496706260992,2018-11-25 15:29:27,b'RT @casillasirene: never dating a skinny guy ever again cause at my first rave my friend was like U SHOULD GET ON UR BFs SHOULDERS AND I CA\xe2\x80\xa6'
