id,created_at,text
1067446688506408962,2018-11-27 15:54:57,b'@definetigers Jesus. He looks like Jason Bateman transitioning into Teenwolf'
1067229754582016001,2018-11-27 01:32:56,b'Just discovered one of my husband\xe2\x80\x99s friends voted for Jill \xe2\x80\x9cherd immunity\xe2\x80\x9d Stein https://t.co/FdVHQ2X3qa'
1067194586391552000,2018-11-26 23:13:11,b'Permanently logging the fuck out now https://t.co/3f7ckESjBv'
1067154076373270529,2018-11-26 20:32:13,b'I\xe2\x80\x99m so exhausted by this person but what step is state run media in the dizzying decent into genocide? https://t.co/Zmzglt7NXA'
1067095586745303040,2018-11-26 16:39:48,"b'@definetigers Love to wrap up a holiday weekend tear gassing kids, too! Been having a real blast over here!'"
1067093457607581696,2018-11-26 16:31:20,b'Thank god we loosened up all those pesky environmental regulations! https://t.co/a3wXVRlWel'
1067046029399400448,2018-11-26 13:22:52,b'Big Monday after thanksgiving I don\xe2\x80\x99t want to work today mood https://t.co/Uy6vAVep0E'
1066805863355203591,2018-11-25 21:28:32,"b'And in a strange turn of events he endorses NOT a pedophile, but just a racist! Love this, folks! https://t.co/TTT0p9c506'"
1066715272730554368,2018-11-25 15:28:34,b'RT @LostCatDog: Me: this cranberry sauce low-key slaps\nMy inlaws: what the fuck is wrong with you'
1066491871487234048,2018-11-25 00:40:51,b'Ladies if he: \n\n-doesn\xe2\x80\x99t fav your tweets\n-leaves you on read\n-is overtly misogynist but you don\xe2\x80\x99t mind for some rea\xe2\x80\xa6 https://t.co/vygbTyvOPJ'
1066443049746776064,2018-11-24 21:26:51,b'Finished 2 books today and barely interacted with anyone! https://t.co/PjVms60nzZ'
1065979207707213835,2018-11-23 14:43:42,b'@Qmanda https://t.co/fspqB4FWOA'
1065829294629445632,2018-11-23 04:48:00,b'I want to have a kid only so I can take it to see the new Lion King.'
1065818874657079296,2018-11-23 04:06:36,b'@Qmanda Also that was my mom last Christmas Eve guilt tripping me for not eating ham! Eat your own damn ham!'
1065761161168257025,2018-11-23 00:17:16,b'@DanaOutside Oh snap!'
1065759941980499968,2018-11-23 00:12:25,b'Help I\xe2\x80\x99m stuck in a Dateline featuring Keith Morrison k hole #AndWhatHappenedNextYouWontBelieve'
1065641313050214400,2018-11-22 16:21:02,b'@ErinMBarlow https://t.co/yxw4y06sX5'
1065617275338850310,2018-11-22 14:45:31,b'@ColoradoUgly We killed it super young!'
1065614806785368064,2018-11-22 14:35:42,b'Looking forward to the annual event of my husband\xe2\x80\x99s family asking me if Turkey is meat (yes) &amp; do I eat it? (no). W\xe2\x80\xa6 https://t.co/nOiaEk9mU5'
1065613639833567234,2018-11-22 14:31:04,b'@realDonaldTrump https://t.co/84J02PMjzA'
1065376098282848257,2018-11-21 22:47:10,b'Piers Morgan vs Ariana Grande (ok)\n\nChief Justice Roberts vs Trump (\xe2\x80\xa6\xe2\x80\xa6.ok) \n\n2018 does too much'
1065332977515794432,2018-11-21 19:55:49,b'@IAmALodestar You know now that I\xe2\x80\x99m looking @ them on good reads I know someone else told me to read them too. Adde\xe2\x80\xa6 https://t.co/kmHF7a3xAU'
1065331670969196545,2018-11-21 19:50:37,b'@IAmALodestar I haven\xe2\x80\x99t actually! Do you recommend? I\xe2\x80\x99ll add them to my to read list if so!'
1065322675206332417,2018-11-21 19:14:53,b'These days I typically eschew mid-week day wine but the glass I just had after dealing with those contractors all m\xe2\x80\xa6 https://t.co/Zf99KbYTRv'
1065291188738187265,2018-11-21 17:09:46,b'Seems fair https://t.co/sClFUtxC5K'
1065244677014781952,2018-11-21 14:04:56,b'@vasocialflight I\xe2\x80\x99d rather be @ work! Happy thanksgiving!'
1065243481378091008,2018-11-21 14:00:11,b'@ErinMBarlow Oh I liked it https://t.co/hI2JAXk3H5'
1065242049895649281,2018-11-21 13:54:30,b'@vasocialflight Me:  oh so so y\xe2\x80\x99all are really out here removing EVERY window? \n\nThem: yes! \n\nMe: https://t.co/01UoqAVfE0'
1065240585332772864,2018-11-21 13:48:41,b'Really pleased my landlord picked today to remove every window from our apartment to paint them! Very relaxing day off!'
1065021656974983169,2018-11-20 23:18:44,b'Me if my husband just one time remembered to put down the toilet seat https://t.co/q6MLhW3QQQ'
1064953249432768512,2018-11-20 18:46:55,b'@definetigers Sometimes you gotta workshop!'
1064952432474685440,2018-11-20 18:43:40,b'I\xe2\x80\x99m no lawyer but this sounds like it violates a few international laws + treaties! https://t.co/JU2oUupScU'
1064918403071320064,2018-11-20 16:28:27,b'@realDonaldTrump @DonaldJTrumpJr just wanted to make sure y\xe2\x80\x99all were aware how much we\xe2\x80\x99re winning. Have a blessed t\xe2\x80\xa6 https://t.co/mydxUY8NMr'
1064885261111345152,2018-11-20 14:16:45,b'RT @dasharez0ne: FUCK EM - https://t.co/Qtp3PuUDXE ADMIN https://t.co/G7fCYH4VES'
1064881081885880322,2018-11-20 14:00:09,b'@imisspoundsigns Hahahahaha'
1064873075760603137,2018-11-20 13:28:20,b'Y\xe2\x80\x99ALL ARE *NOT* GOING TO\nSTRESS ME OUT TODAY. EVERYONE WILL USE THEIR ADULT LOGIC + REASONING SKILLS! HAPPY THANKSG\xe2\x80\xa6 https://t.co/dG6RUzWRyK'
1064716090272612352,2018-11-20 03:04:32,b'@Qmanda Happy to see I\xe2\x80\x99m not the only one making the executive decision to *not* business casual this week'
1064629623286362112,2018-11-19 21:20:56,b'@definetigers Crank up Round Here is what the hell I\xe2\x80\x99d be doing'
1064512614712188928,2018-11-19 13:35:59,"b'@edwardbbaldwin Yep, we gotta badass ovah here!'"
1064510401721843712,2018-11-19 13:27:12,b'Uniformly decided it\xe2\x80\x99s acceptable to wear jeans to work today https://t.co/4Ljyuqi41M'
1064296486723338240,2018-11-18 23:17:10,b'I know this is ridiculous but @MalibuRVA just said sharks are good people'
1064261048935559173,2018-11-18 20:56:21,b'@MalibuRVA I only drank beer in college https://t.co/B2Pl1NgHQn'
1063981421423980550,2018-11-18 02:25:13,b'A man: \xe2\x80\x9cyou look nice\xe2\x80\x9d \n\nMe: \xe2\x80\x9cthx. it\xe2\x80\x99s showering SZN \xe2\x80\x9c https://t.co/5fpVMdhKXP'
1063945406500036608,2018-11-18 00:02:06,"b'I mean of course the ridiculously big Ford truck parked illegally on Main St, halfway on the sidewalk, blocking an\xe2\x80\xa6 https://t.co/MQ7eJ3owNd'"
1063856461581824000,2018-11-17 18:08:40,b'I feel seen https://t.co/NDWEoCVJoN'
1063609343348785152,2018-11-17 01:46:43,b'Guy boastfully saying he got kicked out of Oktoberfest (2 months ago). Which is honestly impressive.   You\xe2\x80\x99d be sho\xe2\x80\xa6 https://t.co/jVWA9jen5u'
1063604843036778496,2018-11-17 01:28:50,b'We gotta group of twice ovah divorcees ovah here asking entree prices and ordering shots https://t.co/o2Cx00reOM'
1063560187360014336,2018-11-16 22:31:23,b'He\xe2\x80\x99s such a pumpkin spice basic bitch https://t.co/cptgpUlSDP'
1063525550717878273,2018-11-16 20:13:45,b'@Jeb_Hoge I know I\xe2\x80\x99ve already saved that to my favs \xf0\x9f\x98\x82'
1063418163013042176,2018-11-16 13:07:02,"b'@ErinMBarlow Me, yes. Heavily filtered? Also yes!'"
1063417553110949888,2018-11-16 13:04:36,b'@Janeunplain Maybe from one of those all candy stores they had at a mall?'
1063269313535254534,2018-11-16 03:15:33,"b'RT @Ocasio2018: If I walked into Congress wearing a sack, they would laugh &amp; take a picture of my backside.\n\nIf I walk in with my best sale\xe2\x80\xa6'"
1063262169142308864,2018-11-16 02:47:10,"b'Hill staffer leaked this completely unaltered, unfiltered (not FAKE NEWS!) photo of me casually working hard for my\xe2\x80\xa6 https://t.co/Xub6c4I0vR'"
1063220424534831104,2018-11-16 00:01:17,b'Shoot that made for Netflix Christmas movie right into my veins https://t.co/ZSZ0bylkHd'
1063115246842376192,2018-11-15 17:03:21,b'The look I give when anyone asks me anything not related to Open Enrollment https://t.co/8LSUFnUgqA'
1062856050674724864,2018-11-14 23:53:24,b'I love how grocery stores continue to baffle him. https://t.co/r7Woi5vHLG'
1062724183313076224,2018-11-14 15:09:24,b'@sntacks \xf0\x9f\x98\x82 and 95 N traffic starts WAY before Fredericksburg \xf0\x9f\x91\x8d'
1062507336005246976,2018-11-14 00:47:43,b'@BaristaRVA @julieklausner @MalibuRVA Seems like a lot of unnecessary work when you should just let those cats into the museum.'
1062485257176387584,2018-11-13 23:19:59,b'@Qmanda Hahahahaha total nightmare'
1062483743011717122,2018-11-13 23:13:58,b'@Qmanda There were SEVERAL at my old company and I was like wow you must love to torture yourselves!'
1062415100152344578,2018-11-13 18:41:13,b'@Jeb_Hoge But at the end of the day they\xe2\x80\x99re living in honestly one of the most frustrating areas on the east coast!\xe2\x80\xa6 https://t.co/whwQVW7NC3'
1062413632582152192,2018-11-13 18:35:23,b'@Jeb_Hoge I honestly can\xe2\x80\x99t imagine how much more over inflated property values there could go up but I\xe2\x80\x99m sure we\xe2\x80\x99ll find out!'
1062406123314204673,2018-11-13 18:05:33,b'@MelissaMctastic It\xe2\x80\x99s so shitty! Man oh man. Have fun with that \xf0\x9f\x91\x8d'
1062396505317879808,2018-11-13 17:27:19,b'I honestly feel sorry for whatever future Amazon employee thinks it\xe2\x80\x99s a good idea to live in Loudoun County and com\xe2\x80\xa6 https://t.co/n9jduYwCAG'
1062394333876252672,2018-11-13 17:18:42,b'@teevirus It\xe2\x80\x99s a really terrible place \xf0\x9f\x98\x82'
1062393844635975681,2018-11-13 17:16:45,"b'RT @tomgara: Crystal City is a nightmare of a place and ""renamed in honor of large new office park"" is the perfect thing to happen to it'"
1062392986837938176,2018-11-13 17:13:21,b'One time I got lost in Crystal City and folks I don\xe2\x80\x99t recommend it!'
1062390748706947072,2018-11-13 17:04:27,b'@realDonaldTrump You\xe2\x80\x99re such an embarrassment'
1062345476891201537,2018-11-13 14:04:33,b'@VioletRenae Makes sense. Glad you are well!'
1062189249640960000,2018-11-13 03:43:46,b'Emma Stone is a model in a poster and says \xe2\x80\x9cOh YEAH\xe2\x80\x9d a million times + I now say that numerous times a day and have\xe2\x80\xa6 https://t.co/DMnFuTPHrX'
1062125599605559296,2018-11-12 23:30:50,b'Why? He transitioned into a Gremlin ages ago. https://t.co/kaFe8f37kp'
1062117674371686406,2018-11-12 22:59:21,"b'It\xe2\x80\x99s happening, folks! \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb https://t.co/ksrUyhFvK1'"
1062117491281969153,2018-11-12 22:58:37,b'@Jennykay5real Hello! I\xe2\x80\x99m glad you\xe2\x80\x99re well!'
1062056452528005120,2018-11-12 18:56:04,b'@jen_hit_th_roof I\xe2\x80\x99m glad you are well!'
1061794836481798144,2018-11-12 01:36:30,b'@danallen Wow you are welcome!'
