id,created_at,text
1067525349251067906,2018-11-27 21:07:31,"b'3-2. Good side Barnsley, surely we\xe2\x80\x99re too huge to throw this away?'"
1067513260071665670,2018-11-27 20:19:29,b'JUGGERNAUT! Could be 10 up already https://t.co/qdvnAc7dad'
1067510306388303873,2018-11-27 20:07:45,b'Enormous football club https://t.co/USlGhV6tfN'
1067508672807518209,2018-11-27 20:01:15,b'We have just gone live https://t.co/bJuCcVYpxt'
1067485392298024961,2018-11-27 18:28:45,b'AEK Athens look like they\xe2\x80\x99ve never seen a football before here.'
1067471053566423040,2018-11-27 17:31:46,b'Its Nile Ranger https://t.co/3XjWjSpKFq'
1067460315045089281,2018-11-27 16:49:06,"b'RT @playmaker_EN: \xf0\x9f\x93\x88 Scored in most league games (2018/19; top 4 tiers):\n18\xf0\x9f\x92\xa5: \xe2\x9a\xa1SUNDERLAND*\xe2\x9a\xa1, MK Dons\n17\xf0\x9f\x92\xa5: Leeds, Villa, Forest Green, Newpor\xe2\x80\xa6'"
1067440129625735168,2018-11-27 15:28:53,b'Surely you backed it? @RageyDave1 https://t.co/t39CNO81CZ'
1067413113367158784,2018-11-27 13:41:32,b'Nobody knows anybody who listens to radio 1'
1067374834743681024,2018-11-27 11:09:26,"b'RT @Mickharford: Good morning,never get sick of this view, Roker Pier at sunrise. https://t.co/cVS9CJkBDN'"
1067355642179084288,2018-11-27 09:53:10,b'Lou Macari each way price please? https://t.co/qZch6OEffY'
1067177163823218688,2018-11-26 22:03:57,b'RT @G_Burton95: Performance of the night ....go on Mark Oi Oi the faces knew gamble landed \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 @Mark_EFC_  @DogLayer https://t.co/rFe91FWWjy'
1067172282794168323,2018-11-26 21:44:33,b'RT @borowatty: @DogLayer Oi Oi \xf0\x9f\x8e\x89\xf0\x9f\x8e\x89\xf0\x9f\x8d\xba\xf0\x9f\x8d\xba https://t.co/Z7dYbc2UWt'
1067172229258141704,2018-11-26 21:44:21,"b'@PaulWal44327928 Yeah you did, I remember you chinning is in a Sunday afternoon game live on ITV before Sunday afte\xe2\x80\xa6 https://t.co/GjTtDs04pn'"
1067171771785363457,2018-11-26 21:42:32,"b'Gentlemen of the punt, have you any objections in getting yourselves paid please?'"
1067170929665560576,2018-11-26 21:39:11,b'You can\xe2\x80\x99t have a left foot like Matt Richie has got and miss that. Corruption I think'
