id,created_at,text
1067512990168113152,2018-11-27 20:18:24,b'@alaskancourtney @LadyJessMacBeth @AliasNestor1 I like him.'
1067512723053850624,2018-11-27 20:17:21,b'@alaskancourtney @LadyJessMacBeth @AliasNestor1 He was going after it like a egg sucking Coyote.'
1067509991249129473,2018-11-27 20:06:29,b'@iamisgo11 @SunSuzSunTzuing @Dawnsfire @mikesta12 @ImDudeLiberty @rhsheats @SkotCG @wildauburnrebel @Jennie_Agent99\xe2\x80\xa6 https://t.co/HVLlp3BWMC'
1067509499022389248,2018-11-27 20:04:32,b'@fyvie2 @SunSuzSunTzuing @Dawnsfire @mikesta12 @iamisgo11 @ImDudeLiberty @rhsheats @SkotCG @wildauburnrebel\xe2\x80\xa6 https://t.co/8NoRv8DNav'
1067508565219270656,2018-11-27 20:00:49,b'@mikesta12 @iamisgo11 @ImDudeLiberty @SunSuzSunTzuing @rhsheats @SkotCG @wildauburnrebel @Jennie_Agent99 @Dawnsfire\xe2\x80\xa6 https://t.co/cY2P62qb2L'
1067507382253539328,2018-11-27 19:56:07,b'@IOurpatio @heartsabustin @meggymish @cpjackson79 @iamisgo11 @secjr112 @Ty_in_TX @AV_SardonicWaif @Clandestiny5\xe2\x80\xa6 https://t.co/Ce2Ryh2DWK'
1067507121636356096,2018-11-27 19:55:05,b'@secjr112 @Newsweek agree.And why are they talking about this guy ? He has a resume.'
1067498485618925568,2018-11-27 19:20:46,b'@meggymish @cpjackson79 @iamisgo11 @IOurpatio @secjr112 @Ty_in_TX @AV_SardonicWaif @Clandestiny5 @epeterd916\xe2\x80\xa6 https://t.co/2Tp3nLWRkq'
1067428840551571457,2018-11-27 14:44:02,b'@meggymish @cpjackson79 @iamisgo11 @IOurpatio @secjr112 @Ty_in_TX @AV_SardonicWaif @Clandestiny5 @epeterd916\xe2\x80\xa6 https://t.co/3HqULy71Y8'
1067426185670418432,2018-11-27 14:33:29,b'@meggymish @cpjackson79 @iamisgo11 @IOurpatio @secjr112 @Ty_in_TX @AV_SardonicWaif @Clandestiny5 @epeterd916\xe2\x80\xa6 https://t.co/VbneKhNQsE'
