id,created_at,text
1067504090823954432,2018-11-27 19:43:03,"b'Check out my #newblogpost - ""Embedded Thoughts Create Our Reality"" https://t.co/B2rzJbgzmt'"
1067180965213147141,2018-11-26 22:19:04,b'Disappearing from the illusion for awhile to work on myself. Have a blessed day and week ahead from my heart and soul to yours.'
1067180128709562374,2018-11-26 22:15:44,b'RT @ChrisWick_: You have no obligation to lower your energy for anyone. \xe2\x9d\xa4'
1067180078511996928,2018-11-26 22:15:32,b'What if we peeked beyond the curtain veils and saw there was so much more to life and that the reality we experienc\xe2\x80\xa6 https://t.co/DcpM9YZUVE'
1067180012858736640,2018-11-26 22:15:16,"b'We are taught to be \xe2\x80\x9cfirm believers\xe2\x80\x9d in what we believe or have faith in. While that is true to some extent, what i\xe2\x80\xa6 https://t.co/gwDc9zfwIR'"
1067178523914326016,2018-11-26 22:09:21,b'RT @align_manifest: The first time I did a spoken word at the homies Jersey City Jam... https://t.co/FfBmrZg3Go'
1067171091007905792,2018-11-26 21:39:49,"b""Cut the ties on anyone or anything that drains you mentally. Heaviness: that's resistance working in full force on the brain."""
1067170034655657984,2018-11-26 21:35:37,b'@ninjashoes Q is a psyop too.'
1067169242137722882,2018-11-26 21:32:29,"b'@ninjashoes When you get close to the truth, more distractions appear to throw you off and sedate you just like the\xe2\x80\xa6 https://t.co/f8hL7skor8'"
1067168809298075648,2018-11-26 21:30:45,"b""@ninjashoes There's a lot of disinfo out there. Distractions is what they are besides mental health damaging and th\xe2\x80\xa6 https://t.co/PHat2jont0"""
1067168710685798400,2018-11-26 21:30:22,b'@ninjashoes Lol'
1067162234571407360,2018-11-26 21:04:38,"b""Having a purpose filled life is important. It doesn't matter what it is. You deserve that and it's never too late t\xe2\x80\xa6 https://t.co/RFVuMOucx5"""
1067158909109051392,2018-11-26 20:51:25,"b'RT @KarenNeverland: ""Fighting the dark only increases the power of the darkness to affect you. There is no need to fight the dark at this t\xe2\x80\xa6'"
1067157818191556614,2018-11-26 20:47:05,b'@KarenNeverland @The_Soul_Matrix Had this thought this morning after the dense energy.'
1067157604990885888,2018-11-26 20:46:14,"b""If it's not from the heart, it is an illusion."""
1067157032845930498,2018-11-26 20:43:58,b'@intuitive_light Love this. Some have lost touch with their heart. Sometimes this is due to unfaced trauma and sometimes for other reasons'
1067149524496453643,2018-11-26 20:14:07,b'@BrainPornNinja @7thHeavan \xe2\x9d\xa4 \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x8c\x8e'
1067147594638462978,2018-11-26 20:06:27,b'@BrainPornNinja @7thHeavan All rightfully so after the matrix hologram designers and bloodline wealth replenishment\xe2\x80\xa6 https://t.co/Yqa5aGtRdF'
1067142522680553473,2018-11-26 19:46:18,b'@7thHeavan @BrainPornNinja Sophia is here with us'
1067132373387673600,2018-11-26 19:05:58,b'RT @BrainPornNinja: 146 whales beach themselves from sonic affects of bomb testing and a river in India is frothing like a tidal wave from\xe2\x80\xa6'
1067130984024481792,2018-11-26 19:00:27,"b""RT @melissannhughes: support people who are doing the work. and if you can't be supportive, lovingly get out of their way."""
1067129207749312513,2018-11-26 18:53:24,b'@Stage11music @AwkwardAppeal Happy birthday brother'
1067128905776201731,2018-11-26 18:52:12,"b""I'm excited about the projects I'm working on. Grateful to my Oracle for the divine guidance and getting ready to c\xe2\x80\xa6 https://t.co/4dPrcT64Im"""
1067128177502371840,2018-11-26 18:49:18,"b""Some people are just matrix hologram distraction tests to see if you're ready for the next level and willing to do\xe2\x80\xa6 https://t.co/tiFRAyaXdz"""
1067127598390628352,2018-11-26 18:47:00,b'This is the truth. Support and connection is what everyone needs. \xf0\x9f\x92\x9c\xf0\x9f\x92\x99\xf0\x9f\x92\x97 https://t.co/Aci9smm1GB'
