id,created_at,text
1067507794981675008,2018-11-27 19:57:46,"b""@WittyKittyVixxy @Sahana_Mgowda @shajinummer @DivyaSPillai88 Hey sorry just saw this. You're good?"""
1067278450657058816,2018-11-27 04:46:26,"b""Come on guys it's time to show SP again. Today make sure that each of you, EVERY SINGLE PERSON, makes at least 5 su\xe2\x80\xa6 https://t.co/HS6xulgoDv"""
1067272838074298368,2018-11-27 04:24:08,"b""\xf0\x9f\x94\xb9 PLAN FOR THE DAY\xf0\x9f\x94\xb9\n\n\xe2\x9c\x93Priority Of The Day Is Mails And Calls.\n\nBut Since It Shouldn't Be Exhausting And At The Same\xe2\x80\xa6 https://t.co/MmDjJNtBEx"""
1067247378221154304,2018-11-27 02:42:58,"b""@kavya_sa @cestlavie448 It's like you took a nature painting n listed out the first 5 things you see\xf0\x9f\x98\x90\xf0\x9f\x98\x82"""
1067240292611514368,2018-11-27 02:14:48,b'@WittyKittyVixxy @Hmulla89 @Sahana_Mgowda @cestlavie448 @BilluJiKiPanika @sarubaby25 @kavya_sa @Miss_Khan990 Never forget the phone\xf0\x9f\xa4\xa8'
1067240206707892224,2018-11-27 02:14:28,"b""@kavya_sa @cestlavie448 I won't day you're welcome either\xf0\x9f\x8c\x9a"""
1067217425182138368,2018-11-27 00:43:56,"b""Thanks for nominating me @Hmulla89 @Sahana_Mgowda n @cestlavie448 \xe2\x9d\xa4\n\n5 things I love that aren't people:\n\n1. My pho\xe2\x80\xa6 https://t.co/Y2gHrvroUh"""
1067183417111052290,2018-11-26 22:28:48,b'@Khushee_says You can be my billu\xf0\x9f\xa4\xa7\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x92\x94'
1067183175439474689,2018-11-26 22:27:50,"b""@cestlavie448 \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 I'm dying! LIKE FACEPALM \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82"""
1067151815827951618,2018-11-26 20:23:14,b'@Khushee_says Awwwww\xe2\x9d\xa4 https://t.co/SAPcnaBfNB'
1067140437616586752,2018-11-26 19:38:01,b'\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/yg9m9cQqIX'
1067114615535009798,2018-11-26 17:55:25,"b""@Hmulla89 No I meant gul's freshness and her ghatiya leap. Surbhi obviously hates it too. No one wants it"""
1067101068058927110,2018-11-26 17:01:35,b'#SurbhiOnSabrasDrive \n#NoIshqbaaazWithoutSurbhi #Ishqbaaaz #EndIshqbaaaz Chandu your voice is saying you are crying\xe2\x80\xa6 https://t.co/dplk1j62t8'
1067099850196553728,2018-11-26 16:56:44,b'NO ONE FUCKING WANTS THIS! GUL KEEP YOUR FRESHNESS TO YOURSELF. https://t.co/E4svghNX6H'
1067097510639017986,2018-11-26 16:47:26,"b""#KhulKeBaat @starindia @StarPlus Why wasn't the writing team changed even after consistent low TRP?? I would like t\xe2\x80\xa6 https://t.co/yvGSwaIWns"""
1067095942690684928,2018-11-26 16:41:13,b'#khulkebaat #NoIshqbaaazWithoutSurbhi @StarPlus @starindia @DisneyIndia https://t.co/Oj5qzWlbon'
1067088194825609218,2018-11-26 16:10:25,"b'RT @bombaysunshine: I knew there was a leap in your show, but had no idea of everything else that was happening, @SurbhiChandna!! My darlin\xe2\x80\xa6'"
1067086917567766528,2018-11-26 16:05:21,b'@NakuulMehta get ready to become a vampire soon. @gulenaghmakhan is taking the same path of success that her epic s\xe2\x80\xa6 https://t.co/TsWvxcvcjv'
1067066546479144967,2018-11-26 14:44:24,b'#khulKeBaat @StarPlus @starindia @DisneyIndia https://t.co/XL8jrw1ax7'
1067066511909666818,2018-11-26 14:44:16,b'#khulKeBaat @StarPlus @starindia @DisneyIndia https://t.co/Cwd0Yc0jeX'
1067066475519885313,2018-11-26 14:44:07,b'#khulKeBaat @StarPlus @starindia @DisneyIndia https://t.co/bVCUiKSR7g'
1067066438987456515,2018-11-26 14:43:58,b'#khulKeBaat @StarPlus @starindia @DisneyIndia https://t.co/3BrXGuOVOv'
1067066410445283329,2018-11-26 14:43:52,b'#khulKeBaat @StarPlus @starindia @DisneyIndia https://t.co/T9TR4F9n8N'
1067066376177807360,2018-11-26 14:43:43,b'#khulKeBaat @StarPlus @starindia @DisneyIndia https://t.co/9htVgPKTK9'
1067066352098263040,2018-11-26 14:43:38,b'#khulKeBaat @StarPlus @starindia @DisneyIndia https://t.co/L2nDHt8MDO'
1067066316895514624,2018-11-26 14:43:29,b'#khulKeBaat @StarPlus @starindia @DisneyIndia https://t.co/yeT4A9YP2O'
1067065647933329409,2018-11-26 14:40:50,b'Gul Khan =&gt; \xe2\x80\x9cDecision of generation has been taken because Shivika isn\xe2\x80\x99t working anymore\xe2\x80\x9d\n\nShivika = Shivaay + Anni\xe2\x80\xa6 https://t.co/2qrbo9HmKV'
1067062202740457472,2018-11-26 14:27:08,b'RT @Call_me_Anki: EVEN A VETERAN ACTOR LIKE MAHESH THAKUR SAID IT OPENLY THAT UR MRS PRODUCER DID INJUSTICE TO EVERYONE RELATED TO SHW WITH\xe2\x80\xa6'
1067061984326287360,2018-11-26 14:26:16,"b""It's not just viewers, but people who are from your very own industry condemn such acts. Why is it that everybody h\xe2\x80\xa6 https://t.co/Qlj8BZynY5"""
1067061449166675969,2018-11-26 14:24:09,"b""My mother did her PhD after marriage, when I was still a kid. I'm proud of what she is today. A women's contributio\xe2\x80\xa6 https://t.co/tp24XGsWtM"""
1067061218400264192,2018-11-26 14:23:14,"b'NOT ONLY THE FEMALE LEAD,\nOTHER PEOPLE WHO HAVE INVESTED &amp; MADE IB A BRAND, HAVE BEEN THROWN OUT! JUST TO BRING FRE\xe2\x80\xa6 https://t.co/ZUq6GUHTKt'"
1067060662982111232,2018-11-26 14:21:01,"b'Change Your Tagline @StarPlus \nThere is nothing like ""Nayi Baat"" In Your Serials acc to Channel tagline.\nThrowing o\xe2\x80\xa6 https://t.co/E5zKgnRlVk'"
1067060536507072513,2018-11-26 14:20:31,"b'RT @starlightsidx: if one of the most experienced actors that worked on Ishqbaaaz, is against the happenings on set, why still keep shut ?\xe2\x80\xa6'"
1067060486989074432,2018-11-26 14:20:19,"b""Dismissing the view of young girls as a byproduct of 'hormones', is at the heart of the cultural mechanisms that op\xe2\x80\xa6 https://t.co/FMIO64peuk"""
1067060228938698752,2018-11-26 14:19:18,"b'When a channel is unable to listen to the voices of subscribers &amp; ignores their point of view,they lose connect wit\xe2\x80\xa6 https://t.co/0DQV78vB67'"
1067059878794018821,2018-11-26 14:17:54,b'I think @starplus n 4 lions is delusioned that the show is still watched because of writing. Have you ever evaluate\xe2\x80\xa6 https://t.co/eQU3If6iWH'
1067058277089988612,2018-11-26 14:11:32,b'RT @Khushee_says: Jab tak Ishqbaaaz he tab tak Narbhi ka hi rahega @StarPlus \n\nRT if you agree \n#KhulKebaat'
1067058168210038784,2018-11-26 14:11:06,b'TAKE A STAND @StarPlus  For ur Image..For Ur Reputation..\nDont Jst Simply Bow Down To Take The Producers Irrelevant\xe2\x80\xa6 https://t.co/Ee4oBVlhPI'
1067057874352914432,2018-11-26 14:09:56,b'RT @Anki_pankiiii: Okay Guys here it is \nThis is surbhi poster will be send to surbhi \nThis is a sample pic \nWil uplode poster pic and vide\xe2\x80\xa6'
1067057569145982976,2018-11-26 14:08:44,b'We all are 20+ even 30+ mature and sane but ignoring us by saying that we are teenager and just suffering from chem\xe2\x80\xa6 https://t.co/vl8Nk2FfmI'
1067056622617456641,2018-11-26 14:04:58,"b'Mahesh Sir has worked in @StarPlus frm 1996 to 2000 in TUTUMainMain, \n\nRemember him? \nHE has 22 years of experience\xe2\x80\xa6 https://t.co/nTkhWcfdAs'"
1067056442027458561,2018-11-26 14:04:15,b'A lady wasnt given a choice n simply betrayed by the producer? Wasnt that your responsibility to protect her rights\xe2\x80\xa6 https://t.co/xIThEWNGoF'
1067055746200846336,2018-11-26 14:01:29,b'The claim to respect women only has weight when you act upon it. Whether it is the girl calling the customer servic\xe2\x80\xa6 https://t.co/8WZlzxofJg'
1067055626814218245,2018-11-26 14:01:01,b'RT @SerialActivists: Are you as a channel claiming that you have no control over your production houses? They can come in and do whatever t\xe2\x80\xa6'
1067055594975256576,2018-11-26 14:00:53,"b'RT @SerialActivists: I am curious would any of our tweets be ignored if this was connected to TedTalks or SMJ? No, I imagine there would be\xe2\x80\xa6'"
1067055479501791233,2018-11-26 14:00:25,"b'Young girls, women, boys and men have phoned you @StarPlus to voice their opinions about #Ishqbaaaz but they have b\xe2\x80\xa6 https://t.co/mIuZOAiypZ'"
1067055163486154753,2018-11-26 13:59:10,b'RT @Iridescentlove1: Main goal of @HeForShe is to achieve equality by encouraging all to take action against negative stereotypes and behav\xe2\x80\xa6'
1067054075856990208,2018-11-26 13:54:51,"b""Let's #KhulKeBaat I want 2 know y there hasn't been a phase in Ishqbaaaz where Anika becomes financially independen\xe2\x80\xa6 https://t.co/9eDhvuquCA"""
1067052581669752832,2018-11-26 13:48:55,b'Ishqbaaaz is not a brand! Nakuul &amp; Surbhi are the brand! By starting a second season with half of your brand missin\xe2\x80\xa6 https://t.co/z2GTbXsfr5'
1066965739431706624,2018-11-26 08:03:50,b'Be POLITE and PASSIONATE when you are talking to people from Star. Put all your points forward in a logical way.\n\nR\xe2\x80\xa6 https://t.co/6aRH1q3Ig0'
1066965510368178176,2018-11-26 08:02:55,b'IMP. LISTEN UP\n\nI just spoke to Shirley from Star AGAIN..\nBefore I could utter a word she said \nThis call is being\xe2\x80\xa6 https://t.co/9MSpHKmCvS'
1066962989666975744,2018-11-26 07:52:54,b'#NoIshqbaaazWithoutSurbhi #EndIshqbaaaz https://t.co/L72Ug0AVtz'
1066962933257781248,2018-11-26 07:52:41,b'#NoIshqbaaazWithoutSurbhi #EndIshqbaaaz https://t.co/styjEzuGZ1'
1066960389169192960,2018-11-26 07:42:34,b'@StarPlus @iamsrk @Varun_dvn @aliaa08 @akshaykumar @MadhuriDixit @Asli_Jacqueline @dreamgirlhema @KajolAtUN Can you\xe2\x80\xa6 https://t.co/lWh7mw9GgQ'
1066958865286217728,2018-11-26 07:36:31,"b""Star Plus is receiving calls. So don't waste time. Tell then what fans want. \n\nCall on 022 6173 1111 (Exten  556553\xe2\x80\xa6 https://t.co/enlfV4eNfU"""
1066956180965212160,2018-11-26 07:25:51,"b""Oh so new story today is SC's leaving on her own. God can they atleast get their stories straight so they don't sou\xe2\x80\xa6 https://t.co/FNIucr99Kf"""
