id,created_at,text
1067413613026009088,2018-11-27 13:43:31,b'RT @melissabroder: i\xe2\x80\x99ve been alive so fucking long'
1067413136553066497,2018-11-27 13:41:37,b'RT @1alxsmth: pussy is crazy because if you don\xe2\x80\x99t get enough of it you start reporting people the fuckin IRS'
1067412067693420544,2018-11-27 13:37:23,b'RT @Jayy_rocc_: @MITbound @JosephSaavedra7 @Duba_Lifesyle @SAFIYA0AYOOB @Y2SHAF #priceless https://t.co/bUHXWLOXO1'
1067368980413767681,2018-11-27 10:46:10,b'RT @raccooons: https://t.co/7CmVytZ1RT'
1067368549176360960,2018-11-27 10:44:27,b'RT @hoemoticon: bank account: $150.00 \n\nme: *spends $30.00*\n\nbank account: $120.00\n\nme: https://t.co/tu4uQeJOQ7'
1067368019821658112,2018-11-27 10:42:21,"b""I'm gonna freeze on this couch because I'm too lazy to get up and go to bed."""
1067367830805336064,2018-11-27 10:41:36,"b'RT @connorhannigan4: hollywood really demonized bats, these are nothing but some bird puppies https://t.co/kKCKuOdNej'"
1067367654149709824,2018-11-27 10:40:54,b'RT @Jim_Legxacy: Rape culture in uni is an actual issue. Check your boys PLEASE.'
1067367613905330176,2018-11-27 10:40:44,b'RT @alexisthenedd: does it ever just...occur to you that paddington bear is canonically latino'
1067367548759363585,2018-11-27 10:40:29,b'RT @catsfolder: High 5 https://t.co/HWm8Jfdxrr'
1067367420153618432,2018-11-27 10:39:58,b'RT @ProBirdRights: it so nice of human to install a couple of birb perch on winshield of car for me to sit on specially on cold rainy day l\xe2\x80\xa6'
1067367343443984384,2018-11-27 10:39:40,"b""RT @cafebusteloking: Ladies, if he \n-got cafe, but no con leche\n-was raised by an abuela that's not really his abuela\n-dances like a drunk\xe2\x80\xa6"""
1067367244009627648,2018-11-27 10:39:16,"b""RT @LeftAtLondon: I'm sorry mx. jackson (ooh!)\nI am for real\nNever meant to make your partner cry\nBoth of you are neither girl or guy"""
1067367177882226688,2018-11-27 10:39:00,"b'RT @jpbrammer: fl*t-earthers do absolutely nothing useful or interesting with their worldview. they do not advocate, for example, that we a\xe2\x80\xa6'"
1067367106436427777,2018-11-27 10:38:43,b'RT @jonnysun: i like the phrase \xe2\x80\x9con the rocks\xe2\x80\x9d because it confirms to me that ice is weird cold rocks'
1067366976614322176,2018-11-27 10:38:12,b'RT @ItsAlexJackson: - bi boys who have a girlfriend\n- bi boys who\xe2\x80\x99ve never kissed a boy before\n- bi boys who are more attracted to girls th\xe2\x80\xa6'
1067355128401866753,2018-11-27 09:51:07,"b'RT @lindeeloo_who: This bears repeating...\n\nApparently I\xe2\x80\x99m too negative &amp; hostile towards Trump supporters. So, to all of the Trump support\xe2\x80\xa6'"
