id,created_at,text
1067510284993085441,2018-11-27 20:07:39,"b'@erinbiba Oops! (Smacks his head)!\nGreat!!!\n\nWhenever I can get in to New Yawk from Joizey, I try to squeeze in a l\xe2\x80\xa6 https://t.co/pRW1orfqVu'"
1067507884114788352,2018-11-27 19:58:07,"b'@erinbiba Hey, @erinbiba, after you recover from getting lost in NYC - and I f you still have any time left before\xe2\x80\xa6 https://t.co/ELpFf6CaVB'"
1067431794713088000,2018-11-27 14:55:46,"b""RT @krassenstein: In yet another attack on America's middle class Trump is now threatening to tax iPhones and other smartphones coming from\xe2\x80\xa6"""
1067237405550350336,2018-11-27 02:03:20,"b'That settles it. For this reason, alone (thwarting the Project, earlier), Christie makes history as having been the\xe2\x80\xa6 https://t.co/aih8ZtYShb'"
1067222288670646274,2018-11-27 01:03:16,"b'@narceducator @DavidCornDC @RickSantorum This is precisely what I was talking about, earlier - when I was referring\xe2\x80\xa6 https://t.co/5KDFOZ6UbZ'"
1067135210616221696,2018-11-26 19:17:15,"b'@pjm_jr @IvePetThatDog @Petco Hi, @pjm_jr. I\xe2\x80\x99ve always been a dog lover, but never a dog owner \xe2\x80\x93 so (unfortunately)\xe2\x80\xa6 https://t.co/OEUGGeDFee'"
1067080270799667202,2018-11-26 15:38:56,b'This is the essence of the dilemma we face \xe2\x80\x93 particularly in the US. The media rightfully &amp; dutifully maintain thei\xe2\x80\xa6 https://t.co/vsIQndgsQr'
1067074655276666881,2018-11-26 15:16:37,"b'@soccerdhg @IsraelHourglass @jack Twitter acknowledged that they \xe2\x80\x9creceived\xe2\x80\x9d my report, but - as of this time - has\xe2\x80\xa6 https://t.co/0tNToNDRNZ'"
1066910276329635845,2018-11-26 04:23:26,b'@soccerdhg @IsraelHourglass @jack Reported.'
1066583833758392320,2018-11-25 06:46:16,"b'Slowly but surely, humanity is discovering that you, @realDonaldTrump, have an incurable malignant narcissistic psy\xe2\x80\xa6 https://t.co/IBrBPpYgdG'"
1066362043803099142,2018-11-24 16:04:57,"b'You must love blowing dog whistles, because you\xe2\x80\x99re blowing one, now.\n\nThis is a vicious, pernicious, ignorant, self\xe2\x80\xa6 https://t.co/0Dzq3JMLjG'"
1066344136536674305,2018-11-24 14:53:48,b'@GippersChutzpah I was barely able to watch to the end of the first interview and had to stop 10 seconds into the s\xe2\x80\xa6 https://t.co/cQfuRmhSZy'
1066341526589120512,2018-11-24 14:43:26,"b'@narceducator Damn!  They\xe2\x80\x99re so ABSOLUTIST (is that a word?), narrow-minded and intransigent in their thinking!\n\nIt\xe2\x80\x99s a gorram epidemic!'"
1066082196367306759,2018-11-23 21:32:57,b'@GippersChutzpah Would you like a little lox with that?\n\nHow \xe2\x80\x98bout a bagel with a schmear?\n\nHang in there. \xf0\x9f\x99\x8f'
1066009979407269888,2018-11-23 16:45:59,"b'What\xe2\x80\x99s so hysterically laughable about this is that - as of this timestamp - for a global corporation, they\xe2\x80\x99re so d\xe2\x80\xa6 https://t.co/XICftyEaYq'"
1065888900575576064,2018-11-23 08:44:51,"b'RT @ZionessMovement: ""We want to help you grow and change and create a better movement. We are waiting. Give us a call. Give me a call\xe2\x80\x94I\xe2\x80\x99ll\xe2\x80\xa6'"
1065793011785838593,2018-11-23 02:23:50,b'@GippersChutzpah Happy Thanksgiving to our favorite hospital patient!\n\nYou are in our hearts! \n\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
1065644671584612352,2018-11-22 16:34:23,"b'RT @jmclaughlinSAIS: One of the things we can be most thankful for today is Chief Justice Roberts\xe2\x80\x99 defense of the fed judiciary, his rebuke\xe2\x80\xa6'"
1065424773226864641,2018-11-22 02:00:35,"b'@erinbiba Foggy Mountain Challah.\n\nSorry. Folk music joke (and a pretty bad one, I\xe2\x80\x99ll admit).\n\n\xf0\x9f\x98\xb3'"
1065336192370176002,2018-11-21 20:08:35,"b""RT @ADL_National: We are dismayed with @Airbnb's decision to de-list properties in the West Bank. This morning, @JGreenblattADL  sent a let\xe2\x80\xa6"""
1065312881397379074,2018-11-21 18:35:58,b'@IvePetThatDog Goofy-looking and lovable!\nGo Cooper! \xf0\x9f\x98\x8a'
1065283476633673728,2018-11-21 16:39:07,"b'First, @EdKrassen, we have to come to terms with what mental health professionals have been screaming at us for the\xe2\x80\xa6 https://t.co/QQSL7U8Kqp'"
1064930045146423296,2018-11-20 17:14:42,"b'Sarsour is every bit the repugnant, hypocritical, obstinate, terrorist-apologist anti-Semitic malignant narcissisti\xe2\x80\xa6 https://t.co/mIedoyNJtP'"
1064908562437156865,2018-11-20 15:49:20,b'An important thread by @djrothkopf :\n\xe2\x80\x9cThe ongoing assault by Trump on the rule of law\xe2\x80\x9d\n\nScroll through on Twitter o\xe2\x80\xa6 https://t.co/bggUv3K2tY'
1064894357550129152,2018-11-20 14:52:54,b'@djrothkopf @ThreadReaderApp\nUnroll'
1064770194315374592,2018-11-20 06:39:31,b'@DanAaron12 @Maayan_Techiya @lsarsour Start by educating yourself about the Jew-hatred that enshrined in the Hamas\xe2\x80\xa6 https://t.co/V6ANrUZA3j'
1064699298103857152,2018-11-20 01:57:48,b'@goutamjois @espyforsenate @rippleofhopepac Did you ask \xe2\x80\x9cMr. Mueller\xe2\x80\x9d if he was \xe2\x80\x9ctalkin\xe2\x80\x99 to you\xe2\x80\x9d?\n\nWas he \xe2\x80\x9ctalkin t\xe2\x80\xa6 https://t.co/c2xj1ID1Xv'
1064344850752069632,2018-11-19 02:29:21,b'@GippersChutzpah @DEARALYNE Great work.\nSo brave!'
1064216993103060992,2018-11-18 18:01:18,b'@jshopson @leekern13 I\xe2\x80\x99m not going to entertain that argument. That standard demand for equivalency doesn\xe2\x80\x99t apply.\xe2\x80\xa6 https://t.co/yV0Jc89oUg'
1064188873444655104,2018-11-18 16:09:33,b'@jshopson @leekern13 You first. Go back to your archaeological history and report back to me about how many times J\xe2\x80\xa6 https://t.co/EPdbDOlppr'
1064182719960240128,2018-11-18 15:45:06,"b'@jshopson @leekern13 Mocking innocent people for seeking shelter from a relentless, unprovoked barrage of terrorist\xe2\x80\xa6 https://t.co/mALL0fePJ4'"
1064169918088785920,2018-11-18 14:54:14,"b'As people are slowly, painfully and reluctantly learning, the conscious-less narcissist psychopath has never and wi\xe2\x80\xa6 https://t.co/kJqFe8wMgT'"
