id,created_at,text
1067247373657796613,2018-11-27 02:42:57,"b""@A_Mastromauro C'mon Anthony, you can't really have gotten that economically illiterate so quickly."""
1065775533676523520,2018-11-23 01:14:23,b'@CarlMoretti He would have survived the shooting. It was the kick to the head that ultimately did him in.'
1065051612786450432,2018-11-21 01:17:46,"b'@PadmaLakshmi @washingtonpost @CIA Oh, well...if the CIA confirms it it has to be true.'"
1064684075913498624,2018-11-20 00:57:19,"b""@njdotcom How's anyone going to be deported from this state if all the roads are impassable?"""
1064384318674530304,2018-11-19 05:06:11,b'@NYMag Nothing could be as valuable as a deep-dive into economic theory from Fire Marshall Bill.'
1064290937197727744,2018-11-18 22:55:07,"b'@NYMag How he longs for the old days, when they only abetted good, old fashioned American financial fraud.'"
1064181285244059648,2018-11-18 15:39:24,"b'@starledger Does that mean ""we all"" get to set tax policy, and live in the governor\'s residence? Why is it so hard\xe2\x80\xa6 https://t.co/TOfImtYJaq'"
1063948925995008000,2018-11-18 00:16:05,b'Bergen Catholic today at the State Semifinals https://t.co/NAOlcQdi2c'
1063531480746479617,2018-11-16 20:37:19,"b""$sgmo I will spend the whole weekend thanking my lucky stars that I don't rely on the brain trust at JPM for invest\xe2\x80\xa6 https://t.co/ONVDhRKSjn"""
1063521821935448065,2018-11-16 19:58:56,"b'@ActualAlexZ @News12NJ @GovMurphy Something tells me that he has no idea what ""The buck stops with me"" means.'"
1063473430287269889,2018-11-16 16:46:38,b'@kurtsiegelin @News12NJ Arrogance and incompetence are not a good combination.'
1063240206109892609,2018-11-16 01:19:53,"b""@News12NJ This is why we can't have nice things."""
1063239406251855872,2018-11-16 01:16:43,b'@northjersey If only he could think of a way to tax snow out of existence.'
1061754023945089024,2018-11-11 22:54:20,"b""@GiantInsider I honestly don't think you're being fair to all the buffoons in the world."""
1061359447463862272,2018-11-10 20:46:26,b'RT @BCFootballAlum: Bergen Bosco state semifinals. Doesn\xe2\x80\x99t get better than that. https://t.co/1rZPKiWGGT'
1061116082260508672,2018-11-10 04:39:23,b'@njdotcom Because the big tough crybaby should be allowed to hit as many interns as he wants. Someone should have laid that punk out.'
1060876235042111488,2018-11-09 12:46:19,b'@_jeffscott @Acosta @kasie @KatyTurNBC @AprilDRyan @PeterAlexander @CNN @washingtonpost @nytimes @NBCNews @ABC\xe2\x80\xa6 https://t.co/TvpPtXBf6H'
1060769955963195393,2018-11-09 05:44:00,b'@NYMag What happened to Justice Ginsburg? Did she try to take the microphone away from Acosta?'
1060737899564621830,2018-11-09 03:36:37,b'@NYMag @rkgar You assholes are really going to stand up for the punk who manhandled the young lady?'
1060711421355409408,2018-11-09 01:51:24,b'@NewYorker @Acosta Keep sticking up for the punk who manhandled  the young female intern. Your hypocrisy is truly astounding.'
1060710853555707904,2018-11-09 01:49:09,"b""@NYMag Maybe she just doesn't remember where her old house is, or how she got there, or who she was with."""
1060677639130808320,2018-11-08 23:37:10,b'@News12NJ Has anyone ever mastered the art of the useless gesture to this degree before?'
1060392963581399041,2018-11-08 04:45:58,"b'@NewYorker He came in second, get him a participation trophy right away!'"
1059994724973662211,2018-11-07 02:23:30,"b""@BellaMaryjanee @News12NJ Pretty sure God wasn't on the side of the guy who likes to rape children"""
1059109775168937986,2018-11-04 15:47:02,"b'@BrianTDriscoll Lay the points, they lose by six.'"
1058879482377965568,2018-11-04 00:31:56,b'@realDailyWire Fucking punk'
1058794641150091265,2018-11-03 18:54:48,b'@TomPolifroni @BCFootballAlum @BergenCathFBall Deus Vult!'
1058756884851818496,2018-11-03 16:24:46,"b""@NYMag That's right, keep trying to make this hag relevant."""
