id,created_at,text
1067528531339546625,2018-11-27 21:20:10,b'@msalah11_ @IronKRDPatriot @saeed6ali @Sobie786 @adam_culkin @WestYorksPolice His FB account is still live-in if  t\xe2\x80\xa6 https://t.co/uoolbQ89mR'
1067522178881658881,2018-11-27 20:54:55,b'RT @WajidKhanMEP: someone give this guy a knighthood https://t.co/MGzktecZvF'
1067513596073181186,2018-11-27 20:20:49,b'RT @JimMFelton: \xe2\x80\x9cHello Dignitas? Me again. Do you do countries?\xe2\x80\x9d https://t.co/eJ0ORv5zQd'
1067512151517085697,2018-11-27 20:15:04,b'@sarah_nowha1234 @georgegalloway #HostileEnvironment Absolutely appalling behaviour. Decisive action needed &amp; quick\xe2\x80\xa6 https://t.co/25qi1AM27y'
1067501356464963584,2018-11-27 19:32:11,b'@DVATW You are either lying or thick as mince. Which is it?'
1067500023506747393,2018-11-27 19:26:53,b'RT @SuAlderson: We are wonderfully based in Helmsley if you like fine dinin\xf0\x9f\x8d\xb4 \nA treat for every day of the week @BlkSwanOldstead @TheStarat\xe2\x80\xa6'
1067499195047776257,2018-11-27 19:23:35,b'RT @Andrew_Adonis: Ex Tory minister tells me Attorney General\xe2\x80\x99s advice is that it is virtually impossible for the UK Government ever to get\xe2\x80\xa6'
1067498985127124993,2018-11-27 19:22:45,b'@jrmaidment #Brexit is fucked \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f'
1067498086384263168,2018-11-27 19:19:11,"b'RT @NHS_Analyst: @jrmaidment @faisalislam So, the non-binding referendum is more binding than the binding HoC motion? WTF is going on?'"
1067497468684918784,2018-11-27 19:16:44,"b""@YorkshireTea I have rang the Yorkshire rescue team @NYorksPolice - we can't leave you stuck in Lancashire"""
1067494890911817728,2018-11-27 19:06:29,"b""RT @MancorIan: #newsnight The vicar doesn't approve of freedom of movement? Well that's the Children of Israel crossing the Red Sea and Noa\xe2\x80\xa6"""
1067482024129294336,2018-11-27 18:15:22,"b'@dontbrexitfixit Signed, shared on Twitter and Facebook'"
1067481905539489792,2018-11-27 18:14:53,"b'RT @dontbrexitfixit: When you have signed this petition, please also share like I am doing, if you have signed it, please revisit and share\xe2\x80\xa6'"
1067481828687314946,2018-11-27 18:14:35,"b""#Petition: Grant a People's Vote if Parliament rejects the EU Withdrawal Agreement https://t.co/0Ooh4YBajU"""
1067480075854114817,2018-11-27 18:07:37,b'@PeteBarronMedia #Headlinechallenge @BBCTees @amy_oakden @greenyfrom6am @sarahjrobbo A BOOffant \xf0\x9f\x91\xbb'
1067470036888158209,2018-11-27 17:27:44,b'RT @PeteBarronMedia: #Headlinechallenge: Hairdresser claims salon in #Cheshire is haunted by ghost of her mum - but customers love having h\xe2\x80\xa6'
