id,created_at,text
1067340595813789698,2018-11-27 08:53:22,"b""With cyber monday winding down, it's time to get ready for paypal me forty bucks that I can spend on weed tuesday"""
1067252942388920322,2018-11-27 03:05:04,b'my life is a battle between feelings of miserable isolation and the desire to reduce the number of people I interac\xe2\x80\xa6 https://t.co/JrePkfWFH6'
1067196597446922249,2018-11-26 23:21:11,b'I proved myself a coward who would desert a dying man https://t.co/T7okaQHA4B'
1067194331268702208,2018-11-26 23:12:10,"b""@sleepynaga AT LEAST IT WASN'T DIFFICULT"""
1067188064118657026,2018-11-26 22:47:16,b'Finally made it as a TypeShift clue https://t.co/85DIaNwzo3'
1066746017129783297,2018-11-25 17:30:44,b'For my own safety and sanity https://t.co/l3H2yjMHUT'
1066745404060880896,2018-11-25 17:28:18,"b""I've finally gotten around to playing Hollow Knight, and everyone who said I'd love it was correct. It manages to f\xe2\x80\xa6 https://t.co/ao2iu8RwEc"""
1066721635489669126,2018-11-25 15:53:51,b'Honk if I make you horny baby https://t.co/pC503Ms25v'
1066560388416778241,2018-11-25 05:13:06,b'NBA twitter fucking sucks. I hate everything.'
1066350013259771905,2018-11-24 15:17:09,"b""I grew up about ten minutes away from Mashpee, MA. One of my dad's law partners and best friends is Mashpee Wampano\xe2\x80\xa6 https://t.co/HNtPReffkq"""
1066346137009836032,2018-11-24 15:01:45,b'RT @AchewoodNC: https://t.co/Q3vgV6cNYj'
1066227601444749312,2018-11-24 07:10:44,"b'There are exactly three good things about Thanksgiving: mashed potatoes and gravy, homemade cranberry sauce and pie\xe2\x80\xa6 https://t.co/OWGOITvAvc'"
1066226717499379713,2018-11-24 07:07:13,"b'RT @MKupperman: In honor of all the fallen shoppers on Black Friday, I have SLASHED prices on my signed books on big Cartel. Incredible dea\xe2\x80\xa6'"
1066226345997328384,2018-11-24 07:05:45,b'RT @notallbhas: The irony. *sips chai* https://t.co/hF0cTpGGLn'
1066180345203052544,2018-11-24 04:02:57,b'RT @_boringmachine: Yes I Would Like This To Watch My Child https://t.co/8vuGamhupF'
1066180206489026560,2018-11-24 04:02:24,"b'RT @electrolemon: YOU: [bad, sexistly] women be shoppin!!!\nME: [woke, wise beyond his years] susan be anthony'"
1066110390063390721,2018-11-23 23:24:59,"b""Of course I understand why don't ask don't tell and trans military bans are a bad thing, but I cannot for the life\xe2\x80\xa6 https://t.co/XhnrPBRj1y"""
1066109921341562881,2018-11-23 23:23:07,b'RT @antalalakam: Resources for those who are able to help: https://t.co/v53L05lcAe'
1066105355837423617,2018-11-23 23:04:58,"b""And I know that's toxic and untrue and everything else but it still happens and i'm still feeling bad!"""
1066105101759111168,2018-11-23 23:03:58,"b'The thing about depression and anxiety is I can be lying here in bed, completely miserable and freaked out but I kn\xe2\x80\xa6 https://t.co/UuBbIw70zr'"
1066104659511730176,2018-11-23 23:02:12,"b""muting someone's retweets as an act of radical self care"""
1066099215560888322,2018-11-23 22:40:34,b'@midnightbliss_ *pat pat* hooray for the beautiful birthday pup'
1066092389364727809,2018-11-23 22:13:27,b'RT @AchewoodNC: https://t.co/Qok9zji7ez'
1065950286299033600,2018-11-23 12:48:47,"b'A still very resonant parody of ""Thank God I\'m a Country Boy"" about class privilege from the 70\'s called ""Thank God\xe2\x80\xa6 https://t.co/gtbucLVaAJ'"
1065947134506098688,2018-11-23 12:36:15,"b""There's an ad that claims you'll be better at arcade games if you use Certs and a song about how Diff'rent Strokes\xe2\x80\xa6 https://t.co/IMTLU3wDA6"""
1065943676533108737,2018-11-23 12:22:31,"b'A parody of Captain and Tennille\'s ""Muskrat Love"" called ""Hamster Love"" about eating hamsters. Whatta decade.'"
1065941858189160448,2018-11-23 12:15:17,"b'Found a Dr. Demento show from 1986 on youtube. Many, many curiosities of its time. An early Oingo Boingo demo, some\xe2\x80\xa6 https://t.co/LO3gBGVy74'"
1065916920589742081,2018-11-23 10:36:12,b'@hitherehaidar It was a perfect storm of insomnia and having the house to myself all day'
1065876805083529216,2018-11-23 07:56:48,b'So hey I guess I meant like 22 hours https://t.co/BNZDfVlrQG'
1065859121667203073,2018-11-23 06:46:31,b'RT @zapjackson: https://t.co/M3QErwmHQB'
1065809202071793664,2018-11-23 03:28:10,b'RT @spilled_chili: imagine thinking that thanksgiving is a completely anodyne holiday https://t.co/5ntIi2y1cw'
1065764085386473472,2018-11-23 00:28:53,"b""@aklingus I truly, truly, truly could not believe that movie existed. I'm still reeling."""
1065698891532619777,2018-11-22 20:09:50,"b'Thinking of moving Birnam Wood to Dunsinane, just to see what happens'"
1065679330196389888,2018-11-22 18:52:06,"b""No spoilers, but that's exactly the cameo I expected from this season"""
1065667526514757632,2018-11-22 18:05:12,"b""@yayannabelle Oh ps this episode of MST3K i'm watching has a joke about a puppycat and I thought of you"""
1065667217834967040,2018-11-22 18:03:58,"b'Just repeat to yourself ""it\'s just a show, I should really pet the cat"" / oh Mystery Science Theater Peepopo'"
1065666691730829312,2018-11-22 18:01:53,b'@yayannabelle The cat of cats!'
1065665227004362757,2018-11-22 17:56:03,b'Well I guess this will be my next three hours. https://t.co/vsaUmm2xn3'
1065632751762599936,2018-11-22 15:47:01,"b'So far the weirdest part of the new MST3K is hearing them make a ""large adult sons"" joke'"
1065632392684036097,2018-11-22 15:45:35,"b""RT @Homestar_ebooks: help! I woke up in this pile of swee-atshirts and I don't know how to stop it! I'm s'posed to be watching Bubs' conces\xe2\x80\xa6"""
1065630065193476096,2018-11-22 15:36:20,"b'@aklingus I think the key is the slightly scaled back approach. Slightly shorter episodes, fewer writers, fewer jok\xe2\x80\xa6 https://t.co/xQROMGyXUq'"
1065545554631913474,2018-11-22 10:00:31,b'RT @hitherehaidar: @Peepoposoft I\xe2\x80\x99d say it\xe2\x80\x99s PRETTY NICE'
1065540554786713602,2018-11-22 09:40:39,"b'Recency bias (and that gin and tonic) aside, Mac and Me is as good as any classic MST3K episode. Calling the little\xe2\x80\xa6 https://t.co/B2CCqTYpwU'"
1065535746986000384,2018-11-22 09:21:33,"b""I'm always here for Servo in a dress https://t.co/7HfAP53GXG"""
1065527134402228224,2018-11-22 08:47:20,"b""@hitherehaidar I'm 20 minutes into Mac and Me and it's VERY good"""
1065522834485563393,2018-11-22 08:30:14,"b""Oh hey, WE'VE GOT MOVIE SIGN. I'm really excited to watch six new episodes of MST3K over the next... probably two days."""
1065433192184729600,2018-11-22 02:34:02,"b'RT @auroranibley: Hey everyone, if you spend any money this weekend, be nice to the people that are working, okay?'"
1065351464271269889,2018-11-21 21:09:17,b'Anyone who likes the commercials about the family of bears who use toilet paper is literally a terrorist'
1065350276977020928,2018-11-21 21:04:33,"b""A guy is dead and that's sad, but let's never forget that Summer Girls is one of the five to ten worst songs ever written"""
1065347806477541378,2018-11-21 20:54:44,"b""Here's a free screen name for someone to use: CHRISTMASSEDUCTION"""
1065346615244873728,2018-11-21 20:50:00,"b'RT @christinelove: Fuck it, we live in lawless times. Ladykiller in a Bind is 69% off. Why not. https://t.co/Ab8efJhpq8 https://t.co/LikXpX\xe2\x80\xa6'"
1065341807590920192,2018-11-21 20:30:54,"b""@mousemelancholy turning 30 was pretty whatever for me but being in my 30's has been actually pretty cool. happy early birthday cutie \xf0\x9f\x92\x9c"""
1065341432918007808,2018-11-21 20:29:25,"b""deltarune is cool because I wasn't on tumblr for the first run of undertale fandom and it's nice to get sick of something so fast"""
1065296280065257473,2018-11-21 17:30:00,b'RT @Peepoposoft: https://t.co/Ing34gDZF7'
1065296269403287552,2018-11-21 17:29:57,b'RT @Peepoposoft: https://t.co/2F3XHnUxf3'
1065296259454402561,2018-11-21 17:29:55,"b'RT @Peepoposoft: ""I\'m half child, half ancient."" Happy 52nd birthday, Bj\xc3\xb6rk. You\'re so important to me. I love you \xe2\x99\xa1 https://t.co/VeHWR8frid'"
1065196565302665216,2018-11-21 10:53:46,b'RT @cartoonfuntime: I love old cartoons because I love to look at something and think \xe2\x80\x9cwhat the fuck\xe2\x80\x9d'
1065179059406032896,2018-11-21 09:44:12,"b'*to the tune of ""Teenage Mutant Ninja Turtles*\n\nbaking bread for lots of vegans\nbaking bread for lots of vegans\nbak\xe2\x80\xa6 https://t.co/dO6j179UY7'"
1065135507535933440,2018-11-21 06:51:08,"b'RT @PFTompkins: Every year, when the President ""pardons"" a turkey, I think, Ho ho! What a hilarious ribbing of a legal system that puts hum\xe2\x80\xa6'"
1065113582877065216,2018-11-21 05:24:01,"b'@veroniraptor ""Average height""'"
1065111313855078400,2018-11-21 05:15:00,b'Wreck-It Ralph and Pixels both exist in the QCU (Q*bert Cinematic Universe)'
1065077722924236805,2018-11-21 03:01:31,b'RT @GrittyNHL: @TIME https://t.co/19JE2hO7qy'
1065077401699250176,2018-11-21 03:00:15,b'@ARLISSFAN Sandra Oh-bla-di Oh-bla-da'
1065057553816539136,2018-11-21 01:41:23,"b'@yayannabelle Last Christmas I gave someone a signed, framed photo of Peepopo!'"
1065050159636111360,2018-11-21 01:12:00,b'I might have to retire from cat photography after this gem. https://t.co/lVKwck7cJU'
1065031899138023429,2018-11-20 23:59:26,b'@veroniraptor Perfection'
1064906103631138816,2018-11-20 15:39:34,b'A lot going on here https://t.co/jwkj6IPSH4'
1064746983812870144,2018-11-20 05:07:17,b'Oh hell yes @janetvarney is on @WompItUpPod. Cannot tell you how excited I am for this one. @lennonparham @Jessica_StClair'
1064743843977777153,2018-11-20 04:54:49,"b""I'm just a cat bed. https://t.co/yjk3xd2A56"""
1064741640097525760,2018-11-20 04:46:03,"b'Fuck dude, imagine betting the under on this one'"
1064726889875435520,2018-11-20 03:47:26,b'RT @ElSangito: [frontier psychiatrist sample voice] that boy tweets irony'
1064725673082675200,2018-11-20 03:42:36,"b""@LynnGirlstuff Dude doesn't even know where Yucaipa is. Never been to Castaic. What a fraud."""
1064721453247979524,2018-11-20 03:25:50,"b'RT @ElSangito: i think my favorite phrases of this current zeitgeist are \xe2\x80\x9cthanks, i hate it\xe2\x80\x9d and \xe2\x80\x9chaving a normal one\xe2\x80\x9d'"
1064714677710577664,2018-11-20 02:58:55,"b'@GaryBuh Love that he\'s bragging about being a white belt. ""I showed up the first day, so uh, yeah I know a thing or two about BJJ""'"
1064713401836822528,2018-11-20 02:53:51,"b""@AmorGalleta @Nathaniel_Hoyt It's the name of my theoretical game development studio"""
1064712294272163841,2018-11-20 02:49:27,b'@Nathaniel_Hoyt Thanks :3'
1064676744488046592,2018-11-20 00:28:11,b'@Nathaniel_Hoyt Did you die before beating the first boss? You unlock saving the game right after that'
1064674445875339264,2018-11-20 00:19:03,b'@Ilikesnacks Everyone likes to dress as Louise sometimes. https://t.co/gpKtelfQCd'
1064670377631076353,2018-11-20 00:02:53,"b""@Nathaniel_Hoyt Nier Automata, right? The good nier? Because the ps3 nier is maybe the most disappointing game i've ever played"""
1064669962894102528,2018-11-20 00:01:14,b'@Ilikesnacks True genius https://t.co/ujaoLz0bKz'
1064599907187666944,2018-11-19 19:22:51,"b'no longer young, still dumb, and devoid of cum'"
1064596301789032452,2018-11-19 19:08:32,b'RT @KREAYSHAWN: I only date guys who can appreciate REAL ART! https://t.co/rcNPaQWM7m'
1064591044530958338,2018-11-19 18:47:38,b'https://t.co/E4iawMoB5z'
1064590926859759621,2018-11-19 18:47:10,b'A Louise for all seasons https://t.co/VjiIjuAIbg'
1064568315618578433,2018-11-19 17:17:19,"b'RT @aklingus: Fellow MST3K fans: I\xe2\x80\x99m not wrong, am I https://t.co/XGQD6aa3E9'"
1064566271964962816,2018-11-19 17:09:12,"b""Between Park Chan-Wook's miniseries starting tonight on AMC and a new season of MST3K coming out on Thursday, this\xe2\x80\xa6 https://t.co/uFBbQu83lq"""
1064565661727260672,2018-11-19 17:06:47,"b'I wish I could just hold a press conference with everyone I used to know so I could go through the whole ""yes, I\'m\xe2\x80\xa6 https://t.co/SxzvPTardk'"
1064475497696964608,2018-11-19 11:08:30,b'Whatta year https://t.co/pmJ7KLSrtz'
1064460707993858048,2018-11-19 10:09:44,"b""I tried listening to Will Ferrell on Conan's podcast but it was just an hour of two middle aged white guys pretendi\xe2\x80\xa6 https://t.co/36ch2omsY3"""
1064456544673181696,2018-11-19 09:53:11,b'https://t.co/vOPpwZbvBX'
1064454287609126912,2018-11-19 09:44:13,b'This is the least cool minute of 1991. https://t.co/QBc7DthYEm'
1064441452141244419,2018-11-19 08:53:13,"b'RT @Mr_Indigo: @Peepoposoft Apparently Ferro only did the handwritten ""Napoleon Dynamite""; the rest of the opening sequence was done by one\xe2\x80\xa6'"
1064441428137234432,2018-11-19 08:53:07,b'@Mr_Indigo This is what I get for not listening to director commentaries'
1064441238042988545,2018-11-19 08:52:22,"b""I'm postalqueer https://t.co/5tiT7VRovD"""
1064427453643284480,2018-11-19 07:57:35,b'So good. https://t.co/03b7zcEA2p'
1064425952103489536,2018-11-19 07:51:37,"b""I almost got to see Pablo Ferro give a talk about Luis Bu\xc3\xb1uel before a screening of one of Bu\xc3\xb1uel's Mexican studio\xe2\x80\xa6 https://t.co/tToIt9ShX3"""
1064421175189630978,2018-11-19 07:32:38,"b'RIP Pablo Ferro, designer of every cool opening credit sequence ever https://t.co/G4Dv6wDkmp'"
1064337935900729344,2018-11-19 02:01:53,b'white people being waaaaay into tiki stuff feels racist to me'
1064337394797764608,2018-11-19 01:59:44,b'RT @spilled_chili: there\xe2\x80\x99s like.... a whole list of words that become slurs when men say them'
1064331611062169600,2018-11-19 01:36:45,b'@veroniraptor https://t.co/s74bZTGK6a'
1064327371501629445,2018-11-19 01:19:54,b'@veroniraptor Why do mathematicians confuse Halloween for Christmas? Because OCT 31 equals DEC 25'
1064310415155331073,2018-11-19 00:12:31,"b'the OCT 31/DEC 25 joke is a perfect joke that still sucks. complete joke economy, not a wasted syllable. still not actually funny.'"
