id,created_at,text
1067515661562376193,2018-11-27 20:29:01,"b'""I bet it is, baby.""\nHe just snuggked her. Emo boy missed green girl\xe2\x99\xa1 https://t.co/Emt15esvqf'"
1067515488924835842,2018-11-27 20:28:20,"b""The should be... hmm. Ooh let's go for a boy! And what if he were human looking but with long ears like the galra))\xe2\x80\xa6 https://t.co/Og4BQALBxv"""
1067508698740871169,2018-11-27 20:01:21,"b'He lightly kissed her neck, giggling softly.\n\n""That\'s kinky."" https://t.co/Lsyr5Exw3n'"
1067508565261328385,2018-11-27 20:00:49,"b'@DeDiscordiam -promise that I love you for you and not for Mena. You are the best thing that\'s happened to me.""\nHe\xe2\x80\xa6 https://t.co/RWoAwYOMhX'"
1067508166089416704,2018-11-27 19:59:14,"b'@DeDiscordiam ""Tara. You\'re better than Mena. I... I think you\'re my soulmate. I love you. You\'re fluffy, indecent,\xe2\x80\xa6 https://t.co/wtSGdkZknJ'"
1067507605189349376,2018-11-27 19:57:01,"b'@HumurousPaladin ""Good. Because you are! No one has ever been this cute before you~\xe2\x99\xa1""\nHe placed his head on Hunk\'s\xe2\x80\xa6 https://t.co/N0lFUgCruL'"
1067505786031677442,2018-11-27 19:49:47,b'Oh my god Tara.'
1067505435865989126,2018-11-27 19:48:23,"b""Oof. Maybe short curly hair like Tara's but like freckles \xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\nI'm tired so the creativity pot is empty right now\xf0\x9f\x98\x82)) https://t.co/DXaqLHhfNI"""
1067504841948192768,2018-11-27 19:46:02,"b'""Jesus Christ, Ulaz.""'"
1067504691507019777,2018-11-27 19:45:26,b'ACTUALLY HUNK WOULD BE THE JUDGE LOWKEY)) https://t.co/ZLKO8nNsrh'
1067504584040595456,2018-11-27 19:45:00,"b""Ace Attorney AU\n\nLance is Phoenix\nPidge is Maya\nHunk is Ema\nShiro is Edgeworth\nKeith is Edgeworth's desk because he slams it so much \xf0\x9f\x98\x8f))"""
1067503709721112576,2018-11-27 19:41:32,"b'@HumurousPaladin ""I just said that I lost my cool! It\'s not like it felt really, really good!""\nHe\'s still a bit flu\xe2\x80\xa6 https://t.co/hxaY3r73PU'"
1067502591762972676,2018-11-27 19:37:05,"b'""Hello, gorgeous. I missed having you in my arms.""\nHe kissed her cheek softly. https://t.co/eFtAHSusAG'"
1067502104451919872,2018-11-27 19:35:09,"b""Love how I was trying to sleep an hour ago and just ened up watching autumn hause on tiktok-\n\nI can't help it if th\xe2\x80\xa6 https://t.co/hT39DLmRbA"""
1067501808950681602,2018-11-27 19:33:59,b'Oof yes)) https://t.co/nhgZ9aIaul'
1067500750333448192,2018-11-27 19:29:46,b'Tackle hugs- https://t.co/mBpOlU6vKg'
1067500624835764225,2018-11-27 19:29:16,"b'@DeDiscordiam ""Fuck no. If you were like Mena, I wouldn\'t be dating you. I fucked that relationship up and if I cho\xe2\x80\xa6 https://t.co/BZcSbziL0e'"
1067499956699840513,2018-11-27 19:26:37,"b'@HumurousPaladin Keith kissed the lip that he stuck out and smiled.\n""You don\'t have to be that way. I\'m just saying\xe2\x80\xa6 https://t.co/SM8zbSb7jZ'"
1067499220951883782,2018-11-27 19:23:42,"b""I love this song so much.\n\nDon't judge my love for Ace Attorney music \xf0\x9f\x98\x82\xf0\x9f\x98\x82)) https://t.co/awB8AE36Hn"""
1067498212611842048,2018-11-27 19:19:41,"b'@DeDiscordiam ""Because I fell in love with you. You\'re amazing, Tara.""\nHe pet her head softly.\n""Don\'t doubt it please..""'"
1067497503237509122,2018-11-27 19:16:52,"b'@HumurousPaladin ""Hunk.""\nHe moved to sit on the male\'s lap, holding his face in his hands.\n""I said it was hot. Don\'\xe2\x80\xa6 https://t.co/XB1X91c3jC'"
1067475187799662593,2018-11-27 17:48:12,"b'@HumurousPaladin He laid his head on the male\'s lap, humming softly.\n""You\'re a closet pervert, you know that? But..\xe2\x80\xa6 https://t.co/8mRgDMZGAv'"
1067474667915620352,2018-11-27 17:46:08,"b'@PatienceYields ""Why do you think I saved you, idiot? Because I didn\'t want some other asshole to take you away. Yo\xe2\x80\xa6 https://t.co/W5RLQXWbKx'"
1067474064426573826,2018-11-27 17:43:44,"b'@PatienceYields He began to softly pet his head, smiling softly.\n""I love you too, Shiro. I always have. I always will.""'"
1067473766899466240,2018-11-27 17:42:33,"b'@GalraHybrid ""Don\'t worry, okay? If I choose to get hurt protecting you, that\'s on me.""\nHe hugged him tightly, kiss\xe2\x80\xa6 https://t.co/Zg0BdbjFcg'"
1067472836615393284,2018-11-27 17:38:51,"b'@KuroSenshi_ Keith quickly stripped, hopping onto the bed. Naked cuddles were the best, especially with Shiro.'"
1067471475018469376,2018-11-27 17:33:26,"b""Haha that's Keith for you. https://t.co/wLWCywtKIQ"""
1067464085841690624,2018-11-27 17:04:05,b'Welcome to my new 2 followers and goodbye to 2 unfollowers (FREE stats by https://t.co/anihf7hOxs)'
1067340067793002496,2018-11-27 08:51:17,"b'@HumurousPaladin Keith fell to his knees, panting softly. He climbed onto the couch, looking over at Hunk.\n""Look wh\xe2\x80\xa6 https://t.co/wZ3SvdtLfC'"
1067330600686796800,2018-11-27 08:13:39,b'So is Keith. Hunk makes him happy. https://t.co/WBorKzkQix'
1067327642439950336,2018-11-27 08:01:54,"b'@HumurousPaladin ""H-Hunk!! Y-You gotta l-let me rest a bit! I promise you can nap on my ass later!""\nHis knees were\xe2\x80\xa6 https://t.co/T3VraT3Oly'"
1067326588017156096,2018-11-27 07:57:43,"b""Of course he's getting a kiss. Keith wouldn't forget that~ https://t.co/eJBGgAV1aZ"""
1067324827126648832,2018-11-27 07:50:43,"b'@HumurousPaladin Keith let out an embarrassed squeal, covering his mouth after.\n""H-Hunkie. Pl-please. I-I can\'t tak\xe2\x80\xa6 https://t.co/kFUGQEURFh'"
1067323718458884096,2018-11-27 07:46:19,b'Maybe for Christmas~ https://t.co/QWFZ4qSZIb'
1067322751583690754,2018-11-27 07:42:28,"b""Maybe if he's good, Keoth will make him one. https://t.co/oj2RqfkaYR"""
1067322648412196864,2018-11-27 07:42:03,"b'@HumurousPaladin He bit his lip, groaning softly. He couldn\'t help it. Hunk was driving Keith nuts.\n""I-I don\'t make\xe2\x80\xa6 https://t.co/tVioqaeXSz'"
1067320156735635456,2018-11-27 07:32:09,b'Keith wants a body pillow of Hunk. He thinks all of him is comfy as hell. https://t.co/dN8uMz4JWD'
1067320024187187202,2018-11-27 07:31:38,"b'@HumurousPaladin Keith covered his mouth, trying to stay quiet. His heart was pounding like crazy.\n""H-Hunkie. I\'d j\xe2\x80\xa6 https://t.co/n6MPRfk6Sx'"
1067318096162107392,2018-11-27 07:23:58,"b""Hunk's everything is way better in Keith's opinion.\n\nKeith will stand by his argument. https://t.co/GUgbBlf7I6"""
1067317140351578114,2018-11-27 07:20:10,"b'@HumurousPaladin ""H-Hunkie, this assult is doing things to me and I\'m not sure if I can take more of this.""\nHe was,\xe2\x80\xa6 https://t.co/8yjGTWIoY7'"
1067315665948807169,2018-11-27 07:14:19,"b""Keith calls Hunk 'Hunkie'. Don't judge him. He thinks it's cute."""
1067315416144449536,2018-11-27 07:13:19,"b""Hunk's lap is better https://t.co/x0gyzBYXnq"""
1067315073146863616,2018-11-27 07:11:57,"b'@HumurousPaladin He squeaked loudly once more and looked over his shoulder once more.\n""H-Hunk! H-how can one man become so cute?!""'"
1067312834143559680,2018-11-27 07:03:04,"b'@HumurousPaladin ""H-Hunk! I-I\'m not sure I\'ll be able to keep my voice down if you keep this up- I-I\'m too embarras\xe2\x80\xa6 https://t.co/4pmVqNiaWW'"
1067310669500956673,2018-11-27 06:54:27,"b'@HumurousPaladin Keith was very flustered, but he didn\'t mind it since it was making his boyfriend happy.\n""A-Are yo\xe2\x80\xa6 https://t.co/42ObweqQEM'"
1067308192701579267,2018-11-27 06:44:37,"b'@HumurousPaladin He blushed madly and covered his face. He looked over his shoulder, smiling at how cut his boyfrie\xe2\x80\xa6 https://t.co/bAjvlJc3TD'"
1067305615763087360,2018-11-27 06:34:23,"b'""Hunk. Sweetie. It\'s okay to speak your mind. I still love you. If it makes you feel better, I\'ll let you check to\xe2\x80\xa6 https://t.co/H7HTNC96pV'"
1067303886267052033,2018-11-27 06:27:30,"b'""Hunk! Breathe! Breathe dammit!!""\nHe looked worriedly at his boyfriend, shaking him lightly. https://t.co/niQeaUqdsz'"
1067302106695196672,2018-11-27 06:20:26,"b'He turned a deep red and froze. He was shocked.\n""I-I-I... I-I\'m sure you think this is cute!!""\nThay was all he coul\xe2\x80\xa6 https://t.co/PKe5Q1WO1t'"
1067301142537867264,2018-11-27 06:16:36,"b'""Yes! There is barely any ass there!"" https://t.co/YVmTe3B3ZV'"
1067300541443784704,2018-11-27 06:14:13,"b'""Not you too!""\n\nFlustered boy- https://t.co/xsV91l6DlF'"
1067280069360590848,2018-11-27 04:52:52,b'1-800-LUV-LOVE https://t.co/VAD5JRuxHc'
1067279434074529792,2018-11-27 04:50:20,"b'""My butt isn\'t squishy!!""\nHe\'s embarrassed. https://t.co/HKz6J95z5E'"
1067278984956846080,2018-11-27 04:48:33,"b'@DeDiscordiam ""Tara.. Talk to me, please. I\'m worried..""\nHe kissed her softly, stroking her cheek softly.\n""I love you..""'"
1067276196180885504,2018-11-27 04:37:28,"b'""B-but-""\nHe blushed and hid his face in her chest. Giggidy. https://t.co/HIL0R4Lnhd'"
1067275035403010048,2018-11-27 04:32:52,"b'""But I barely have one!""\nTsundere squeaking- https://t.co/b0DuzrOYQH'"
1067274890217226240,2018-11-27 04:32:17,"b'@DeDiscordiam ""What\'s wrong, cutie? Please tell me.""\nHe looked her in the eyes and pouted. He was worried.'"
1067273604344225793,2018-11-27 04:27:10,b'There has to be right? https://t.co/kgxNnRpssx'
1067273521909432321,2018-11-27 04:26:51,"b'@PatienceYields ""Someone finally thought I was worth something. I had to make you proud.. but in the end.. I ended\xe2\x80\xa6 https://t.co/bIbo4zgZ6w'"
1067263420716761089,2018-11-27 03:46:42,"b'@PatienceYields ""Then let\'s lay down.""\nHe brought Shiro to their bed and sat down.\n""Lay your head on my lap, Darlin\'.""'"
1067262021975052289,2018-11-27 03:41:09,"b'@GalraHybrid ""I\'m better.""\nHe hugged Kuro tightly, nuzzling him softly.\n""I love you.""'"
1067259331069050880,2018-11-27 03:30:27,"b'@KuroSenshi_ Keith followed behind him, smiling softly. Shiro loved him so much and he was so, so greatful.'"
1067191965182296066,2018-11-26 23:02:46,"b'@PatienceYields ""Good.""\nKeith loved Shiro because in his mind Shiro is perfect. He couldn\'t ask for him to be more\xe2\x80\xa6 https://t.co/hK2a3NyvRK'"
1067190484601356288,2018-11-26 22:56:53,"b'@PatienceYields ""I.. I love you.""\nHe kissed him softly, holding him.\n""We don\'t need to speak about him if it makes you unhappy.""'"
1067189192252362752,2018-11-26 22:51:45,"b'@PatienceYields Keith so stepped out of the pod.\n""Sh-Shiro. I\'m healed!""\nHe hugged him tightly.\n""I love you so much.""'"
1067188054509670400,2018-11-26 22:47:14,"b'@GalraHybrid Soon enough, Keith was placed in the pod to finish healing. Soon after that, he stepped out.\n""H-huh? I\xe2\x80\xa6 https://t.co/2ixXsSGj0F'"
1067184677868511233,2018-11-26 22:33:49,"b'@KuroSenshi_ He blushed madly and nodded.\n""C-Can we naked cuddle? We have before.""'"
1067171369010515970,2018-11-26 21:40:56,b'@LnceMcClain1 I check it out))'
1067171309203935234,2018-11-26 21:40:41,"b""@ForceCaptainCat I know that xD I just wasn't sure if I should watch it))"""
1067119565732220928,2018-11-26 18:15:05,"b""So I showed my mom the She Ra trailer and she said she wanted to see it. \xf0\x9f\x98\x82\xf0\x9f\x98\x82 I genuinely though she'd be like the fu\xe2\x80\xa6 https://t.co/3Ljzn3T9cQ"""
1067118863282786306,2018-11-26 18:12:17,"b'@ShrewdInsurgent ""No. The ship was broken and I was too out of range to contact anyone with my helmet.""\nHe kissed h\xe2\x80\xa6 https://t.co/p7bwAlzrei'"
1067114624837976065,2018-11-26 17:55:27,b'The love doctor? https://t.co/N4XLtCuf1k'
1067102123450617856,2018-11-26 17:05:46,b'Honestly I understand.)) https://t.co/ezURdxlmA6'
1067094699767402497,2018-11-26 16:36:16,b'RT @FutureBlade_: //HOLY SHIT GUYS MY AMV IS NUMBER ONE ON THE SEARCH!!!!! https://t.co/QM0YJ0J78k'
1067094531571662848,2018-11-26 16:35:36,"b""30 followers to 1.1k. I'm still shook that I'm over 1k. \xf0\x9f\x98\x82\xf0\x9f\x98\x82))"""
1067094287899402242,2018-11-26 16:34:38,"b""I wonder if people would be sad if I flipped Keith.\n\nDon't get me wrong. I'm keeping him \xf0\x9f\x98\x82))"""
1067094077420630016,2018-11-26 16:33:48,"b'All of my accounts besides this one, Kirishima, and Bakugo are dead as fuck.))'"
1067093723778097157,2018-11-26 16:32:24,"b'Singing.\n\n""What is love? Baby, don\'t hurt me. Don\'t hurt me no more.""'"
1067092611058544640,2018-11-26 16:27:58,"b""Is the new She-ra any good? I'm thinking about checking it out even if my mom will be disappointed with me xD.))"""
