id,created_at,text
1066948715938639872,2018-11-26 06:56:11,"b'RT @dhindes: You guys, the Eidos Anthology bundle is on super deep discount on Steam. Was $1000, now $90! You get:\n- The entire THIEF serie\xe2\x80\xa6'"
1066932895489523712,2018-11-26 05:53:19,"b'RT @ndrew_lawrence: I don\xe2\x80\x99t think we should gas toddlers, sorry for getting all partisan'"
1066930845787684864,2018-11-26 05:45:10,"b""RT @wildrosemage: #dnd plot hook: A despotic ruler orders the country's war mages to cast Stinking Cloud to prevent refugees from seeking a\xe2\x80\xa6"""
1066922866094919680,2018-11-26 05:13:28,b'RT @christinaixchel: What Christianity isn\xe2\x80\x99t: \nThe barista at Starbucks wishing you a Merry Christmas while handing you an holiday themed c\xe2\x80\xa6'
1066895210376884224,2018-11-26 03:23:34,b'RT @PatrickCorrigan: Universal Declaration of Human Rights\nArticle 14 (1) Everyone has the right to seek and to enjoy in other countries as\xe2\x80\xa6'
1066894864288145408,2018-11-26 03:22:12,"b""726 - I'm thankful that my idea to change random attributes of the PCs went so ridiculously well. I have the best D&amp;D group ever."""
1066894814061314049,2018-11-26 03:22:00,"b""725 - I'm thankful all the kids are finally well enough to return to school and give me my temporary quiet back."""
1066894749611712512,2018-11-26 03:21:44,"b""@RicardoBare Wow. There's a lot going on there."""
1066850794350071809,2018-11-26 00:27:05,b'Getting ready for D&amp;D this morning. https://t.co/1EXpxTTtC7'
1066850712456323072,2018-11-26 00:26:45,b'RT @HiyokoChicken34: \xe3\x81\x99\xe3\x81\x94\xe3\x81\x84......\n\xe3\x82\x93\xef\xbc\x9f\xef\xbc\x9f\xef\xbc\x9f\xef\xbc\x9f\xef\xbc\x9f\xef\xbc\x9f\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94 https://t.co/Yzhdu5d2bd'
1066213363623985153,2018-11-24 06:14:09,b'RT @dislekcia: @RaveofRavendale -Drawkanoid\n-Break things at hyperspeed with neon bullet-time\n-www.drawkanoid.com https://t.co/Nlx1WPJRlL'
