id,created_at,text
1067391611020156929,2018-11-27 12:16:05,"b""Happy Tuesday! Let's smash it"""
1067350477757661185,2018-11-27 09:32:38,"b""@Anxiwarrior I'm the same, it's like if other want to cry go for it, you are entitled to feel emotions etc. If I cry I'm being a wimp"""
1067348747150127104,2018-11-27 09:25:46,b'@Anxiwarrior Crying is a strange thing.'
1067301259986837504,2018-11-27 06:17:04,b'@CarlyRowena Both my maternal grandparents died before I was born within 7 months of each other. Mum never talks ab\xe2\x80\xa6 https://t.co/rKWlqdqVRh'
1067300314980720642,2018-11-27 06:13:19,"b""@Lilpeewee @Anxiwarrior I've been there too."""
1067177374318559233,2018-11-26 22:04:47,b'@Anxiwarrior Very true!'
1067177172857774085,2018-11-26 22:03:59,b'@Anxiwarrior No one really knows how bad my mental health is. I was brought up to think that crying was a sign of w\xe2\x80\xa6 https://t.co/WOdF8Ad7Dq'
1067176614696488963,2018-11-26 22:01:46,"b'@Anxiwarrior Not too bad thanks, feeling a bit off it today but tomorrow is a new day \xf0\x9f\x98\x8a'"
1067171224193777664,2018-11-26 21:40:21,"b""I've decided to make Christmas cookies for my flatmates on Christmas eve. Only thing is I'm not a baker, I can see\xe2\x80\xa6 https://t.co/3wLP8nzyWv"""
1067170726422163456,2018-11-26 21:38:22,b'@DepressedDan09 Thanks \xf0\x9f\x98\x82\xf0\x9f\x98\x8a'
1067169143026315266,2018-11-26 21:32:05,"b'172 people liked one of my tweets, what? https://t.co/q5LfB7HwZT'"
1067159595167174657,2018-11-26 20:54:09,"b""It's so cold that I've had to switch on the radiator in my bedroom. During the day I'm always cold, when I'm trying\xe2\x80\xa6 https://t.co/5SbJFdEFQj"""
1067158079257612289,2018-11-26 20:48:07,b'How is everyone this evening?'
1067141335273127936,2018-11-26 19:41:35,b'Tonight I put red pepper in Bolognese because I forgot who I was. My ancestors are so annoyed at my right now.'
1067122302947655680,2018-11-26 18:25:57,"b'@stephaknee__ Yeah, although I do love winter.'"
1067102323930005504,2018-11-26 17:06:34,"b""@OliWhiteTV @joshua_pieters @MrBeastYT That's called Cannibalism."""
1067101997986390016,2018-11-26 17:05:16,"b""@JamesConlon_ @GraziaUK Wow, can't believe they've published that."""
1067008762693722112,2018-11-26 10:54:47,b'@MullerUKandI Brilliant \xf0\x9f\x98\x82'
1066831313406238720,2018-11-25 23:09:40,b'@stephaknee__ It seems to be quite common'
1066831232107974656,2018-11-25 23:09:21,"b""@Anxiwarrior That's how I always think about intimidating days! You'll need to let us how you get on."""
1066828129711341568,2018-11-25 22:57:01,"b""@Anxiwarrior You've got this!"""
1066824953725636608,2018-11-25 22:44:24,"b""Does anyone else have certain times of the day where the feel worse. Night time is mine or anytime I'm trying to sl\xe2\x80\xa6 https://t.co/x1eNdP4CmS"""
1066824425331400709,2018-11-25 22:42:18,b'@Rachels_Ratchet Done'
1066814836947001344,2018-11-25 22:04:12,b'This is brilliant. https://t.co/tuKBavKubw'
1066814294401183747,2018-11-25 22:02:02,b'@Idaisdepressed Yeah but sometimes I get fed up of hearing that stuff and want something to make me laugh. The cock or balls tweet did that.'
1066777652445483014,2018-11-25 19:36:26,"b""@Lochlomonden @RHPhotography7 Wow that's amazing!"""
1066750410982068225,2018-11-25 17:48:11,b'Me: takes @BuzzFeed quiz something like pick your Starbucks order and we will reveal when you get married\n\nQuiz: maybe never \n\nThanks..'
1066743231747112960,2018-11-25 17:19:40,"b'@jossfrog Hmmm, my local asda must be too small to be doing this. I must investigate! I do love the fresh pre-prepa\xe2\x80\xa6 https://t.co/HWwpSGSr2I'"
1066742813461753857,2018-11-25 17:18:00,"b'@CarlyRowena She lives like a queen now, breakfast in bed, bike runs, camping trips, massages, warm baths. She deserves it all.'"
1066723391363784704,2018-11-25 16:00:49,"b""@jossfrog Where does this happen?? I've never experienced such a thing!"""
1066723125423943680,2018-11-25 15:59:46,"b""Watched my first Christmas film today. Called the Princess Switch and it was great for a Christmas Rom-com. Now I'm\xe2\x80\xa6 https://t.co/D2d1r9AqtE"""
1066722197295833088,2018-11-25 15:56:05,"b""@CarlyRowena My dog has anxiety from her former life as a punch bag, we massage her most evenings as we think it's helps."""
1066721739613372416,2018-11-25 15:54:16,b'@Idaisdepressed Always here for you \xe2\x9d\xa4'
1066701499454103552,2018-11-25 14:33:50,b'@Lochlomonden Me!!!'
1066665676532797441,2018-11-25 12:11:29,"b'RT @stephaknee__: \xf0\x9f\x92\x95 HEY GUYS, CAN YOU PLEASE RETWEET TO GET ME TO 900? THANK YOU \xe2\x9d\x84\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f Have a good day!'"
1066648905125949440,2018-11-25 11:04:51,"b""Last night I got rather drunk after not touching any alcohol for the last 7 years. A few weeks ago I decided I'd do\xe2\x80\xa6 https://t.co/oAJavDohp7"""
1066606849934458881,2018-11-25 08:17:44,b'@Missy_Nat99 I totally was until I blinked and it was several hours later. Oh my.'
1066494423524147200,2018-11-25 00:50:59,"b""Drunk people how do we go to sleep? I'm too awake."""
1066482351390302218,2018-11-25 00:03:01,b'Drunk'
1066479790000128001,2018-11-24 23:52:50,"b""Twitter I'm drunk. I haven't been drunk in 7 years. I'm drunk and I'm happy my mind is quiet. Love you all. Jayne"""
1066286943737139200,2018-11-24 11:06:32,b'Just tried to pet a seagull on the way to work. I can confirm that it indeed flew away.'
