id,created_at,text
1067187863526109184,2018-11-26 22:46:28,b'RT @Anvb_: I am NOT a consistent friend.. i love you but dont expect to talk everyday..'
1066881574526902272,2018-11-26 02:29:23,"b'RT @ashlyn_avery_: to whoever created leggings, thank you'"
1066881069666848769,2018-11-26 02:27:23,b'@h_slattery https://t.co/OE5otCy1aB'
1066602663595335680,2018-11-25 08:01:06,b'RT @tizocruz: ITS ABOUT THAT MUHH FUCKIN TIME YALL  https://t.co/AoiuD9lnKb'
1066602253472063490,2018-11-25 07:59:28,b'RT @juancapetillo_: So I was supposed to be productive during thanksgiving break and it\xe2\x80\x99s already Saturday and fuck I didn\xe2\x80\x99t do shit \xf0\x9f\x99\x82'
1066565686443425793,2018-11-25 05:34:10,b'*shows Christian some weird trick I can do with my tongue*\nMe: \xe2\x80\x9cBabe try to do it\xe2\x80\x9d\nC: \xe2\x80\x9cI can\xe2\x80\x99t... this is probably\xe2\x80\xa6 https://t.co/KngLZdumez'
1066484266438135808,2018-11-25 00:10:38,b'@calvinrivas68 \xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80'
1066483801058996224,2018-11-25 00:08:47,b'Beyond grateful for my husband \xf0\x9f\x92\x9b for always putting us first no matter what.'
1066136005965635586,2018-11-24 01:06:46,b'Thankful. Grateful. Blessed.\xf0\x9f\x8c\xbb https://t.co/qFFxm9zD5j'
1065938007063113728,2018-11-23 11:59:59,"b'RT @2Cadenas_: Ya know this is going to sound weird, but I\xe2\x80\x99m thankful for all the people on this app that I\xe2\x80\x99ve grown to love. I can\xe2\x80\x99t list\xe2\x80\xa6'"
1065937597749293058,2018-11-23 11:58:22,b'I know its not a lot... but we\xe2\x80\x99re 5% done with deployment \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #fuckdeploymentparttwo'
1065920721350647808,2018-11-23 10:51:18,b'RT @V1NCHY: If you don\xe2\x80\x99t understand this then you too young for twitter! https://t.co/zD3kuLZtOC'
1065920237298626562,2018-11-23 10:49:23,b'RT @Trendingjoey: Yeah sex is great but have you ever checked your bank account and had way more money than you expected'
1065880697234018305,2018-11-23 08:12:15,b'RT @MrsAlissaPrew: what i would give to spend today with my husband.'
1065738299191390208,2018-11-22 22:46:25,b'RT @itss_galezzyy: Wish I could have my husband home for the holidays but there\xe2\x80\x99s always next year\xe2\x9d\xa4\xef\xb8\x8f'
1065701016903933952,2018-11-22 20:18:16,"b'RT @creede_kaitlin: when my brother came home from college to surprise our little brother, I can\xe2\x80\x99t get over his reaction !!!! https://t.co/\xe2\x80\xa6'"
1065700641723494400,2018-11-22 20:16:47,b'RT @Jayymonroe3: Dont even play about my teeth \xf0\x9f\x98\xad https://t.co/xz7PLSnfRU'
1065700542230360064,2018-11-22 20:16:23,b'RT @KileyChristina: So ready to never have to spend another holiday without my husband'
1065700076855521282,2018-11-22 20:14:32,"b'Beyond thankful for my family, fur babies &amp; my sweet husband\xf0\x9f\x8c\xb9\xf0\x9f\x92\x9b\xe2\x9d\xa4\xef\xb8\x8f Couldn\xe2\x80\x99t ask for anything more \xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\x91\xa7\xe2\x80\x8d\xf0\x9f\x91\xa7\xf0\x9f\x92\x8f\xf0\x9f\x91\xb8\xf0\x9f\x8f\xbb\xf0\x9f\x90\xb6\xf0\x9f\x90\x95 https://t.co/IQkMHbv4Qf'"
1064782584826064897,2018-11-20 07:28:45,"b'RT @delossantos22_: My parents spoiled me rotten growing up. And they\xe2\x80\x99ve also taught me to work for what I have, nothing will be handed to\xe2\x80\xa6'"
1064782322065522688,2018-11-20 07:27:42,b'RT @itss_galezzyy: Patiently waiting for @theweeknd to drop another album and go on tour https://t.co/olkfoRxcqp'
1064781558253445125,2018-11-20 07:24:40,b'RT @KaceyZeffel: If you don\xe2\x80\x99t rt this\xe2\x80\xbc\xef\xb8\x8f next time you\xe2\x80\x99re out driving you\xe2\x80\x99ll get pulled over \xe2\x80\xbc\xef\xb8\x8f https://t.co/1ofnxisJAS'
1064781276438179840,2018-11-20 07:23:33,b'RT @Karina_Marie24: I miss my man'
1064665803717435392,2018-11-19 23:44:42,b'RT @angie_kiddo: I miss the love of my life so bad'
1064587323264839680,2018-11-19 18:32:51,b'RT @thewendysanchez: WHOEVER LEFT THEIR DOGS BEHIND IN THE FIRE YOUR MOMS A FUCKING HOE https://t.co/NreNRNgcpt'
1064586780073029633,2018-11-19 18:30:42,"b""RT @pedahlss: y'all ever miss your own energy? like damn what happened to me"""
1064586637835812865,2018-11-19 18:30:08,b'A year ago you were coming back home to me &amp; now you\xe2\x80\x99re gone again \xf0\x9f\x98\x94'
1063732439074320384,2018-11-17 09:55:51,b'RIP to my sleep schedule. This 17 hour time difference got me bent but I\xe2\x80\x99ll do anything for my baby\xf0\x9f\x92\x9b'
1063706198526984192,2018-11-17 08:11:35,b'Hadddd toooo \xf0\x9f\x98\x82 https://t.co/worjT2bkBy'
1063582219682234368,2018-11-16 23:58:56,b'RT @GladysEstrella8: If ur wondering what to get me for Christmas this is IT\xf0\x9f\xa4\xa7 https://t.co/Qh2oqooxoS'
1063157539615850496,2018-11-15 19:51:24,b'33 more days &amp; I pack up &amp; go to my moms house for a month &amp; a half \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb\xf0\x9f\x98\xad'
1062978864333303808,2018-11-15 08:01:25,b'RT @alyinas: this year has changed me more than I ever thought it would.'
1062978038449635328,2018-11-15 07:58:08,b'RT @corrinarenee: It\xe2\x80\x99s officially that time of year where getting out of bed is extra hard bc it\xe2\x80\x99s so damn cold and you don\xe2\x80\x99t want to get o\xe2\x80\xa6'
1062977655065079808,2018-11-15 07:56:36,"b'RT @alondraclopez: If my boo reading this, hi I miss you'"
1062667650193453056,2018-11-14 11:24:45,b'This time difference is a bitch. Let the sleep deprivation begin \xf0\x9f\x99\x83'
1062667294671695872,2018-11-14 11:23:21,b'RT @HughesTx7: I need all the luck I can get https://t.co/kxNt3ysMpM'
1062667217068687360,2018-11-14 11:23:02,"b""RT @itsdaniielbtw: Sex is great but has a person you've cuddled with ever start to scratch your head or back without you having to ask? Shi\xe2\x80\xa6"""
1062666648836947973,2018-11-14 11:20:47,b'RT @kanpolx3: Wow Nevada it\xe2\x80\x99s like that huh https://t.co/vyGg2uRQcT'
1062666511540604929,2018-11-14 11:20:14,b'RT @gmartins21_: imagine a world where everyone minded their own business!! what a concept.'
1062665938246361088,2018-11-14 11:17:57,b'RT @itss_galezzyy: It gets harder each and every day'
1062665812840828928,2018-11-14 11:17:27,b'What a beauty\xf0\x9f\x98\x8d https://t.co/GAT2yZENts'
1062665653377593344,2018-11-14 11:16:49,b'RT @chlogang210: I\xe2\x80\x99m so sad'
1062665635761541121,2018-11-14 11:16:45,b'RT @elilaii: this mindset &gt;&gt;&gt; https://t.co/HQnOjMnGmw'
