id,created_at,text
1067523319627313152,2018-11-27 20:59:27,"b'@ida_skibenes Thank you. That took courage. Even though we\xe2\x80\x99re only acquaintances on twitter, I\xe2\x80\x99m here to lend suppo\xe2\x80\xa6 https://t.co/ts7klu9cI8'"
1067522839870226432,2018-11-27 20:57:33,b'RT @Nysteveo2AOLcom: Possibly the worst picture of him yet. God forbid it goes viral. https://t.co/hB9KL4pMci'
1067522749311131648,2018-11-27 20:57:11,b'@mmpadellan That\xe2\x80\x99s awesome. Haha'
1067522706050928640,2018-11-27 20:57:01,"b""RT @mmpadellan: In the midst of all this hoopla over lyin' Paul Manafort, remember that jailbird hand-picked Mike Pence.\n\nBONUS: If trump A\xe2\x80\xa6"""
1067522589986193408,2018-11-27 20:56:33,b'@Call_Me_Dutch Praying. This is so awful.'
1067521836672417792,2018-11-27 20:53:34,b'RT @McFaul: Can we get the National Security Adviser some translation help !  (I find it impossible to believe that the US intelligence com\xe2\x80\xa6'
1067521709169770496,2018-11-27 20:53:03,"b""RT @williamlegate: Mississippi, you've been governed by Republicans for decades.\n\nAs a result, you're ranked:\n\n#47 in education\n#50 in heal\xe2\x80\xa6"""
1067282273676877825,2018-11-27 05:01:37,"b""RT @AuschwitzMuseum: When we look at Auschwitz we see the end of the process. It's important to remember that the Holocaust actually did no\xe2\x80\xa6"""
1067249959156629504,2018-11-27 02:53:13,b'@MollyJongFast @crazylegsmike But are they?'
1067249757049905153,2018-11-27 02:52:25,b'RT @ShaneClaiborne: You may be part of a cult...\n\nif you show higher respect for the American flag than the cross\n\nif you think God loves A\xe2\x80\xa6'
1067249584865308673,2018-11-27 02:51:44,b'@stonecold2050 @crazylegsmike She is scary.'
1067249431555170304,2018-11-27 02:51:07,b'RT @TravisAllen02: BREAKING: GM will lay off 15% of its salaried workers and halt production at 5 plants in the US thanks to Trump\xe2\x80\x99s tariff\xe2\x80\xa6'
1067209183802486784,2018-11-27 00:11:11,b'@Plantflowes Omg. So true.'
1067058068834332675,2018-11-26 14:10:43,b'@george_capen Yup. Yes \xf0\x9f\x91\x8b'
1066949049868181504,2018-11-26 06:57:31,b'@TopRopeTravis Not hyperbole. I live here. While watching live on FB I read comments that left me sick- \xe2\x80\x9cShoot them\xe2\x80\xa6 https://t.co/HpbDPjqdgP'
1066947919964594176,2018-11-26 06:53:01,b'This is what our news is showing. Look at the headline. https://t.co/HjPZykMORd'
1066946905672826880,2018-11-26 06:48:59,"b'RT @DanRather: When someone starts an argument with ""I\'m not a scientist, but..."" maybe we should stop listening to them weighing in on sci\xe2\x80\xa6'"
1066946557512052736,2018-11-26 06:47:36,b'@RepSwalwell @realDonaldTrump I live in San Diego. I was reading Facebook comments as the news was showing this liv\xe2\x80\xa6 https://t.co/HW3vB9K7YN'
1066561096985665537,2018-11-25 05:15:55,b'@AdamParkhomenko He wants full transparency so the GOP will be less likely to engage in shenanigans. Duh'
1066560399456133120,2018-11-25 05:13:09,b'@CheeseForEvery1 @TylerHuckabee Please tell me this is a parody account. But if not then the Walmart explains it. \xf0\x9f\x98\x82'
1066559954310426624,2018-11-25 05:11:23,b'@TalbertSwan @coleyworld @realDonaldTrump @RoyMooreSenator @RonDeSantisFL @tedcruz @BrianKempGA I am one and I do not understand.'
1066538922891563008,2018-11-25 03:47:49,b'@bjcreigh So so clueless and mean. People who have a brain and heart that is NOT 3 sizes too small see her BS.'
1066538648370241536,2018-11-25 03:46:43,b'@Miduswell @realDonaldTrump C\xe2\x80\x99mon now. This can\xe2\x80\x99t be serious.'
1066538373429514241,2018-11-25 03:45:38,b'@shossy2 Oh my gosh. Points for a \xe2\x80\x9cgood one\xe2\x80\x9d.'
1066538252570488832,2018-11-25 03:45:09,b'RT @pronounced_ing: I just saw a commercial for a service that lets men get Viagra \xe2\x80\x9cdiscreetly\xe2\x80\x9d by mail without ever speaking to a doctor o\xe2\x80\xa6'
1066538200405991424,2018-11-25 03:44:56,b'@ShannonDingle @jackmjenkins Gross'
1066537962681159680,2018-11-25 03:44:00,b'@BeautyBind @crazylegsmike I\xe2\x80\x99m so very sorry. Love and prayers for peace that exceeds all understanding be yours du\xe2\x80\xa6 https://t.co/Ojtua7REV7'
1066125166709592064,2018-11-24 00:23:42,"b'RT @irishrygirl: So scientists have no say in climate change, doctors have no say in gun violence, intelligence agencies have no say in cri\xe2\x80\xa6'"
1066117411496062976,2018-11-23 23:52:53,b'@cameron_kasky *of...you know. \xf0\x9f\x99\x83'
1066116950730788865,2018-11-23 23:51:03,"b'@cameron_kasky Just like crappy drivers, steer clear if the haters.'"
1066114935933956096,2018-11-23 23:43:02,b'Beautiful Tiger right before he sprayed in my general direction. I ran. He missed. Phew! https://t.co/G3tL4ajvMO'
1065986089851117568,2018-11-23 15:11:03,b'RT @theyearofelan: Banning romaine lettuce won\xe2\x80\x99t work. People who want romaine lettuce will still find ways to get it. The only way to be s\xe2\x80\xa6'
1065985495899860992,2018-11-23 15:08:41,"b""RT @ShannonDingle: \xe2\x80\x9cWhen the missionaries came to Africa they had the Bible &amp; we had the land. They said 'Let us pray.' We closed our eyes.\xe2\x80\xa6"""
1065851608217448449,2018-11-23 06:16:40,b'Did you have a \xe2\x80\x9ctime to leave\xe2\x80\x9d signal/event? Mine was hearing my mom ask my brother what he thinks of \xe2\x80\x9cIvanka\xe2\x80\x99s ema\xe2\x80\xa6 https://t.co/DrbwTVu9Gv'
1065740865467908097,2018-11-22 22:56:37,"b'If you\xe2\x80\x99re missing someone or many someone\xe2\x80\x99s this Thanksgiving, it\xe2\x80\x99s ok to feel a little sad. We can appreciate who\xe2\x80\xa6 https://t.co/1vMNGmNK4N'"
1065466663414378497,2018-11-22 04:47:02,b'We\xe2\x80\x99d drink much wine and change the world!!'
1065465045239324672,2018-11-22 04:40:36,b'@coleyworld @joncoopertweets @USMCLiberal @rachelheldevans @shannonrwatts @McFaul https://t.co/652f52mPES'
1065464298946719744,2018-11-22 04:37:38,"b'RT @brycetache: In this upside-down world, the day before Thanksgiving, Trump tweets his thanks to... the Saudis!\n\nHere\xe2\x80\x99s who I\xe2\x80\x99d like to t\xe2\x80\xa6'"
1065444209686065152,2018-11-22 03:17:49,"b'RT @BlakeMycoskie: I\xe2\x80\x99m so excited to share that we\xe2\x80\x99ve already sent over 285,000 postcards to representatives, asking them to take action an\xe2\x80\xa6'"
1065443130952966144,2018-11-22 03:13:32,"b""RT @McFaul: A great America is a strong America. Trump's praise of Saudi Arabia today makes the US sound weak and dependent.  We are not.\xe2\x80\xa6"""
1065318184868175872,2018-11-21 18:57:02,b'@thomaskaine5 @coleyworld I did this before he was elected. \xf0\x9f\xa4\x98'
1065318067025043456,2018-11-21 18:56:34,b'@realDonaldTrump I know I know \xf0\x9f\x91\x8b. You. Go away.'
1065317887072587776,2018-11-21 18:55:51,b'RT @DemWrite: I had a conversation with a Republican who said the Resistance was going to fade now that the election is over.\n\nI assured hi\xe2\x80\xa6'
1065317843871293441,2018-11-21 18:55:41,b'@EndDeportations @coleyworld Yes. You missed the note that calling names mutes your message. I know because sometim\xe2\x80\xa6 https://t.co/GqyhG5vah6'
1065317508754751488,2018-11-21 18:54:21,b'@AngelaBelcamino @horwitzpolitics Bullshit'
1065317470326599680,2018-11-21 18:54:12,b'@LgbtResistance No. Sadly I think Hillary\xe2\x80\x99s time has passed. I\xe2\x80\x99d like Sally Yates or Kamela Harris/Beto'
1065317219263868928,2018-11-21 18:53:12,b'@NishWeiseth \xf0\x9f\x98\xae'
1065316982810001408,2018-11-21 18:52:15,"b'@SallyQYates Mrs Yates, I believe you would make an amazing POTUS. Please consider.'"
1065316865721815040,2018-11-21 18:51:48,"b'RT @SallyQYates: In a single day, POTUS turns a blind eye to the barbaric murder of journalist and we learn that he tried to order DOJ to g\xe2\x80\xa6'"
1065316653020274688,2018-11-21 18:50:57,"b""Let's #endgunviolencetogether - go to https://t.co/nvee6dl4ep to send your representative a postcard demanding they\xe2\x80\xa6 https://t.co/p9ohO3YJMV"""
1065276664207179776,2018-11-21 16:12:03,b'@TheRickyDavila https://t.co/RMcfT2bsJQ'
1065274676765585408,2018-11-21 16:04:09,b'RT @AynRandPaulRyan: Fudge drops out of Speaker race.\nPelosi restores Subcommittee on Elections and names Fudge chairwoman.\n\nThis is how we\xe2\x80\xa6'
1065274482988707840,2018-11-21 16:03:23,"b'@BethMooreLPM @mika_edmondson For those of us less knowledgeable, can you give an example of each?'"
1065272192957444096,2018-11-21 15:54:17,"b'RT @The_UnSilent_: I don\xe2\x80\x99t think a day goes by where Trump doesn\xe2\x80\x99t live up to every bit of this quote. \n\n""Trump is a dumb man\'s idea of a s\xe2\x80\xa6'"
1065271956755206144,2018-11-21 15:53:20,"b""RT @CBCAlerts: Donald Trump has just tweeted a thank you to Saudi Arabia for current low oil prices, which he likens to 'a big Tax Cut for\xe2\x80\xa6"""
1065271727578505216,2018-11-21 15:52:26,b'RT @McFaul: Our president has more harsh words for Michelle Wolf than MBS. https://t.co/1pZSJNflBN'
1065271385625309185,2018-11-21 15:51:04,b'@DebAdadj71 It\xe2\x80\x99s the one thing he\xe2\x80\x99s actually best at- being awful.'
1065270510815039488,2018-11-21 15:47:36,b'RT @bschapiroMD: Will someone from the @NRA please comment on the senseless murder of Dr. Tamara O\xe2\x80\x99Neal. Last week you told her to stay in\xe2\x80\xa6'
1065092796057407489,2018-11-21 04:01:25,"b'RT @McFaul: ""Putin, Kim Jong Un, and ... Mohammad Bin Salman all now have ordered gruesome assassinations against people living outside of\xe2\x80\xa6'"
1065073175552155653,2018-11-21 02:43:27,b'@MichaelJGolub @ugaswimmerbr1 It\xe2\x80\x99s called INTEGRITY and I\xe2\x80\x99m sure you have it. Engage it. \xe2\x9c\x8c\xef\xb8\x8f'
1065073029430992896,2018-11-21 02:42:52,b'@ugaswimmerbr1 Well done. He is a child. OFF FREAKING LIMITS.'
1065072729760518144,2018-11-21 02:41:41,b'@SassyKadiK Oh my word. I see you. Stay strong. God bless. Good luck. Praying they see the \xe2\x80\x9clight\xe2\x80\x9d sooner than later. Drink more?'
1065068729518612480,2018-11-21 02:25:47,b'@10News Looks like a comet'
1065068418544488448,2018-11-21 02:24:33,b'RT @MillenPolitics: Nancy Pelosi isn\xe2\x80\x99t progressive enough for you? Here she is in 1987 marching for LGBTQ rights. https://t.co/zpscGdJnfq'
1065068312424439808,2018-11-21 02:24:08,b'RT @bryanbehar: Did you ever think you\xe2\x80\x99d see the day that an American President would attack the architect of the Bin Laden raid but go out\xe2\x80\xa6'
1065067731131629568,2018-11-21 02:21:49,b'RT @ProudResister: He is a 5-time draft dodger.\n\nHe has attacked John McCain.\n\nHe has attacked Admiral McRaven.\n\nHe has attacked Gold-Star\xe2\x80\xa6'
1065066858171129856,2018-11-21 02:18:21,b'How can you be afraid of a turnip? Weak https://t.co/mc3B0p0TlY'
1065066564754391040,2018-11-21 02:17:11,"b'@davidhogg111 @KidsRights Well-deserved. Thank you for showing adults too, what is possible. Bravo'"
1065066394461433857,2018-11-21 02:16:31,b'RT @davidhogg111: 9 months ago we were 25 kids on a living-room floor.\n\nToday Desmond Tutu gave us the International Children\xe2\x80\x99s Peace Prize\xe2\x80\xa6'
1065045882121347072,2018-11-21 00:55:00,b'RT @StevenBeschloss: Here\xe2\x80\x99s the thing. Trump attacks people like Adm. McRaven &amp; John McCain not because he despises vets &amp; men of honor. He\xe2\x80\xa6'
1064600778050953216,2018-11-19 19:26:19,b'@debiowens Franklin Graham is sooo lost. He is confused as hell. And he makes my faith look stupid. He should stop that.'
1064600102923169794,2018-11-19 19:23:38,b'@Dax_x98 @NancyPelosi \xf0\x9f\x91\x8b'
1064599896575995905,2018-11-19 19:22:49,b'@IntrovertsGTL Happy Birthday kid \xf0\x9f\x98\x9c\xf0\x9f\x98\x98'
1064599494216413184,2018-11-19 19:21:13,b'RT @crystalline_02: \xe2\x80\xa2Holocaust was legal\n-People who hid Jews were criminals\n\n\xe2\x80\xa2Slavery was legal\n-People who freed slaves were criminals\n\n\xe2\x80\xa2\xe2\x80\xa6'
1064599258815295488,2018-11-19 19:20:17,b'@wosunews This is unbelievable.'
1064352141446328320,2018-11-19 02:58:19,b'RT @DemWrite: Trump says the crown prince told him \xe2\x80\x9cmaybe five different times\xe2\x80\x9d and \xe2\x80\x9cas recently as a few days ago\xe2\x80\x9d that he had nothing to\xe2\x80\xa6'
1064332611638583297,2018-11-19 01:40:43,"b'RT @EdKrassen: When Trump and his family are finally held accountable for all of their crimes, I suggest we punish them by giving them all\xe2\x80\xa6'"
1064331921805770753,2018-11-19 01:37:59,"b'RT @PaulGoldenberg2: If I worked with someone named Adam Schiff and I called them Adam Schitt at a meeting, I would be fired. https://t.co/\xe2\x80\xa6'"
1064331634218958848,2018-11-19 01:36:50,b'RT @funder: BREAKING: Trump just called Congressman Adam Schiff \xe2\x80\x9cLittle Adam Schitt.\xe2\x80\x9d This is so disgusting. A toddler for a president. Rid\xe2\x80\xa6'
1064175358566486017,2018-11-18 15:15:51,b'@akamzzdub @shannonrwatts I wish I could laugh because that is funny. But this is my state. He makes me so mad.'
1064175178031087619,2018-11-18 15:15:08,b'@shannonrwatts This man speaking is an imbecile. There is no kind way to put it. And he\xe2\x80\x99s an ass. I live in Califor\xe2\x80\xa6 https://t.co/D0u8NCyW1Z'
1063670964846649345,2018-11-17 05:51:34,b'@NishWeiseth Apparently I should write a book. \xf0\x9f\x91\x8d'
1063670440894197761,2018-11-17 05:49:29,b'@shannonrwatts He can kiss our California ass.'
1063669614872223744,2018-11-17 05:46:12,"b""RT @USMCLiberal: Jesus...\nSo this is what it's come to?\nWe're training children to be ER doctors--- to save their lives.\nAll so that a bunc\xe2\x80\xa6"""
1063471026846060544,2018-11-16 16:37:05,b'@tweetmommybop No. I will not ruin my \xe2\x9d\xa4\xef\xb8\x8f for the season.'
