id,created_at,text
1067539640587034624,2018-11-27 22:04:18,b'RT @pcyIine: this is the hottest video of chanyeol on the internet https://t.co/CvVIs0t3n5'
1067473037061177347,2018-11-27 17:39:39,b'RT @yuucafae: @cafesyuta Neither have I so far then again- \n\nMost Yutazen relate to this so yk https://t.co/3HxXaef39o'
1067473014848139265,2018-11-27 17:39:34,b'Melissa is shaking in her straighty boots https://t.co/DEcpBtv6d5'
1067472445156790274,2018-11-27 17:37:18,b'He had to save up his allowance for it :/// https://t.co/Jbcv1Ml4CC'
1067472344694820865,2018-11-27 17:36:54,"b'RT @esprexiu: when chanyeol used his bottle of water as a bowling ball and minseok pretended to be a bowling pin, how old are they can some\xe2\x80\xa6'"
1067472225564090374,2018-11-27 17:36:25,b'RT @doyounvgs: you all wanted to suck jaehyuns dick after regular office teasers were released i ain\xe2\x80\x99t forget'
1067472194517766145,2018-11-27 17:36:18,b'RT @DessireDolce: so where is the studio version of born to shine? \n KEY YOU ONLY HAD ONE JOB https://t.co/kmLM2ooVEC'
1067470932153966592,2018-11-27 17:31:17,b'RT @lqot18nct: jungwoo is so precious \xf0\x9f\x98\xad https://t.co/TaqhQCKavn'
1067469439275290625,2018-11-27 17:25:21,b'RT @dimplyjae: yall: jaehyun goes off and is so aggressive when he performs \xf0\x9f\x98\xa9\njaehyun: https://t.co/DuUK1Jb5BW'
1067469419880869889,2018-11-27 17:25:16,"b""RT @shbups: 'limitless' and 'touch' with jungwoo! https://t.co/vH8ugz0f1s"""
1067469255606747137,2018-11-27 17:24:37,b'RT @chaewwon: how many brain cells do you have based on your bias?\n\nshownu: \xe2\x88\x9e\nwonho: 23\nminhyuk: \xf0\x9f\xa4\xa0\nkihyun: 500\nhyungwon: 100\njooheon: 7\ncha\xe2\x80\xa6'
1067469203337347072,2018-11-27 17:24:25,b'RT @ChartShinee: \xf0\x9f\x93\x88 #KEY (#FACE) 1st Album peaked 3rd on Worldwide iTunes Albums https://t.co/iExmHbCUQz'
1067469192893468674,2018-11-27 17:24:22,b'RT @kjilq: have a safe flight nini bear \xf0\x9f\x92\x9e\xf0\x9f\x92\x9e https://t.co/VeIUWfDXZB'
1067469180457402368,2018-11-27 17:24:19,b'RT @shinin_five: Kibum saying his dogs speaks Korean and taemin saying he had conversation with the shark.\n\nI have reached the point where\xe2\x80\xa6'
1067468953943977984,2018-11-27 17:23:25,b'RT @stars_39: \xf0\x9f\x94\x91\xe2\x9c\xa8 https://t.co/JZ9MIYjGNN'
1067468933404475394,2018-11-27 17:23:20,b'@dimpleyjae \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad'
1067468891738308608,2018-11-27 17:23:11,b'@dimpleyjae Oh noooooo'
1067468595528171520,2018-11-27 17:22:00,b'RT @NCTsmtown_127: \xec\x98\xa4\xeb\x8a\x98 \xec\xa0\x80 \xec\xa7\x81\xec\xa0\x91 \xec\x95\xa8\xeb\xb2\x94 \xec\x82\xac\xeb\x9f\xac \xea\xb0\x94\xeb\x8a\x94\xeb\x8d\xb0 \xeb\x84\x88\xeb\xac\xb4 \xec\x98\x88\xeb\xbb\x90\xec\x84\x9c \xeb\x86\x80\xeb\x9e\x90\xeb\x84\xa4\xec\x9a\x94 \xe3\x85\x8e\xe3\x85\x8e\n\xec\x97\xac\xeb\x9f\xac\xeb\xb6\x84 \xec\x9d\xb4\xeb\xb2\x88 \xec\x95\xa8\xeb\xb2\x94\xeb\x8f\x84 \xeb\xa7\x8e\xec\x9d\xb4 \xec\x82\xac\xeb\x9e\x91\xed\x95\xb4\xec\xa3\xbc\xec\x84\xb8\xec\x9a\x94 \xf0\x9f\x8c\xb1 -\xec\x98\x81\xed\x98\xb8\xea\xb0\x80 \n\n#NCT127_SimonSays\n#SimonSays #NCT127\n#NCT127_Regulate htt\xe2\x80\xa6'
1067468416527814656,2018-11-27 17:21:17,b'RT @nctnightnight: \xf0\x9f\x92\x9a(\xec\x9d\x98\xeb\xa6\xac\xec\x9d\x98) \xec\x9d\xb8\xea\xb0\x84\xeb\xb9\x84\xed\x83\x80\xeb\xaf\xbc\xf0\x9f\x92\x9a\n\xec\x9f\x8c\xeb\x94\x94\xea\xb0\x80 \xec\x97\xac\xeb\x9f\xac\xeb\xb6\x84\xec\x9d\x84 \xec\x9d\x91\xec\x9b\x90\xed\x95\xa9\xeb\x8b\x88\xeb\x8b\xb9 \xf0\x9f\x98\x8d\xf0\x9f\x92\x95 https://t.co/cl8PqEgK8t'
1067467987945435136,2018-11-27 17:19:35,"b'@dimpleyjae HAVE SOME SENSE GIRL!!! But honestly, if you have it, Buy it, I wanna see it too and my broke ass had t\xe2\x80\xa6 https://t.co/20ER7zl4EA'"
1067467622512513024,2018-11-27 17:18:08,b'Literally what the fuck do either one of these things have to do with the other? Don\xe2\x80\x99t say his name EVER again to t\xe2\x80\xa6 https://t.co/o4rPpNMAIi'
1067466238358708226,2018-11-27 17:12:38,"b'RT @borntoshinee_: kibum doesnt walk his dogs, his dogs walk him djsjsdf https://t.co/Qzdb3iQTx2'"
1067466098398900225,2018-11-27 17:12:05,b'RT @jhyunactivities: JAEHYUN STOP BEING SO GOOD LOOKING CHALLENGE!\n\nhttps://t.co/Dn4ZxB458w'
1067466083366518785,2018-11-27 17:12:01,b'RT @jaehyunbom__: Jaehyun was asked to do an impromptu 20 seconds English introduction of Simon Says without any script and he did so well\xe2\x80\xa6'
1067465432234381312,2018-11-27 17:09:26,b'RT @eyeronicmuch: johnjae losing it over a girl sending \xe2\x80\x9cyoungho oppa i love you i\xe2\x80\x99m 8 years old\xe2\x80\x9d on nct nn is such a mood'
1067465205272256512,2018-11-27 17:08:32,b'RT @nctpouts: Taeyong was giving fanservice then he kissed the glass which left a mark so he wiped it of with his hand and sweater how can\xe2\x80\xa6'
1067465180311900161,2018-11-27 17:08:26,"b'RT @shbups: no matter how much praise and reassurance he gets, taeil is never 100% satisfied with how his parts turn out and always wants t\xe2\x80\xa6'"
1067465156005908480,2018-11-27 17:08:20,b'RT @softsadsatan: how is that i like boys and girls but not a single boy or girl likes me...... kinda hurts but ok'
1067465099072495618,2018-11-27 17:08:06,b'RT @cloudynct: JOHNNY IS REALLY OUT HERE BEING THE MOST ADORABLE THING https://t.co/x2Zygt069y'
1067463856472145921,2018-11-27 17:03:10,"b'RT @archivejohnny: When Johnny is happy, I\xe2\x80\x99m happy https://t.co/J8AaXgFyo1'"
1067463657741791232,2018-11-27 17:02:23,"b'I\xe2\x80\x99m gonna die broke, miserable and having never met Johnny https://t.co/O4gc2gUEFY'"
1067462761112895488,2018-11-27 16:58:49,b'RT @carameloeyy: Jongin been spamming the group chat since 11:59 pm and was the first one to tell Chanyeol happy birthday. he has bragging\xe2\x80\xa6'
