id,created_at,text
1058342987086921729,2018-11-02 13:00:05,b'@deray https://t.co/s29II2n6jY'
1050516417911635969,2018-10-11 22:40:06,b'@kurteichenwald I\xe2\x80\x99m so happy you said that.  Having a close family member with a mental illness is something you ha\xe2\x80\xa6 https://t.co/7mr6U1jrMa'
1045354919551733761,2018-09-27 16:50:09,b'@MarkHarrisNYC @DonaldJTrumpJr https://t.co/lBqQIj2D3M'
1036618945011310593,2018-09-03 14:16:30,b'@janus303 @DanRather You are absolutely right.  I wish we could shift the narrative of this trashy story to what a great actor he is.'
451521930877620226,2014-04-03 00:49:51,"b'Oakley Sunglasses, M37-Shop Online, 92.054% off, http://t.co/CWdxpSY7iH !'"
451521923655020545,2014-04-03 00:49:50,"b'Louis Vuitton LV Series, M37-Shop Online, 92.054% off, http://t.co/v5g5iMwIpx !'"
451521917422301184,2014-04-03 00:49:48,"b'Monster Beats by dr.dre Earphones Headphones, 92.054% off, http://t.co/EVUAfV2RjW !'"
451283461249044480,2014-04-02 09:02:16,"b'Ray Ban Sunglasses only $28.79, H54-Shop Online, 92.082% off, http://t.co/zYCJ7MdtfG !'"
451283454781435905,2014-04-02 09:02:14,"b'Oakley Sunglasses, H54-Shop Online, 92.082% off, http://t.co/l5kAqI4OtX !'"
451283450037682176,2014-04-02 09:02:13,"b'Louis Vuitton LV Series, H54-Shop Online, 92.082% off, http://t.co/HTQUCZ3Q7U !'"
451283445017100288,2014-04-02 09:02:12,"b'Monster Beats by dr.dre Earphones Headphones, 92.082% off, http://t.co/Plikb2QVG8 !'"
449557375712645120,2014-03-28 14:43:25,"b'Ray Ban Sunglasses only $19.99, F84-Large Discount, 90.053% off, http://t.co/jQNmogl6Ae !'"
449557369647669248,2014-03-28 14:43:23,"b'Oakley Sunglasses, F84-Large Discount, 90.053% off, http://t.co/WA9Aj7oprm !'"
449557364681629697,2014-03-28 14:43:22,"b'Monster Beats by dr.dre Earphones Headphones, 90.053% off, http://t.co/qu5f8ENCK7 !'"
449557359707168768,2014-03-28 14:43:21,"b'Louis Vuitton LV Series, F84-Large Discount, 90.053% off, http://t.co/nm38hqYFTj !'"
383968234384289792,2013-09-28 14:55:35,b'You should be ashamed @sears for treating your customers this way!!! #MamaSkorpionVSSears2'
379272420546207744,2013-09-15 15:56:06,b'@UrbanOutfitters @Anjadai_18'
309372149842444289,2013-03-06 18:37:23,b'@Oprah As a Christian and a business woman does one take precedence over the other when making business decisions?'
309369811148894208,2013-03-06 18:28:05,b'@IyanlaVanzant As a believer in GOD and as a business woman does one take precedence over the other when making decisions?'
308691764825427968,2013-03-04 21:33:46,b'RT @MarissaNaples: Such an amazing giveaway! xx RT @BagSnob: Giveaway of Alexander McQueen Knuckle Duster by Marissa Collections http:// ...'
307557349743284224,2013-03-01 18:26:00,b'RT @IyanlaVanzant: The conditions we face do not define us. They remind us of who we are and who we want to be.'
307556754265366529,2013-03-01 18:23:39,"b'RT @Oprah_World: Behind me is infinite power, before me is endless possibility, around me is boundless opportunity. - Author Unknown'"
303997929532817409,2013-02-19 22:42:09,b'RT @BettyFckinWhite: #PerksOfDatingMe I can take my teeth out.'
289121550366547968,2013-01-09 21:28:43,"b""RT @kibblesmith: I'm not insanely healthy but I've reached a point in my life where drinking an entire can of Coca-Cola feels like eatin ..."""
285787976204689409,2012-12-31 16:42:17,b'RT @BILLBELLAMY: RT @iamcardo @BILLBELLAMY .. how do you say Tony Romo in spanish?? ..................... MARK SANCHEZ  lmao!!! Hilarious!'
