id,created_at,text
1067465626380324864,2018-11-27 17:10:12,b'Blocked @Ninja https://t.co/19yrKNCjgP'
1067465297102290945,2018-11-27 17:08:54,"b'RT @Tenser: a few things that would make fortnite much better\n\n- buff pickaxes (150 damage per hit)\n- vault double barrel, add quadruple ba\xe2\x80\xa6'"
1067462447114723328,2018-11-27 16:57:34,b'@KaiGamezGota Fire'
1067450893094785026,2018-11-27 16:11:39,"b'Yeetus feetus, give me your penis.'"
1067245329140129792,2018-11-27 02:34:49,b'@akaFormula I think Aeroneus_ is extremely underrated...'
1067166843457163264,2018-11-26 21:22:57,b'#fixpix https://t.co/eI5BwY4Qvr'
1067161982103629824,2018-11-26 21:03:38,b'@Boogie2988 Fuck'
1067156080243937289,2018-11-26 20:40:10,b'@grandayy you\xe2\x80\x99re bad.'
1067155397625159680,2018-11-26 20:37:28,b'@grandayy lowkey...'
1066988052353032193,2018-11-26 09:32:30,"b'@spacez22 @Duke34D @DinozaurCat @Tycoon126 @Ether0x @elonmusk @forummp3 Yeah, nice try.'"
1066906736852983814,2018-11-26 04:09:22,b'@Tenser no.'
1066906144948531201,2018-11-26 04:07:01,"b'@elonmusk Elon, how fucking drunk are you?'"
1066831797491834882,2018-11-25 23:11:35,"b""RT @bestinclassyt: i literally don't think i have one friend lol"""
1066831295781789696,2018-11-25 23:09:36,b'RT @LeonardCowalski: What ur birthday says about u:\nJan: born in January\nFeb: born in February\nMar: born in March\nApr: born in April\nMay: b\xe2\x80\xa6'
1066802824879763469,2018-11-25 21:16:28,"b""tbh I wanna 1v1 @Tenser just because @SamsAPanda killed him and he's bad lol. jk I love you Panda, but fr."""
1066664875206823936,2018-11-25 12:08:18,"b'@NetNobody Personally you\xe2\x80\x99re taking the better place in the @KEEMSTAR situation, he\xe2\x80\x99s acting like a baby an overgro\xe2\x80\xa6 https://t.co/gaPQKa5owM'"
1066522376098205696,2018-11-25 02:42:04,"b'@Xd_Schief @dakotaz Alright use your fucking 2 iq and realize that you\xe2\x80\x99re shit at GFX, I bet you use a fucking mobile app. lol.'"
1066519125219049472,2018-11-25 02:29:09,"b'@Xd_Schief @Smallycat1 @dakotaz Imagine bringing followers into a conversation over your shut logos, good night buddy.'"
1066518103696252929,2018-11-25 02:25:05,b'@Xd_Schief @dakotaz Pro logo lmao.'
1066494170058100736,2018-11-25 00:49:59,b'RT @ItzKryptTV: :think: #Fortnite @Ninja https://t.co/OtoHydcHFi'
1066264274178322432,2018-11-24 09:36:27,b'@TTfue I got u https://t.co/Wz6rXFmo8a'
1066259453069197314,2018-11-24 09:17:18,b'@KaiGamezGota hell yeah'
1066258486517030912,2018-11-24 09:13:27,"b'@TTfue I got my name change, do I keep it, or change... https://t.co/oaIBhie3mn'"
1066238815487098880,2018-11-24 07:55:18,"b'@JORDITHEMANIAC @KEEMSTAR Don\xe2\x80\x99t see anything wrong with trump, use your fucking brain and look at stats of him. Fuck.'"
1066238674877190145,2018-11-24 07:54:44,b'RT @KEEMSTAR: What a loser - Part 2 https://t.co/fi9vhYgilE'
1066227692197109761,2018-11-24 07:11:06,b'RT @goghvantae_: only ugly people can retweet this'
1066223250152349696,2018-11-24 06:53:26,"b'@dakotaz Dk two words, love you.'"
1066223087925030912,2018-11-24 06:52:48,"b'RT @_BlaineB: *opens instagram*\n\nYup, everyone\xe2\x80\x99s life is still better than mine\n\n*closes instagram*\n\n*opens twitter*\n\nAh yes, my fellow tra\xe2\x80\xa6'"
1066159352879505408,2018-11-24 02:39:32,b'@Landonsn I do brother.'
1066130540221353986,2018-11-24 00:45:03,"b""@grandayy make a new good video for once in a while you stupid fucking duc-, oh wait shit nvm this isn't @DolanDark, your good grandayy."""
1066128740781043713,2018-11-24 00:37:54,b'RT @KEEMSTAR: You son of a bitch @shanedawson https://t.co/tY17g7rOOO'
1066127617206743041,2018-11-24 00:33:26,b'RT @FreeMemesKids: WTF \xf0\x9f\x98\x82 https://t.co/bWKlfe6tJf'
1066127494401675272,2018-11-24 00:32:57,b'RT @FreeMemesKids: \xf0\x9f\x98\x82 https://t.co/y685IL11XB'
1066127281129746432,2018-11-24 00:32:06,"b'RT @ItzKryptTV: Um, guys? It says ""WRECK the dance floor""? WRECK it Ralph? Also, emote sounds really digitized, which the 2nd movie is base\xe2\x80\xa6'"
1066124416596221952,2018-11-24 00:20:43,"b'@cloakzy @FortniteGame yo your right, thanks man'"
1066123601164869634,2018-11-24 00:17:28,"b'@ItzKryptTV fuck, this game is really made for 6 year olds...'"
1066120363422158848,2018-11-24 00:04:36,"b'@Arikadou thank god, your done with @FortniteGame'"
1066120207712825344,2018-11-24 00:03:59,b'@ItzKryptTV fake news'
1066100666387578880,2018-11-23 22:46:20,b'@dakotaz oof. https://t.co/s5huTKBmbK'
1066100152400785408,2018-11-23 22:44:18,"b'@ItzKryptTV Yeah, your right babe'"
1066099795213910023,2018-11-23 22:42:53,"b'@ItzKryptTV No I wanna keep Buried, ya know because of Naught'"
1066096703265300480,2018-11-23 22:30:35,"b'@ItzKryptTV ok I wanna change my name, keep Buried in it but what do I do?'"
1066091760751919105,2018-11-23 22:10:57,"b""RT @dakotaz: MEET MY NEW GIVEAWAY WALL\n40k retweets and we're going full oprah mode https://t.co/EKFrKOKOeK"""
1066091378340331520,2018-11-23 22:09:26,"b""@Landonsn I'm watching your famous scammer video."""
1066058482414219265,2018-11-23 19:58:43,"b'@Ninja You\xe2\x80\x99re thankful for a Video Game? Wow that\xe2\x80\x99s a bit sad, I know you wouldn\xe2\x80\x99t have any fame, and wouldn\xe2\x80\x99t make millions a year but wow.'"
1066037687122038785,2018-11-23 18:36:05,b'@ItzKryptTV @Kaidoz2 Scammer Gets OmegaScammed'
1066037348545306626,2018-11-23 18:34:44,"b'@ProSyndicate Die, I\xe2\x80\x99m gonna die of sadness,\nWithout my babe @ItzKryptTV I can\xe2\x80\x99t do it.'"
1065896305669611520,2018-11-23 09:14:17,"b'I\xe2\x80\x99m in bed right now, pondering over the many faults in my life, like how happinesses is another wish for the next\xe2\x80\xa6 https://t.co/1T9kaDQtIU'"
1065765073187164160,2018-11-23 00:32:49,"b'@Twitter I LIVE IN CANADA, how dare you assume I live in America, cmon twitter.'"
1065763322463756288,2018-11-23 00:25:51,b'@ItzKryptTV Thanks dad'
1065728944786350081,2018-11-22 22:09:15,"b'@ItzKryptTV I love you babe, I\xe2\x80\x99m thankful for u B.B. &lt;3'"
1065712629816135682,2018-11-22 21:04:25,b'@ItzKryptTV Fuck.'
1065705821328338949,2018-11-22 20:37:22,b'@KEEMSTAR Thanks babe &lt;3'
1065703286454521858,2018-11-22 20:27:17,b'@grandayy Same'
1065672353831628800,2018-11-22 18:24:23,b'@dakotaz We don\xe2\x80\x99t celebrate in Canada'
1065473364947554305,2018-11-22 05:13:40,b'@FNBRLeaks Kill it. With. Fire'
1065008026720104450,2018-11-20 22:24:35,"b'@ItzKryptTV no, you bot lol.'"
1065006714502750208,2018-11-20 22:19:22,b'@KEEMSTAR no thank you.'
1065006579337052160,2018-11-20 22:18:50,"b'@DolanDark wait, is tHAt tHe rEaL lEfAYiSgAY?'"
1065006023872839680,2018-11-20 22:16:37,b'@DolanDark @grandayy ew'
1065005240544571392,2018-11-20 22:13:30,"b'RT @ItzKryptTV: @KappaPridePog @Xbox @PhylaticGaming @oShven yeetus yote, you better go an vote, me for king of the lands'"
1065004854605742080,2018-11-20 22:11:58,"b'@ObeyNicks I also created a Ramp Push Meta, or at least I think I did... Link - https://t.co/rNOo6WYxwi'"
1065003454500913152,2018-11-20 22:06:25,b'@ObeyNicks My ign name is (Buried.) with the period and stuff.'
1065003023821414405,2018-11-20 22:04:42,"b'@ObeyNicks I feel pretty underrated lol, but it\xe2\x80\x99s all good in the end. I\xe2\x80\x99ve been watching you guys for a while, rou\xe2\x80\xa6 https://t.co/7XoqI5Jq6p'"
