id,created_at,text
1009423481275076609,2018-06-20 13:11:26,"b""2yo: myyy naaaaame aaaaree....*dramatic pause*\nme: ......\n2yo: *grins expectantly*\nme: ... what's your name?\n2yo: MARIO!!!\n\n#itsame"""
1009415094533488640,2018-06-20 12:38:07,b'wow thank u app permission monitor I shall remedy this immediately I had no idea my messages app had control of my\xe2\x80\xa6 https://t.co/rQym3L94m0'
1009414453660614657,2018-06-20 12:35:34,b'RT @vavroom: I was not going to get involved because so many people have jumped on the band wagon. But it pisses me off. Warning: Rant comi\xe2\x80\xa6'
1005215212419547142,2018-06-08 22:29:17,b'2yo: Emmy school?\nme: are you gonna go to school?\n2yo: no... Emmy go a beach.\n#same #justtoddlerthings'
1005111848327372800,2018-06-08 15:38:33,"b'RT @nsilverberg: I understand the impulse to say \xe2\x80\x9cif you\xe2\x80\x99re struggling, ask for help\xe2\x80\x9d but that can feel impossible &amp; put even more pressure\xe2\x80\xa6'"
1005060582536605697,2018-06-08 12:14:50,"b'RT @Lin_Manuel: Gmorning.\nYOU ARE SO LOVED AND WE LIKE HAVING YOU AROUND.\n*ties one end of this sentence to your heart, the other end to ev\xe2\x80\xa6'"
1005058201287626753,2018-06-08 12:05:22,"b'@ohjefframos @thejenna Hello Rupert and Randall,\n\nTrudy here, thanks for the CC. Accountix has yet to get back to m\xe2\x80\xa6 https://t.co/XptSWzeyuR'"
1001948391377637376,2018-05-30 22:08:06,"b""RT @premeesaurus: ALL MY NON-BRA-WEARING FRIENDS LOOK AWAY\n\n(whispers) ok whoever's left, is there a technical term for when you have a Bra\xe2\x80\xa6"""
1001941764469657600,2018-05-30 21:41:46,"b""@NightinGem I just want to put you in my pocket and carry you around you're so precious"""
1000022503752978433,2018-05-25 14:35:19,b'NOW BOTH OF MY FAV VILLAGERS ARE IN POCKET CAMP. LIFE IS GOOD. #AnimalCrossingPocketCamp @animalcrossing\n(pictured\xe2\x80\xa6 https://t.co/7bFjVTRvBi'
996876226550747136,2018-05-16 22:13:08,b'#GillandGilbert #LankyModeNow #cute #nerd #game #hashtag https://t.co/ZpEHNhg5YJ'
996836902207676419,2018-05-16 19:36:52,"b'welp nothing interesting on twitter right now, better look at something else\n*clicks home button*\n*opens twitter*\n\nwhy'"
996731285719658496,2018-05-16 12:37:11,b'this is the first time I heard both. MAN THIS IS WORSE THAN THE DRESS THING https://t.co/j3BH9CjqiW'
996730554539216896,2018-05-16 12:34:17,b'RT @whizzwhozz: BI-DERMAN\nBI-DERMAN\nDOES WHATEVER A BI-DER CAN\nKISS A MAN?\nSURE WHY NOT\nALSO HE THINKS GIRLS ARE HOT\nLOOK OUT\nHERE COMES TH\xe2\x80\xa6'
996730153094008832,2018-05-16 12:32:41,"b'RT @TracyAnnin: By 35, you should have played half the games in your Steam library, according to retirement experts'"
996388991070101504,2018-05-15 13:57:02,"b'I asked my 2yo how old I was and he said, ""six! no.. NINE!"" and I think I\'ve subliminally taught him the sex number\xe2\x80\xa6 https://t.co/iDf4PggaYv'"
996240668820467712,2018-05-15 04:07:39,"b""when you got in bed 3 hours ago and still haven't fallen asleep and your partner has been in bed for 8 minutes and\xe2\x80\xa6 https://t.co/oqRWiE68Te"""
