id,created_at,text
1066513840169525248,2018-11-25 02:08:09,"b'Polychrome Jasper! #polychromejasper @ Flint, Michigan https://t.co/p9sLsokI9D'"
1056586697419317248,2018-10-28 16:41:13,b'Playing with the magnetic hematite! #hematitestone #hematite @ Life Enrichment Center https://t.co/aNdeo5WSHL'
1040305401500237824,2018-09-13 18:25:10,b'@Skye_Evans_ Congrats!'
1039243722540634113,2018-09-10 20:06:26,b'RT @TWLOHA: Tomorrow needs you. Please stay.'
1039243660251066368,2018-09-10 20:06:11,"b'RT @afspnational: Today is #WorldSuicidePreventionDay\n\nSuicide is the 10th leading cause of death, and we all know someone affected by it.\xe2\x80\xa6'"
1024384542998781953,2018-07-31 20:01:21,"b""@Skye_Evans_ How big is the gate? Here in Michigan we generally charge about $450 for a 5' wide aluminum gate."""
1024008276256677893,2018-07-30 19:06:12,b'@Skye_Evans_ You always look better than decent'
1015019832054571013,2018-07-05 23:49:20,b'@Skye_Evans_ Such a hot video!'
972302416199733248,2018-03-10 02:45:35,b'RT @garyvee: You\xe2\x80\x99re only 62 years old .. you have 30 more years! Let\xe2\x80\x99s go!\n\nTired of so many mid 30\xe2\x80\x99s to 60\xe2\x80\x99s thinking it\xe2\x80\x99s over'
951475685759111169,2018-01-11 15:27:35,b'The $1.80 Instagram Strategy To Grow Your Business or Brand https://t.co/l7iPqVMEiw via @garyvee'
950489144194748416,2018-01-08 22:07:25,"b'RT @Bell_LetsTalk: Dr. Ian Manion is proof that even doctors and psychologists experience mental illness, and just like us, doctors and psy\xe2\x80\xa6'"
950225051227508736,2018-01-08 04:38:01,"b'RT @afspnational: ""Talk about it, start a conversation and show how much you care. You could be saving someone just by saying hello."" https\xe2\x80\xa6'"
949647310375587841,2018-01-06 14:22:17,"b'RT @Bell_LetsTalk: This year, the #BellLetsTalk Day campaign spotlights the personal stories about #mentalhealth of Canadians from around t\xe2\x80\xa6'"
947610593091112961,2017-12-31 23:29:05,b'Why Everyone Should Give Healing Crystals A Try + How To Find One For You by @emmamildon https://t.co/im57wZKM88 via @mindbodygreen'
