id,created_at,text
534785825964175360,2014-11-18 19:10:51,b'Excited about things to come..  Wish i could tell someone bout it but i feel like no one will be as excited or optimistic as US....'
517856612334051328,2014-10-03 02:00:12,"b'Ooohhhh, Purdys only charged me for one scoop of ice cream today!   #thankyou !!!! #yesiusuallyget2scoops #fattyforlife #noshame'"
515404803648679936,2014-09-26 07:37:35,b'Dinner is served? http://t.co/OWW0SPjCe4'
515404688871546880,2014-09-26 07:37:08,b'@merrymine Haha..  not enough to pay me a visit!'
515251703344406528,2014-09-25 21:29:13,b'@merrymine This was months ago!'
513866359369777152,2014-09-22 01:44:21,b'&amp; if i tell u business is really bad.. Would you help me out and buy a few things?  Maybe that will be my response next time. #rantoftheday'
513865794996797441,2014-09-22 01:42:07,"b'Is it not rude to come up to someone and ask how business is? And when i say its great they tell me dont worry, youre still new.'"
512872432546615296,2014-09-19 07:54:51,b'That iphone 6 line up is redic!! And may i add that 99% of them are Asians that brought their mahjong tables with them for the night??!!'
511944726548078592,2014-09-16 18:28:28,b'Its Tuesday!! You know what that means...! Its toonie Tuesday at KFC! #ilikefood'
511048408132370432,2014-09-14 07:06:49,"b'Oh no... :(""@ScanBC: #Langley crews are on scene at 208 St &amp; 83 Ave with a person run over by an asphalt roller. Major lower body injuries.""'"
511048046306525186,2014-09-14 07:05:23,"b""SO UPSET because my vegas isnt giving me my max. amount of chips cause i haven't been playing 5 consecutive days. UGH! #firstworldproblems"""
510992664062226433,2014-09-14 03:25:19,"b'Yawn...  always working, always sleepy... helpppppp...!.'"
496721929533800450,2014-08-05 18:18:31,b'Our a/c at work is broken and it is soo hot! Ugh!'
494860653396377603,2014-07-31 15:02:28,"b""#firstworldproblems edition 1 : coffee needs to alternate hands cause it's too hot which prevents me from playing on my smartphone"""
494669318089486336,2014-07-31 02:22:10,b'Literally outside for just 5 minutes yesterday and i have 5 new itchy as fuuuuuu mosquito bites! :@ :@ :@ :@'
491859852465942528,2014-07-23 08:18:21,b'Planet of the apes was quite good i must admit!!! #tuesdaymovienight #MovieRecommendation'
491748719746764800,2014-07-23 00:56:45,b'@merrymine hi! Thanks for having fish and chips with me today! :)'
491601649396240384,2014-07-22 15:12:21,b'Back at it..  \n\nLeave your lover - sam smith #np #samsmith #InTheLonelyHour'
491601317769388032,2014-07-22 15:11:02,b'#random'
491601205521420288,2014-07-22 15:10:35,"b'""... do you work at (place of work)""\n ""yes! You have a good memory! ^_^"" \n ""of course.. how could i forget that beauty?"" Lol.. thanks?'"
491083084100431872,2014-07-21 04:51:45,"b""Havent had my moms cooking in a while\n... she saved me some scrambled eggs today but they're filled with egg shells!!!!!!!!!!"""
489843592777568256,2014-07-17 18:46:28,"b""@sairachaudhry @coquitlamcentre it's downstairs where waves is!!!  I was probably there for an hour , i have no life"""
489613574260547584,2014-07-17 03:32:27,"b'&amp; did i mention the free wifi, magazines, charging station and ipads that are free to use?!?!??! I feel right at home...!'"
489613120592019456,2014-07-17 03:30:39,b'Starting to sort of like this new lounge  @coquitlamcentre.. doing one of my favorite past times.. watching reality TV!'
488193184728498176,2014-07-13 05:28:20,b'The amount of people that just come by our store and ONLY check themselves out in our mirror are horrendous'
488109304545685504,2014-07-12 23:55:01,"b""Everyone's been complimenting me today on my fancy dress! Truth is..  i was just too lazy to put on pants.. =/"""
488100456548159488,2014-07-12 23:19:51,b'Eugh! So muggy!'
487997931593555968,2014-07-12 16:32:28,b'Good Thing - Sam Smith #np #samsmith or better yet.. the whole album #inthelonelyhour'
487997531704393731,2014-07-12 16:30:52,b'Really starting to like Sam Smith.. but he is really pulling my on heart strings.. #SamSmith'
487323066297364482,2014-07-10 19:50:47,"b""RT @Fitness_Updates: Bikini season is approaching and I'm here like http://t.co/CDMuR5hAUy"""
487323048668721152,2014-07-10 19:50:43,b'RT @Fitness_Updates: me \xf0\x9f\x98\x82 http://t.co/v2IUBtMPel'
487316988704718848,2014-07-10 19:26:38,"b'Sitting at Waves and there is a girl taking loads of selfies of herself, this has been going on for at least 10 minutes. #conceitedmuch?'"
480971413025595393,2014-06-23 07:11:35,"b""Went to Bellingham and saw that Chipotle was coming to Bellisfair.. YAY! CAN'T WAIT!  We have one too but I def to go Bellingham more.."""
480970564278816768,2014-06-23 07:08:13,"b'boy, has twitter changed..!'"
479404559341596672,2014-06-18 23:25:28,b'I know you care - ellie goulding #np #elliegoulding'
479283069245853697,2014-06-18 15:22:43,b'Point taken http://t.co/caYdeeW5V7'
479114351165456384,2014-06-18 04:12:17,b'My favorite snacks straight from the UK! Thanks B! #renitedagain #orangekitkat #walkerscrisps\xe2\x80\xa6 http://t.co/j7iWfU31Wg'
479093375103029249,2014-06-18 02:48:56,"b'@MonicaLimCarino @glowinstarlight haha havent seen their lipsticks, would love to check out their nail polish! Lets go! Gotta see aella too!'"
479092442935746560,2014-06-18 02:45:14,b'@MonicaLimCarino @glowinstarlight you should ask them to do a #10 on you then ;)'
479089725068677120,2014-06-18 02:34:26,b'21 Secrets About Sephora That Every Makeup Addict Should Know http://t.co/BfjoD01huL @glowinstarlight @MonicaLimCarino'
478601001193074688,2014-06-16 18:12:25,b'http://t.co/Q1vcdSAUhE'
476109760215785472,2014-06-09 21:13:07,"b'All men must die http://t.co/B0ynwyy6fR  yeah, i am slightly obsessed'"
476056621345284096,2014-06-09 17:41:57,b'No Words - The Script  #np'
474339715198357504,2014-06-04 23:59:35,b'At Pajos when christuan throws a fry for a crow and now there are 5 crows coming towards us waiting...  =__='
472604871581900800,2014-05-31 05:05:56,b'@JulzCab mmhmm! When its warmer! Can i stay at your place?'
472599996445908992,2014-05-31 04:46:34,b'@JulzCab .... okay then...! Lol'
472595492216389632,2014-05-31 04:28:40,b'@JulzCab how are YOU over there?   When are you coming back!'
472275977897525248,2014-05-30 07:19:02,"b'And when you asked if i was still upset and i replied ""why would i be?!"" It was meant with sarcasm.'"
472275308662378497,2014-05-30 07:16:22,"b""I know it's been a while but it's still in the back of my mind,  you've really let me down."""
471290057353990144,2014-05-27 14:01:20,b'Yawn! Its too early!'
469721584434184192,2014-05-23 06:08:47,"b""I'm not usually one to whine about pain... but..... i got a cut right under my nail bed and IT HURTS LIKE A MOTHER EFFER.  DAY 2."""
468878209904541696,2014-05-20 22:17:31,b'Am i crazy?'
467520433974046720,2014-05-17 04:22:12,b'@glowinstarlight i dont get it at all  .. .... :('
467487527863988224,2014-05-17 02:11:26,b'SO SLEEPY.  I WOULD LIKE TO GO HOME PLEASE'
467487445542395904,2014-05-17 02:11:07,b'@glowinstarlight uh oh....  what is it??'
465384991443001345,2014-05-11 06:56:43,b'@merrymine @ChipotleTweets I LOVE CHIPOTLE!!!! I was at red lobster earlier and i wanted to go there after but christian wouldnt let me :('
462056037739024384,2014-05-02 02:28:38,"b'Inconsiderate, you are! :@'"
456552113078685697,2014-04-16 21:58:00,b'And long island medium is on!'
456551562228158467,2014-04-16 21:55:49,"b""One more day of work and I'm OFF FOR 10 DAYS!!!!!!!! WHAT SHOULD I DO? WHERE SHOULD I GO?! Maybe a states trip!"""
455770297451282432,2014-04-14 18:11:21,b'Tonight! http://t.co/BlAcmil7Cs'
455180716603494400,2014-04-13 03:08:34,"b'These little kids in the neighborhood were selling flowers, they were so cute we couldnt resist! http://t.co/gHdxtun4hA'"
455153364578213888,2014-04-13 01:19:53,"b""No more wires or cords just to listen to music in the car with my phone! couldn't have imagined this 10 years ago!  #technology"""
454692540235538432,2014-04-11 18:48:44,b'Made to Love - John Legend #np'
454279813541289984,2014-04-10 15:28:42,b'RT @__GrumpyCat: My favorite hobby is sleeping and being alone'
454269975503466497,2014-04-10 14:49:36,"b""Can't remember to forget you - Sharkira ft. Rihanna #np"""
454034712323821568,2014-04-09 23:14:45,"b'Hmmm, made some guacamole yesterday and now its turned a little brown...  I can still eat it right...? Cause i did... and i am...'"
453713548581941248,2014-04-09 01:58:34,b'What possesed me too eat so much before working out?? I dont feel so good....'
453287592088178688,2014-04-07 21:45:58,b'RT @ScanBC: UPDATE - VPD have arrested the male who went on a drug induced rampage inside the Tim Hortons. Pic @HughWoodland http://t.co/WT\xe2\x80\xa6'
453287558810587136,2014-04-07 21:45:50,b'RT @ScanBC: #Surrey Fire crews are responding to a house to assist the parents of two children who have gotten stuck in a high chair.'
453287489298395137,2014-04-07 21:45:33,b'http://t.co/rG5iy9vzpP'
453286296551579648,2014-04-07 21:40:49,"b""Diagnosed myself with SAD(seasonal affective disorder) cause I feel sleepy &amp; never want to go out during winter.. but I'm cured now! #spring"""
452590448901509120,2014-04-05 23:35:46,b'MANGO FLOAT!!!!!!!'
452220296519360512,2014-04-04 23:04:55,b'Oofff course my computer freezes during the busiest rushes of the day.'
452168166966165504,2014-04-04 19:37:46,b'Second day of my massive headache.. what to do'
451786671504113664,2014-04-03 18:21:50,"b""Thought it was Tuesday, then realized it's Wednesday.. and then my colleague corrects me....  IT'S THURSDAY!!!!?  #almosttheweekend!!!"""
451527145769017344,2014-04-03 01:10:35,b'IM SLEEPY! ZzzZzZzZzZZZZZzzzz'
451222263858098176,2014-04-02 04:59:05,"b'AND IT SMELLS LIKE SPRING AIR AND I LOVE IT, COME FASTER SUMMER!!!!!!'"
451222105200152576,2014-04-02 04:58:27,"b""First time I've EVER stepped out in public with my jammies on.   #feelingbummy #ilikethewordjammies"""
451018591304179712,2014-04-01 15:29:46,"b""IT'S CRUNCH TIME &amp; I'm nervous #crunchtime #pressure http://t.co/Q9eU9hvyTW"""
450760957103312896,2014-03-31 22:26:01,"b""One second I'm warm in a spring dress, next second i need my winter jacket back. #vancouver #vancouverweather #spring"""
450754524005687296,2014-03-31 22:00:27,b'#dreams http://t.co/BGfXNDnYIU'
450754338575499264,2014-03-31 21:59:43,"b""It's never too late  #truth #buildingdreams http://t.co/1oEhwVeyPl"""
449737793225240577,2014-03-29 02:40:20,b'@merrymine only $700 with your generous donation :) look at them cute little things! http://t.co/DeQmzKdBGt'
449737335974797312,2014-03-29 02:38:31,"b""And no, the nice lady on the street corner doesn't have a phone you can borrow to call your mommy to come pick you up."""
449736943845138433,2014-03-29 02:36:57,"b'Okay, you probably just turned ten, please stop acting like a gangster before I kidnap you and drop you off in the ghetto.'"
449734460238352384,2014-03-29 02:27:05,"b'Things on my mind: kittens, puppies, road trips, vegas, kittens, cute summer dresses, karaoke, kittens... and did i mention kittens??'"
448857887545122818,2014-03-26 16:23:54,"b""You're Never Too Old To Start A New Venture, Look At These Famous Entrepreneurs: http://t.co/3YQH71Vsh6"""
447671122557808641,2014-03-23 09:48:07,"b'Feels like 5, only 2. I am drained!!!!'"
