id,created_at,text
1056916517118492673,2018-10-29 14:31:48,"b'Woke up. Looked through my work clothes. Decided on denim on denim. Started hoping for @alyankovic to parody @Eminem\'s""Venom"" with ""Denim""'"
1010310868985360384,2018-06-22 23:57:36,b'Snail researcher.\n@sosofrancis_ https://t.co/VsKKP1oln5'
1002382550600376322,2018-06-01 02:53:18,b'Sometimes you just gotta. https://t.co/Mq1ZgQfaZG'
944425972144726016,2017-12-23 04:34:33,b'21st Birthday https://t.co/C7ZUY1s4OH'
928062536473341952,2017-11-08 00:52:05,b'https://t.co/KxKvy4Kjwb'
925538552758308869,2017-11-01 01:42:41,"b'LT: Or at least I like to think that happens next, @JerryFalwellJr &amp; @theboyonthebike. But I never want to know about it. Thanks, fellas!'"
925538242136600576,2017-11-01 01:41:27,"b""Or maybe @theboyonthebike invited @JerryFalwellJr to a meal. I don't really remember. Either way, truth, love, and understanding was sought."""
925537588445933568,2017-11-01 01:38:51,b'Had a post-work nap dream. @JerryFalwellJr invited @theboyonthebike over for dinner. No one was notified on social media. It was lovely.'
923892590587494401,2017-10-27 12:42:13,"b'Yeah, boys. https://t.co/yF2Wd7Gy73'"
915343665656197121,2017-10-03 22:31:50,"b""Not sure why i ran into my room after work to put together a loosely solid 10-minute standup routine. But I'm known for being prepared."""
912505746977419264,2017-09-26 02:34:58,b'Japan Strat &gt; TU-3 &gt; RC Booster v2 &gt; Morning Glory v3 &gt; Albino (OCD) &gt; Vol &gt; CH-1 &gt; DD-7 &gt; Caverns v2 &gt; HOF v1 &gt; Blues Jr (w/mod). #TheLife'
911416669410594819,2017-09-23 02:27:21,"b'I mean, yeah.. As I was re-watching his Nardwuar interview, I hoped that @questlove would be in Cville on saturday night for @MUTEMATH.'"
909770711857844224,2017-09-18 13:26:55,b'Emmy Awards for favorite shows of the past year. Master of None and Atlanta. Woo! Woo!'
908687267459485696,2017-09-15 13:41:41,b'I have been creating one @MUTEMATH fan a week for the past two months.'
908338249587986432,2017-09-14 14:34:49,"b""My car has a tape player. @MUTEMATH's #PlayDead will permanently be stuck playing in there. Sorry @NPR radio stations... you got bumped."""
908336831103725568,2017-09-14 14:29:11,"b""Man.  @MUTEMATH's #PlayDead has some of the best DKtheDrummer moments. Excited to hear the good Mr. Hutch spin them jams with the fellas."""
906253612325756936,2017-09-08 20:31:13,b'I was made for the loose fitting dress clothes of the 90s.'
906135273670619136,2017-09-08 12:40:59,b'RT @MUTEMATH: #PlayDead is out now! Stream + Download: https://t.co/3wX2Ydb84M'
905885964106690569,2017-09-07 20:10:19,b'Fordl\xc3\xa2ndia by J\xc3\xb3hann J\xc3\xb3hannsson https://t.co/XGQyvzTddz #NowPlaying'
905231050326106112,2017-09-06 00:47:55,b'Either I spilled a quart of soap all over while refilling the thing OR... I cleaned the sink &amp; floor with a deep sense of waste and whimsy.'
904865020332445696,2017-09-05 00:33:27,"b'That one time, where I kept adding a resistor to a circuit that already had that resistor, but it was hidden in all the other wires... Dumb.'"
903447407182139395,2017-09-01 02:40:21,b'Works in progress!\nThe Real McCoy v.1 &amp;\nThe Sidekick v.1\n#Arduino #Teensy #Controller #Ableton\xe2\x80\xa6 https://t.co/KP9JEh5jrp'
900792991589314561,2017-08-24 18:52:39,"b""I'm either picking up scotch or gobstoppers on the way home. Because I just got a new seat for my desk at home. And them is my writing fuel."""
900077354088894466,2017-08-22 19:28:58,"b'Honestly... later in the workday afternoons, I ask myself:\n\n""On my team... am I the bad boy of quality assurance?""'"
899621661078679552,2017-08-21 13:18:12,b'This is a before and after of everyone in the office today. https://t.co/utrhSG94Jw'
898606072428199936,2017-08-18 18:02:37,"b'If you know what punchline he is delivering, you will know this is how we should say bye to Steve. https://t.co/QfoO9LNhYG'"
897799147125960704,2017-08-16 12:36:11,"b'Do you ever wake up in the morning upset and confused because you\'ve never seen a production of Tom Stoppard\'s ""Arcadia""?'"
897477977579147264,2017-08-15 15:19:58,"b""@dan0verboard I mean, he's the bassist. We're gonna have to shave his head and allow him to grow his creepy lil mus\xe2\x80\xa6 https://t.co/TkBNpl0sDG"""
897446418457255936,2017-08-15 13:14:34,b'@dan0verboard Maybe I will discover a third indie movie happening and I can combine them all to make a proper triptych-structured film.'
897445771431333888,2017-08-15 13:12:00,"b'@dan0verboard Oh man, I forgot I was already in pre-production on another one.\n\nThis is my destiny.'"
897440024823726081,2017-08-15 12:49:10,"b'Sometimes, the Coke machine gives you a Coke with the name of someone that you once loved... and an indie movie begins as you walk away.'"
896412576728457216,2017-08-12 16:46:27,"b""Anyone in Columbus want to go to my old house, convince the people there to let you have a package, and then mail it to me? I'd love you."""
892828024529465345,2017-08-02 19:22:43,"b'You would all be shocked to know how much I listen to Sondheim\'s ""A Little Night Music.""'"
889511260852817920,2017-07-24 15:43:05,"b""Sometimes, I accidentally spell my name as \nFuntes.\nI always giggle, but I don't always correct it."""
888575847879372801,2017-07-22 01:46:05,"b""Dunkirk.\n\nI'm wrecked."""
887758870004850689,2017-07-19 19:39:43,b'RT @MUTEMATH: #PLAYDEAD // PREVIEW 001\nhttps://t.co/DeUHvxXWwt'
885505049186750464,2017-07-13 14:23:50,"b""Other than brief pauses to listen to @MUTEMATH's new jam... it's J Dilla all morning... Tame Impala or Flying Lotus in the afternoon. #Vibes"""
884113728068878336,2017-07-09 18:15:13,"b""Subtly and without ceremony, I directed @brianfriberg to save his mix. It's the highest audio engineering compliment I am able to give"""
883853364055998465,2017-07-09 01:00:37,"b""George Clinton and Parliament Funkadelic are about to go on stage. In case you don't know, they will show you where the one is. Suckers."""
883336475332497409,2017-07-07 14:46:41,"b'Man. Prince\'s halftime show.\n\nWhen he says ""Can I play this guitar?"" and smashes.\n\nChills. Every time I watch it.'"
883314401331343360,2017-07-07 13:18:59,b'@tjsc0tt https://t.co/tI4Zkg5P7f'
882047276910346240,2017-07-04 01:23:53,b'Parents came down to visit.\nMom made food.\nDad gave me The War Machine to piece back\xe2\x80\xa6 https://t.co/ft9XdsEoBd'
879389930941763585,2017-06-26 17:24:32,"b'""What Kind Of Day Has It Been?""'"
877534240895840258,2017-06-21 14:30:41,"b'Happy to be the 153rd pirate on @BackerKit for Baron Fig: Minimal Backpack, ... | Thx @baronfig! https://t.co/C3J24f0hi8'"
873408552966258688,2017-06-10 05:16:40,b'The circuit begins to take shape.\n(I put the light on there because I experienced a small\xe2\x80\xa6 https://t.co/I4DP0KRXG6'
872144381159014400,2017-06-06 17:33:18,"b""RT @MUTEMATH: Hit Parade -The new single off MUTEMATH's forthcoming album Play Dead- is out now on @Spotify: https://t.co/SQQ8PKMGBF\n#HitPa\xe2\x80\xa6"""
872065068816576513,2017-06-06 12:18:09,b'https://t.co/DMJrD9TD2W\n\nyass'
869936993278545921,2017-05-31 15:21:56,b'The internet will likely see to it that one child born today is named #Covfefe'
867582387118649347,2017-05-25 03:25:34,b'Brb. Talking to some heptapods.\n\nI feel like a kid again.\n#moog #firstanalogsynth\xe2\x80\xa6 https://t.co/6kIaVfh8CZ'
862762656457007105,2017-05-11 20:13:41,"b'If you burn popcorn, you are dead to me. We will never be friends or lovers. We shall be enemies forever.'"
861983764154638336,2017-05-09 16:38:38,b'Thought these people were talking about shots and getting sick from shots...They were talking about baby photoshoots and babies getting sick'
860547074114420736,2017-05-05 17:29:45,"b""Guys. Don't watch the Bill Nye thing if you are feeling that urge for nostalgia.\n\nIt was depressingly bad. My nostalgia died within minutes."""
859834834226749449,2017-05-03 18:19:34,"b'I really want to win during Mic Month with @sweetwatersound. https://t.co/qG8zbMJzaU. If it was a competition, I would do karate for it.'"
859720074139246592,2017-05-03 10:43:33,b'Woke up in a panicked nightmare about this image. I think this circuit wanted me dead or something? https://t.co/ioWsXjVRKP'
859553722048929795,2017-05-02 23:42:31,"b'I have been cathartically yell singing songs of mine tonight.\n\nI feel calmer now, thank you apartment complex for not calling the police.'"
859422624560054272,2017-05-02 15:01:35,b'Mmhmm. https://t.co/hhqNaiBJ0q'
851507387634679810,2017-04-10 18:49:16,"b""More burnt microwave popcorn? \nI'm snapping, people.\n\nI'm gonna start leaving vicious sticky-notes\nand they are gonna be agressively visible"""
850860813795680260,2017-04-09 00:00:00,"b""When you can't remember how your music goes. And you sit very awkwardly and quietly before you have to play."""
850351958842126338,2017-04-07 14:18:00,b'Now accepting donations toward my Ableton Live 9 Standard fund.'
849330107852492801,2017-04-04 18:37:32,"b""RT @scotmcknight: Huge Fortress sale, including NT Wright's Paul volumes for less than 5 dollars: https://t.co/0bJoDmJyTy https://t.co/pSEk\xe2\x80\xa6"""
847515763045011457,2017-03-30 18:27:58,"b'He burned popcorn two days in a row. Fired. Ended. Ghost must walk the earth, but only in one gated suburb development.'"
847078465941749760,2017-03-29 13:30:18,b'There is no excuse. Anyone who burns popcorn at the office should be fired. And probably ended.'
845080582338039812,2017-03-24 01:11:26,"b'""I don\'t feel like I need to lose weight. I just feel like I need to repurpose my weight... like maybe some should migrate to my arms.""\n-N.'"
844737409912881152,2017-03-23 02:27:47,"b""RT @jphever: when you're working, but thinking about how it's ok that Mia didn't end up with Seb because they both found their true passion\xe2\x80\xa6"""
844648423680884742,2017-03-22 20:34:11,b'#NowPlaying Good Man by Josh Ritter \xe2\x99\xab https://t.co/fO3RrgxvG2'
842803136595218432,2017-03-17 18:21:40,b'Pino Palladino is my spirit animal.'
841111758483968000,2017-03-13 02:20:44,"b""LT: The name of a tea I am sipping.\n\nGoogled it. I see it's a Williams play about a priest.\n\nCannot escape priest-related plays this month."""
841108684612743169,2017-03-13 02:08:32,b'Night of the Iguana.'
840437603828695041,2017-03-11 05:41:53,"b'In sleepy madness, I decided to write a short play before allowing sleep\n\nWhen the play is written, then you have my permission to die, Body'"
839522769910001664,2017-03-08 17:06:40,b'Motivational artwork at work. https://t.co/EGBWt3ahaN'
839127488232058881,2017-03-07 14:55:58,"b'Why do I remind myself of Ted Mosby? Because I unashamedly write lines like: \n\n""I drink Neruda,\nBut I only get drunk in English.""'"
838922935712772096,2017-03-07 01:23:08,"b'Before Words, Flowers https://t.co/sRRLbgBrsz'"
838915414369370113,2017-03-07 00:53:15,"b'I was dehydrated.\n\nIt\'s wild to think that he intended to write Speaker and thought, ""Hmm... Yeah. Gonna hit \'em wi\xe2\x80\xa6 https://t.co/mgFxH3vnzi'"
838830206618058752,2017-03-06 19:14:40,"b'Re-read ""Speaker for the Dead"" this weekend.\n\nOff and on, I had tears running down my eyes for hours.'"
836979322023968768,2017-03-01 16:39:55,"b'""Your heart is both drunk and a kid.""\n\n-Marshall,  HIMYM-s5e20'"
836931697178464257,2017-03-01 13:30:40,b'RT @iamfujimura: Everyone is an artist until 3rd grade. Then people start to convince us otherwise and we eventually believe them.'
835230679155806208,2017-02-24 20:51:26,"b'""\'Shredding\'"" means sitting in a room and yelling \'Mom, I\'m practicing!\' for hours and hours and hours.""\n-@JohnMayer at Oxford Union'"
831679291872120832,2017-02-15 01:39:29,b'Last week I was learning Ableton/Mainstage with my new midi controller. This is me excited. https://t.co/7Q2iOBImfz'
831601317571395584,2017-02-14 20:29:39,"b'""you, Ray Fuentes, are a lawbreaking pair of pants""'"
831521067273449476,2017-02-14 15:10:46,"b'That high to low octave moment in ""Words Fail"" happened to coincide with someone cutting onions nearby or something.'"
828590229665759232,2017-02-06 13:04:39,"b""*sees @mckenzieconnell's post 12hrs later. starts to weep with a hint of light PTSD echoing through his memory.*"""
828071728630870016,2017-02-05 02:44:19,b'I experienced deep and hilarious baking failure tonight.'
828054437654589441,2017-02-05 01:35:37,"b""@mckenzieconnell I'm with you in Rockland."""
828039392988110850,2017-02-05 00:35:50,"b""@mckenzieconnell because i don't know the mixer's location... and needed some cardio."""
828038560460726277,2017-02-05 00:32:31,"b""@mckenzieconnell i'm hardcore."""
828037427994431488,2017-02-05 00:28:01,b'this whisk and i have been through a lot tonight'
828034336356237313,2017-02-05 00:15:44,b'@mckenzieconnell @Sarah_M_Francis i was overconfident in my Proust reference... but I totally got the wrong name of delicate French thing.'
828012015000096768,2017-02-04 22:47:02,"b'#NowPlaying If I Could Tell Her by Ben Platt, Laura Dreyfuss\n\nMan. \xe2\x99\xab https://t.co/tEU3yCEcDl'"
828005265345703936,2017-02-04 22:20:13,"b'so, @mckenzieconnell I lost an impulsive bet to @Sarah_M_Francis. I am supposed to make these as well. You will be successful. I may perish.'"
826830861232386048,2017-02-01 16:33:33,b'I just entered to win the Westone of my dreams at @sweetwatersound! Check it out: https://t.co/cqaLNn67J7 #WinYourWestones'
823319470529740800,2017-01-23 00:00:32,b'My nephew bought me a Steelers book sock for Christmas. I am currently wearing it on my head.'
821186211503079425,2017-01-17 02:43:44,b'Tried a new idea tonight.\nThis idea is great... but my old ideas are better. https://t.co/i89jJiI3C7'
819268361578106884,2017-01-11 19:42:53,b'#NowPlaying Watermelon Man by Herbie Hancock \xe2\x99\xab https://t.co/S32Qoppwnp'
819070860954923008,2017-01-11 06:38:05,b'La La Land. The late showing. Alone other than two girls a few rows back.\n\nTo the two girls: Sorry I was having trouble talking afterward.'
818537559236157440,2017-01-09 19:18:56,"b'""I wanna go back to being weird. I like being weird. Weird\'s all I got... that and my sweet style.""\n-Moss'"
816301113637044224,2017-01-03 15:12:06,"b""Not my picture, but I'm thinking about this today. It's the first electronic instrument I can remember. #Sampling https://t.co/v3dKap80kC"""
814614960705798145,2016-12-29 23:31:56,b'LT: *eats soup. contemplates sexism &amp; shallow relationships. talks to &amp; pets the dog sitting on the floor next to me looking at my soup*'
814610588659752960,2016-12-29 23:14:33,"b'LT: *realized the futility, flippantly changes verb tenses, and will heat up soup as he composes a tweet to burn time while he waited.*'"
814609615812001792,2016-12-29 23:10:41,"b'*calculates time it takes meet/attract, become friends with, charm, and romance a girl.. because I have a headache and want a head rub.*'"
811199900729933824,2016-12-20 13:21:42,b'This is the music in my heart and dreams. Because @MUTEMATH. https://t.co/e4rAFJUFBL'
810951771854094340,2016-12-19 20:55:43,"b'""It\'s Fozzie Bear, not Fuzzy Bear.""'"
809852156404760577,2016-12-16 20:06:15,"b""LT: Halfway through, and I will say that this is one of the best things I've heard this year."""
809851246081441792,2016-12-16 20:02:38,"b'Until today, I had no idea Childish Gambino\'s, ""Awaken, My Love!"" album came out on the 2nd.\nAt 2:02 in track 1, I was messed up forever.'"
809145406282199040,2016-12-14 21:17:52,"b'If it weren\'t for King Charles and the album ""LoveBlood"" I would probably have passed out/away this afternoon.'"
809050865021620224,2016-12-14 15:02:12,"b'Y\'all buncha sillies remember that time when you were like:\n\n""He\'ll appoint great advisors.""\n\nAnd I said: ""Yeah, maybe a few.""'"
808315837903994880,2016-12-12 14:21:28,"b'Last night, in a frenetic burst of whimsy, I created a ridiculous Christmas playlist.'"
807451439865929729,2016-12-10 05:06:39,"b'After Sunday, my thumb and wrist are retired.'"
807328565519851520,2016-12-09 20:58:24,b'My mouth tastes like flowers.'
805888423450050563,2016-12-05 21:35:47,b'RT @Lin_Manuel: Wowza. @kelly_clarkson you sing straight from your incredible heart. Thank you so much for this performance. \xf0\x9f\x98\xad\xe2\x9d\xa4\xef\xb8\x8f https://t.\xe2\x80\xa6'
805593338414067712,2016-12-05 02:03:13,b'This orb though. https://t.co/dI9qMNPP3G'
804435654146826240,2016-12-01 21:23:00,"b'I\'ve accidentally been listening to ""Sunday Candy"" on repeat for the past three hours.'"
803759655373668352,2016-11-30 00:36:49,"b""RT @PatrickRothfuss: @Lin_Manuel Oh good. \n\nJust so you know, I'm really looking forward to our upcoming adventures together... https://t.c\xe2\x80\xa6"""
803303205186715648,2016-11-28 18:23:03,b'Going green.\n#PartThree https://t.co/jB0N4ti7QS'
801670023899123712,2016-11-24 06:13:22,"b'LT: Mainly because it deals with time, memory, choice, determinism, and language... without forcing questions on the audience. Loved it.'"
801669652892045312,2016-11-24 06:11:54,"b'Other than the clunky need to slightly over-explain, I think ""Arrival"" is my favorite movie of the past few years.'"
801132206504767488,2016-11-22 18:36:17,"b'I\'ve seen a lot of you playing acoustic guitar real hard.\n\nHeard this great quote today: ""Don\'t play hard, it always sounds bad.""'"
800075556960215040,2016-11-19 20:37:32,b'Mmm. @Fender. #FenderModShopGiveAway https://t.co/VM1LCy36dE https://t.co/SlEecR3yJ2'
799224950787817473,2016-11-17 12:17:31,b'Going green.\n#PartTwo https://t.co/TA7XdCteyU'
797915276104888321,2016-11-13 21:33:21,b'Going green.\n#PartOne https://t.co/BTcptUVAxO'
797174582658695168,2016-11-11 20:30:05,"b'If you have a house where I can freely write, sing, &amp; play electric guitar (medium-loud volume) through an amp, let me know. #ApartmentLife'"
796914996504621056,2016-11-11 03:18:35,"b'""Oh like a bird on the wire, \nlike a drunk in a midnight choir \nI have tried in my way to be free.""\n\nThank you for writing, Leonard Cohen.'"
796760355091451908,2016-11-10 17:04:06,b'Seventh time starting The West Wing.'
796221404098207744,2016-11-09 05:22:30,b'I wish artists on social media were more like guitar pedal makers and enthusiasts: Experts that rave about what they know and love.'
796199720288980993,2016-11-09 03:56:20,"b""Also, I follow mostly left leaning artists/people on social media, it's interesting to see their denial and disconnect in regard to society."""
796197045111504900,2016-11-09 03:45:42,"b""As a mystic, I should have adjusted my predictions for chaos and randomness. I'm actually sincerely enjoying this."""
796180557453492226,2016-11-09 02:40:11,b'John King is just back there programming the future of the nation.'
796178613930459136,2016-11-09 02:32:28,b'New Wes Anderson flick?\n\nJohnny King. A boy obsessed with touching maps.\n\n@birbigs as young John. Schwartzman as a young wolf.'
796176171922845697,2016-11-09 02:22:46,"b'Wolf:""Can you show us some video games on this screen?""\n\nJohn:""Why are you here, man? I literally know the location of all babbling brooks.""'"
796174850360492036,2016-11-09 02:17:31,b'RT @birbigs: John King knows where your house is.'
