id,created_at,text
1066741337930850304,2018-11-25 17:12:08,b'RT @jacopopiotto: I am more troubled by this than the Ramos case to be honest. https://t.co/XcbKThLOJ3'
1066714594905923584,2018-11-25 15:25:52,b'RT @AidanWalshMUFC: I love how the Juventus fans cheer \xe2\x80\x9cSIII\xe2\x80\x9d when Ronaldo celebrates unlike how the Real Madrid fans used to boo him. \n\n h\xe2\x80\xa6'
1065984306189910016,2018-11-23 15:03:58,b'@ayyy_west your life is about to change ... one of the best purchases i have EVER made'
1065982015131054082,2018-11-23 14:54:52,b'@JuveNico87 forgot to put some \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 after that tweet'
1065981777792114688,2018-11-23 14:53:55,b'@JuveNico87 I think Jay is a male name ... but hey should I assume that Nico is? After all your bio doesn\xe2\x80\x99t have pronouns in it ...'
1065980544901623808,2018-11-23 14:49:01,b'@JuveNico87 @LuigiM94 why can\xe2\x80\x99t they sell things like this? https://t.co/1F9BXZ52fZ'
1065980401204830214,2018-11-23 14:48:27,b'@LuigiM94 @JuveNico87 buying Cristiano is not whoring out the club.'
1065978821667680258,2018-11-23 14:42:10,b'@JuveNico87 @LuigiM94 yup MTE'
1065978755129200642,2018-11-23 14:41:54,b'@JuveNico87 @LuigiM94 i don\xe2\x80\x99t mind having a mascot at games but that\xe2\x80\x99s where it should end.'
1065978551806115841,2018-11-23 14:41:06,"b'@LuigiM94 @JuveNico87 trust, nobody is buying that tacky crap to wear ... they want to make $,\nthey should design a\xe2\x80\xa6 https://t.co/LewSGhqMrZ'"
1065978006873743360,2018-11-23 14:38:56,b'@JuveNico87 @LuigiM94 i agree with you on this ... dignity over cash'
1065836115654000641,2018-11-23 05:15:06,"b'@JuveNico87 seriously it\xe2\x80\x99s pathetic ... i stick to the jerseys, plain zip ups &amp; warm up suits ... what happened to\xe2\x80\xa6 https://t.co/rFFj0Bw6yw'"
1065835182610100224,2018-11-23 05:11:24,b'@JuveNico87 exactly what i am trying to figure out ... i saw that and was like F this ... y\xe2\x80\x99all are not getting my\xe2\x80\xa6 https://t.co/6hDzqrUXEH'
1065834116963274752,2018-11-23 05:07:10,b'Who designed this #Juve Spongebob sweatshirt thinking women would want to wear this? And what does one have to do w\xe2\x80\xa6 https://t.co/ipRGeS5hdo'
1065243022441488389,2018-11-21 13:58:22,"b'RT @MuslimIQ: Me: Since we\xe2\x80\x99re having Spanish speaking Muslims over for Thanksgiving dinner, we should cook their favorite meal.\n\nWife: Real\xe2\x80\xa6'"
1065239306464370688,2018-11-21 13:43:36,b'@JuveNico87 @LuigiM94 @arkulari Thanks so much Nico! I\xe2\x80\x99m taking it day by day ... it\xe2\x80\x99s a slow recovery \xf0\x9f\x99\x81'
1064738630017695744,2018-11-20 04:34:05,b'RT @JillFilipovic: So pro-life they\xe2\x80\x99ll kill ya. https://t.co/AgT4DpltDL'
1064737631098015744,2018-11-20 04:30:07,b'@arkulari @LuigiM94 huh? we\xe2\x80\x99re home watching Narcos.'
1064295277836869632,2018-11-18 23:12:22,b'@LuigiM94 \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f just wow https://t.co/GKoYNOWvgK'
1064294396366082048,2018-11-18 23:08:52,"b'RT @DavidBegnaud: Don\xe2\x80\x99t forget the #campfire is still burning in Northern California, in Butte County\n\nThe fire has killed 76 people \n\n1,27\xe2\x80\xa6'"
1063816146544148480,2018-11-17 15:28:28,b'@ShannaNews \xf0\x9f\x92\x97'
