id,created_at,text
1067527901183188993,2018-11-27 21:17:40,b'RT @kathygriffin: Tomi is celebrating attacks by our government on refugees. \n\nThis is why Hillary called them Deplorable. https://t.co/u2i\xe2\x80\xa6'
1067526155056701441,2018-11-27 21:10:43,b'RT @aparnapkin: This is grace. https://t.co/F70ATKjdtA'
1067516864249675787,2018-11-27 20:33:48,"b'RT @Ocasio2018: .@LindseyGrahamSC, the point of such a treasured museum is to bring its lessons to present day.\n\nThis administration has ja\xe2\x80\xa6'"
1067151454702587904,2018-11-26 20:21:48,"b""RT @AnandWrites: BREAKING: Humans stick #MarsLanding days after report confirms they've ruined Earth."""
1067150495695945731,2018-11-26 20:17:59,b'RT @rmayemsinger: We allow students to give the Nazi salute yet punish football players who take a knee. We kidnap and cage children. We co\xe2\x80\xa6'
1067150303533957120,2018-11-26 20:17:13,b'RT @ComedyCake: Quick Dish NY: An Evening with @charlalauriston 12.15 @littlefieldnyc ft @jaboukie @joyellenicole @tanaeljoachim @Overfab h\xe2\x80\xa6'
1067149917569847311,2018-11-26 20:15:41,"b""RT @jbendery: Today, the Senate will vote on whether to advance one of Trump's most controversial court picks, Thomas Farr.\n\nFarr helped dr\xe2\x80\xa6"""
1067149638074023936,2018-11-26 20:14:35,"b'RT @TheDweck: I mean, it could have been worse. Those teargassed children could have seen two girls kissing at a parade'"
1067148994135113733,2018-11-26 20:12:01,"b'RT @missanabeem: It is very important that, when we report on the ""caravan,"" we (the news media) use the right words: They are not ""migrant\xe2\x80\xa6'"
1067148213407354883,2018-11-26 20:08:55,b'RT @GeorgeTakei: Make no mistake: Trump is testing whether he can get away with things like firing tear gas at young children. He is hoping\xe2\x80\xa6'
1067143534627692544,2018-11-26 19:50:19,b'People continue to falsely believe every rich person earned their sucess! #Trump was just born with a 400 mil lotto\xe2\x80\xa6 https://t.co/Fd4r9C4wVJ'
1067139906466656258,2018-11-26 19:35:54,"b""I'm hyped about it! Way to go lady! https://t.co/zseO3Iu9If"""
1067139274607333378,2018-11-26 19:33:24,"b'RT @eugenegu: We have an outbreak of E. Coli O157:H7 which makes you vomit blood, have bloody diarrhea, and even pee blood as you lose your\xe2\x80\xa6'"
1067139143736717312,2018-11-26 19:32:53,"b""RT @espyforsenate: The first time Mississippi gave me a chance, I brought people together. \n\nNow, I'm asking for your vote on Tuesday so we\xe2\x80\xa6"""
1067139065760440320,2018-11-26 19:32:34,"b'RT @TeamLPAC: A government that endorses teargassing vulnerable children is not a government that represents our values. Another day, anoth\xe2\x80\xa6'"
1066778942370185216,2018-11-25 19:41:34,"b'RT @ananavarro: The \xe2\x80\x9cblack man\xe2\x80\x9d has a name. \nEmantic Fitzgerald Bradford, Jr. https://t.co/Za0NEpc2SH'"
1066777988002394112,2018-11-25 19:37:46,"b'RT @Kanew: This dude @JuddLegum is out here holding people accountable. Respect. \n\n@MLB, we still see you. https://t.co/3e0NdkFUdo'"
1066777550930829317,2018-11-25 19:36:02,b'RT @RonFunches: You ever wonder if the transphobic and homophobic jokes you\xe2\x80\x99re making about Dwight Howard right now are the exact reason he\xe2\x80\xa6'
1066776724732608512,2018-11-25 19:32:45,b'RT @_ParkerH: Y\xe2\x80\x99all ever notice when you lose the remote you lose trust in everyone? \n\n\xe2\x80\x9cAre you sitting on the remote?\xe2\x80\x9d \n\n- \xe2\x80\x9cNo\xe2\x80\x9d\n\n\xe2\x80\x9cStand up\xe2\x80\x9d'
1066482696975728640,2018-11-25 00:04:23,"b'RT @jonfavs: #TheClintonAffair is enraging, depressing, and worth watching, especially for those of us too young to remember the details. @\xe2\x80\xa6'"
