id,created_at,text
1066862964970582018,2018-11-26 01:15:26,b'I missed these tweets https://t.co/8h6x4zI3yo'
1066334384188547072,2018-11-24 14:15:03,b'@boggie_smallz  hope ya signed https://t.co/EgrJYfdftd'
1066188038504620032,2018-11-24 04:33:31,b'The worst thing sixers fan could ever hear https://t.co/8XP8QVsdxe'
1066187477688438785,2018-11-24 04:31:18,b'GET THE FUCK OUT dead ass https://t.co/tQSACGm0Vz'
1066187423363813376,2018-11-24 04:31:05,b'Chick needs to ABSOLUTELY BEAT IT. No from for her in Philly https://t.co/pKMsQWHbzE'
1066143980793012224,2018-11-24 01:38:27,"b'Kendall Jenner needs to beat, beat, beat it out of my fucking city. https://t.co/tQSACGm0Vz'"
1066106253951344640,2018-11-23 23:08:32,b'RT @shamus_clancy: I would trade Markelle Fultz for the right to be immediately seated at Green Eggs Cafe during Saturday brunch'
1066025421500747777,2018-11-23 17:47:20,b'DUDE SAME. https://t.co/nBhaenNjlH'
1065709781317550080,2018-11-22 20:53:06,"b'Nah, u good? https://t.co/CLoyvYxdPz'"
1065697695598288898,2018-11-22 20:05:04,b'RT @Mattleader1: @KFCBarstool https://t.co/aDLPvYZwMQ'
1065697674769428480,2018-11-22 20:05:00,b'I\xe2\x80\x99m screaming https://t.co/BTgFFbKbDA'
1065697254126874624,2018-11-22 20:03:19,b'@KFCBarstool THATS MY FUCKING CHICK.'
1065330180917534720,2018-11-21 19:44:42,b'RT @ArianaGrande: thank u fuckin next'
1064715928762486784,2018-11-20 03:03:53,b'Nah. https://t.co/n5aCvxO88U'
1064309175122046976,2018-11-19 00:07:35,b'At this point just put Foles in to avoid any injury to Carson.'
1064308950789746688,2018-11-19 00:06:42,b'#neverforget https://t.co/Z2WBEkOyh2'
1064306868221370374,2018-11-18 23:58:25,b'This is 100% the Nightmare part of Dreams &amp; Nightmares.'
1064305084199288835,2018-11-18 23:51:20,b'Figured it was a good time for a reminder that this happened last night https://t.co/TduQedrG85'
1064301604311060480,2018-11-18 23:37:30,b'I don\xe2\x80\x99t understand.'
1064301204593889285,2018-11-18 23:35:55,"b'RT @KyleBrandt: 5:07am \nEagles Super Bowl parade day. \n\nThis was 9 months ago. Feels like 5 years. \n\nRemember the good times, Birds fans. h\xe2\x80\xa6'"
1064277848289099776,2018-11-18 22:03:07,b'@cj_wentz  bruh \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1064184256946163713,2018-11-18 15:51:13,b'RT @chrissyteigen: I am EX TREME LY protective of meghan markle despite not knowing her. I will not apologize'
1062698753260486656,2018-11-14 13:28:21,b'RT @PPD24Dist: Please come out and support Police Officer Sulock from the 24th District who was shot and wounded while heroically performin\xe2\x80\xa6'
1062365856368226304,2018-11-13 15:25:32,b'107.9 should not be a radio station.'
1061350598405185536,2018-11-10 20:11:16,"b""RT @BleacherReport: Two of the NBA's biggest trolls are now on the same team \xf0\x9f\x98\x85 https://t.co/pWwU8tSMSp"""
1061331348437123072,2018-11-10 18:54:46,b'@garrett_gal @jax_ungz @UMassBeacons Unreal gif'
1061283097197662209,2018-11-10 15:43:02,b'@jax_ungz @UMassBeacons @garrett_gal That\xe2\x80\x99s our special guy!!!!!'
1060810349451137024,2018-11-09 08:24:30,b'RT @PHLEaglesNation: One taught me love.\nOne taught me patience.\nOne taught me pain. https://t.co/IyM1Q5NBQK'
1060807924690366464,2018-11-09 08:14:52,b'RT @NHLFlyers: Believe it...@GrittyNHL fever is real. #LetsGoFlyers https://t.co/AJWa0tOSFc'
1060807549409288192,2018-11-09 08:13:23,"b'Whatever he said worked and I am forever grateful, but it\xe2\x80\x99s still not a Lavy speech #JAM https://t.co/laIX94Vrhu'"
1060451142650470400,2018-11-08 08:37:09,b'\xf0\x9f\x91\x80\xf0\x9f\x91\x80 https://t.co/PIrAlPipFP'
1060385546181242880,2018-11-08 04:16:29,"b'RT @PhillyPolice: Thank you to everyone for their well-wishes and kind words about P/O Paul Sulock, who was shot earlier today. Officer Sul\xe2\x80\xa6'"
1060255803641335809,2018-11-07 19:40:56,"b""RT @PPDSteveClark: Great job by @PPD24Dist officers Sulock and O'Hanlon for quickly coming to the assistance of one of our citizens who was\xe2\x80\xa6"""
1059796061378830337,2018-11-06 13:14:05,b'Uhhhh were you even born then?? https://t.co/iAE2ttVvjX'
1059678811900526593,2018-11-06 05:28:11,b'This is fucking W E A K https://t.co/xc7PO2iZ2H'
1059666279538311169,2018-11-06 04:38:23,b'RT @SportsArePhilly: Bryce Harper followed Joel Embiid on Instagram this morning https://t.co/EqHjfmc8lg'
1059659250228756480,2018-11-06 04:10:27,"b'RT @NBCSPhilly: Eagles bye week mood.\n\nTrade for Golden Tate \xe2\x9c\x85\nCowboys Lose \xe2\x9c\x85\nRedskins Lose \xe2\x9c\x85\n\nSee you on @SNFonNBC in our house, Dallas. h\xe2\x80\xa6'"
