id,created_at,text
1063079775969951744,2018-11-15 14:42:24,"b'@serenebabe I recently used the expression ""...the pot calling the kettle black"" in a conversation w/ a Haitian cow\xe2\x80\xa6 https://t.co/6lWjePFFaV'"
1060686099062894594,2018-11-09 00:10:47,b'RT @selectedwisdom: Absurd Acosta story shows how disinformation bubbles from bots to the White House - Chicago Tribune https://t.co/nkzGP7\xe2\x80\xa6'
1058330489323433984,2018-11-02 12:10:26,b'RT @SarahKSilverman: THIS IS UNACCEPTABLE BULLSHIT https://t.co/Ln6mewbNU6'
1056705971282739201,2018-10-29 00:35:10,b'@lenadunham Love you too. Stay safe.'
1053814702621552640,2018-10-21 01:06:18,b'@lenadunham Mr. Rogers.'
1051893339505733632,2018-10-15 17:51:30,"b'RT @elizabethforma: Having some memory problems, @realDonaldTrump? Should we call for a doctor?\n\nHere\xe2\x80\x99s something you won\xe2\x80\x99t \xe2\x80\x9cforget,\xe2\x80\x9d Mr. P\xe2\x80\xa6'"
1048244393935867904,2018-10-05 16:11:53,b'RT @robdelaney: Can we get this thread in front of some @lisamurkowski &amp; @SenatorCollins staffers?\xe2\xac\x87\xef\xb8\x8f https://t.co/9kAyO4F514'
1048025460574224384,2018-10-05 01:41:55,"b'@maddow I had to Google ""comity"" tonight.  Never heard that word before. Thanks!'"
1047877665666076673,2018-10-04 15:54:38,"b""@ananavarro Thanks for that Ana. It was a brief but beautiful respite from the depressing reality of today's politi\xe2\x80\xa6 https://t.co/tKMDDznRVJ"""
1047175033653747714,2018-10-02 17:22:38,b'#MeeTu https://t.co/7RoZrbT9BI'
1047166296683634688,2018-10-02 16:47:55,"b""@MariyaAlexander I'm assuming your succulents are plants?"""
1047165667928133633,2018-10-02 16:45:25,"b""@Peauxtassium Hey thanks!  I kind of cringe when I see it though. I'm never sure how it will be received, especially in today's climate."""
1047163034253373440,2018-10-02 16:34:57,"b""These are such confusing times for men. I'm having mixed feelings about my own penis."""
1047144320820813824,2018-10-02 15:20:35,b'@perlmutations Careful with that C-word.'
1047114922247753728,2018-10-02 13:23:46,"b'@ananavarro See? He really is a ""stable"" genius.'"
1045762030232367104,2018-09-28 19:47:51,"b""Top Catholic Magazine Revokes Endorsement of Kavanaugh: Not in 'Best Interests of the Country' https://t.co/Bwm5J0B55g"""
1045750390032138245,2018-09-28 19:01:36,b'RT @JuddApatow: Retweet this. https://t.co/mnEvXLJQIE'
