id,created_at,text
1059830816157679616,2018-11-06 15:32:11,"b'@AlinaRopes @mister_bacon_ Thanks for sharing that :) Also, the course is under revision. All the gray items in thi\xe2\x80\xa6 https://t.co/XDUn9G1ohy'"
1058739232271990784,2018-11-03 15:14:38,"b'RT @RVARope: Ready for suspension or already practicing? Don\xe2\x80\x99t miss the Flight Check workshop 11/17-18 in Richmond, VA https://t.co/3b8EkzN\xe2\x80\xa6'"
1046715312350134273,2018-10-01 10:55:52,b'@AlinaRopes Thanks for this :)'
1046715263117381632,2018-10-01 10:55:40,b'@SatyrsNotHaters @AlinaRopes Thank you for the kind words of support :)'
1044736053809205249,2018-09-25 23:51:00,b'RT @RVARope: Rope Bite Skill Share this Thursday evening from 6:30 to 9. Hope to see you there! https://t.co/4145natp06'
1035533161755754497,2018-08-31 14:21:59,"b'@MsCasssandra Oh, you were genuinely asking my opinion? The internet has made me assume something else :) I think w\xe2\x80\xa6 https://t.co/njI63iMmWu'"
1035486980757446658,2018-08-31 11:18:29,"b'@MsCasssandra Also, in case it wasn\xe2\x80\x99t clear, I was saying the definition of \xe2\x80\x9clooks good\xe2\x80\x9d is subjective and irrelevant, not your question :)'"
1035460239414439936,2018-08-31 09:32:13,b'@MsCasssandra Completely subjective and irrelevant. My comment is aimed at people who think \xe2\x80\x9clooking good in rope\xe2\x80\x9d\xe2\x80\xa6 https://t.co/Dc0n9sW2aX'
1035358920758493184,2018-08-31 02:49:37,"b'@DaddyAsFuck2 And even then, not necessarily relevant'"
1024090551090655234,2018-07-31 00:33:08,"b'RT @twisted_view: If you\'re not comfortable saying ""not cool bro"" or even distancing yourself from someone with problematic behaviors even\xe2\x80\xa6'"
1021212316749254662,2018-07-23 01:56:04,"b""RT @paulkrugman: I've been traveling, and (blissfully) somewhat detached from events. But I have some questions about Trump/GOP/Russia/Trea\xe2\x80\xa6"""
1015250306488250369,2018-07-06 15:05:10,"b'When I see popular people/groups fall for shady behavior, I remind myself: \xe2\x80\x9cBe good to yourself and others. Do your\xe2\x80\xa6 https://t.co/1ktqpEKYFO'"
1007291730079748096,2018-06-14 16:00:37,b'A little #WorldCup at the office today (after skipping the opening ceremony) https://t.co/79OXCFVjz6'
1006277959907495936,2018-06-11 20:52:16,"b'I love this pic from this weekend\xe2\x80\x99s shoot with melanindropz (IG), I don\xe2\x80\x99t want to put weird censorship marks on it,\xe2\x80\xa6 https://t.co/JciTZksrtt'"
1005965933133754368,2018-06-11 00:12:23,b'Fun day shooting with melanindropz and\xe2\x80\xa6 https://t.co/BAgzdik8Y3'
1005937143368290306,2018-06-10 22:17:59,b'@EbiBex @bondageartbot_S \xe2\x80\x98sanks!'
1003708786723483648,2018-06-04 18:43:17,b'@VisualSanctity long-standing bafflement; I suspect it has something to do with \xe2\x80\x9cteacher = cool/hot = easy access t\xe2\x80\xa6 https://t.co/ma3hQu4Scb'
1002598438691852289,2018-06-01 17:11:09,b'@mister_bacon_ But also: rope bottoms have similar obligations to learn/be responsible for their safety as tops; al\xe2\x80\xa6 https://t.co/EmCXsE9aUg'
1002598282609283073,2018-06-01 17:10:32,"b'@mister_bacon_ Tops who suspend right away are probably being dumb, but tops of any experience level who suspend br\xe2\x80\xa6 https://t.co/ACGq6jc1cx'"
1002519173728296960,2018-06-01 11:56:11,"b'Attention models on social media: if your profile says you want to collab with others, your profile should also say\xe2\x80\xa6 https://t.co/qHqtYcnDWY'"
1002401679512342528,2018-06-01 04:09:18,b'@BD_sLR Your models are more politer than minez'
1002400544978358272,2018-06-01 04:04:48,"b'If you think anything is a binary, chances are 99.9% that you aren\xe2\x80\x99t thinking carefully enough. Most commonly seen\xe2\x80\xa6 https://t.co/kif4dNRqul'"
1001778680589357056,2018-05-30 10:53:44,b'@littleisean @RVARope Yep ... private loft in Manchester we\xe2\x80\x99re using for the new rope lab events'
1001656535259533312,2018-05-30 02:48:22,b'Good times at @RVARope Rope Lab tonight. Bound Light in a weird upside-down hashira thing and in her favorite posit\xe2\x80\xa6 https://t.co/GcKafzk2JP'
996450684328390661,2018-05-15 18:02:10,b'Come out and hip harness with us https://t.co/fHPanNX6fb'
