id,created_at,text
1066382399393669121,2018-11-24 17:25:51,b'@queennoreen I\xe2\x80\x99m sure tomorrow it\xe2\x80\x99ll be William in her French class or some boyband'
1066382160058302469,2018-11-24 17:24:54,b'@HullMichelle75 @ArianaGrande I love that song x'
1066376703541415936,2018-11-24 17:03:13,b'Just asked my 13 year old daughter who she\xe2\x80\x99s crushing on and she said \xe2\x80\x9cMyself\xe2\x80\x9d.\nThank you @ArianaGrande \xf0\x9f\x98\x98'
1062327972353527810,2018-11-13 12:55:00,b'RT @JoeSims10: Ever get the feeling that things are a bit rubbish? Want to do something nice? The brilliant @juliehes is looking for 499 ot\xe2\x80\xa6'
1060211758848229378,2018-11-07 16:45:55,b'@CynicalCommuter Yes girl!'
1059371999502458880,2018-11-05 09:09:01,b'@LALA_ASARE @SanityNanny 20% for sure!'
1059183261673492480,2018-11-04 20:39:02,b'@Martin6French @CumbriaCecelia Ohhhh I thought you were being serious! Haha sorry \xf0\x9f\x98\xa9\xf0\x9f\x98\x82'
1059171993709436928,2018-11-04 19:54:16,b'@Martin6French @CumbriaCecelia ? He\xe2\x80\x99s just a teen wanting to do odd jobs for local people and I oversee it. What do you mean?'
1059164944023912451,2018-11-04 19:26:15,b'@LALA_ASARE He\xe2\x80\x99ll end up like that Linda Evangelista quote'
1059164822582034432,2018-11-04 19:25:46,"b'@LALA_ASARE The funny thing is, he does nothing at home but did two jobs today for others because he was getting paid'"
1059164537058983937,2018-11-04 19:24:38,b'@sueclark111 I\xe2\x80\x99m hoping easier when they are 16 x'
1059157472949293056,2018-11-04 18:56:34,b'@LALA_ASARE He wants to go global haha'
1059157402627592192,2018-11-04 18:56:17,b'@gxtfmum @kvburton657 Thank you x'
1059139007408455680,2018-11-04 17:43:11,b'@CookJmc This is great but they might not let him til 16. I\xe2\x80\x99ll call them x'
1059097743128432641,2018-11-04 14:59:13,b'@lisamarie1320 Yes definitely!'
1059088192304017408,2018-11-04 14:21:16,b'My son Charlie is 15 so tricky to get a job. He\xe2\x80\x99s come up with the idea of \xe2\x80\x9cHire A Grandson\xe2\x80\x9d so if you\xe2\x80\x99re Beds/Hert\xe2\x80\xa6 https://t.co/tTF1P2tBOQ'
1057688376789360640,2018-10-31 17:38:54,b'@HollyhPalmer @SE24mummy @theresa_may It\xe2\x80\x99s the dancing \xf0\x9f\x95\xba'
1057598158325342208,2018-10-31 11:40:24,b'@piersmorgan My pal Joe is Theresa May for Halloween and next year he\xe2\x80\x99s doing you https://t.co/mUcNBWWnO0'
