id,created_at,text
1067160687183519744,2018-11-26 20:58:29,b'@vaIntinecth I love u more :('
1067160081337245696,2018-11-26 20:56:04,"b""I appreciate Alex v much bc even if she doesn't stan the boys she still likes all my tweets we love a loyal queen @vaIntinecth"""
1067159666042462208,2018-11-26 20:54:25,b'I reached a new devastation point https://t.co/BSfs0kYbve'
1067158621480341504,2018-11-26 20:50:16,b'MARK THE DATE YOONJIN WENT ON A FUCKING DATE https://t.co/kkB65lxEAu'
1066855841809219584,2018-11-26 00:47:08,b'Me lying in bed when I have shit ton of hw for tomorrow https://t.co/PTpzhBupgk'
1066771597875392512,2018-11-25 19:12:23,b'The i-BROWS https://t.co/yCu3ofzpk4'
1066762072732651523,2018-11-25 18:34:32,b'@BTS_twt I love you I love you I love you'
1066761989333180416,2018-11-25 18:34:12,b'YOU MAKE ME HAPPY https://t.co/Kxg9NmN2EU'
1066557863961731072,2018-11-25 05:03:05,"b'ONE more ""dRoP yOuR cOdEs BeLoW"" and one more picture of these creepy ass digital faceasses and I will deactiv8'"
1066550288612507650,2018-11-25 04:32:59,b'Whomst the fuck is a zepeto'
1066549240736989185,2018-11-25 04:28:49,"b""This is the funniest video I've seen in weeks I'm not lying when I tell you my whole family is looking at me weird https://t.co/x13DeyKCMg"""
1066517189635661824,2018-11-25 02:21:27,b'Okay but ~what the fuck~ https://t.co/EnayCavuQ6'
1066513691334590464,2018-11-25 02:07:33,"b""@mutualmemories \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x92\x97\xf0\x9f\x92\x93\xf0\x9f\x92\x95\xf0\x9f\x92\x96\xf0\x9f\x92\x97\xf0\x9f\x92\x95\xf0\x9f\x92\x95\xf0\x9f\x92\x98\xf0\x9f\x92\x93\xf0\x9f\x92\x97\xf0\x9f\x92\x95\xf0\x9f\x92\x9e\xf0\x9f\x92\x95\xf0\x9f\x92\x98\xf0\x9f\x98\x8d\xf0\x9f\x92\x96\xf0\x9f\x92\x97\xf0\x9f\x92\x95\xf0\x9f\x92\x9e\xf0\x9f\x92\x93\xf0\x9f\x92\x97\xf0\x9f\x92\x95\xf0\x9f\x92\x93\xf0\x9f\x92\x98\xf0\x9f\x92\x96\xf0\x9f\x92\x97\xf0\x9f\x92\x95\xf0\x9f\x92\x95\xf0\x9f\x92\x9e\xf0\x9f\x92\x9d\xf0\x9f\x92\x9d\xf0\x9f\x92\x97\xf0\x9f\x92\x95\xf0\x9f\x92\x9e\xf0\x9f\x92\x95\xf0\x9f\x98\x8d\xf0\x9f\x92\x96\xf0\x9f\x92\x9d\xf0\x9f\x92\x95\xf0\x9f\x92\x9e I'm sorry did I say that out loud"""
1066041599229116416,2018-11-23 18:51:38,"b""Move people I'M married to HER \xf0\x9f\x98\x8d https://t.co/PNyLQkufLo"""
1065766462810411009,2018-11-23 00:38:20,"b""I'm thankful for the friends I've made here in the past year and a half I love you all even though if we don't talk\xe2\x80\xa6 https://t.co/Tge1XKTQJu"""
1065285047392133121,2018-11-21 16:45:21,b'Fellas is it gay https://t.co/givb9OGIuP'
1065284728566267905,2018-11-21 16:44:05,"b""Fuck I'm ready to risk it all https://t.co/mC3ECsNjZA"""
1065281348846407680,2018-11-21 16:30:40,b'@CAM3R0NPH1L1P This is happy and he got a haircut after this picture https://t.co/WvmFtrwIPJ'
