id,created_at,text
1066871659439763457,2018-11-26 01:49:59,b'@LifeWithLydia Yeah I\xe2\x80\x99d feel bad for them as well'
1066870927839899651,2018-11-26 01:47:05,b'@LifeWithLydia This the same one that was harassing u'
1066153915530600449,2018-11-24 02:17:56,b'@NicolePGuest  do it again plzzzzzzzzz'
1066149414157369344,2018-11-24 02:00:03,b'@NicolePGuest  he\xe2\x80\x99s blaming the kids is that true'
1066148487878856704,2018-11-24 01:56:22,b'@NicolePGuest  let Isaac do the cans'
1064946458867236869,2018-11-20 18:19:56,b'He gave me a month to fall in love https://t.co/KmWltTa8b3 via @YouTube'
1064946199088848897,2018-11-20 18:18:54,b'He gave me a month to fall in love: https://t.co/bajf95VS7x via @YouTube'
1064732440948862977,2018-11-20 04:09:30,b'@Izzie_Bleck @Bubbles8301 Your miss reading that. The 5 to ten days is talking about thegreenish yellow color it\xe2\x80\x99s\xe2\x80\xa6 https://t.co/QTEVasqB8u'
1064730144559046656,2018-11-20 04:00:22,b'@Lyricoldrap @Bubbles8301 I was on your side in the beginning but now your taking things to far'
1064729964099092480,2018-11-20 03:59:39,b'@Lyricoldrap @Bubbles8301 You shouldn\xe2\x80\x99t have been in their house when their not home for one for 2 you were the one driving the car not them'
1064727976422580224,2018-11-20 03:51:45,b'@Lyricoldrap @Bubbles8301 Are u saying she faked this and if so is it to get back at you guys'
1064701328482545664,2018-11-20 02:05:52,"b'45 videos, 5 more and I will have reached the quota to be able to do a collab with @TheRewiredSoul  but I won\xe2\x80\x99t be\xe2\x80\xa6 https://t.co/qvOlre3ruc'"
1064332676642017280,2018-11-19 01:40:59,b'Xmas is coming early for me'
1063498190295638017,2018-11-16 18:25:02,b'This is the hardest video I will have ever Made in my life Secrets...my coming out video https://t.co/QWeq46wiTR via @YouTube'
1063497869628489728,2018-11-16 18:23:45,b'Secrets...my coming out video: https://t.co/eBkTIvE2Ax via @YouTube'
1062882053421707264,2018-11-15 01:36:43,b'Check out my post! https://t.co/Qh5Z2s2N7f'
1062525534360518657,2018-11-14 02:00:02,b'@Bubbles8301 Of course he\xe2\x80\x99s gonna take Bridgett\xe2\x80\x99s side she wears the pants in their relationship'
1062519385137524737,2018-11-14 01:35:36,b'@Lyricoldrap U don\xe2\x80\x99t need permission but I\xe2\x80\x99m with @Bubbles8301 . Who shaves someone\xe2\x80\x99s eyebrows and blames it on anx\xe2\x80\xa6 https://t.co/a4oDvLF8Ph'
1062488318980558848,2018-11-13 23:32:09,b'Couple of comments I\xe2\x80\x99ve gotten the last couple of days. I don\xe2\x80\x99t get them often but I appreciate and love it when I\xe2\x80\xa6 https://t.co/DlIQbjGsji'
1062432448204754944,2018-11-13 19:50:09,b'Updated my blog for my channel check it out\nCheck out my post! https://t.co/f2dI1Gu0lq'
1062398431015198720,2018-11-13 17:34:59,b'I just uploaded a video  Turning negatives into positive https://t.co/5EcfNYkugA via @YouTube'
1062398029658050563,2018-11-13 17:33:23,b'Turning negatives into positive: https://t.co/ly97DAuVk6 via @YouTube'
1062065416040792065,2018-11-12 19:31:42,b'Did three videos today go check them out. Also I want to do a live stream but don\xe2\x80\x99t know when so if u guys are intr\xe2\x80\xa6 https://t.co/3AUM1pVUD0'
1062057915316547584,2018-11-12 19:01:53,b'Finally figured out my ...: https://t.co/msiiHwZXQQ via @YouTube'
1062031215769853952,2018-11-12 17:15:48,b'Storytime I kicked a .... https://t.co/sHzpT6Qs8M via @YouTube'
1062030340418686977,2018-11-12 17:12:19,b'Storytime I kicked a ....: https://t.co/9eLtK8sTcM via @YouTube'
1062014038727671808,2018-11-12 16:07:32,b'Figuring out my ... https://t.co/c9pqIpQNO2 via @YouTube'
1062013963284688896,2018-11-12 16:07:14,b'Finding my ...: https://t.co/CKjHHyNi1f via @YouTube'
1062012906462687232,2018-11-12 16:03:02,b'Figuring out my ...: https://t.co/keoDtTEBKt via @YouTube'
1061654258980962304,2018-11-11 16:17:54,b'@Boogie2988 You will never piss me off cause u are one person I\xe2\x80\x99ll follow till the end because I can relate to you'
1061653760026558465,2018-11-11 16:15:55,b'@dylansummers73 @Boogie2988 It\xe2\x80\x99s easier said then done when u have a mental illness'
1061650392487022593,2018-11-11 16:02:32,b'@Boogie2988 Knowing the full story it\xe2\x80\x99s a shame'
1061650249452867586,2018-11-11 16:01:58,"b'@Boogie2988 Your true fans stick with you because they can relate to u, at least that\xe2\x80\x99s y I stick with u. It\xe2\x80\x99s a sh\xe2\x80\xa6 https://t.co/NQs2QKER3d'"
1060585872607899649,2018-11-08 17:32:31,b'Emdr update: https://t.co/7CQQWX3wVJ via @YouTube'
1060391969032146947,2018-11-08 04:42:01,b'Tanacon documentary was a joke there was like hardly anything new that it showed'
1060370261348962304,2018-11-08 03:15:45,"b'25 minutes into tanacon documentary and it\xe2\x80\x99s just as I thought, both @tanamongeau  good times are in the wrong and scammed everyone'"
1060190438987087872,2018-11-07 15:21:12,"b'@NicolePGuest Are u gonna leave it up, I wanna see it but I got classes till late'"
1058949248257941504,2018-11-04 05:09:09,b'Thinking about filming a video about coming out as bicurious https://t.co/fY3f0Q4Gb6'
1058128380820893698,2018-11-01 22:47:19,b'@LifeWithLydia Sounds like something you would need counseling for afterwards'
1057829309950226432,2018-11-01 02:58:55,b'As the butterfly comes out she shouts a new video was posted yesterday \nhttps://t.co/rTJtBsXuqG https://t.co/ArV8UKAIsw'
1057828875789651970,2018-11-01 02:57:12,b'I posted anew video yesterday https://t.co/rTJtBsFTz8'
1057743693308776448,2018-10-31 21:18:43,b'@LifeWithLydia Oh no what happened now'
1056726841912741888,2018-10-29 01:58:06,b'Filming videos this week what topics would u like to see? https://t.co/yDa1EVu33o'
1056608211304886272,2018-10-28 18:06:43,b'I mean part of it and it last for awhile'
1056607804058951680,2018-10-28 18:05:05,"b'@JoySparkleBS hey girl don\xe2\x80\x99t know if u know it or not, the twitch guy better video half of it is two recoding in one'"
1056565711391416320,2018-10-28 15:17:50,b'@TheGuestTweets She didn\xe2\x80\x99t say much bout u but had a lot to say about morticia and not giving her the bowser dms'
1056564006796832768,2018-10-28 15:11:03,b'@TheGuestTweets Miss d is going off bout morticia u/guestmob right now as we speak about bowser and everything else'
1056224529113120768,2018-10-27 16:42:06,b'Getting ready to film some vr videos for when I am able to post normal videos https://t.co/cae6OzrdgE'
1056191990671556608,2018-10-27 14:32:48,"b'October 27, 2018: https://t.co/D14TaHvFGL via @YouTube'"
1055549807224410114,2018-10-25 20:00:59,b'Would you guys like it if I created a Facebook group for the channel to help further with mental health? https://t.co/14swkbs99L'
1055424789555355650,2018-10-25 11:44:13,b'@TheGuestTweets @Lyricoldrap @Boogie2988 @BridgetteWest Lmao bet this got demonetized real quick'
1054863192608985089,2018-10-23 22:32:38,b'@TheGuestTweets I\xe2\x80\x99ll have to go look and see'
1054446764466561026,2018-10-22 18:57:53,b'@KEEMSTAR I can only think of ones before u that I know of'
1054444280926887936,2018-10-22 18:48:01,b'@shanedawson Damn u look so tiny in this pic lol'
1053043888594804742,2018-10-18 22:03:22,b'emdr and channel info: https://t.co/241IVbjl5Y via @YouTube'
1052977062334648321,2018-10-18 17:37:49,b'@billings_steve Happy birthday'
1052976983376896000,2018-10-18 17:37:30,"b'@JentotheDen  just seen your video, I\xe2\x80\x99m sad to see you go and won\xe2\x80\x99t be seeing videos from u anymore but I understan\xe2\x80\xa6 https://t.co/xmtPFKOQ4w'"
1052568008349163520,2018-10-17 14:32:23,b'@Lyricoldrap Hey just watched the birthday video and wanted to let u know in case u didn\xe2\x80\x99t know that there are a bu\xe2\x80\xa6 https://t.co/NQ7D9LV1B9'
1052011813896970240,2018-10-16 01:42:16,b'Damn only got half way through I\xe2\x80\x99ll have to wait for the reupload tomorrow'
