id,created_at,text
1067530361125654529,2018-11-27 21:27:26,"b""LRT : SO THATS WHY MY MOM'S NEW PHONE DIDNT HAVE THAT"""
1067530273028493312,2018-11-27 21:27:05,"b'RT @mikedebonis: A truer piece you will not read today, if ever: Two years later, killing the headphone jack is still a disaster and embodi\xe2\x80\xa6'"
1067529747809345542,2018-11-27 21:25:00,b'RT @Q9_db5072: \xe8\xa1\x8c\xe3\x81\xa3\xe3\x81\xa6\xe3\x81\x8d\xe3\x81\xbe\xe3\x81\x99\xef\xbc\x81 https://t.co/pn89DaT0fI'
1067524567076352000,2018-11-27 21:04:25,b'RT @Maria_Giesela: Forever grateful for this #Spongebob moment \nhttps://t.co/CpJDco6GQd'
1067517138464849920,2018-11-27 20:34:53,b'RT @finnmertens: #hypmic #professorlayton\nthank u saito soma for voicing two good boys https://t.co/Kh6vyjjNev'
1067516176983576577,2018-11-27 20:31:04,b'RT @shiozakuro: \xe5\x88\xa5\xe3\x81\xae\xe6\x98\x9f\xe3\x81\xae\xe7\x8e\x8b\xe3\x81\xa8\xe5\xbe\x93\xe8\x80\x85\xe3\x81\x8c\xe5\x85\xb1\xe9\x97\x98\xe3\x81\x99\xe3\x82\x8b\xe3\x81\xae\xe8\x83\xb8\xe7\x86\xb1\xe3\x81\x99\xe3\x81\x8e\xe3\x81\x9f https://t.co/KH2OPDOFas'
1067515718084829184,2018-11-27 20:29:15,"b""RT @harleivy: this guy went out into the streets and started hugging a bunch of stray dogs who'd probably never felt this much kindness bef\xe2\x80\xa6"""
1067509471444955138,2018-11-27 20:04:26,b'RT @bougori_i7: \xe3\x82\xa8\xe3\x83\x86\xe3\x83\xab\xe3\x83\x8e\xef\xbc\x8d\xe3\x82\xa2\xe3\x83\xab\xe3\x83\x90\xe8\xbe\xba\xe3\x82\x8a\xe3\x80\x90\xe6\x98\x9f\xe5\xb7\xa1\xe3\x82\x8a\xe3\x81\xae\xe8\xa6\xb3\xe6\xb8\xac\xe8\x80\x85\xe3\x80\x91 https://t.co/p2JsJklmyM'
1067507269104017410,2018-11-27 19:55:40,b'RT @_Samtaro: watching anime in 2019 https://t.co/3khMERrv4C'
1067507155152977920,2018-11-27 19:55:13,b'RT @msmp__: By age 30 you should:\n\n\xe2\x80\xa2protect the world from devastation\n\n\xe2\x80\xa2unite all peoples in your nation\n\n\xe2\x80\xa2denounce the evils of truth and\xe2\x80\xa6'
1067499855990398976,2018-11-27 19:26:13,"b'RT @theSirToasty: \xe2\x80\x9cSo anyone who wants to die, step right up!\xe2\x80\x9d\n\xe2\x80\x9cAnd anyone who doesn\xe2\x80\x99t want to die, too bad!\xe2\x80\x9d\n\nHow can anyone not love the\xe2\x80\xa6'"
1067496555475800070,2018-11-27 19:13:06,b'RT @Mlickles: i still think about this https://t.co/xHEGIthpbp'
1067484791241695232,2018-11-27 18:26:21,b'RT @WholesomeMeme: https://t.co/N68uCa6OdK'
1067483277626404866,2018-11-27 18:20:20,b'RT @chuntichino_: \xe2\x80\x9cMerry Christmas\xe2\x80\x9d\n\nmy brain: \n\ndon\xe2\x80\x99t do it \ndon\xe2\x80\x99t do it \ndon\xe2\x80\x99t do it \ndon\xe2\x80\x99t do it \ndon\xe2\x80\x99t do it\ndon\xe2\x80\x99t do it \ndon\xe2\x80\x99t do it\xe2\x80\xa6'
1067229914389204992,2018-11-27 01:33:34,b'RT @_knme: \xe8\xbf\x8e\xe3\x81\x88\xe3\x81\xab\xe8\xa1\x8c\xe3\x81\x8f\xe3\x81\x9c\xe7\x8e\x8b\xe5\xad\x90\xe6\xa7\x98\xef\xbd\x9e\xe2\x9c\xa8 https://t.co/20CtLHO2VF'
1067229795614904320,2018-11-27 01:33:06,b'RT @_knme: https://t.co/7ZeNzwyLZn'
