id,created_at,text
1067500077118296064,2018-11-27 19:27:06,b'Hope and Solidarity Comrades. :3'
1067499169731018752,2018-11-27 19:23:29,"b""There is not a quick path to solidarity and community. :/ Ancom politics aren't going to erase thousands of years o\xe2\x80\xa6 https://t.co/hkkHnQ1wat"""
1067498501125357570,2018-11-27 19:20:50,"b""@GeneMachina And I'm noticing a lot of reactionaries within our movement. And that's not a good sign. (Specially on the auth side)"""
1067498358682644480,2018-11-27 19:20:16,b'@stellahymmne Gods help us all. XD Half of us would TF ourselves into tentacle beasts.'
1067498115668865025,2018-11-27 19:19:18,b'We can do this and we have to do it together. There is hope. If you are a leftist you have some hope for humanity.\xe2\x80\xa6 https://t.co/1n9doIEDLr'
1067498098044350466,2018-11-27 19:19:14,b'Solidarity will lead people to a classless Ruler-less society thats without bigotry. Thats the missing idea alot of\xe2\x80\xa6 https://t.co/Fb91iWyPkj'
1067497894188593154,2018-11-27 19:18:25,b'@GeneMachina Meh I just got done talking about this with a few others.\n\nI had bad stances on this before. But yeah.\xe2\x80\xa6 https://t.co/hcL16zreV2'
1067497317916389377,2018-11-27 19:16:08,"b""RT @heathercreature: \xe2\x9d\x8c DON'T hold bird like ice cream cone. this is uncomfy for bird\n\n\xe2\x9c\x94\xef\xb8\x8f DO give bird $3000 in cash. it's for her nest"""
1067461460748582912,2018-11-27 16:53:39,b'Me: -Taps mic and says something-\n\nThe crowd: -Cheers and claps profusely!-'
1067461348374790144,2018-11-27 16:53:12,b'Laser Fennec Fox.'
1067457566949736448,2018-11-27 16:38:11,b'@sunrisegrove I hope so for you too &lt;3'
1067456263309717505,2018-11-27 16:33:00,b'RT @bunnysay_ebooks: https://t.co/KyMEhw3ZlI'
1067442871987515392,2018-11-27 15:39:47,b'@Wildandtiredewe Glowy eyes are always super awesome.'
1067441923961561088,2018-11-27 15:36:01,b'@Driana_Efolle Thats a good idea.'
1067441551360622592,2018-11-27 15:34:32,"b""@Driana_Efolle I am upset with myself because that sounds cool as heck to me. And I realized this is basically Silver's brand."""
1067441032302800904,2018-11-27 15:32:28,b'I must be the only one who likes 90s pointy sunglasses.'
1067440539681910784,2018-11-27 15:30:31,b'Laser Hedgehog that is also edgy and wears honestly pretty rad sunglasses.'
1067440205257293825,2018-11-27 15:29:11,b'@Wildandtiredewe I KNOW RIGHT. Vivian must be MORE glowy and flashy!'
1067439538195349506,2018-11-27 15:26:32,b'Laser Sheep. @Wildandtiredewe'
1067439319516946434,2018-11-27 15:25:40,b'Laser Horse.'
1067438920961540096,2018-11-27 15:24:05,"b""Crap I'm out of shitposts. I'll make some up later when I can think of better ones than stuff about Shadow the Hedgehog."""
1067438502772645888,2018-11-27 15:22:25,b'I know what we all need. Some morale boosting shit posts. XD'
1067437552506818564,2018-11-27 15:18:39,b'The discourse always goes back to tossing one group of workers under the bus. And it always ends on sex workers bec\xe2\x80\xa6 https://t.co/r34EpDRqYh'
1067437108309061632,2018-11-27 15:16:53,b'RT @quatoria: i swear porn feels like the only kinda work people do where the general expectation is that you only pay them for the work of\xe2\x80\xa6'
1067437078630154241,2018-11-27 15:16:46,"b""@quatoria I feel like we've seen this discourse before... I wish folks would stop tossing sex workers under the bus\xe2\x80\xa6 https://t.co/dOwlp5T07S"""
1067436574223167490,2018-11-27 15:14:45,b'RT @kittiesbot: https://t.co/pmKwH57VdK'
1067435981605765121,2018-11-27 15:12:24,"b'RT @koumeposter: Tryna get the reactionaries to check out The Left like\n""You can become a wizard here, too, but it\'s not some sort of weird\xe2\x80\xa6'"
