id,created_at,text
1067539717686788097,2018-11-27 22:04:37,b'@symsreality Migraine solidarity'
1067538239228166146,2018-11-27 21:58:44,b'Head\n\nPain'
1067519230512369664,2018-11-27 20:43:12,b'@maleficIII Oh no :c it better to talk if you can ;;; hope you feel better'
1067480692257406976,2018-11-27 18:10:04,b'@coeurlclaw dskljhsdjkjh that one got away from you huh'
1067471574876516358,2018-11-27 17:33:50,b'RT @42WV_: darkness https://t.co/Hvq3M9P8BL'
1067469505486602241,2018-11-27 17:25:37,b'RT @msmp__: By age 30 you should:\n\n\xe2\x80\xa2protect the world from devastation\n\n\xe2\x80\xa2unite all peoples in your nation\n\n\xe2\x80\xa2denounce the evils of truth and\xe2\x80\xa6'
1067469395839066112,2018-11-27 17:25:11,b'@coeurlclaw I kinda assumed it was one of those  predictive text posts tbh\nWas it not? \xf0\x9f\x98\x85'
1067468617799868416,2018-11-27 17:22:05,b'RT @coeurlclaw: cat: [sees a pile of clean laundry]\ncat: https://t.co/Ulxz8b1hjh'
1067468180753395713,2018-11-27 17:20:21,b'RT @loversconfidant: 33. https://t.co/5p3SjrEU1f'
1067370415247564801,2018-11-27 10:51:52,b'@etlaje D:'
1067357674185076736,2018-11-27 10:01:14,"b'RT @theresonlysoup: Well, then, GET OUTTA THE SOUP AISLE'"
1067356946070716417,2018-11-27 09:58:21,b'RT @HEX6water: #FF14 \xe4\xbe\x8d\xe5\x83\xa7\xe5\x90\x8c\xe9\x97\xa8\xe5\x97\x91\xe4\xb8\x80\xe5\x97\x91\xe3\x80\x82 https://t.co/oQPRFeC09c'
1067327605999845377,2018-11-27 08:01:45,b'when will my xiv return from the war https://t.co/l0aRZCJjsC'
1067315465880563712,2018-11-27 07:13:31,b'RT @blaze_run77: \xeb\x82\x99\xec\x84\x9c https://t.co/rHb2qVnHB2'
1067314164832641024,2018-11-27 07:08:21,b'RT @nugushindeyo: \xe3\x85\xa0\xe3\x85\xa0\xe3\x85\x8b\xe3\x85\x8b\xec\x98\xa4\xeb\x9e\x9c\xeb\xa7\x8c\xec\x97\x90\xeb\xb3\xb4\xeb\x85\xb8 https://t.co/hwKcFpGaRk'
1067269595776602115,2018-11-27 04:11:15,b'i dont know what i was expecting her to tell me about but it wasnt that someone send help'
1067269239667605504,2018-11-27 04:09:50,b'i did not want to think about that oh my fu ckign god'
1067269135153930241,2018-11-27 04:09:25,b'sydney its not cannon and i dont want to hear about it'
1067262960970735616,2018-11-27 03:44:53,b'@symphonicbraver weesnaw'
1067236095836983297,2018-11-27 01:58:08,b'coffee&gt;helped headache&gt;but now i want to sleep'
1067235807742894080,2018-11-27 01:56:59,"b'@darkfiragas oh boy howdy that makes sense and is also hell, and i do not miss those days at all in the slightest ;\xe2\x80\xa6 https://t.co/rx7dsu5Oy4'"
1067229799360405504,2018-11-27 01:33:06,"b""@darkfiragas if i punch the anxiety's lights out, it also cannot see you...! do you need anythin? D:"""
1067212855647379457,2018-11-27 00:25:47,b'RT @EmrgencyKittens: this is what I want to be doing right now https://t.co/fkhhTnsaIu'
1067124102908006400,2018-11-26 18:33:06,"b'@SHAD0WBRlNGERS I will and you cant stop me, also brb driving to az to bring soup'"
1067123865447485440,2018-11-26 18:32:10,b'@SHAD0WBRlNGERS Anyone who can help you? ;;;'
1067123500111052801,2018-11-26 18:30:43,b'@SHAD0WBRlNGERS Ugh :c brings you soup\n\nPls take care ;;'
1067123058824146946,2018-11-26 18:28:58,b'@SHAD0WBRlNGERS :/ how sick are you ;;;'
1066992724400898048,2018-11-26 09:51:03,b'RT @coffinmimic: long time no elli https://t.co/fHNtJsk4ve'
1066982510024974336,2018-11-26 09:10:28,"b""@manafications ah thanks i think i'm ok..maybe it hit a nerve \xf0\x9f\x98\x85"""
1066972482425577473,2018-11-26 08:30:37,b'maybe i cant seem to cheer myself back up'
1066964026662535171,2018-11-26 07:57:01,b'RT @johnnybluhbluh: ive mad a huge mistake https://t.co/wOBmnal3C5'
1066941713942487041,2018-11-26 06:28:22,b'RT @palerosetweets: I can\xe2\x80\x99t wait for Fruits Basket: Brotherhood'
1066941597496082432,2018-11-26 06:27:54,"b'@manafications i hate it, thanks'"
1066936900907409409,2018-11-26 06:09:14,b'hey drk lvl 50 duty wtf is your problem?'
1066929210944573441,2018-11-26 05:38:41,"b'THANKS, I HATE IT. https://t.co/kGfnOiFG8E'"
1066897043447267328,2018-11-26 03:30:51,"b""@fortempsmanor i'm! concerned! :'D!"""
1066887260535226369,2018-11-26 02:51:59,b'@fortempsmanor o3o;;'
1066887188619689985,2018-11-26 02:51:42,b'@manafications im too scared to :('
1066885604590477312,2018-11-26 02:45:24,"b""RT @CanaryWitch: Person A who is standoffish, self-deprecating, hasn't laughed like ever: I have this Important Goal I Have To Do I've got\xe2\x80\xa6"""
1066885594691878913,2018-11-26 02:45:22,b'RT @CanaryWitch: My favorite romantic couple dynamic will always and forever be the aloof/quiet/grumpy Person A. and the bright/cheery/ball\xe2\x80\xa6'
1066865761686306816,2018-11-26 01:26:33,b'RT @corocorocororn: https://t.co/K1I9ZPlENd'
1066865156003639298,2018-11-26 01:24:09,b'RT @DREADWYRMTRANCE: mom https://t.co/TrDbCoC10R'
1066838369580318721,2018-11-25 23:37:42,b'@maleficIII im gonna beat it up ;;;'
1066832061259030535,2018-11-25 23:12:38,b'RT @ashutogami: https://t.co/0fzOEZfAQ3'
1066827902380122112,2018-11-25 22:56:07,"b""@manafications if they arrive late we will still love them as if they had arrived on time! it's like drawing out th\xe2\x80\xa6 https://t.co/MIk3uYvA7B"""
1066826367155793920,2018-11-25 22:50:01,b'RT @fabledtactician: oh also........dogi &gt;:3 #PS4share https://t.co/PhiFTI2HxQ'
1066823863928045569,2018-11-25 22:40:04,b'@manafications school first christmas later  we will Understand and love them regardless'
1066802204324040704,2018-11-25 21:14:00,b'RT @round_boys: Doesn\xe2\x80\x99t get any rounder \n\n\xf0\x9f\x93\xb8: camerons_chinchillas https://t.co/lIKf2P7fQz'
1066802065198989314,2018-11-25 21:13:27,"b""RT @johnnybluhbluh: i've so many stories to tell you now https://t.co/xyddIlluHN"""
1066791434425118721,2018-11-25 20:31:12,"b""RT @OkigboXL: PSA: Don't EVER let your printer know that you've waited until the last minute to print something out and you're in hurry bec\xe2\x80\xa6"""
1066791119156125697,2018-11-25 20:29:57,b'@JunpeiTenmyouji Hope you feel better;;'
1066791009705709570,2018-11-25 20:29:31,b'@fortempsmanor Woke'
1066790611964047360,2018-11-25 20:27:56,b'RT @seanphillippv: When ur super sad then u surround yourself with the right people https://t.co/8bhQD2aJxB'
1066790388491534337,2018-11-25 20:27:03,b'@fortempsmanor Im scared now wat'
1066790238159323136,2018-11-25 20:26:27,b'@fortempsmanor Do it anyway--'
1066769251170746368,2018-11-25 19:03:03,b'RT @johnnybluhbluh: id like to offer a moment of silence for all the cat boys that will turn into bunny boys u will be remembered fondly'
1066768533000982528,2018-11-25 19:00:12,b'RT @johnnybluhbluh: why are u running\n(louder) wHY ARE U RUNNING https://t.co/y8VkhgDRF4'
1066768494610522113,2018-11-25 19:00:03,b'RT @FrischeNq: #\xe3\x83\xaa\xe3\x83\x97\xe3\x81\x8d\xe3\x81\x9f\xe3\x82\xad\xe3\x83\xa3\xe3\x83\xa9\xe3\x81\xae\xe9\xa1\x94\xe3\x81\xa0\xe3\x81\x91\xe6\x8f\x8f\xe3\x81\x8f\n\xe3\x82\xb5\xe3\x83\x89\xe3\x82\xa5\xe3\x81\x95\xe3\x82\x93\xe3\x80\x80\xe3\x81\x82\xe3\x82\x8a\xe3\x81\x8c\xe3\x81\xa8\xe3\x81\x86\xe3\x81\x94\xe3\x81\x96\xe3\x81\x84\xe3\x81\xbe\xe3\x81\x97\xe3\x81\x9f\xef\xbc\x81 https://t.co/apSG66hbwB'
1066768474586968065,2018-11-25 18:59:58,b'RT @dira_FF14: \xed\x8c\x8c\xed\x8c\x90AU\xec\xa4\x91\xeb\x8f\x85 https://t.co/YhWYxM6JxC'
1066767724917997568,2018-11-25 18:56:59,"b""RT @FFXIVXD: G'raha Tia was mocked and shunned as a child due to his crimson-colored Allagan Eye. This led to his deep devotion to studying\xe2\x80\xa6"""
1066601375411380224,2018-11-25 07:55:59,"b'@manafications skjlf thats understandable :( it helps to not think of it all at once, keep priorities in check and\xe2\x80\xa6 https://t.co/bPEtSkGTo7'"
1066599713166819328,2018-11-25 07:49:22,b'@manafications as always am here if ya needta talk ;; its okay to vent tho ya know? sometimes ya just gotta scream\xe2\x80\xa6 https://t.co/7x3YUbQ3jB'
1066597409776635905,2018-11-25 07:40:13,"b""@manafications it'll be a clusterfuck for a little bit and then it'll be over. one step at a time fam you got this ;;;"""
1066569341162934273,2018-11-25 05:48:41,b'RT @yaseastposts: Switzerland \xf0\x9f\x97\xbb\xf0\x9f\x87\xa8\xf0\x9f\x87\xad https://t.co/8baJvWJGr6'
1066561805819027456,2018-11-25 05:18:44,"b'@MageofRhotano i give him some fish and a therapist, probably'"
1066557582989508608,2018-11-25 05:01:58,"b""@symsreality [he tries to grin][it's terrifying]"""
1066555337292087296,2018-11-25 04:53:02,"b""@symsreality \xc2\xaf\\_(\xe3\x83\x84)_/\xc2\xaf think he'll always feel that way to some degree\n\nhe's a brooding one, that"""
1066552802930040832,2018-11-25 04:42:58,b'bonus rejects :P https://t.co/LybBN2DKA6'
1066549281916633088,2018-11-25 04:28:58,"b""he's fine https://t.co/BuVc9eAWZj"""
1066538834106699776,2018-11-25 03:47:28,"b'@vertebaes god of humor, lord of laughter'"
1066533175801888768,2018-11-25 03:24:58,b'eXCUSE ME HE WOULD N E V E R'
1066533141148504064,2018-11-25 03:24:50,b'RT @vertebaes: @fortempsmanor @stabbypaws The statistic that everyone eats 7 lalafels in their sleep per year is actually wrong; most peopl\xe2\x80\xa6'
1066531320224976896,2018-11-25 03:17:36,"b""@fortempsmanor --\n\nthats\n\nthat wouldn't be on him then--\n\n[he'd also be kinda upset]"""
1066531105594138624,2018-11-25 03:16:45,b'fun fact the number of lalafells stoneclaw bootytoots has actually consumed in his lifetime: 0'
1066530395359989760,2018-11-25 03:13:56,b'lrt may have gotten me into trouble'
