id,created_at,text
1067540060885696512,2018-11-27 22:05:59,"b'RT @ChildhoodShows: RIP to Stephen Hillenburg, the creator of SpongeBob SquarePants \xf0\x9f\x98\xa2 https://t.co/mC7b3ZLU3g'"
1067535867491831809,2018-11-27 21:49:19,b'RT @OneGoal97: Let\xe2\x80\x99s help bring her home ppl https://t.co/EzNrrFp5kR'
1067497826542919681,2018-11-27 19:18:09,b'@81queens Two of the best in our generation honestly'
1067483739679268870,2018-11-27 18:22:11,"b'@81queens The answer is simple, no'"
1067456292665679873,2018-11-27 16:33:07,b'Cred: https://t.co/THjf1BoIIV'
1067447579267485697,2018-11-27 15:58:29,"b""Wow, he truly is the love of Christian and Carla's lives...crazy https://t.co/WZdQtXpzgr"""
1067443905917009920,2018-11-27 15:43:53,"b""I liked both ID and JB, which makes perfect sense for the pansexual disaster I've become https://t.co/d9MEfDPCqW"""
1067442546299813888,2018-11-27 15:38:29,b'RT @fernsgirI: they were just in their hotel room taking pics of each other \xf0\x9f\xa4\xa7 https://t.co/Sz6rkHFrzV'
1067429358737022976,2018-11-27 14:46:05,b'RT @jarevalo527: Tweeting this since it\xe2\x80\x99s getting cold https://t.co/Y5Jha28RTB'
1067416401768587264,2018-11-27 13:54:36,b'RT @palestilian: hey i\xe2\x80\x99m depressed \n\n\xe2\x80\x9cyou shouldn\xe2\x80\x99t feel that way\xe2\x80\x9d\n\nthanks dawg i\xe2\x80\x99m fully cured now'
1067416145802743808,2018-11-27 13:53:35,b'RT @emma_caparula: the entire male species wears like 2 different pairs of pants https://t.co/hKvqdAQtvX'
1067415212075220992,2018-11-27 13:49:52,b'RT @pginolii: WELL GOOD FUCKING MORNING TO ME THEN https://t.co/Ab2pDIhjU5'
1067415023801253888,2018-11-27 13:49:07,"b""I'm just gonna say it, JON SNOW LOVES TF OUTTA DAENERYS TARGARYEN WHETHER YOU LIKE IT OR NOT COWARDS!!!"""
1067411159157010433,2018-11-27 13:33:46,"b'RT @AmandaLafrenais: I hate hearing Michael Buble\'s version of Santa Baby where he says ""Santa Buddy.""\n\nWhat He thinks he\'s too good to suc\xe2\x80\xa6'"
1067377015307862016,2018-11-27 11:18:06,b'RT @ArianaGrande: https://t.co/4N3nOwp5Gr'
1067376817806422016,2018-11-27 11:17:18,b'RT @intoneedy: OH MY GOD  https://t.co/qRget6g9Vk'
1067256630989987840,2018-11-27 03:19:44,b'RT @DailyMigueI: Congratulations to Miguel &amp; Nazanin. After being together for 13 years they\xe2\x80\x99re officially married! They had their wedding\xe2\x80\xa6'
1067254273224908800,2018-11-27 03:10:22,b'Prison Polo + My Guts = A Concept https://t.co/BL4PZXrFuQ'
1067251357541957633,2018-11-27 02:58:46,"b""@kikidoesntlove His music is so dope, I ain't even know he was fine like this tho"""
1067246888343273472,2018-11-27 02:41:01,b'Racist ass muthafuckas https://t.co/WloBlsK0Ol'
1067244043678167040,2018-11-27 02:29:43,"b'@Elijah_Official @simonexbritt Ngl, as soon as I saw this I backed it up, got out of bed and sang tf outta every word. Still my shit man'"
1067243898223894528,2018-11-27 02:29:08,b'RT @Elijah_Official: The real Disney OGs know what\xe2\x80\x99s up \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/18KB5CQzz3'
1067242721830756352,2018-11-27 02:24:27,b'RT @mefeater: December 15th will be Kim Porter day in the state of Georgia. RIP Kim Porter \xf0\x9f\x92\x95 https://t.co/UqMehyhaKZ'
1067242332611899393,2018-11-27 02:22:55,b'RT @Jrnotjnr18: Taraji P. Henson \xe2\x80\x9cWhat Men Want\xe2\x80\x9d trailer. The movie is the remake of Mel Gibson\xe2\x80\x99s fantasy-Romance movie \xe2\x80\x9cWhat Women Want\xe2\x80\x9d.\xe2\x80\xa6'
1067242287409889280,2018-11-27 02:22:44,"b'RT @glossdaya: \xe2\x80\x98Of course i support men\xe2\x80\x99s rights... men\xe2\x80\x99s rights to shut the fuck up.\xe2\x80\x99 -tessa thompson, 2018 https://t.co/Ex95cV45vX'"
1067241750358630400,2018-11-27 02:20:36,b'RT @yaelgrogbIas: a compilation of petra gay panicking https://t.co/2piR7LMTk7'
1067240979483295744,2018-11-27 02:17:32,b'RT @icynaega: I really won huh https://t.co/qmPNnu1ULK'
1067240889259560960,2018-11-27 02:17:11,"b'@Smiley3o5 @STAR They both just white and tall, its not that serious'"
1067240680504856576,2018-11-27 02:16:21,b'RT @simonexbritt: Why Simone Davis is the best Character on the show STAR'
1067239286196629504,2018-11-27 02:10:48,b'@LenovoLegion Who dis? He fine'
1067238674230898693,2018-11-27 02:08:22,b'@spideysunwin Is that him in the background him? Cuz he sound good af'
1067227172883103744,2018-11-27 01:22:40,b'RT @spideysunwin: Happy birthday to the one and only cloak \xf0\x9f\x96\xa4 @aubreyomari https://t.co/4OFj3zX9Ik'
1067218153661452294,2018-11-27 00:46:50,b'RT @81queens: Polo from the moment he laid eyes on Christian \n https://t.co/DRWcxvPHtM'
1067207680446615552,2018-11-27 00:05:13,b'@enjolrev Truu!!!'
1067207436698873857,2018-11-27 00:04:15,"b""@enjolrev I'll try do it after I finish Peaky Blinders and Vikings"""
1067206833629290497,2018-11-27 00:01:51,"b""@enjolrev I want to...but like...there is so much going on in it and it's so long"""
1067186162081640449,2018-11-26 22:39:43,"b'@selenazenday Alright, I just wanted to explain myself'"
1067184840502624256,2018-11-26 22:34:27,"b'@selenazenday It just...it is what it is...I chose to ignore it and admire their story, buildup and chemistry inste\xe2\x80\xa6 https://t.co/7KidEh1KeF'"
1067182922669666304,2018-11-26 22:26:50,b'@selenazenday Look man...the show has dragons and shit so its bound to be wild and unrealistic and the two ships pe\xe2\x80\xa6 https://t.co/edxvVTJGEK'
1067181340876070914,2018-11-26 22:20:33,b'UWU https://t.co/tfOAG2Eo3x'
1067181259498115073,2018-11-26 22:20:14,b'RT @spideysunwin: I am GOING TO SCREAM THIS IS NOT A JOKE THIS IS MY LIFE https://t.co/WWdC6e7mmy'
1067181177751199745,2018-11-26 22:19:54,b'@ezrasfern Oh wow...'
1067180979666763776,2018-11-26 22:19:07,b'@ezrasfern Girl what?'
1067180748585820162,2018-11-26 22:18:12,b'@selenazenday https://t.co/zc0CebWdAg'
1067177973541945344,2018-11-26 22:07:10,b'RT @NafessaWilliams: RT @ejtlotz: HYPE THEM UP LIKE YALL HYPE UP YOUR WHITE GAYS YOU COWARDS https://t.co/RdwVoMcbhR~ #BlackLighting'
1067177878058606592,2018-11-26 22:06:47,b'RT @oIviahoIt: OMG HIIII I JUST SAW THIS THEYRE SO CUTE https://t.co/43Moa0Nk7W'
1067177387195023360,2018-11-26 22:04:50,"b""I don't watch this show, like I've never sat through a single episode of Game of Thrones but Jon and Daenerys, that\xe2\x80\xa6 https://t.co/YmCLU1sOHd"""
1067105026995302400,2018-11-26 17:17:18,"b'@blcwitall This was one of my first ships, I love BMW so much'"
1066976065812336640,2018-11-26 08:44:52,b'Cred:https://t.co/HFKhwTaknT'
1066975930353156096,2018-11-26 08:44:19,b'RT @guzncdia: BABYGIRLL I LOVE YOUU https://t.co/hw64Y0uDli'
1066975819770281985,2018-11-26 08:43:53,b'RT @madsomar: peep the excellence https://t.co/AbtOkS3T8g'
1066975715390881792,2018-11-26 08:43:28,"b'I know she could kick my ass and have me assassinated without it being traced back to her but still, I would protec\xe2\x80\xa6 https://t.co/RPVInJMI5f'"
1066974680798646272,2018-11-26 08:39:21,b'Cred: https://t.co/tWmxG23VdM'
1066974481313406977,2018-11-26 08:38:34,"b'~ ""What do you care?""\n\n""I care about you, idiot!"" ~ https://t.co/xKARoLMyyE'"
1066973497392603136,2018-11-26 08:34:39,b'ENDGAME! ENDGAME! ENDGAME! #ELITE https://t.co/cfgDt7mbsC'
1066970887109390337,2018-11-26 08:24:17,b'~ Omar &amp; Ander : Elite ~ https://t.co/sgMnPCc1ZY'
