id,created_at,text
1067065205954363393,2018-11-26 14:39:04,b'RT @britshaniece: Y\xe2\x80\x99all are 12. https://t.co/NESmpGwxHw'
1067063931506737154,2018-11-26 14:34:01,b'It\xe2\x80\x99s not a nice feeling to know someone expects the worst from you. Simply cause that\xe2\x80\x99s all they know and that\xe2\x80\x99s no\xe2\x80\xa6 https://t.co/MkcvY0o8u4'
1067063714648600579,2018-11-26 14:33:09,b'Expectations sometimes ruin a person for you. You\xe2\x80\x99re not letting them accurately be who they are. Yeah you don\xe2\x80\x99t wa\xe2\x80\xa6 https://t.co/QFOgHnOqB9'
1067062891818422273,2018-11-26 14:29:53,b'RT @_AppleButter_: @ohitsebb You have to differentiate expectations &amp; separate them from past experiences. Though your past is meant to mak\xe2\x80\xa6'
1067062726957170689,2018-11-26 14:29:13,b'@ohitsebb People like that get so defensive when you bring something to their attention. I can\xe2\x80\x99t believe i used to\xe2\x80\xa6 https://t.co/OYllWcoPi8'
1067060733811310592,2018-11-26 14:21:18,"b'Someone on my tl spoke on how we are victims and villains are different points in time. Duality exists, some can\xe2\x80\x99t admit the former though'"
1067060172017815552,2018-11-26 14:19:04,"b'When you\xe2\x80\x99ve been coddled and never checked by someone, you think everyone gonna deal with that. These same people l\xe2\x80\xa6 https://t.co/mvDcNmVOaA'"
1066992244039782400,2018-11-26 09:49:09,b'I\xe2\x80\x99m tweaking \xf0\x9f\x92\x80 I got a 7 hour flight this afternoon'
1066992095834095616,2018-11-26 09:48:34,b'Why is it damn near 5am'
1066991492479311872,2018-11-26 09:46:10,b'RT @trvplord12_: 0/10. Corny ass nigga. https://t.co/fsHmj2URkK'
1066988780287131649,2018-11-26 09:35:23,b'@Ilyvonn1 She tried the Cabernet and said \xe2\x80\x9coh you grown\xe2\x80\x9d lmaoooo'
1066987068830744578,2018-11-26 09:28:35,b'@Ilyvonn1 She thought we had the option to open the windows \xf0\x9f\x98\xad she big tipsy'
1066985610915790849,2018-11-26 09:22:47,b'Erika: you can\xe2\x80\x99t open up the windows on a plane?\nMe: Now bitch...'
1066985103874756608,2018-11-26 09:20:47,b'@ivgoat Come on with it'
1066984896164519937,2018-11-26 09:19:57,b'She wanna be a real one like me so bad https://t.co/YNW9WknaCz'
1066984690446417920,2018-11-26 09:19:08,b'You wanna bet https://t.co/YYq6V94Auk'
1066984485139435520,2018-11-26 09:18:19,b'Pancakes with the crispy edges are arousing. Whewwwww.'
1066984039192645632,2018-11-26 09:16:33,b'Pancakes really amazing. I need to make some soon. With some bacon baked in the oven \xf0\x9f\xa4\xa4'
1066983609637195776,2018-11-26 09:14:50,b'Pancakes really top 2 and not two https://t.co/auEFbl3X9v'
1066983109802041344,2018-11-26 09:12:51,b'Bed head https://t.co/lc9JTJ61ba'
1066977658179895296,2018-11-26 08:51:11,b'Told Erika to put ginger ale with her red wine cus she can\xe2\x80\x99t hang and... ima tuck this bitch in cus \xf0\x9f\x98\xad'
1066976670123479040,2018-11-26 08:47:16,"b'@ivgoat Their self esteem just trash, they can\xe2\x80\x99t help it'"
1066973826473488387,2018-11-26 08:35:58,b'Iv please https://t.co/ANfqIlHbPy'
1066973591210729472,2018-11-26 08:35:02,b'Fam. Narcos:Mexico is THAT bitch https://t.co/qiAt1R2DjA'
1066971752901824514,2018-11-26 08:27:43,b'Red wine got me feeling a way. I\xe2\x80\x99m ready to go home and see this nigga \xf0\x9f\x99\x82'
1066971193457049601,2018-11-26 08:25:30,b'This nigga really ain\xe2\x80\x99t shit skamamsm https://t.co/VtRWN2kKqf'
1066969686502502401,2018-11-26 08:19:31,b'@avtevr https://t.co/75wvZY1aRT'
1066968648512868352,2018-11-26 08:15:23,b'Erika is very drunk and I\xe2\x80\x99m hollering'
1066968501896863745,2018-11-26 08:14:48,b'I approve this message https://t.co/meReqeT06S'
1066968317141897216,2018-11-26 08:14:04,"b'@ElleWolfe_ Greece is amazing, have fun!'"
1066967737833009152,2018-11-26 08:11:46,b'RT @3rdTimeAround: Ok @MenkauraB is fine and funny. Lesbian tl relationship come soon'
1066965495209959425,2018-11-26 08:02:51,b'Gdjkstkndijlsy https://t.co/lzZQk0MfAj'
1066964910280708097,2018-11-26 08:00:32,b'\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/6zEV5niifY'
1066964505681367040,2018-11-26 07:58:56,b'The day a big spider is in my apartment ima just leave'
1066964406016327680,2018-11-26 07:58:32,b'Im not looking forward to this https://t.co/3W2QSaz6B2'
1066958937814167552,2018-11-26 07:36:48,b'@3rdTimeAround is hilarious'
1066940832866058240,2018-11-26 06:24:52,b'My bitch brought me the good stuff! @3rdTimeAround https://t.co/gIkJg0lXXO'
1066937876653453313,2018-11-26 06:13:07,"b'RT @GhostwritaMusic: Y\xe2\x80\x99all don\xe2\x80\x99t be dating ppl that actually like you fr, that\xe2\x80\x99s the main problem'"
1066937800451387393,2018-11-26 06:12:49,b'RT @KingElJay: Fetti is so perfect'
1066936955798253569,2018-11-26 06:09:27,b'\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80 https://t.co/nx8Ze0txfL'
1066936686112907264,2018-11-26 06:08:23,b'\xf0\x9f\x99\x83\xf0\x9f\x99\x83\xf0\x9f\x99\x83\xf0\x9f\x99\x83 https://t.co/uVdZQOZQ03'
1066936563320401921,2018-11-26 06:07:54,b'I\xe2\x80\x99m poor https://t.co/VzgSMtM0kl'
1066936252933554176,2018-11-26 06:06:40,b'I\xe2\x80\x99m not uppity or anything similar. Thank you for you understanding'
1066935918597152768,2018-11-26 06:05:20,b'Bitch ndkvfkvxjbs https://t.co/s14nsmuf7G'
1066935320732676098,2018-11-26 06:02:57,b'Cause one beloved individual was using the fuck outta drones. Buuuuut..'
1066935142424461313,2018-11-26 06:02:15,b'The bar has been in the depths as hell as far as atrocities that have been committed. This isn\xe2\x80\x99t a new low.'
1066934919765598208,2018-11-26 06:01:22,b'\xe2\x80\x9cA new low\xe2\x80\x9d https://t.co/MSLRLeHngV'
1066933559196291072,2018-11-26 05:55:57,b'@ivgoat You\xe2\x80\x99re so sweet when you not roasting me'
1066933341952323585,2018-11-26 05:55:06,b'You talking about putting wine in a flask. You really a 48 year old white man. We not taking you as you are https://t.co/DoDe89I7aN'
1066932046222815237,2018-11-26 05:49:57,"b'@ivgoat Thanks pal. You a real good friend for that bottle, I owe you'"
1066931611873280000,2018-11-26 05:48:13,b'Moscato is just not good. 0/10 would not recommend'
1066931475931648000,2018-11-26 05:47:41,b'@3rdTimeAround @addy2v0 @queensiahb PLEASE.'
1066931363608231936,2018-11-26 05:47:14,"b'@queensiahb @3rdTimeAround @addy2v0 I\xe2\x80\x99ll smash barefoot wine, just not moscato'"
1066931078198423553,2018-11-26 05:46:06,b'Let me do my googles. Niggas gift you wine and it\xe2\x80\x99s always something good that catches you off guard'
1066930606435704837,2018-11-26 05:44:13,b'@addy2v0 @queensiahb @3rdTimeAround I\xe2\x80\x99m gonna help Erika out cause I need her to get it together'
1066930349547167744,2018-11-26 05:43:12,b'However much this costs is how much I\xe2\x80\x99m spending on my weekly wine https://t.co/3NSL6YVeGb'
1066929977675911169,2018-11-26 05:41:43,b'RT @queensiahb: @3rdTimeAround @MenkauraB @addy2v0 I have too much money for this convo see y\xe2\x80\x99all bitches at martha\xe2\x80\x99s vineyard xoxo'
1066929968125480961,2018-11-26 05:41:41,b'@queensiahb @3rdTimeAround @addy2v0 OK!!'
1066929883199221760,2018-11-26 05:41:21,b'LMAOOOOO'
1066929842392834049,2018-11-26 05:41:11,b'RT @ivgoat: \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/7uQk06Zit5'
1066929495360323585,2018-11-26 05:39:48,b'@3rdTimeAround OH LMAO. Ok bring it anyways but you got me hollering'
1066929402884366336,2018-11-26 05:39:26,b'@3rdTimeAround @addy2v0 @queensiahb No it\xe2\x80\x99s not!!'
1066928747201404928,2018-11-26 05:36:50,b'@avtevr I mean that\xe2\x80\x99s expected tho. It sometimes takes some time to branch out'
1066928380547862528,2018-11-26 05:35:23,b'Erika bout to bring this auntie ass wine to me. It be ya own followers!!'
1066928176394379265,2018-11-26 05:34:34,b'Keakakananama https://t.co/6Q6SbZtRDp'
1066927993350696960,2018-11-26 05:33:50,"b'This auntie ass wine, just bring the bottle \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/42w1oYkzB2'"
1066927802056769536,2018-11-26 05:33:05,b'@queensiahb buy a hitachi and let the floodgates open'
1066927578223648768,2018-11-26 05:32:11,b'Prolly start doing some real pick me shit and acting real annoying https://t.co/64AbCgQUYB'
1066927347469819904,2018-11-26 05:31:16,b'Well what kinda wine is it? https://t.co/KoeRI2Ymi5'
1066927270500143104,2018-11-26 05:30:58,"b'@avtevr That\xe2\x80\x99s a good age, you gotta find someone who knows herself well if ya know what I mean. Good luck friend'"
1066926452539604992,2018-11-26 05:27:43,b'How old are you again? Women your age prolly not quite there yet https://t.co/PdMKPFZnWQ'
1066926057062899713,2018-11-26 05:26:09,b'bitch LMAO https://t.co/QP6G7cbQyk'
1066925398825594880,2018-11-26 05:23:32,b'LMAOOOOOO https://t.co/DWYcNdmfPK'
1066925226381008896,2018-11-26 05:22:51,b'Hmmm okay I\xe2\x80\x99ll take it https://t.co/7rrOz1NrjU'
1066925111570309120,2018-11-26 05:22:23,b'What you bout to say https://t.co/xd9c6ufMin'
1066924808233984000,2018-11-26 05:21:11,"b'I don\xe2\x80\x99t act like most bi women. Don\xe2\x80\x99t group me with them. Thank u, next https://t.co/ZG3NTiIihW'"
