id,created_at,text
1067471748814290944,2018-11-27 17:34:32,b'RT @cocoadiosa: bts : ......\n\ntrainees : bang pd said y\xe2\x80\x99all have to play with us https://t.co/o4GUBtmF9H'
1067471388531933184,2018-11-27 17:33:06,b'RT @yoonminfocus: how many brain cells do you have left based on your bias\nnamjoon: 100\nseokjin: -10\nyoongi: infinite \nhoseok: 3\njimin: 20\xe2\x80\xa6'
1067470897886490624,2018-11-27 17:31:09,b'RT @jeonlavish: someone said bts should be the gps voice for hyundai. imagine you make a wrong turn and you hear this from jin https://t.co\xe2\x80\xa6'
1067334696227536897,2018-11-27 08:29:56,b'I\xe2\x80\x99m so fucking excited for the new boy group!!'
1067334572378136576,2018-11-27 08:29:26,"b""RT @ILOVEPARKJIMlN: BigHit will debut a boy group in 2019, please don't forget :\n\n- DON'T think BTS will get replaced\n\n- DON'T compare them\xe2\x80\xa6"""
1067334438609186817,2018-11-27 08:28:54,b'RT @ot7elitist: guys i worked really hard on this pls support my art \xf0\x9f\x98\x94\xf0\x9f\x91\x89\xf0\x9f\x8f\xbd\xf0\x9f\x91\x88\xf0\x9f\x8f\xbd https://t.co/4r9LCZRkFZ'
1067326528499982336,2018-11-27 07:57:29,"b'@rated_namjoon Magic shop, because it made me realize that they see me as more than just a fan... if that makes sen\xe2\x80\xa6 https://t.co/EsImXWURsq'"
1067325971970342912,2018-11-27 07:55:16,b'RT @salukipop: test\n\n#bts #btsfanart #btsfa #btsartmy #taehyung https://t.co/T8leXrNP7C'
1067318720517812225,2018-11-27 07:26:27,b'@ztzs97 @sunmi___8 @BTS_twt how much does this phone cost again lmao'
1067318645854998528,2018-11-27 07:26:09,b'I\xe2\x80\x99m screaming https://t.co/RKhOrqeknL'
1067318543656656896,2018-11-27 07:25:45,b'RT @ArianaGrande: https://t.co/4N3nOwp5Gr'
1067318165519179776,2018-11-27 07:24:15,b'@maraisxbess0n you look like a chicken nugget'
1067306826323111937,2018-11-27 06:39:11,"b'I still want to see Yoongi summon a /real/ demon, like idk a salamander or so. perhaps a hippogriff'"
1067306206874820608,2018-11-27 06:36:43,b'RT @not_so_sweet_sg: Be careful\xf0\x9f\x98\xaf https://t.co/Wofq4lkkl9'
1067305856902053890,2018-11-27 06:35:20,"b'So basically, it\xe2\x80\x99s a mix of the Summoner and Greek mythology? Awesome! https://t.co/j8lBOC0kIO'"
1067300331955081217,2018-11-27 06:13:23,"b""RT @BTSBUNK: How to get clear skin\n\n1. Drink lot's of water\n2. Eat less spicy &amp; oily food\n3. Take proper sleep\n4. Don't use cosmetics all t\xe2\x80\xa6"""
1067300252208771073,2018-11-27 06:13:04,b'I feel sick'
1067021665454960642,2018-11-26 11:46:04,b'just boyfriends being boyfriends\xe2\x9c\xa8 https://t.co/uWntuucntx'
1067021405961768960,2018-11-26 11:45:02,b'SEOKJIN IN AN OVERSIZED HOODIE IS THE REASON IM LIVING https://t.co/bHKvWFnj7N'
1067021176931840001,2018-11-26 11:44:07,b'LIL MEOW MEOW https://t.co/8vwj4lDcE8'
1067021040105201664,2018-11-26 11:43:34,b'LOOK AT HIM BEING ALL HAPPY AND PROUD OSNSKSMNS https://t.co/ijcsQ4sQlV'
1067020955862659072,2018-11-26 11:43:14,b'the only fishermen I\xe2\x80\x99ll ever look at https://t.co/GmSulVoc10'
1067020752996700161,2018-11-26 11:42:26,b'SKKSKSKSKSKS SO FUCKING CUTE https://t.co/Ndtx0A6iXQ'
1067010900048130048,2018-11-26 11:03:17,b'RT @tataschimmy: yoongi: *gets back from genius lab*\njungkook:\nhttps://t.co/iYsTiqAdeL'
1067004852457345024,2018-11-26 10:39:15,b'MY TEACHER JUMPED OUT THE WINDOW SKKSSKJ'
1066963792079273986,2018-11-26 07:56:05,b'RT @BTSgoogling: uwu so its my birthday and i made myself these as my gifts https://t.co/84RzxnocjG'
1066936584006787072,2018-11-26 06:07:59,b'RT @mwahkook: only people who want ddaeng to be added on spotify can rt this'
1066935929179389952,2018-11-26 06:05:22,b'@ThankfulSeavey die.'
1066792742586642433,2018-11-25 20:36:24,b'why do people keep thinking that I\xe2\x80\x99m faking my personality im getting sick of it'
1066792206743285763,2018-11-25 20:34:16,b'@goingjihoon Let me progress what I\xe2\x80\x99ve just seen and I\xe2\x80\x99ll contact you again. Might take a few days.'
1066792103022338054,2018-11-25 20:33:52,b'I\xe2\x80\x99m rethinking my life'
1066790948087242754,2018-11-25 20:29:16,b'Fantastic beasts has me in shock and I don\xe2\x80\x99t think I can function properly'
1066789097124040706,2018-11-25 20:21:55,b'I\xe2\x80\x99m shell shock #FantasticBeasts'
1066690236850278401,2018-11-25 13:49:05,b'i can hear your wallet crying https://t.co/2df8HgmvDQ'
1066649471512137729,2018-11-25 11:07:06,b'the reason for my tears @BTS_twt https://t.co/4PnqKL66S1'
