id,created_at,text
1066946217702174720,2018-11-26 06:46:15,"b""RT @electroboyusa: Dear @FLOTUS,\n\nYou're a mother.  And you're an immigrant, too. How do you feel about #TearGas being used on women and yo\xe2\x80\xa6"""
1066946016249765888,2018-11-26 06:45:27,"b""RT @electroboyusa: @CyrusToulabi @brycetache @Barrow4Georgia I'm asking my followers to do one thing today - - it's easy!\n\nPlease follow @B\xe2\x80\xa6"""
1066945798032699392,2018-11-26 06:44:35,b'RT @socaltrav: .@KamalaHarris As a citizen of the United States I hereby condemn the actions taken today @ the US border in San Ysidro the\xe2\x80\xa6'
1066945338169208832,2018-11-26 06:42:46,"b'RT @MrsRabbitResist: Kinda disgusted by people in the left saying Kamala shouldn\xe2\x80\x99t be on a ticket for presidency, unless it\xe2\x80\x99s for the VP sl\xe2\x80\xa6'"
1066944106746671104,2018-11-26 06:37:52,b'RT @electroboyusa: I am grateful to the thousands of my #tweeps that have stood by @Carolyn4GA7 in her bid for Congress in #GA07 with such\xe2\x80\xa6'
1066943506235588608,2018-11-26 06:35:29,b'RT @electroboyusa: @FLOTUS @StephGrisham45 @WhiteHouse #MelaniaTrump a.k.a. @FLOTUS is decorating the @WhiteHouse for #Christmas while wome\xe2\x80\xa6'
1066943470701408256,2018-11-26 06:35:20,"b""RT @electroboyusa: Let's retweet this horrible image to remind voters in #MIssissippi of this disgraceful quote of @cindyhydesmith:\n\n\xe2\x80\x9cIf he\xe2\x80\xa6"""
1066942277807833088,2018-11-26 06:30:36,b'RT @electroboyusa: @BuffytVSSummers @tizzywoman @kazweida @EmmaFrostResist @MaddoxxMe @TheSWPrincess @MadelyneRants @Spiritual_Annie @mindy\xe2\x80\xa6'
1066942240583409664,2018-11-26 06:30:27,b'RT @schnd: so much to unpack here https://t.co/qCMXEQSrWx'
1066941838748073984,2018-11-26 06:28:51,"b'RT @Carolyn4GA7: Friends,\n\nWe have come to the end of the road in this particular campaign. I congratulate @RepRobWoodall on his victory &amp;\xe2\x80\xa6'"
1066939841730891777,2018-11-26 06:20:55,"b""RT @TheOnlyKAVIN: MLB wants $5,000 donation returned after U.S. Senate candidate Cindy Hyde-Smith's controversial comments - USA TODAY http\xe2\x80\xa6"""
