id,created_at,text
1067497644078100480,2018-11-27 19:17:26,b'RT @RainyDay: I still fall for you everyday.'
1067464860483633154,2018-11-27 17:07:09,b'It hurts until it doesn\xe2\x80\x99t.'
1067139538374533120,2018-11-26 19:34:27,b'RT @RainyDay: You can\xe2\x80\x99t rush something you want to last forever.'
1066774557544058880,2018-11-25 19:24:08,b'RT @RainyDay: You make this life worth living.'
1066513889347678209,2018-11-25 02:08:20,b'Find what you love and let it kill you.'
1065681311464136714,2018-11-22 18:59:58,b'Some days you don\xe2\x80\x99t want to feel at all.'
1063864927444746241,2018-11-17 18:42:19,"b'Give me all of you, the same way you want all of me.'"
1062389157182558208,2018-11-13 16:58:07,b'I\xe2\x80\x99d rather be sad with you than happy with someone else.'
1061065705175613441,2018-11-10 01:19:12,"b'It\xe2\x80\x99s exhausting, always missing you.'"
1059832234885242880,2018-11-06 15:37:50,b'I broke my own heart trying to be enough for you.'
1059144771795595272,2018-11-04 18:06:06,b'I miss the way you used to smile for me.'
1058398950745628673,2018-11-02 16:42:28,b'I\xe2\x80\x99m sorry to the people I hurt while I was hurting.'
1058134437932744704,2018-11-01 23:11:23,b'Maybe if my heart stops beating it won\xe2\x80\x99t hurt this much.'
1057438020834594816,2018-10-31 01:04:05,b'I remember when I thought forever meant forever.'
1057027973080117248,2018-10-29 21:54:42,b'I love you more than I love myself.'
1056728528413253633,2018-10-29 02:04:48,b'The world is a beautiful place and I am no longer afraid to die.'
1056232078726127616,2018-10-27 17:12:06,"b'If it is killing you, you are still alive.'"
1055946721216356352,2018-10-26 22:18:11,b'Gave her my heart but she wanted my soul.'
1055631876101148674,2018-10-26 01:27:06,b'You broke my heart...\nbut I still love you with all the pieces.'
1055283955061133312,2018-10-25 02:24:35,b'These wounds you have created will never heal.'
1054201725077385221,2018-10-22 02:44:12,b'I lost myself in you.'
1053067051667988480,2018-10-18 23:35:24,b'Waiting for the courage to end it all.'
1052703210899689472,2018-10-17 23:29:38,b'Real love never dies.'
1052380769518329857,2018-10-17 02:08:22,b'I miss the sound of your voice.'
1051525637096267777,2018-10-14 17:30:22,b'Save me from myself.'
1051215563966636032,2018-10-13 20:58:15,b'Feeling hopeless but part of me is still hoping.'
1050809164937728001,2018-10-12 18:03:22,"b""I'm sorry for your pain, but nothing beautiful grows without breaking first."""
1050486076308111367,2018-10-11 20:39:32,b'Tired of shit not killing me and only making me stronger.'
1050119507803611137,2018-10-10 20:22:55,b'I\xe2\x80\x99ll let you destroy me before I give up.'
1049704904565170182,2018-10-09 16:55:26,"b""Every day I've fought to get through without you is a victory I never wanted to win."""
1049438768611119105,2018-10-08 23:17:54,b'I love you but you make me so sad.'
1049078304177889280,2018-10-07 23:25:33,"b""Please don't let me go."""
1048596755670097924,2018-10-06 15:32:03,b'Tired but still trying.'
1048407834722029568,2018-10-06 03:01:20,b'Maybe you\xe2\x80\x99re too good for me.'
1047874647709179904,2018-10-04 15:42:39,b'I hope you\xe2\x80\x99re thinking of me too.'
1047602423727046656,2018-10-03 21:40:55,b'How many times can I fall in love with the same person?'
1047176440742072322,2018-10-02 17:28:13,b'Can I love you until I die?'
1046906126468558848,2018-10-01 23:34:05,b'Save me from this feeling of missing you.'
1046529398462197763,2018-09-30 22:37:06,"b""I don't hide anything from you, but when you make me sad, I don't tell you."""
1046183274966642689,2018-09-29 23:41:44,b'I could never love like this again.'
1045699512432558082,2018-09-28 15:39:26,"b'I don\xe2\x80\x99t care if it\xe2\x80\x99s a lie, just tell me you miss me.'"
1045357323538042885,2018-09-27 16:59:42,b'Maybe we all want someone that makes us realize we are worth fighting for.'
1044985723177357313,2018-09-26 16:23:05,b'She used to make me happy with her words.'
1044769636741500929,2018-09-26 02:04:26,b'Honest feelings and bad timing make the most painful combination.'
1044244481934065666,2018-09-24 15:17:40,b'The demons inside me tell me bad things.'
1043901843565416448,2018-09-23 16:36:08,b'Fake happiness is the worst sadness.'
1043514784153567233,2018-09-22 14:58:06,b'Real love is never a waste of time.'
1042847616868999168,2018-09-20 18:47:01,b'I don\xe2\x80\x99t want her to see the sadness in my eyes.'
1042467233551855616,2018-09-19 17:35:31,b'Real depression is when you stop loving the things you love.'
1042077739484893184,2018-09-18 15:47:48,b'It\xe2\x80\x99s so attractive when someone is all about you and isn\xe2\x80\x99t afraid to show it.'
1041704098146516992,2018-09-17 15:03:05,b'I knew I loved you when I started making excuses for the ways you hurt me.'
1041358849687605248,2018-09-16 16:11:11,b'I lost my mind waiting for you to make up yours.'
